gene,GO Focus function
ATN1,AD
ATXN2,AD
ATXN7,AD
BACE1,AD
BACE1-AS,AD
BACE2,AD
CLN3,AD
CLN5,AD
CLN6,AD
CLN8,AD
GSAP,AD
MME,AD
SORL1,AD
SORT1,AD
AIF1,AIF1
APP,Amyloid
CCL14,Anti-inflammation
CCL19,Anti-inflammation
CCL20,Anti-inflammation
CCL21,Anti-inflammation
CCL25,Anti-inflammation
CCL27,Anti-inflammation
CD163,Anti-inflammation
CXCL13,Anti-inflammation
IL10,Anti-inflammation
IL10RA,Anti-inflammation
IL10RB,Anti-inflammation
ARL13A,Cilia
ARL13B,Cilia
BBIP1,Cilia
BBS1,Cilia
BBS10,Cilia
BBS12,Cilia
BBS2,Cilia
BBS4,Cilia
BBS5,Cilia
BBS7,Cilia
BBS9,Cilia
BICD1,Cilia
BICD2,Cilia
CAB39L,Cilia
CACFD1,Cilia
CFAP100,Cilia
CFAP107,Cilia
CFAP119,Cilia
CFAP126,Cilia
CFAP141,Cilia
CFAP157,Cilia
CFAP161,Cilia
CFAP20,Cilia
CFAP206,Cilia
CFAP210,Cilia
CFAP221,Cilia
CFAP251,Cilia
CFAP276,Cilia
CFAP298,Cilia
CFAP299,Cilia
CFAP300,Cilia
CFAP36,Cilia
CFAP410,Cilia
CFAP418,Cilia
CFAP43,Cilia
CFAP44,Cilia
CFAP45,Cilia
CFAP46,Cilia
CFAP47,Cilia
CFAP52,Cilia
CFAP53,Cilia
CFAP54,Cilia
CFAP57,Cilia
CFAP58,Cilia
CFAP61,Cilia
CFAP65,Cilia
CFAP69,Cilia
CFAP70,Cilia
CFAP73,Cilia
CFAP74,Cilia
CFAP77,Cilia
CFAP91,Cilia
CFAP95,Cilia
CFAP97,Cilia
CFAP97D1,Cilia
CFAP97D2,Cilia
CFAP99,Cilia
CIBAR1,Cilia
CIBAR2,Cilia
CNTF,Cilia
CNTFR,Cilia
CPLANE1,Cilia
CPLANE2,Cilia
CROCC,Cilia
CROCC2,Cilia
DNAAF1,Cilia
DNAAF10,Cilia
DNAAF11,Cilia
DNAAF2,Cilia
DNAAF3,Cilia
DNAAF4,Cilia
DNAAF5,Cilia
DNAAF6,Cilia
DNAAF8,Cilia
DNAH1,Cilia
DNAH10,Cilia
DNAH11,Cilia
DNAH12,Cilia
DNAH14,Cilia
DNAH17,Cilia
DNAH2,Cilia
DNAH3,Cilia
DNAH5,Cilia
DNAH6,Cilia
DNAH7,Cilia
DNAH8,Cilia
DNAH9,Cilia
DNAI1,Cilia
DNAI2,Cilia
DNAI3,Cilia
DNAI4,Cilia
DNAI7,Cilia
DNAL1,Cilia
DNAL4,Cilia
DNALI1,Cilia
DPY19L1,Cilia
DPY19L2,Cilia
DPY19L2P1,Cilia
DPY19L2P2,Cilia
DPY19L3,Cilia
DPY19L4,Cilia
DYNC1H1,Cilia
DYNC1I1,Cilia
DYNC1I2,Cilia
DYNC1LI1,Cilia
DYNC1LI2,Cilia
DYNC2H1,Cilia
DYNC2I1,Cilia
DYNC2I2,Cilia
DYNC2LI1,Cilia
DYNLL1,Cilia
DYNLL2,Cilia
DYNLRB1,Cilia
DYNLRB2,Cilia
DYNLT1,Cilia
DYNLT2,Cilia
DYNLT2B,Cilia
DYNLT3,Cilia
DYNLT4,Cilia
DYNLT5,Cilia
EIF2AK3,Cilia
FAM161A,Cilia
FAM161B,Cilia
FSCB,Cilia
HYDIN,Cilia
HYDIN2,Cilia
HYLS1,Cilia
IFT122,Cilia
IFT140,Cilia
IFT172,Cilia
IFT20,Cilia
IFT22,Cilia
IFT27,Cilia
IFT43,Cilia
IFT46,Cilia
IFT52,Cilia
IFT57,Cilia
IFT74,Cilia
IFT80,Cilia
IFT81,Cilia
IFT88,Cilia
IFTAP,Cilia
INVS,Cilia
IQCB1,Cilia
LZTFL1,Cilia
MCIDAS,Cilia
NPHP1,Cilia
NPHP3,Cilia
NPHP4,Cilia
PACRG,Cilia
RSPH1,Cilia
RSPH3,Cilia
RSPH4A,Cilia
RSPH6A,Cilia
RSPH9,Cilia
SPEF1,Cilia
SPEF2,Cilia
STRC,Cilia
TCP11,Cilia
TEKT1,Cilia
TEKT2,Cilia
TEKT3,Cilia
TEKT4,Cilia
TEKT5,Cilia
ANP32A,Development (apoptosis)
ANP32B,Development (apoptosis)
ANP32C,Development (apoptosis)
ANP32E,Development (apoptosis)
APAF1,Development (apoptosis)
API5,Development (apoptosis)
APIP,Development (apoptosis)
ATF5,Development (apoptosis)
ATF7,Development (apoptosis)
AVEN,Development (apoptosis)
BAD,Development (apoptosis)
BAG2,Development (apoptosis)
BAG3,Development (apoptosis)
BAK1,Development (apoptosis)
BCL2L10,Development (apoptosis)
BCL2L11,Development (apoptosis)
BCLAF1,Development (apoptosis)
BCLAF3,Development (apoptosis)
CCNG1,Development (apoptosis)
CCNG2,Development (apoptosis)
CHAC1,Development (apoptosis)
CHAC2,Development (apoptosis)
CIDEA,Development (apoptosis)
CRADD,Development (apoptosis)
DAB2IP,Development (apoptosis)
DAD1,Development (apoptosis)
DAP,Development (apoptosis)
DAP3,Development (apoptosis)
DAPK1,Development (apoptosis)
DAPK2,Development (apoptosis)
DAPK3,Development (apoptosis)
DAPL1,Development (apoptosis)
DEDD,Development (apoptosis)
DEDD2,Development (apoptosis)
DFFA,Development (apoptosis)
DFFB,Development (apoptosis)
DHX33,Development (apoptosis)
DIABLO,Development (apoptosis)
DIDO1,Development (apoptosis)
DND1,Development (apoptosis)
DOHH,Development (apoptosis)
DZANK1,Development (apoptosis)
DZIP1,Development (apoptosis)
DZIP1L,Development (apoptosis)
DZIP3,Development (apoptosis)
E2F1,Development (apoptosis)
E2F2,Development (apoptosis)
E2F3,Development (apoptosis)
E2F4,Development (apoptosis)
E2F5,Development (apoptosis)
E2F6,Development (apoptosis)
E2F7,Development (apoptosis)
E2F8,Development (apoptosis)
E4F1,Development (apoptosis)
EAF2,Development (apoptosis)
EBF1,Development (apoptosis)
EBF2,Development (apoptosis)
EBF3,Development (apoptosis)
EVA1A,Development (apoptosis)
