gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
VWF,3.030276342,7.050940158,20.74863486,1.12646747201813e-27,6.95593663971194e-24,51.05314051,NA,0.527104137
NPDC1,1.991422041,7.022685064,14.19428474,4.95977314247237e-20,1.53132995773835e-16,34.83724898,NA,0.380884451
INSR,2.05133742,6.955192423,13.06770076,1.68302552752475e-18,3.46422754415511e-15,31.50178429,NA,0.387303852
FLT1,1.959183925,7.171467296,12.15294552,3.31744148166749e-17,4.38016311438342e-14,28.68533065,Development (differentiation),0.390870185
NOTCH4,1.977926172,6.19283259,12.13281324,3.54669078087727e-17,4.38016311438342e-14,28.42849361,Development (differentiation),0.228958631
PLVAP,1.688681656,6.886910619,11.63971037,1.85202831916554e-16,1.90604581180787e-13,26.97492462,NA,0.279600571
PECAM1,1.31919738,7.038240823,10.83725157,2.91274648044751e-15,2.56945850239476e-12,24.32409457,Matrisome/cell adhesion/binding/signaling,0.27532097
STC1,2.401619984,7.647351874,10.12173335,3.63038185476401e-14,2.80220099414597e-11,21.96944482,NA,0.527104137
NOS3,1.431831644,6.79451081,9.388873144,5.1050096665366e-13,3.49169607839113e-10,19.35969641,Metabolism (other),0.232524964
RGCC,1.406169206,7.8907828,9.36083368,5.65456854800184e-13,3.49169607839113e-10,19.32053402,NA,0.440798859
DUSP5,1.819097277,7.451399498,9.127314276,1.32881921076649e-12,7.45950784225735e-10,18.48991828,NA,0.397289586
PODXL,1.604340127,6.9069383,9.097018197,1.48514346055908e-12,7.57206846803245e-10,18.35699466,Matrisome/cell adhesion/binding/signaling,0.284593438
PXN,1.019832793,7.728145952,9.077741519,1.59411967748052e-12,7.57206846803245e-10,18.30704996,NA,0.359486448
MLKL,1.605878977,6.804383339,8.862648086,3.52067634135999e-12,1.55286974342128e-09,17.5165826,NA,0.22253923
CD93,1.321738169,7.683905537,8.662241531,7.39166384456133e-12,2.75535907842672e-09,16.82466494,Matrisome/cell adhesion/binding/signaling,0.380171184
CDC37,0.931125699,7.758129845,8.655258939,7.58560394060796e-12,2.75535907842672e-09,16.79617508,Metabolism (other),0.339514979
LAMA5,1.438758759,7.119530378,8.686211932,6.76303557115176e-12,2.75535907842672e-09,16.89799072,Matrisome/cell adhesion/binding/signaling,0.306704708
LDB2,1.057523664,7.540416663,8.588155093,9.7311987165812e-12,3.33834178193827e-09,16.55302246,NA,0.300285307
RAMP3,1.201840106,7.116857804,8.131981715,5.33471753324222e-11,1.73378319830372e-08,14.89949066,NA,0.247503566
CDK17,0.90346907,7.368520161,7.957977951,1.02419204535404e-10,3.1621929400306e-08,14.27252241,Development (cell cycle),0.261055635
DOCK9,1.062227733,7.127703761,7.707981065,2.6206506478376e-10,7.70596083352248e-08,13.36317516,NA,0.271754636
HLA.E,1.279881826,7.526563104,7.548770215,4.77266445498059e-10,1.33960013679569e-07,12.78364839,NA,0.326676177
HSPH1,1.699750578,7.642973119,7.47868439,6.21529328937031e-10,1.66867113312442e-07,12.52321511,Metabolism (other),0.359486448
ADAMTS9,1.462906639,7.717286787,7.367203848,9.46224119982274e-10,2.43455580870439e-07,12.11520753,Matrisome/cell adhesion/binding/signaling,0.399429387
FES,0.934172642,7.348371083,7.259239204,1.4218034032091e-09,3.51185440592646e-07,11.73057793,NA,0.271041369
HBB,1.334641183,6.882147761,7.233989008,1.56388688948069e-09,3.71423136251663e-07,11.63954168,NA,0.144079886
SPRY1,1.083316332,7.142005252,7.068328221,2.92151714832774e-09,6.68161792256436e-07,11.03626301,NA,0.247503566
HBA1.2,1.173072703,7.285921621,7.047148045,3.16450151978026e-09,6.97885603022968e-07,10.95393668,NA,0.181883024
GRB10,1.233968644,6.817565874,6.953175847,4.51050540960607e-09,9.60426582907498e-07,10.61978435,NA,0.241084165
PLK2,0.970256587,7.5149027,6.936843872,4.797011213068e-09,9.87384808023164e-07,10.55154809,Development (cell cycle),0.276747504
HES4,1.669201635,8.090104851,6.855744647,6.51252866602499e-09,1.2972536939582e-06,10.2384822,Development (differentiation),0.480741797
ABCG1,0.836699564,7.370901696,6.785554235,8.48432407734544e-09,1.63720941180025e-06,10.00605471,Metabolism or Transport (lipid),0.270328103
