gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
KCNQ5,-0.437741412,5.927803463,-5.884427692,9.82493027916035e-07,0.005003164,5.510289463,Transport,0.066286781
RBM25,0.452006681,6.964135795,5.722106406,1.62045802731337e-06,0.005003164,4.910392325,NA,0.196542399
ADGRG6,-0.361144122,6.111989368,-5.249595592,6.94528310685808e-06,0.009037532,3.723472488,Matrisome/cell adhesion/binding/signaling,0.077683343
NECTIN4,-0.451398491,5.404264608,-5.206124235,7.93773691795089e-06,0.009037532,3.619580256,Matrisome/cell adhesion/binding/signaling,0.045232116
PPP3R2,-0.398917052,5.335241638,-5.173229587,8.78140747741358e-06,0.009037532,3.525472164,Metabolism (other),0.044234112
TEK,-0.481278897,5.367544871,-5.328321434,5.45195489014545e-06,0.009037532,3.961394328,NA,0.044427274
CCL21,-0.388410425,4.900903186,-4.886725798,2.11066705170468e-05,0.014379527,2.719152023,Anti-inflammation,0.035123302
LILRA4,-0.451831201,4.969858018,-4.894845148,2.05902902773064e-05,0.014379527,2.743944254,Inflammation/Immune/Stress/Toxic/Detox,0.034125298
PLIN5,0.502869636,6.771689605,4.950538581,1.73704618611876e-05,0.014379527,2.832525141,Metabolism or Transport (lipid),0.175584315
PRICKLE2,0.40042342,6.749631747,4.854487554,2.32866827684788e-05,0.014379527,2.574095571,Polarity,0.168952418
AKT3,0.419161531,7.032402832,4.754085999,3.16073195432863e-05,0.015013477,2.298528681,Metabolism (other),0.19541562
AZU1,-0.498126023,4.790338916,-4.756656538,3.13614423313612e-05,0.015013477,2.355582712,Inflammation/Immune/Stress/Toxic/Detox,0.029907926
TP53BP1,0.443758594,7.239449114,4.787836993,2.8525470228313e-05,0.015013477,2.381210642,Development (apoptosis),0.244543172
CHRM3,-0.415715064,6.576348385,-4.703016514,3.69069706336263e-05,0.01627861,2.197889852,NA,0.10549868
PCM1,0.417592008,7.219585178,4.636679128,4.51202175256088e-05,0.016389255,1.983775141,NA,0.231408151
PLA1A,0.395706978,7.753318533,4.637046228,4.50701380219673e-05,0.016389255,1.959316367,Metabolism or Transport (lipid),0.305131672
RFX2,0.461047306,6.761368893,4.644585869,4.40536372414537e-05,0.016389255,2.01091043,NA,0.169725066
