gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CSPG4,1.130310843,6.974849395,11.15268698,3.00682192805788e-13,9.28356270287869e-10,19.95996628,NA,0.268722273
LGALS3,0.864393514,5.385936691,11.39764222,1.62519586720753e-13,9.28356270287869e-10,20.73909857,Development (apoptosis),0.084618088
LGALS3,0.864393514,5.385936691,11.39764222,1.62519586720753e-13,9.28356270287869e-10,20.73909857,Inflammation/Immune/Stress/Toxic/Detox,0.084618088
LGALS3,0.864393514,5.385936691,11.39764222,1.62519586720753e-13,9.28356270287869e-10,20.73909857,Matrisome/cell adhesion/binding/signaling,0.084618088
FOXC1,0.786718122,5.179227327,10.72578557,8.94884480622125e-13,9.92448490187191e-10,19.08066811,Development (differentiation),0.071726622
FOXC1,0.786718122,5.179227327,10.72578557,8.94884480622125e-13,9.92448490187191e-10,19.08066811,Metabolism (other),0.071726622
IL12A,0.862292873,6.353055625,10.64660452,1.09836020588592e-12,9.92448490187191e-10,18.84786249,Inflammation/Immune/Stress/Toxic/Detox,0.155707823
MAS1,0.708468884,5.971129718,10.68415142,9.96571193834322e-13,9.92448490187191e-10,18.96247861,NA,0.118417007
NRBF2,0.816960177,7.249585234,10.55905478,1.3789172030223e-12,9.92448490187191e-10,18.52098787,NA,0.266570036
NTM,0.842340128,5.561803811,10.60275303,1.23076146661831e-12,9.92448490187191e-10,18.76309575,NA,0.094786314
TIAM1,0.794770098,6.259596319,10.7001058,9.56280529483197e-13,9.92448490187191e-10,18.98902636,NA,0.145517635
VTCN1,0.89114883,6.819988583,10.54069252,1.44648362942263e-12,9.92448490187191e-10,18.53574512,NA,0.217046603
EDN1,0.747330903,5.671114353,10.40380595,2.0691386748495e-12,1.27769313171956e-09,18.25630678,NA,0.097663285
ACKR4,0.873476464,6.672144474,10.32049572,2.57592106820883e-12,1.44602841783541e-09,17.99337676,Metabolism or Transport (lipid),0.198730619
XCL1.2,0.902240093,6.483154802,10.15502206,3.99093817138055e-12,2.05367026735624e-09,17.58782207,NA,0.178635745
MC3R,0.911584538,5.734354793,10.09827904,4.64124732909622e-12,2.20459248132071e-09,17.46394379,NA,0.11217991
CPA3,0.732500078,5.482687958,9.960073872,6.71549482357712e-12,2.9620128953992e-09,17.10665618,Metabolism (other),0.083036852
SLIT1,0.885577867,5.612466611,9.932466244,7.23198757939023e-12,2.97716822018231e-09,17.0322845,Development (differentiation),0.103043879
PLEK,0.673884259,6.25668112,9.905427764,7.77706620122487e-12,3.00146148703522e-09,16.95681733,NA,0.136337682
ADRA2A,0.716703792,6.528463636,9.853576594,8.94231757992477e-12,3.0677117253353e-09,16.81155132,NA,0.161132341
TRDC,0.826011839,6.031044401,9.860419853,8.77887609249444e-12,3.0677117253353e-09,16.83866834,NA,0.12840954
SRD5A3,0.741074699,6.383443951,9.820997564,9.76395160725527e-12,3.17328427235796e-09,16.73060437,NA,0.155729784
CRIP1,0.797280712,6.483242747,9.794752321,1.04814902440038e-11,3.17681103266883e-09,16.65587852,NA,0.164712083
EGLN3,0.811446824,6.130783463,9.783555556,1.08037298276997e-11,3.17681103266883e-09,16.63606374,NA,0.133460711
FFAR3,0.687259554,6.252754386,9.757606805,1.1589854404586e-11,3.25306140674174e-09,16.56727757,Metabolism or Transport (lipid),0.138599728
FOSL1,0.828699784,6.222692046,9.701405461,1.34982197081663e-11,3.62397855208377e-09,16.41684165,NA,0.146725524
THBS1,0.826641312,6.28120745,9.649520112,1.5543533159222e-11,3.99922155242482e-09,16.27853024,NA,0.149975842
DYSF,0.627423772,6.421240732,9.594527773,1.80575178249759e-11,4.28866048343178e-09,16.13400573,NA,0.148196952
MMRN2,0.727391667,6.160364367,9.597340356,1.79194199856767e-11,4.28866048343178e-09,16.14299786,NA,0.132604208
CD247,0.737699603,5.798967846,9.502136719,2.32502921634187e-11,4.82269381399909e-09,15.88990769,Inflammation/Immune/Stress/Toxic/Detox,0.109786094
MCTP1,0.709491438,6.20578403,9.499327171,2.34300914040441e-11,4.82269381399909e-09,15.88151011,NA,0.134470945
NRSN1,0.734692021,6.067117609,9.50161976,2.32832696605402e-11,4.82269381399909e-09,15.8881113,NA,0.126059648
SYT14,0.804133367,5.933831194,9.520433609,2.211320062795e-11,4.82269381399909e-09,15.93848367,NA,0.118812316
AIRE,0.878588914,5.220110507,9.42600556,2.86576869579498e-11,5.05603477043829e-09,15.68335698,Immune/Inflammation/Stress/Toxin,0.078293144
CCL20,0.816905834,6.302297457,9.431255258,2.82467579194739e-11,5.05603477043829e-09,15.69674492,Anti-inflammation,0.15076646
LYVE1,0.80725012,5.360087125,9.440879003,2.75089382680275e-11,5.05603477043829e-09,15.72365128,Development (differentiation),0.084112971
NGF,0.849878791,5.54077396,9.442896105,2.73567955080799e-11,5.05603477043829e-09,15.73019578,NA,0.094588659
TBX3,0.810689288,5.61986753,9.443872369,2.72834669834389e-11,5.05603477043829e-09,15.73295388,NA,0.099420213
AKR1B1,0.819786808,6.670327715,9.314618223,3.89667961719675e-11,5.66932354936608e-09,15.37356124,Metabolism (other),0.193393947
ARRB1,0.821664889,5.588084785,9.325206516,3.78424256259751e-11,5.66932354936608e-09,15.41181663,NA,0.095642816
CXCR2,0.820873979,6.070467977,9.323734219,3.79967724201058e-11,5.66932354936608e-09,15.40920367,Inflammation/Immune/Stress/Toxic/Detox,0.12963939
GPER1,0.717858589,5.887901458,9.318402571,3.85610868311688e-11,5.66932354936608e-09,15.39474773,NA,0.113102297
KLF4,0.725235921,6.952045605,9.298769992,4.07135450181722e-11,5.66932354936608e-09,15.31959162,NA,0.226951289
MCM6,0.656313538,6.104788095,9.339153057,3.64116028337952e-11,5.66932354936608e-09,15.45098366,NA,0.123819563
PTGDR,0.809113604,6.282629349,9.299944168,4.05814419666644e-11,5.66932354936608e-09,15.34374116,Inflammation/Immune/Stress/Toxic/Detox,0.147735758
PTGES,0.862759698,5.58109025,9.293473371,4.13149084569188e-11,5.66932354936608e-09,15.32669515,NA,0.099200597
RGS6,0.847612025,6.0796663,9.299215376,4.06633848370641e-11,5.66932354936608e-09,15.34276844,NA,0.129002504
SV2B,1.052606441,5.536512678,9.347495046,3.5582185723716e-11,5.66932354936608e-09,15.47339891,NA,0.10414196
PTPN2,0.741115882,7.256662649,9.284427629,4.2362899804546e-11,5.68675883245807e-09,15.25854659,NA,0.25640181
DRD2,0.67824511,5.881973314,9.275650293,4.34056368015713e-11,5.70276185637665e-09,15.27850086,NA,0.109654324
HP,0.851767918,6.090708072,9.231487931,4.90619986398011e-11,6.31162170001607e-09,15.15939278,NA,0.128804849
FOXF1,0.894683909,5.790236776,9.217088988,5.10639076854421e-11,6.43509448893072e-09,15.12000572,Development (differentiation),0.114222339
CRP,0.864936753,5.232474418,9.198991374,5.3698326811646e-11,6.50170917768459e-09,15.06646149,NA,0.078490798
DPP4,0.675342626,6.181584859,9.205581657,5.27233652279529e-11,6.50170917768459e-09,15.08901941,Metabolism (other),0.129353889
PDE6B,0.686295017,5.639904048,9.163332978,5.93006386665558e-11,7.0419508416535e-09,14.97122253,Metabolism (other),0.094896122
CTAGE1,0.871267012,6.326802774,9.148808656,6.17496432634076e-11,7.19441598399136e-09,14.9335459,Development (differentiation),0.159880529
TIAM2,0.63963565,6.21675994,9.136554058,6.38957779303772e-11,7.30660053185332e-09,14.90101708,NA,0.131615935
SRGAP1,0.680719002,6.198709526,9.116138342,6.76409526353043e-11,7.59423422769098e-09,14.84535946,NA,0.130430008
SGK2,0.731553422,5.684266816,9.097550437,7.12447033829203e-11,7.85600077481309e-09,14.79125184,Development (cell cycle),0.09678482
SGK2,0.731553422,5.684266816,9.097550437,7.12447033829203e-11,7.85600077481309e-09,14.79125184,Transport,0.09678482
ACVR2B,0.607808141,6.092605518,9.086718612,7.34341224306601e-11,7.91966212226383e-09,14.76417478,NA,0.115935345
CD34,0.799936145,6.013763937,9.068533169,7.72648628685473e-11,7.91966212226383e-09,14.71486258,Inflammation/Immune/Stress/Toxic/Detox,0.119668819
CHRM2,0.897166206,6.104836804,9.073514261,7.61958396372798e-11,7.91966212226383e-09,14.72919484,NA,0.136930645
IGLV7.43,0.79707906,6.032294222,9.052547189,8.07997916927322e-11,7.91966212226383e-09,14.67131566,NA,0.123292485
LPAR6,0.76550663,5.863978525,9.055962987,8.00309078549322e-11,7.91966212226383e-09,14.67925763,NA,0.106491852
PRKN,0.746463801,6.136810543,9.061299427,7.88445464008202e-11,7.91966212226383e-09,14.6956685,NA,0.13058374
TMTC4,0.753168247,6.325372407,9.077471777,7.53572160421584e-11,7.91966212226383e-09,14.7400086,NA,0.145429789
TREM2,0.920707635,6.730299728,9.024322004,8.74475142864209e-11,8.43731876122889e-09,14.5847462,Inflammation/Immune/Stress/Toxic/Detox,0.218188606
ENPP4,0.664725166,5.933770312,8.999207567,9.38290210595246e-11,8.91375700065484e-09,14.52387794,Metabolism (other),0.11272895
PREX1,0.883160911,6.03840577,8.962841176,1.0391860836753e-10,9.72268797984086e-09,14.42570852,NA,0.132428515
ELOC,0.712048068,7.059461502,8.946519648,1.08798844652856e-10,1.00273562049461e-08,14.36568177,NA,0.233715465
C8A,0.819288312,5.867363301,8.903372188,1.22852440964812e-10,1.02515381480772e-08,14.25973204,Inflammation/Immune/Stress/Toxic/Detox,0.113497606
IGLV4.69,0.917613033,6.298141846,8.931921767,1.13360766479836e-10,1.02515381480772e-08,14.34101653,NA,0.163833619
KIF23,0.736449594,6.615682062,8.908248721,1.21175774279419e-10,1.02515381480772e-08,14.27480075,NA,0.174858348
LY86,0.778992787,5.621447814,8.91206843,1.19878716411896e-10,1.02515381480772e-08,14.28080658,Inflammation/Immune/Stress/Toxic/Detox,0.097158168
SEC61A2,0.673924053,6.285851887,8.904901279,1.22324182543811e-10,1.02515381480772e-08,14.26663498,NA,0.136667106
SMAD9,0.710987031,5.500172723,8.922720997,1.16335437156819e-10,1.02515381480772e-08,14.30740374,Development (differentiation),0.0836957
TACSTD2,0.692932161,5.96101815,8.922779229,1.16316363050041e-10,1.02515381480772e-08,14.31372138,NA,0.116462424
SLC13A3,0.57078328,5.642205135,8.876574191,1.32496005613382e-10,1.09088377955018e-08,14.17964528,Transport,0.090459876
DOCK10,0.755733174,6.414302433,8.866223872,1.36423471654668e-10,1.10844070719417e-08,14.16052374,NA,0.156476479
ADRB2,0.627343515,6.645504678,8.84433388,1.45123818467438e-10,1.14889689620055e-08,14.09991063,NA,0.174177538
VWF,0.829925335,5.665623904,8.848133764,1.43574068290324e-10,1.14889689620055e-08,14.10548636,NA,0.107941319
THBS4,0.751187017,5.919543924,8.837766695,1.47842359151809e-10,1.15560325033218e-08,14.07773579,NA,0.113453683
CCL11,0.748525147,5.770566548,8.810723297,1.59593449067239e-10,1.21344062884781e-08,14.00181392,Inflammation/Immune/Stress/Toxic/Detox,0.103548996
IL9,0.77954087,5.899321311,8.810657494,1.59623170289691e-10,1.21344062884781e-08,14.00318233,Inflammation/Immune/Stress/Toxic/Detox,0.113892915
PCSK9,0.83784314,5.892662155,8.803039734,1.63102141205455e-10,1.21344062884781e-08,13.98350461,Metabolism (other),0.121491633
VCAM1,0.798139547,5.920945607,8.804554787,1.62404146286225e-10,1.21344062884781e-08,13.98561183,Matrisome/cell adhesion/binding/signaling,0.112223833
CCL5,0.759388451,5.985046205,8.779465741,1.74363929139529e-10,1.26670266169011e-08,13.9173287,Inflammation/Immune/Stress/Toxic/Detox,0.118790354
PTPRE,0.788722118,5.929903857,8.783483212,1.7239031692332e-10,1.26670266169011e-08,13.92931759,NA,0.122128519
EIF4A1,0.774144665,8.031314777,8.766308844,1.80989437603397e-10,1.28821269215017e-08,13.77406631,NA,0.405301533
P3H2,0.671156343,5.728799076,8.765320848,1.81497172821157e-10,1.28821269215017e-08,13.87230264,Matrisome/cell adhesion/binding/signaling,0.093314886
HNF1A,0.81604649,5.438251577,8.747259783,1.91038023992217e-10,1.33218512098211e-08,13.82058984,NA,0.086858172
MLANA,0.744058473,6.081356908,8.745476521,1.92007248206329e-10,1.33218512098211e-08,13.82379228,NA,0.12377564
F13A1,0.70463434,5.61988406,8.740609836,1.94677835636905e-10,1.33570626117543e-08,13.80373629,NA,0.092612114
KCND2,0.853393241,5.98695295,8.736593294,1.96910299268424e-10,1.33617703075002e-08,13.79937576,Transport,0.125752185
FBLN5,0.732614135,6.026489261,8.720931665,2.05866493351807e-10,1.36690924349184e-08,13.75511854,NA,0.122282251
IL22RA1,0.620591281,5.596434071,8.723320716,2.04474017841374e-10,1.36690924349184e-08,13.75205279,Inflammation/Immune/Stress/Toxic/Detox,0.087912329
FBXO31,0.614666664,6.671343123,8.704614317,2.15638198133433e-10,1.4165594398659e-08,13.71399655,NA,0.172486494
TLR3,0.719496709,6.414942968,8.67184125,2.36711676986251e-10,1.52893844323317e-08,13.62250081,NA,0.153467738
TNFRSF18,0.779225631,5.299622734,8.670381821,2.37697312632201e-10,1.52893844323317e-08,13.60158654,NA,0.077436641
PSMC1,0.776219123,7.398199973,8.662375742,2.4317887562301e-10,1.54807170821864e-08,13.5669949,Metabolism (other),0.29184785
FFAR4,0.801196555,5.699713228,8.653231127,2.49597197396104e-10,1.57271703461321e-08,13.56189567,Metabolism or Transport (lipid),0.099595906
IFNA4.10.17,0.823980149,6.885319843,8.632203952,2.6501580829029e-10,1.65300264261872e-08,13.50888877,NA,0.22069223
BRCA2,0.761967666,5.66875379,8.614941915,2.78394178100222e-10,1.70720707897089e-08,13.45368411,NA,0.097751131
DUSP8,0.78932286,6.709814221,8.613884686,2.79235489839774e-10,1.70720707897089e-08,13.46120292,NA,0.19875258
CNTN2,0.860320811,5.087748618,8.604442506,2.86864694026351e-10,1.71979561709973e-08,13.41619498,Matrisome/cell adhesion/binding/signaling,0.069618307
KRT10,0.838455241,5.041194036,8.606720673,2.85004802001314e-10,1.71979561709973e-08,13.42210994,NA,0.067707647
