gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
TTR,6.692132992,9.638955607,24.16311172,5.86864928167972e-31,3.62389093143723e-27,59.69724055,NA,0.964126903
SERPINF1,3.690867587,7.987673465,20.45394522,2.2634060509854e-27,6.98826618241743e-24,51.79999304,NA,0.783671113
TRPM3,3.723162036,7.996978224,19.77141773,1.17425855195291e-26,2.4170155194364e-23,50.21035161,Transport,0.743447494
PFKP,2.732686553,7.697292527,17.65134818,2.60154391165455e-24,4.01613341361671e-21,44.96870865,NA,0.63233282
SFRP1,2.438847794,7.828441494,16.39959517,7.86769329339099e-23,9.71660121733788e-20,41.65350933,Development (differentiation),0.621910809
MGP,-2.294831585,8.770850533,-15.88420699,3.37027784934725e-22,3.46857761995321e-19,40.15715873,NA,0.133872071
PRLR,2.708997847,7.192635385,15.76927685,4.68147659367227e-22,4.12973113798946e-19,39.89235486,NA,0.508145203
AQP1,2.368709926,7.474552775,13.69725713,2.30209797758659e-19,1.77693187644965e-16,33.81812782,Transport,0.518032752
EHBP1L1,-1.772356934,7.324578322,-13.42170258,5.46481434979186e-19,3.74946984555164e-16,32.9168876,NA,0.072451685
NDUFA4L2,-1.707207239,6.882341011,-13.19342865,1.12665498352813e-18,6.95709452328622e-16,32.19887119,NA,0.055519925
ENPP2,2.163354852,8.033882976,13.12825044,1.38688125612057e-18,7.78544705140413e-16,32.05132411,Metabolism (other),0.621782538
TXNIP,-2.174989505,7.880652042,-12.97895008,2.23696043464242e-18,1.15110255699308e-15,31.54660914,NA,0.088025911
NPDC1,-1.872058676,7.022685064,-12.94158153,2.52242319383662e-18,1.19815101707239e-15,31.41387285,NA,0.058106721
PHACTR2,1.908345802,7.660640426,12.81712861,3.76784883512322e-18,1.66189046834899e-15,31.06391342,Matrisome/cell adhesion/binding/signaling,0.49435608
FOXJ1,1.583449808,7.144197447,12.63915552,6.71147941696423e-18,2.76289235998361e-15,30.49083995,Development (differentiation),0.350671284
ZEB2,-1.856350322,8.061379943,-12.32499387,1.87811867293494e-17,7.24836425335828e-15,29.46944317,Development (differentiation),0.122819395
CDK5RAP2,1.465477816,7.947999853,12.26056675,2.32302539308064e-17,8.4380481189841e-15,29.26957139,Development (differentiation),0.536354113
ATP2B2,1.647428175,6.83377357,12.19245151,2.91019632153567e-17,9.98359015860153e-15,29.04385748,NA,0.309282538
PCSK1N,2.488014754,6.470511498,12.12172255,3.67976309375529e-17,1.19592300547047e-14,28.81057794,Metabolism (other),0.367036514
BEX3,1.69355246,7.513223847,11.88305073,8.160641939629e-17,2.51959819886045e-14,28.02934626,NA,0.440204378
FMNL3,-1.325675942,7.32208878,-11.79239814,1.10645833286606e-16,2.97060008932518e-14,27.72319313,NA,0.096630751
HVCN1,1.755268446,7.189693413,11.80713231,1.05296822593588e-16,2.97060008932518e-14,27.77847368,NA,0.383348298
ID3,-1.679654154,9.049808654,-11.79652854,1.09119218864536e-16,2.97060008932518e-14,27.74333045,NA,0.224495468
HTR2C,2.283623209,6.597852827,11.77080275,1.18986477941396e-16,3.06142292203384e-14,27.65751725,NA,0.350703352
APOE,-2.167918639,7.992929824,-11.56920197,2.35173240132391e-16,5.80877903127005e-14,26.98222177,Metabolism or Transport (lipid),0.087822815
OPTN,1.558575727,7.950355353,11.55534886,2.4649174480265e-16,5.85417893906294e-14,26.93608332,NA,0.55008979
SYNE1,1.535296144,7.628709411,11.46141554,3.39237562449215e-16,7.7584886967552e-14,26.62251245,NA,0.429119634
ID1,-1.711468337,7.732361619,-11.42189855,3.88149479995156e-16,8.56008228203603e-14,26.49108818,NA,0.095283906
HSPA1A,-3.1736598,9.71277401,-11.39225717,4.29468896395324e-16,9.14472563876251e-14,26.39283837,Metabolism (other),0.167960065
FBLN1,2.192992769,8.227447016,11.33712325,5.18531873000792e-16,1.0673114385933e-13,26.19890903,NA,0.619163674
ARRB1,-1.315928886,6.854756543,-11.21933997,7.7655649478268e-16,1.51714927107736e-13,25.80600021,NA,0.072195143
PPP1R1B,1.949259646,6.756996796,11.215743,7.86215006874097e-16,1.51714927107736e-13,25.79714278,Metabolism (other),0.344022576
GFAP,-2.177502035,6.951357084,-11.06651951,1.31481476011611e-15,2.46029731627788e-13,25.28936377,NA,0.066273303
COL9A3,1.553756088,7.306394258,11.04236563,1.42930567536735e-15,2.59587133688041e-13,25.20442527,Matrisome/cell adhesion/binding/signaling,0.346331452
ABLIM1,1.332568598,7.464049904,10.99459848,1.6862678307844e-15,2.97505824431248e-13,25.03989774,Motility,0.35947922
NFASC,-1.548041061,7.295945845,-10.98459389,1.74574353091694e-15,2.99443508428115e-13,25.01209473,NA,0.091799213
TMSB4X,-1.700205796,9.614602794,-10.96910633,1.8420231695076e-15,3.07418731667822e-13,24.95048689,NA,0.305616128
OTX2,1.545734848,6.619306811,10.87134229,2.5867916292259e-15,4.20353639749208e-13,24.62342345,NA,0.25182786
PIP5K1B,1.600139734,7.254390533,10.80086105,3.30665334100904e-15,5.23553445659764e-13,24.37415933,Metabolism or Transport (lipid),0.367923722
ACSS1,1.452327169,7.725252145,10.77219678,3.65450151840906e-15,5.64163671904399e-13,24.27155458,Metabolism or Transport (lipid),0.428734821
EZR,1.81257431,6.989343593,10.7468243,3.99314477863416e-15,6.01406561172341e-13,24.19301662,NA,0.360077818
FGFR2,1.34424892,7.485887601,10.71202479,4.50979140325218e-15,6.51707887547528e-13,24.06765026,NA,0.39094835
ITGB8,1.34507475,7.325101325,10.71022935,4.53820877158602e-15,6.51707887547528e-13,24.06411932,Matrisome/cell adhesion/binding/signaling,0.360387806
EFNA1,-1.52805129,6.244061941,-10.61729775,6.28513952349939e-15,8.82062194491108e-13,23.75067911,NA,0.043964854
PCP4,1.49934832,7.071284632,10.60349683,6.59715172953541e-15,9.05275820664026e-13,23.69612351,NA,0.331623055
DOCK8,1.285464641,7.220686765,10.55265499,7.88782558221325e-15,1.05514651676934e-12,23.51622684,NA,0.317053617
IL4R,-1.325147866,7.410315243,-10.54753877,8.03107470253585e-15,1.05514651676934e-12,23.51013729,Inflammation/Immune/Stress/Toxic/Detox,0.09664144
ENG,-1.524994353,7.285058802,-10.50370216,9.37131793718575e-15,1.20558100546088e-12,23.3591144,NA,0.084145716
SELENOW,1.612193261,7.749163353,10.44213079,1.16442245791496e-14,1.46740993420916e-12,23.12286235,NA,0.483837866
COL4A1,-1.747137831,7.533242859,-10.38218228,1.43919661925095e-14,1.77740782477493e-12,22.936614,Matrisome/cell adhesion/binding/signaling,0.081291688
FOLR1,2.122313875,7.171212752,10.32536453,1.75991738230122e-14,2.13088035994315e-12,22.72078984,NA,0.427644519
SYNE2,1.328845427,7.792096488,10.30918132,1.86383694408849e-14,2.21330637110508e-12,22.66004229,NA,0.43566145
FN1,-1.604543854,7.204199945,-10.29848227,1.9359197925095e-14,2.21376013310114e-12,22.6460886,NA,0.072045493
TUBB4B,2.001831398,7.697701025,10.30244804,1.90887870108271e-14,2.21376013310114e-12,22.63286096,Transport,0.490454507
MCAM,-1.854906246,6.684748278,-10.28842911,2.00621363159657e-14,2.25243075911069e-12,22.61242866,Matrisome/cell adhesion/binding/signaling,0.046936463
GATM,-1.202187469,7.184475474,-10.2772756,2.08722044823219e-14,2.30153326211318e-12,22.57050039,NA,0.099506157
MARCKS,-1.328294433,7.550923603,-10.23271794,2.44516340828435e-14,2.64892702564138e-12,22.41295454,Matrisome/cell adhesion/binding/signaling,0.112376005
MARCKS,-1.328294433,7.550923603,-10.23271794,2.44516340828435e-14,2.64892702564138e-12,22.41295454,Motility,0.112376005
STK39,1.311312538,7.436108012,10.20852754,2.66482067366931e-14,2.83711511377724e-12,22.31319931,Development (apoptosis),0.370895331
SUN2,-1.194719603,7.609282425,-10.17922369,2.9577685447906e-14,3.09563063798e-12,22.22152398,NA,0.134149991
FHIT,1.524000375,6.699331683,10.16796681,3.07875901802907e-14,3.11661261251303e-12,22.17925145,NA,0.277492731
RHOB,-2.064088567,9.781946561,-10.17078602,3.04799685420947e-14,3.11661261251303e-12,22.1735383,NA,0.282035659
GADD45B,-2.790926544,9.02522652,-10.13885194,3.41537053773924e-14,3.40159888234513e-12,22.08078591,NA,0.120745682
CEBPD,-2.173633516,8.768497805,-10.12980108,3.52739951484775e-14,3.45741142923569e-12,22.04672154,Development (differentiation),0.144304772
KLF2,-2.100918571,8.02570761,-10.09937003,3.9319842514279e-14,3.79375043008864e-12,21.94523296,NA,0.087876261
ATG16L2,-1.267590766,6.896706961,-10.09245124,4.03032166173099e-14,3.82880557864444e-12,21.92563912,Metabolism (other),0.072665469
CCND2,-1.141587584,7.556858394,-10.04907423,4.70598993447981e-14,4.40295270385043e-12,21.76609995,Development (cell cycle),0.11751753
PREX1,-1.453398598,7.461393047,-9.993777523,5.73575968451586e-14,5.20857588998315e-12,21.57390226,NA,0.102360185
TBX3,-1.251430235,6.975313473,-9.997336726,5.66310925607255e-14,5.20857588998315e-12,21.5895915,NA,0.076150162
HES4,-2.518509536,8.090104851,-9.950633606,6.69492201807606e-14,5.9914700669014e-12,21.42246376,Development (differentiation),0.074322302
MXRA8,-1.345893844,6.915146756,-9.92348153,7.37995893843141e-14,6.51017806354485e-12,21.33096314,NA,0.07153241
IGFBP7,2.629345676,9.317471742,9.894149192,8.19971921738711e-14,7.03239807880075e-12,21.17876713,Development (cell cycle),0.799106379
IGFBP7,2.629345676,9.317471742,9.894149192,8.19971921738711e-14,7.03239807880075e-12,21.17876713,Development (differentiation),0.799106379
SIPA1,-1.370605435,7.089888317,-9.897083696,8.1137320987425e-14,7.03239807880075e-12,21.23582425,NA,0.078918676
NOTCH1,-1.3349304,6.78355642,-9.880605054,8.60865638251128e-14,7.28197988520646e-12,21.17956375,Development (differentiation),0.065589191
FSTL3,-1.263505704,7.040872157,-9.851109928,9.57181015658569e-14,7.98728752931306e-12,21.07261311,Inflammation/Immune/Stress/Toxic/Detox,0.079773816
NOTCH3,-1.454591674,7.112295932,-9.803971098,1.13419905579473e-13,9.31424029665603e-12,20.90572378,Development (differentiation),0.075562254
PRDX5,1.185287751,7.21796812,9.801008689,1.14636803651151e-13,9.31424029665603e-12,20.87338254,Metabolism (other),0.304483068
COX2,2.006311653,13.96997772,9.767090895,1.29544390325559e-13,1.0388787146238e-11,20.69141502,NA,0.998097315
STOM,-1.160478623,8.020994792,-9.747157812,1.39202314976049e-13,1.10201832689372e-11,20.68910928,NA,0.156362237
GNAI2,-1.105108924,7.569169124,-9.724476165,1.51078456737278e-13,1.16976653489806e-11,20.61569401,NA,0.127308876
GPX3,1.698423153,8.299355793,9.723615486,1.51548700877482e-13,1.16976653489806e-11,20.57749719,Inflammation/Immune/Stress/Toxic/Detox,0.57280443
TTC3,1.080827722,7.658385418,9.669138209,1.8452272612966e-13,1.40670102944525e-11,20.39659539,NA,0.381670087
RBM47,1.298593196,7.223937016,9.659182389,1.91288691562041e-13,1.44049715901903e-11,20.36849129,NA,0.323157175
CA2,1.545626752,7.936088392,9.634152689,2.09424665066614e-13,1.55806904432089e-11,20.26173653,Inflammation/Immune/Stress/Toxic/Detox,0.494933299
COL4A2,-1.322712205,7.736723856,-9.568275248,2.65888855197781e-13,1.95459962005512e-11,20.0563501,Matrisome/cell adhesion/binding/signaling,0.118543698
SPECC1,1.113255509,6.789057321,9.563185293,2.70843443630697e-13,1.96759795814065e-11,20.03511407,NA,0.248781426
RGCC,-1.415812723,7.8907828,-9.517658087,3.19512725012183e-13,2.26882868913043e-11,19.87185519,NA,0.142957927
SH3BP2,-1.276561732,7.314031497,-9.517533937,3.19656835553599e-13,2.26882868913043e-11,19.88237754,NA,0.095679408
HES5,-1.120847449,6.775687315,-9.509495677,3.2912825215469e-13,2.30950790574456e-11,19.85779058,Development (differentiation),0.072526509
C11orf96,-2.277870678,8.838683637,-9.502850547,3.37171352113932e-13,2.33209151898078e-11,19.81676728,NA,0.146314349
FES,-1.13775716,7.348371083,-9.500632416,3.39899978474932e-13,2.33209151898078e-11,19.81818326,NA,0.109318881
IER3,1.421360475,8.124745513,9.479820395,3.66610928910392e-13,2.48771701760623e-11,19.70371232,Development (apoptosis),0.461636309
ADIRF,-1.406352459,8.090589414,-9.469505262,3.80623918350845e-13,2.55473119110485e-11,19.69836376,Development (differentiation),0.140755943
ADAM15,-1.057182022,6.682965229,-9.46087177,3.9276654077958e-13,2.60788536485366e-11,19.6855428,Matrisome/cell adhesion/binding/signaling,0.072579956
NAV1,-1.185247965,6.978973039,-9.45659819,3.98920812908046e-13,2.62057023373105e-11,19.66842991,NA,0.087234907
TCIRG1,-1.656539266,7.038876141,-9.44857986,4.10731208786922e-13,2.66975285711499e-11,19.64164218,NA,0.063793398
PLVAP,-1.334705819,6.886910619,-9.433137611,4.34478431572708e-13,2.79469199475153e-11,19.58497827,NA,0.068507354
LYL1,-1.205799433,6.695567075,-9.424924862,4.47666716944665e-13,2.84983708982815e-11,19.55890149,NA,0.065257825
TNFRSF1B,-1.271767304,7.799717994,-9.40576824,4.80018396171529e-13,3.0246057105706e-11,19.47372914,NA,0.129617753
SLC25A6,1.334503911,8.262944792,9.384222018,5.19229927632024e-13,3.23863111427045e-11,19.3597188,Transport,0.542671455
TAGLN,-1.855557198,7.998890316,-9.381169622,5.25040049702614e-13,3.24212230691364e-11,19.3886364,NA,0.10694587
NDUFB2,0.963601095,7.45783881,9.350215947,5.87790090084106e-13,3.58305101206769e-11,19.25385936,NA,0.337726612
SLC2A12,1.313110208,7.026811001,9.348326631,5.91856199564217e-13,3.58305101206769e-11,19.25335847,Transport,0.288962288
CLEC11A,-1.321202289,6.531531764,-9.335330697,6.20603933482392e-13,3.72061096044056e-11,19.24013995,NA,0.057219514
TYMP,-1.26035143,7.098353083,-9.277420478,7.66808849094949e-13,4.55292754150126e-11,19.02266531,NA,0.078459039
FOXC1,-1.407964387,6.682481272,-9.273104889,7.79003185350834e-13,4.58128063765847e-11,19.01358163,Development (differentiation),0.056524714
FOXC1,-1.407964387,6.682481272,-9.273104889,7.79003185350834e-13,4.58128063765847e-11,19.01358163,Metabolism (other),0.056524714
COL16A1,-1.314553334,7.110234327,-9.265475393,8.01041321053201e-13,4.62283192290048e-11,18.98155225,Matrisome/cell adhesion/binding/signaling,0.085236018
ITGB3,-1.22496399,6.950814938,-9.266333057,7.98532917499272e-13,4.62283192290048e-11,18.98438458,Matrisome/cell adhesion/binding/signaling,0.078801095
STAB1,-1.442431895,7.31945958,-9.24726772,8.56206473268735e-13,4.89543978929114e-11,18.91606468,NA,0.084273987
KAT2A,-1.033630393,7.292393829,-9.236095425,8.91934302158448e-13,5.0529305649802e-11,18.8679993,NA,0.112258423
RARRES2,1.598566321,7.340831772,9.140082586,1.2680011082682e-12,7.11809713050557e-11,18.49546141,NA,0.388479135
STMN1,1.1916644,7.565517312,9.135585317,1.2890960569961e-12,7.17132265941524e-11,18.47319521,NA,0.428809646
CD74,-1.769722718,8.107949408,-9.108792581,1.42230140068274e-12,7.73265189924715e-11,18.40509273,Inflammation/Immune/Stress/Toxic/Detox,0.114342825
RAPGEF3,-1.130266903,6.626857689,-9.111532305,1.40806708302463e-12,7.73265189924715e-11,18.4315227,NA,0.072216521
RELT,-0.993889726,7.074255164,-9.107786178,1.4275665044764e-12,7.73265189924715e-11,18.40762128,Inflammation/Immune/Stress/Toxic/Detox,0.094706687
TIMP1,-1.7287629,7.673703387,-9.081808886,1.57047472384738e-12,8.43276645196309e-11,18.3128328,NA,0.095839747
HSPA1B,-2.125333231,7.924210948,-9.05112994,1.75791859598351e-12,9.35788562948118e-11,18.20010806,Metabolism (other),0.090869249
GOLM1,1.313223569,7.506957335,9.018504313,1.98204568308123e-12,1.04607966607065e-10,18.04916359,NA,0.382525227
BST2,-1.653704513,6.896212413,-8.998968749,2.1297985157489e-12,1.11453439277538e-10,18.02422565,NA,0.056802634
ACHE,-0.978152356,6.926290275,-8.978555047,2.2960558656796e-12,1.18723240117905e-10,17.94083635,Metabolism (other),0.086582863
ICAM1,1.325902199,7.743074269,8.977243678,2.30717227759491e-12,1.18723240117905e-10,17.89078388,Inflammation/Immune/Stress/Toxic/Detox,0.462544895
PHKG2,-1.324298443,8.042702193,-8.906245973,2.99736017258042e-12,1.52964455088298e-10,17.66000442,NA,0.1478536
SLC15A4,1.252809248,7.617636604,8.880766857,3.29286102891584e-12,1.6666735125865e-10,17.54270623,Transport,0.382653498
SLC38A2,-1.3159548,7.111446381,-8.87336568,3.38407083449058e-12,1.69891360999832e-10,17.55861318,Transport,0.081590987
MLKL,-1.559486657,6.804383339,-8.860103024,3.55392251735682e-12,1.76979609231277e-10,17.52133781,NA,0.056781255
COX1,1.886459691,14.41866067,8.841006242,3.81367296852783e-12,1.88395444645275e-10,17.32870495,NA,0.998770737
FNBP1,-0.862530681,7.441233932,-8.834358892,3.90850211172643e-12,1.90039374330006e-10,17.40518294,NA,0.134117924
SLC44A2,-1.144887481,7.07479259,-8.834785672,3.90234315833697e-12,1.90039374330006e-10,17.41943758,Transport,0.088592441
DCN,-1.185106882,7.665223463,-8.820321577,4.11662214534156e-12,1.9859485740222e-10,17.35505815,NA,0.122637677
PECAM1,-1.006888511,7.038240823,-8.817673787,4.15711117433547e-12,1.98993500011795e-10,17.35513533,Matrisome/cell adhesion/binding/signaling,0.092301608
MVD,-1.008918608,7.171569312,-8.797586539,4.47761574186497e-12,2.12686747738586e-10,17.27973197,NA,0.099388575
STMN3,-1.091691588,7.185903993,-8.789970728,4.60553051065446e-12,2.17092754986956e-10,17.2514122,NA,0.099367197
FOSL1,-0.948600414,7.298146617,-8.779184626,4.79300902665473e-12,2.24218414693886e-10,17.2071122,NA,0.113626646
CAMK2D,-0.990699781,7.665663401,-8.776327712,4.84393993683599e-12,2.248972113531e-10,17.18902685,Transport,0.137623995
ELL2,-1.177914109,7.191004083,-8.733410255,5.67796645788039e-12,2.61652558786652e-10,17.04610216,NA,0.095754233
LRP4,-0.923172266,6.932642146,-8.71357847,6.11076787436044e-12,2.79511049067968e-10,16.97761821,Metabolism or Transport (lipid),0.095764922
TSPYL2,-1.354208595,7.784622365,-8.709993443,6.1924765816911e-12,2.81165756558401e-10,16.95101067,NA,0.124540363
GLIS3,1.013764177,7.530327262,8.68624564,6.7621905304881e-12,3.04792164421635e-10,16.83597876,Development (differentiation),0.329976911
PLAUR,-1.231631338,7.054322243,-8.658295925,7.50063125871761e-12,3.356260726274e-10,16.77737132,NA,0.081858218
TUBB4A,-1.123934857,6.893433484,-8.645116097,7.87647145706297e-12,3.49907994585352e-10,16.73001439,Transport,0.09170301
HMGB2,-0.890890241,7.631459586,-8.62710839,8.42079278908979e-12,3.71417110518782e-10,16.64324668,NA,0.142925859
ALDOA,1.416467937,8.89291021,8.615689724,8.7853856526345e-12,3.8475004542566e-10,16.54765118,Metabolism (other),0.673069523
IFITM1,-1.352291093,7.537841023,-8.607560788,9.05457230642098e-12,3.93746366141898e-10,16.58142503,Inflammation/Immune/Stress/Toxic/Detox,0.098073799
ATP1B1,1.434235853,7.882487936,8.575648918,1.01939682689914e-11,4.40194084342811e-10,16.41770784,NA,0.480214212
SCD,-1.003104569,7.96673502,-8.565201196,1.05974898942959e-11,4.54440972897757e-10,16.40654709,Metabolism or Transport (lipid),0.177420044
THBD,-1.20478619,7.263371003,-8.509319004,1.30448665907294e-11,5.55531387570719e-10,16.22446364,NA,0.095241149
FSTL1,1.192697695,7.915560013,8.506777651,1.3168782794839e-11,5.56967354507746e-10,16.1679447,Inflammation/Immune/Stress/Toxic/Detox,0.424416367
SLC9A3R1,0.983153639,7.091685379,8.503680305,1.33214100974394e-11,5.59589845929851e-10,16.18036992,Transport,0.272062596
CTSD,1.589307454,8.160514765,8.479948187,1.45514174402505e-11,6.0712839657802e-10,16.05940228,Metabolism (other),0.529074739
ACOT11,1.203659865,7.270216231,8.462785207,1.55115142840135e-11,6.42842957743513e-10,16.02323783,Metabolism or Transport (lipid),0.309025996
PLEKHO2,-1.021427136,7.018012207,-8.458453659,1.57637228367726e-11,6.4464230806007e-10,16.04032276,NA,0.090537883
TLE1,-0.933618697,7.20740817,-8.459104932,1.57255401941267e-11,6.4464230806007e-10,16.0385574,NA,0.108538567
HSPA6,-1.845887304,7.399951067,-8.450266064,1.62517662976872e-11,6.60228005843541e-10,16.01392048,Metabolism (other),0.073445784
PAN3,0.99250172,7.675752373,8.43590903,1.71445059889955e-11,6.91943297268281e-10,15.9123678,NA,0.394956815
CORO1A,-1.15340051,6.976831578,-8.431419455,1.74336654957917e-11,6.99044704133206e-10,15.94806531,NA,0.080896186
HLA.DRB,-1.581595127,8.834053543,-8.400357835,1.95731090493856e-11,7.79767408902944e-10,15.79422992,NA,0.204389003
RHOBTB3,-0.866119741,7.115032849,-8.378752247,2.12150202009571e-11,8.39761216287885e-10,15.74467281,NA,0.108891312
RIN1,-0.986781896,6.271537086,-8.347116036,2.38722064743675e-11,9.38922770568277e-10,15.65169511,NA,0.058234992
CDH11,-1.157031487,6.844620322,-8.341406341,2.43862479463947e-11,9.53070133348021e-10,15.62140574,Matrisome/cell adhesion/binding/signaling,0.074140585
JUN,-1.991128061,8.359509836,-8.33888379,2.46168798551056e-11,9.56032912611807e-10,15.58615399,Development (apoptosis),0.124241064
ADCY3,-0.945053312,7.031894623,-8.324016602,2.60213732250839e-11,1.00426237290558e-09,15.54684322,NA,0.09579699
ADGRA2,-1.051495451,6.665655603,-8.315971377,2.68146854303197e-11,1.02845144429953e-09,15.52783648,Matrisome/cell adhesion/binding/signaling,0.069757996
RGS2,-1.149152537,8.278807976,-8.303058085,2.81391357253917e-11,1.07258742656971e-09,15.4448912,NA,0.189488199
SRGN,-1.633380829,7.89133378,-8.290588198,2.94804525664795e-11,1.11682082575467e-09,15.41541804,NA,0.106293826
SPTBN1,1.340738273,8.529984942,8.28130362,3.0520693276614e-11,1.14917854257983e-09,15.31826253,NA,0.621525996
VWF,-1.244431875,7.050940158,-8.272078727,3.15907626945344e-11,1.18226036144697e-09,15.36277441,NA,0.082210963
MFAP4,-1.090164944,7.19690237,-8.269921019,3.18464427746203e-11,1.18464930200771e-09,15.34583378,NA,0.096481101
BTG2,-1.869301502,8.599840913,-8.251908455,3.40636027893788e-11,1.25953740852943e-09,15.25814292,Development (cell cycle),0.153091329
KLHL2,-0.842651046,7.149067322,-8.238811838,3.57724171288363e-11,1.30706908739979e-09,15.2286336,Metabolism (other),0.111050539
RUNX1,-1.125275382,7.974632969,-8.240313904,3.55721396406414e-11,1.30706908739979e-09,15.21863862,NA,0.157420472
NCOA7,-1.090396681,7.032437941,-8.236372722,3.61000511406205e-11,1.31128126937254e-09,15.22448017,NA,0.093947751
