gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
MGP,2.558345765,8.770850533,16.91234338,1.90669939147856e-23,1.17738687423801e-19,42.32330992,NA,0.64010223
FN1,2.197682119,7.204199945,14.221709,4.56110575701842e-20,1.40824140247944e-16,35.01069455,NA,0.279507435
C1S,1.881968828,7.189189691,13.53929981,3.77426410626745e-19,7.76869361873383e-16,33.00717325,Inflammation/Immune/Stress/Toxic/Detox,0.272304833
DCN,1.816668946,7.665223463,13.01924933,1.96560031049748e-18,3.03439547933048e-15,31.42524855,NA,0.322258364
RARRES1,1.897537881,7.247653667,12.09728604,3.99107411119816e-17,4.92897652732973e-14,28.54404709,NA,0.283689591
ID1,1.820330054,7.732361619,11.89861671,7.74583457480402e-17,7.97175474990247e-14,27.91103688,NA,0.324814126
COL1A1,1.554001627,7.697517988,11.69742379,1.52383056839506e-16,1.34423625140565e-13,27.26921297,Matrisome/cell adhesion/binding/signaling,0.291356877
IGFBP6,2.081253927,8.021957243,11.63401126,1.88808984134017e-16,1.45736934628444e-13,27.04065352,Development (cell cycle),0.401719331
IGFBP6,2.081253927,8.021957243,11.63401126,1.88808984134017e-16,1.45736934628444e-13,27.04065352,Development (differentiation),0.401719331
CDH11,1.486524279,6.844620322,10.89178933,2.40922505692067e-15,1.54959529304975e-12,24.60214404,Matrisome/cell adhesion/binding/signaling,0.19098513
TIMP1,2.115969508,7.673703387,10.88006649,2.50946606161903e-15,1.54959529304975e-12,24.55825603,NA,0.375929368
SLC7A2,1.387501416,7.009930802,10.75197749,3.92189144817812e-15,2.20160724477272e-12,24.13779415,Transport,0.209804833
COL6A3,1.243431777,6.936279192,9.852135014,9.53657978901304e-14,4.90736501642963e-11,21.04918184,Matrisome/cell adhesion/binding/signaling,0.18052974
COL1A2,1.273952857,6.981771834,9.775292138,1.25769574370716e-13,5.97405478260903e-11,20.78134247,Matrisome/cell adhesion/binding/signaling,0.182620818
C7,1.433125407,6.850742334,9.495456039,3.46354553188494e-13,1.52767097567068e-10,19.7969927,Inflammation/Immune/Stress/Toxic/Detox,0.169609665
LAMA2,1.386222724,6.256445904,9.379337644,5.28558556903254e-13,2.17589939258506e-10,19.37687828,Matrisome/cell adhesion/binding/signaling,0.135223048
C1R,1.374371377,6.747402449,8.604890499,9.14479526398321e-12,3.52931942219352e-09,16.62118922,Inflammation/Immune/Stress/Toxic/Detox,0.176579926
ID3,1.348852484,9.049808654,8.574913634,1.02218548458743e-11,3.67490452399338e-09,16.51336918,NA,0.495120818
NBL1,1.333753749,7.409121807,8.562302323,1.07122722966609e-11,3.67490452399338e-09,16.46875135,NA,0.230018587
LAMC3,1.202893856,6.910120674,8.473265195,1.49179526546511e-11,4.8483346127616e-09,16.1465649,Matrisome/cell adhesion/binding/signaling,0.164962825
THBS2,1.310035782,7.41456772,8.451223411,1.61939260064401e-11,4.99987465448838e-09,16.06688098,NA,0.211663569
APOE,1.607287633,7.992929824,8.422099534,1.80496757682687e-11,5.30746418424093e-09,15.96071115,Metabolism or Transport (lipid),0.340148699
COL3A1,1.232475734,6.816757511,8.359994051,2.2752409770587e-11,6.38618774242612e-09,15.73604028,Matrisome/cell adhesion/binding/signaling,0.170074349
MXRA8,1.094781533,6.915146756,8.209701914,3.98853846314511e-11,1.07083586999657e-08,15.19075095,NA,0.17239777
CCN1,1.425881863,7.883493949,8.183370198,4.40135989326936e-11,1.10277181680579e-08,15.09454159,Development (differentiation),0.238615242
COL4A1,1.367041025,7.533242859,8.179553156,4.46466322593436e-11,1.10277181680579e-08,15.08063443,Matrisome/cell adhesion/binding/signaling,0.244888476
GAS1,1.094623919,7.457605379,7.951073222,1.05107904385575e-10,2.4963127291574e-08,14.24793118,NA,0.230483271
CHMP1B,1.50500655,7.942981025,7.736617597,2.35297514098282e-10,5.18915053413175e-08,13.46558563,NA,0.319702602
MRC2,1.067344605,7.143662697,7.741928047,2.30643640287019e-10,5.18915053413175e-08,13.48429637,NA,0.193773234
COL6A2,1.383230519,7.477919789,7.721058236,2.494822474978e-10,5.31225130447901e-08,13.40677586,Matrisome/cell adhesion/binding/signaling,0.239079926
