gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
STAB1,3.704323205,7.31945958,23.26460996,3.92701749059713e-30,2.42493330044373e-26,57.60967182,NA,0.513739546
RGS1,2.837903402,7.684786824,17.99281557,1.05705421630635e-24,3.26365489284584e-21,45.72471176,NA,0.491210104
CD74,3.343715605,8.107949408,16.73449549,3.10701458589047e-23,6.39527168929122e-20,42.49783156,Inflammation/Immune/Stress/Toxic/Detox,0.657450077
CD163,3.35592148,6.724084996,16.5662344,4.94750293430272e-23,7.63770765482983e-20,41.97501646,Anti-inflammation,0.382488479
MSR1,2.19778,7.219295441,15.91448774,3.09154407405048e-22,3.81805693145235e-19,40.22882385,NA,0.317630995
HLA.DRA,3.390625772,7.318309935,15.34029501,1.61828293740506e-21,1.6654828564127e-18,38.61449769,NA,0.490527394
HLA.DRB,2.930103789,8.834053543,14.75699658,9.05473280346451e-21,7.98756786591334e-18,36.98532397,NA,0.736985834
C1QC,2.732098843,7.419131466,14.68589586,1.1201106119772e-20,8.64585378619899e-18,36.73300583,Inflammation/Immune/Stress/Toxic/Detox,0.407407407
TYMP,1.879407735,7.098353083,13.78957518,1.72692780103587e-19,1.06637791713965e-16,34.08074675,NA,0.250042669
TYROBP,2.180560002,6.911738416,13.80253693,1.65875566590492e-19,1.06637791713965e-16,34.10725842,NA,0.254138932
CYTH4,2.054235329,6.713656945,13.73227599,2.0639995124364e-19,1.15865427175407e-16,33.90321758,Transport,0.200375491
C1QB,2.75819173,6.594756916,13.65115009,2.65860614495739e-19,1.28657938741663e-16,33.63842974,Inflammation/Immune/Stress/Toxic/Detox,0.271718723
CIITA,1.961776886,7.006552172,13.64519193,2.70858818403502e-19,1.28657938741663e-16,33.63309573,NA,0.245263697
SLCO2B1,2.355201579,6.91708054,13.44362799,5.09973480090633e-19,2.24934731397118e-16,33.00781689,Transport,0.26130739
C1QA,2.373220504,7.164671927,13.36824303,6.46997004987478e-19,2.66347100386512e-16,32.77272769,Inflammation/Immune/Stress/Toxic/Detox,0.301416624
CTSB,2.314175883,8.397733757,13.25763516,9.18584525850877e-19,3.54516215445573e-16,32.43678885,Metabolism (other),0.536439665
HLA.DPB1,1.883855303,6.603119118,12.84427123,3.45152505426471e-18,1.25371571824027e-15,31.14187065,NA,0.191670934
MS4A7,2.186680422,6.825944594,12.73201619,4.96337702009829e-18,1.61309753153195e-15,30.7816036,NA,0.235193719
PARVG,1.417810531,7.356688664,12.73773024,4.87225009932211e-18,1.61309753153195e-15,30.80218301,NA,0.249018604
ARRB2,1.564199842,7.51471316,12.53313364,9.48464438216995e-18,2.92838395299497e-15,30.1442922,NA,0.286055641
CSF1R,1.91499014,6.58585432,12.15622864,3.28150363654802e-17,9.64918331223048e-15,28.92621866,Inflammation/Immune/Stress/Toxic/Detox,0.181088923
F13A1,2.550331466,6.711420242,11.89153171,7.931926732669e-17,2.2263476170105e-14,28.05435352,NA,0.219320703
MAF,1.890976006,8.123575015,11.42108602,3.89226731291091e-16,1.04498915900978e-13,26.48972971,NA,0.377197474
TNFRSF1B,1.603816298,7.799717994,11.17737017,8.97127663206905e-16,2.30823471679277e-13,25.66725302,NA,0.328213006
HLA.DPA1,1.968289867,7.267267575,11.12803258,1.06331200690596e-15,2.62638065705773e-13,25.49999252,NA,0.287591739
PTPRE,1.550580343,7.024120623,11.06921837,1.30261151295452e-15,3.09370234326699e-13,25.2982182,NA,0.211469534
CORO1A,1.476321276,6.976831578,11.00754843,1.61231060495932e-15,3.68741406874955e-13,25.08675978,NA,0.191329578
RGS2,1.649951583,8.278807976,10.82672621,3.02153915715305e-15,6.66357296265004e-13,24.47128306,NA,0.383512545
PLAUR,1.493720693,7.054322243,10.64742544,5.65477188724426e-15,1.20407642771494e-12,23.84809854,NA,0.197303294
IL10RA,1.719484435,6.937156866,10.60211421,6.62925945322928e-15,1.36452257078969e-12,23.69268325,Anti-inflammation,0.208738693
RNASET2,1.591945064,6.843590402,10.48104489,1.01503888474958e-14,2.02189197204151e-12,23.27142363,NA,0.215053763
EPB41L3,1.566543891,6.590715256,10.44630526,1.14738816572815e-14,2.21410060105353e-12,23.15051468,NA,0.173920464
LAPTM5,1.549693836,7.427167359,10.30104772,1.91838313285054e-14,3.58970177131881e-12,22.64607601,NA,0.266086363
ADCY7,1.424137526,6.754104429,10.2663333,2.16990122491347e-14,3.94092354818844e-12,22.51960659,NA,0.155657962
IFI30,1.253729967,7.034833651,10.19201402,2.82610587307468e-14,4.98605821892461e-12,22.25652534,Inflammation/Immune/Stress/Toxic/Detox,0.194231097
CD14,2.172803326,7.45068599,10.10421724,3.86453572306367e-14,6.6287522471995e-12,21.95763459,Inflammation/Immune/Stress/Toxic/Detox,0.293394777
LAIR1,1.555499875,7.062693294,10.08957248,4.07196523972418e-14,6.79577982575589e-12,21.90151835,NA,0.198668715
C5AR1,1.642348862,6.870676424,9.959254621,6.49111918364334e-14,1.05480686734204e-11,21.43978334,Inflammation/Immune/Stress/Toxic/Detox,0.200716846
SLC1A3,1.390682181,7.448199165,9.944007738,6.85593556475485e-14,1.08552313108619e-11,21.39035116,Transport,0.261648746
PLCB2,1.418397365,7.125417976,9.927612738,7.27133957449605e-14,1.12251304681283e-11,21.32699132,Metabolism or Transport (lipid),0.195596518
SLC11A1,1.759827064,7.68993017,9.897563672,8.09975458236329e-14,1.21990206209984e-11,21.22852041,Transport,0.375661376
HLA.DQB1,1.473634207,7.149326385,9.858069159,9.3351879224629e-14,1.37249489098115e-11,21.0819749,NA,0.226830517
