gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
NOTCH3,2.850336653,7.112295932,19.8055488,1.08035091497252e-26,6.67116689995534e-23,49.87335578,Development (differentiation),0.331646734
MCAM,3.000183082,6.684748278,17.40853357,4.97313073695973e-24,1.53545411503632e-20,44.02056306,Matrisome/cell adhesion/binding/signaling,0.316467341
CARMN,2.226942929,7.238384325,15.38683231,1.41305317279125e-21,2.56668870354534e-18,38.61595124,NA,0.281048758
TAGLN,3.097350348,7.998890316,15.33102772,1.66263235857188e-21,2.56668870354534e-18,38.46529372,NA,0.573137075
C11orf96,3.801312353,8.838683637,14.94935031,5.10841591563496e-21,6.30889365580918e-18,37.37600117,NA,0.884084637
ADIRF,2.229190604,8.090589414,14.76478941,8.84639559649176e-21,9.10441546805611e-18,36.88923413,Development (differentiation),0.458141674
BCAM,2.392020004,7.070577255,14.5611409,1.62935191231252e-20,1.43732115121854e-17,36.26577752,Matrisome/cell adhesion/binding/signaling,0.269549218
ITGA7,2.103106582,7.365345521,13.0498402,1.78206144776491e-18,1.37552867999354e-15,31.71560388,Matrisome/cell adhesion/binding/signaling,0.294848206
ACTA2,2.163199023,7.7479269,12.80976379,3.8586357194519e-18,2.64745284084616e-15,30.98341289,NA,0.366605336
NDUFA4L2,1.67652709,6.882341011,12.55359986,8.87109687655748e-18,5.47790232127424e-15,30.11174979,NA,0.189052438
MYL9,2.37911142,8.33576696,12.44488561,1.26625882503601e-17,7.10831658599762e-15,29.81933543,NA,0.497700092
TPM2,2.307807907,8.56065649,11.78390771,1.13852113271611e-16,5.85863999543499e-14,27.6730869,NA,0.565317387
HES4,2.809788702,8.090104851,11.26962286,6.5343428992038e-16,2.88211195732739e-13,25.96739098,Development (differentiation),0.538178473
PDGFA,1.683457238,7.332501499,11.27061327,6.51218309726372e-16,2.88211195732739e-13,25.957238,Development (differentiation),0.236890524
PDGFRB,1.563403369,7.871750208,11.12699652,1.06711695358309e-15,4.39296479225037e-13,25.48545112,Development (differentiation),0.313707452
