gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
GFAP,6.245187482,6.951357084,25.68457061,2.67455009498175e-32,1.65153468365123e-28,62.63896805,NA,0.96746988
MT3,3.342266358,6.849690935,20.15260191,4.65752762247396e-27,1.43801165343883e-23,50.45586149,NA,0.585542169
ABCA2,3.665238771,6.269398478,16.81768076,2.47152625774519e-23,5.08722488052551e-20,42.30949173,Metabolism or Transport (lipid),0.744578313
TUBB4A,2.684734057,6.893433484,11.68924949,1.56647558507709e-16,2.41824668446275e-13,27.3065384,Transport,0.63373494
NDRG2,2.217440934,7.872732148,11.59465149,2.1573073251295e-16,2.66427454653493e-13,27.03385049,NA,0.61686747
CNTN2,2.931599196,5.966821951,11.40161888,4.15959607659597e-16,4.28091762883002e-13,26.34127529,Matrisome/cell adhesion/binding/signaling,0.55060241
SUN2,2.313447636,7.609282425,11.06243837,1.33348799531219e-15,1.1763269101504e-12,25.2488649,NA,0.672289157
NCAM1,2.365932625,6.923846292,10.90619775,2.29154075226337e-15,1.76878301815329e-12,24.69971636,NA,0.526506024
MAPT,2.641894971,6.519567212,10.80888602,3.21539920790131e-15,2.20612112319896e-12,24.36896019,NA,0.443373494
APLP1,2.639759323,7.070976853,10.3824108,1.43803364609275e-14,8.87985776462274e-12,22.91573711,Development (differentiation),0.8
MBP,3.920594656,6.577366811,10.34667172,1.63195370359897e-14,9.16119465429424e-12,22.79288707,NA,0.971084337
MOBP,2.740906672,6.575574846,10.16804133,3.0779418182529e-14,1.58385756064264e-11,22.16978179,NA,0.753012048
S100B,2.137978498,6.814500739,10.06233624,4.48809114069749e-14,2.13184329183131e-11,21.80378549,Transport,0.404819277
TTYH2,2.165790727,6.563570728,9.944286816,6.84907562884412e-14,3.02093157200803e-11,21.39173729,Transport,0.43373494
SOX2,1.910992249,7.149268403,9.760675587,1.32576653075105e-13,5.45773888492515e-11,20.75363774,Development (differentiation),0.319277108
CRYAB,2.816463252,7.985867808,9.725294335,1.50632801904652e-13,5.47151501036014e-11,20.62930702,NA,0.781927711
SCD5,2.011523477,7.238007062,9.734169848,1.45882665388034e-13,5.47151501036014e-11,20.66234598,NA,0.393975904
GATM,2.022696886,7.184475474,9.656711546,1.93006260833661e-13,6.62118700359919e-11,20.38785304,NA,0.440963855
SOX10,2.167568214,6.061400863,9.586049232,2.49292870364772e-13,8.10201828685508e-11,20.13440421,Development (differentiation),0.328915663
FA2H,1.79520534,6.278535082,9.34175115,6.06229871857396e-13,1.87173472935971e-10,19.26956329,Metabolism or Transport (lipid),0.301204819
RAPGEF5,2.042997553,5.44729305,9.269678557,7.88823739492793e-13,2.31951742446095e-10,19.01423915,NA,0.196385542
BOK,1.644982369,7.399474366,9.187263652,1.06657936914263e-12,2.9936943656617e-10,18.71949096,Development (apoptosis),0.398795181
CD22,2.043142683,6.205600055,9.087638006,1.53720228057351e-12,4.12705394893104e-10,18.36238505,Inflammation/Immune/Stress/Toxic/Detox,0.356626506
PIP4K2A,2.174795278,6.977178619,9.001802427,2.10769799160203e-12,5.42293129089271e-10,18.0545196,Metabolism or Transport (lipid),0.615662651
PLP1,3.808571503,6.722079121,8.915187962,2.90010398890016e-12,7.1632568525834e-10,17.74178004,NA,0.957831325
CNP,2.038866236,6.777916376,8.815835131,4.18546267994533e-12,9.43270425180953e-10,17.38541897,NA,0.572289157
DPYSL2,2.021139251,7.062158768,8.809971901,4.27717763644805e-12,9.43270425180953e-10,17.36411931,NA,0.395180723
