"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.248751248751249","0.827991314159648","0.0793434960134973","0.248668558372713","1.44291297408938","10","c(""L2HGDH"", ""D2HGDH"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.0163714885354388","0.38350036234517","0.352487857583619","0.521238510065684","3.02451509628137","10","c(""ELAVL4"", ""ELAVL1"", ""TIRAP"")"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.746253746253746","0.967011620857775","0.0266052822097738","0.0568231437287618","0.383369725562444","14","PDK3"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.674325674325674","0.954715424346936","0.0317090865085553","0.0875431699989537","0.507974054343751","10","PDK3"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.337662337662338","0.874322535135844","0.0639271933359996","0.150228083570087","1.21677785386157","24","c(""PMVK"", ""PDK3"", ""ACACA"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.0184741928991579","0.406581229208079","0.352487857583619","0.290778528944879","2.58425824785219","36","c(""TNF"", ""NPY5R"", ""ATP1A2"", ""AVP"", ""SLC17A7"", ""GRM1"", ""APBA1"")"
"7","GOBP_ACID_SECRETION","0.0929070929070929","0.661130264780851","0.142901149386948","0.259779987436538","2.06999506996456","23","c(""TNF"", ""HRH2"", ""APBA1"", ""SV2A"")"
"8","GOBP_ACROSOME_REACTION","0.48951048951049","0.913061904266234","0.0466015072985992","0.139246872207594","0.850677531344759","11","c(""SPINK1"", ""CACNA1H"")"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.4995004995005","0.914538424414554","0.0456790414930062","0.0910019372410405","0.910510916310187","60","c(""FGF10"", ""NRP1"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.574425574425574","0.937231436206546","0.0392758570896778","0.0780611682002147","0.809070620679693","72","c(""WIPF2"", ""ATP1A2"", ""CACNA1G"")"
