"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.94005994005994","1","0.0115202567953401","0.0329278183292782","0.107349743050682","10","c(""DLST"", ""KYAT3"", ""GOT2"", ""L2HGDH"", ""GOT1"", ""IDH1"", ""D2HGDH"", ""PHYH"", ""IDH2"", ""OGDH"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.675324675324675","1","0.031636972118622","0.192323496738003","0.627004126145695","10","c(""ZFP36"", ""TIRAP"")"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.995004995004995","1","0.00323243877654383","0.00194773575718232","0.0067114339448536","14","c(""PDK1"", ""ACLY"", ""ACSS2"", ""DLAT"", ""PDK2"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.92007992007992","1","0.0134461833974729","0.0494728304947283","0.161289022810138","10","c(""PDK1"", ""DLAT"", ""PDK2"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.934065934065934","1","0.0121212734616549","0.0601001364835217","0.223672349450984","24","c(""MVD"", ""PDK1"", ""DLST"", ""ACLY"", ""ACSS2"", ""ACOT12"", ""DLAT"", ""PDK2"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.754245754245754","1","0.0260437699289678","0.174468811048734","0.685051659483012","36","c(""STXBP1"", ""ADORA2A"", ""GJA1"", ""NF1"", ""HRH3"", ""SLC32A1"")"
"7","GOBP_ACID_SECRETION","0.832167832167832","1","0.0204893625108019","0.124218956569973","0.457551030670888","23","c(""NF1"", ""CCKBR"", ""OXTR"", ""TFF2"")"
"8","GOBP_ACROSOME_REACTION","0.215784215784216","0.68713550160458","0.0870515867946735","0.466633673963997","1.55089318867325","11","c(""STXBP1"", ""PLA2G10"", ""PLCB1"", ""ZP3"")"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.00635792665045164","0.125730303109294","0.407017918923954","0.462046452763598","1.89642718395603","60","c(""FES"", ""SHC1"", ""DAPK3"", ""MYH9"", ""TEK"", ""CSF3"", ""PARVB"", ""HRAS"", ""MDK"", ""F11R"", ""MCU"", ""ESAM"", ""RAPGEF3"", ""IQGAP2"", ""ARHGDIB"", ""ABL2"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.629370629370629","1","0.0350150690873584","0.21552899130791","0.891384336281657","72","c(""STC1"", ""MYH9"", ""GJA1"", ""CCDC88C"", ""EMP2"", ""NEDD4L"")"
"11","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.6003996003996","0.993166061923601","0.0372254009247509","0.212351904600082","0.956391388518768","391","c(""STC1"", ""RGCC"", ""PXN"", ""FES"", ""SHC1"", ""PDLIM1"", ""DAPK3"", ""MYH9"", ""SELE"", ""TEK"", ""CSF3"", ""CXCL1"", ""CYTH2"", ""CCN2"", ""MEF2A"", ""PARVB"", ""HRAS"", ""LIMK2"", ""GJA1"", ""MDK"", ""F11R"", ""MCU"", ""CCDC88C"", ""BST2"", ""ESAM"", ""EMP2"", ""NEDD4L"", ""PIP5K1C"", ""SMAD3"", ""RAC3"", ""EDN1"", ""ARRB1"", ""RAPGEF3"", ""ITGB3"", ""IQGAP2"", ""ARHGDIB"", ""CXCL12"", ""TMSB10"", ""PYCARD"", ""ABL2"", ""ADD1"", ""TGFBR1"", ""CDK10"", ""EPB41L4A"", ""ARPC5L"", ""EHBP1L1"", ""NF1"", ""PRKN"", ""TCAP"", ""FGF12"", ""CYFIP1"")"
