"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.956043956043956","1","0.00978249842757038","0.169295741176523","0.452508626084133","10","c(""KYAT3"", ""DLST"", ""IDH1"", ""D2HGDH"", ""PHYH"", ""L2HGDH"", ""GOT1"", ""GOT2"", ""IDH2"", ""OGDH"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.976023976023976","1","0.00715048391330487","0.134292108891888","0.358947822705395","10","c(""MYD88"", ""TARDBP"", ""ANGEL2"", ""TIRAP"", ""MAPK14"")"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.968031968031968","1","0.00829069833204511","0.164545994261298","0.467028830519404","14","c(""DLAT"", ""ACSS2"", ""PDK1"", ""MPC2"", ""PDHB"", ""PDK2"", ""PDHX"", ""ACLY"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.881118881118881","1","0.0167582341026205","0.234534966016334","0.626885794664384","10","c(""DLAT"", ""PDK1"", ""MPC2"", ""PDHB"", ""PDK2"", ""PDHX"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.98001998001998","1","0.00651414071836222","0.16985359208593","0.518766460862895","24","c(""ACOT12"", ""MVD"", ""HMGCS1"", ""TDO2"", ""DLAT"", ""ACSS2"", ""PDK1"", ""MPC2"", ""DLST"", ""HMGCS2"", ""PDHB"", ""PDK2"", ""AASS"", ""PDHX"", ""ACACB"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.74025974025974","1","0.0270265157079683","0.2693793554284","0.866047326681125","36","c(""SLC6A1"", ""AVPR1B"", ""NF1"", ""SLC32A1"", ""GRM7"", ""ADORA2A"", ""SLC1A1"", ""SNCA"", ""SLC1A2"", ""SLC38A2"", ""APBA1"", ""TRPV1"", ""SLC1A3"", ""ADORA1"", ""AVPR1A"", ""HRH3"", ""GRM1"", ""SLC7A11"", ""DTNBP1"", ""P2RX7"", ""SLC25A12"", ""AVP"", ""ARL6IP5"", ""GJA1"")"
"7","GOBP_ACID_SECRETION","0.104895104895105","0.479897303032257","0.133554954557592","0.425684655217076","1.29840244210779","23","c(""DRD2"", ""SLC6A1"", ""NF1"", ""CHRM5"", ""OXT"", ""CCKBR"", ""OXTR"", ""TFF2"", ""SV2A"", ""CASR"", ""APBA1"", ""PTGER3"", ""TRPV1"", ""HTR1B"", ""KCNQ1"")"
"8","GOBP_ACROSOME_REACTION","0.187812187812188","0.59701742637095","0.0949751525905595","0.466804857685989","1.27287287398183","11","c(""RIMS1"", ""PLA2G10"", ""PLCB1"", ""ZP3"", ""CACNA1H"", ""ADCY3"")"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.871128871128871","1","0.0175479783225763","0.23700314209494","0.803040659095967","60","c(""PLEK"", ""FES"", ""TNIK"", ""CDK5"", ""MCU"", ""ESAM"", ""TEK"", ""IQGAP2"", ""ANXA1"", ""NTF3"", ""AUTS2"", ""SEMA3E"", ""FGF7"", ""PHACTR1"", ""SHC1"", ""CSF3"", ""CSF1R"", ""CCL27"", ""NTRK3"", ""ARHGDIB"", ""RAPGEF3"", ""MDK"", ""PAK1"", ""PIP5K1A"", ""CXADR"", ""TJP1"", ""F11R"", ""DTNBP1"", ""HRAS"", ""PARVG"", ""FER"", ""KIT"", ""CARMIL1"", ""RICTOR"", ""ABL2"", ""PARVB"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.939060939060939","1","0.011622042518008","0.219793774353942","0.753610160925835","72","c(""SCN5A"", ""PDE4D"", ""RYR2"", ""DSC2"", ""KCNJ2"", ""CACNA2D1"", ""MYO1B"", ""CACNA1D"", ""TNNC1"", ""CCDC88C"", ""CACNA1C"", ""WIPF3"", ""STC1"", ""EMP2"", ""TNNT2"", ""SUMO1"", ""EPB41L5"", ""PIK3CA"", ""FGF12"", ""FGF13"", ""NEDD4L"", ""ACTA2"", ""MYH6"")"
"11","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.998001998001998","1","0.00204130030921835","0.206688813582609","0.778152583317998","391","c(""EDN1"", ""PLEK"", ""ADRA2A"", ""ARRB1"", ""PRKN"", ""PREX1"", ""TACSTD2"", ""CCL11"", ""IL1A"", ""SCN5A"", ""PTGER4"", ""CCR7"", ""PDE4D"", ""MYH11"", ""MEF2A"", ""BST1"", ""FES"", ""TGFBR1"", ""NF1"", ""RYR2"", ""MARCKSL1"", ""ID1"", ""DAAM2"", ""RHOBTB1"", ""DSC2"", ""MYL2"", ""ANKRD1"", ""ADD2"", ""KCNJ2"", ""CACNA2D1"", ""TNIK"", ""CDK5"", ""BCL2"", ""CTNNA2"", ""CORO1A"", ""ITGB3"", ""MCU"", ""PPARGC1B"", ""PRKCD"", ""FHOD1"", ""RHOBTB3"", ""ESAM"", ""TACR1"", ""SELE"", ""TEK"", ""IQGAP2"", ""ANG"", ""TMEFF2"", ""FMNL3"", ""EPB41L3"", ""ANXA1"", ""SYNPO2"", ""ATXN3"", ""PRKCI"", ""MYO1B"", ""PRKCE"", 
""GAS2"", ""CACNA1D"", ""NTF3"", ""TNNC1"", ""LPAR1"", ""SMTNL2"", ""CCDC88C"", ""TGFB3"", ""CACNA1C"", ""PDLIM1"", ""CELSR1"", ""LCP1"", ""WIPF3"", ""CCN2"", ""KRAS"", ""FLNC"", ""WNT4"", ""STC1"", ""EMP2"", ""EPB41L2"", ""SVIL"", ""STARD13"", ""PYCARD"", ""CYFIP1"", ""CCL26"", ""CNN2"", ""AUTS2"", ""TNNT2"", ""SPTA1"", ""SEMA3E"", ""FGF7"", ""PHACTR1"", ""SUMO1"", ""TYROBP"", ""EPB41L5"", ""PIK3CA"", ""SHC1"", ""FGF12"", ""F2RL1"", ""TCAP"", ""ACTR2"", ""SSH2"", ""JAK2"", ""FGF13"", ""CXCL1"", ""RHOC"", ""RHOH"", ""CSF3"", ""WASHC4"", ""NEDD4L"", ""CXCL12"", ""DOCK2"", ""ACTA2"", ""SRC"", ""PROX1"", ""MYH6"", 
""RAP1GDS1"", ""SRGAP2"", ""WASF1"", ""ALMS1"", ""CSF1R"", ""UTRN"", ""FZD10"", ""RAC3"", ""NCKAP1L"", ""PDE4B"", ""CAPG"", ""KCNN2"", ""TWF1"", ""RAC2"", ""CCL27"", ""CDK10"", ""EHBP1L1"", ""WASHC3"", ""ARPC5"", ""NTRK3"", ""EFNA5"", ""MYLK3"", ""RHOG"", ""WNT11"", ""CORO1C"", ""EPB41"", ""ARHGDIB"", ""SPTBN4"", ""RAPGEF3"", ""MDK"", ""NCK1"", ""PAK1"", ""PDCD10"", ""EPHA3"", ""SEMA5A"", ""PIP5K1A"", ""ADORA1"", ""KCNQ1"", ""PAK3"", ""CXADR"", ""BST2"", ""TJP1"", ""CALD1"", ""ODAM"", ""GATA4"")"
