"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.265734265734266","0.823142804981625","0.0758886900606117","0.176859916875706","1.40700129278235","10","c(""IDH2"", ""GOT2"", ""OGDH"", ""GOT1"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.867132867132867","0.985521302747419","0.0178589946943486","0.0285482562854825","0.227114397710503","10","MAPKAPK2"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.0016659388683587","0.0441392929296204","0.45505986738723","0.403668235676027","4.04870657791834","14","c(""DLD"", ""ACAT1"", ""PDK2"", ""ACLY"", ""PDHB"", ""PDHA1"", ""PDK4"", ""ACSS1"", ""PDHX"", ""ACSS2"", ""MPC2"", ""DLAT"", ""PDK3"", ""PDK1"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.0147215773181676","0.187734507015324","0.380730400722792","0.403406326034063","3.20928129037513","10","c(""DLD"", ""PDK2"", ""PDHB"", ""PDHA1"", ""PDK4"", ""PDHX"", ""MPC2"", ""DLAT"", ""PDK3"", ""PDK1"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.0759240759240759","0.46930193249559","0.159646701919906","0.155280689573985","2.16973975592121","24","c(""DLD"", ""ACAT1"", ""PDK2"", ""ACLY"", ""PDHB"", ""PDHA1"", ""PDK4"", ""ACSS1"", ""PDHX"", ""AASS"", ""PMVK"", ""ACACA"", ""HMGCS2"", ""ACSS2"", ""MPC2"", ""DLAT"", ""PDK3"", ""MVD"", ""PDK1"", ""ACACB"", ""ACOT12"", ""HMGCS1"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.166833166833167","0.690876649905481","0.102080107662747","0.0963265638886109","1.693981842629","36","c(""NTRK2"", ""ITGB1"", ""PSEN1"", ""SLC12A2"", ""GIPC1"")"
"7","GOBP_ACID_SECRETION","0.526473526473527","0.985521302747419","0.0432768714901103","0.0606306892067621","0.819330072977508","23","c(""PRKAA1"", ""ABAT"", ""SGK1"", ""SLC9A3R1"", ""PTGER3"", ""P2RX7"", ""KCNQ1"", ""CACNB4"", ""TFF2"", ""OXTR"", ""HTR1B"", ""CASR"", ""SV2A"", ""SLC6A1"", ""TRPV1"", ""OXT"", ""NF1"", ""DRD2"", ""CHRM5"", ""CCKBR"", ""TNF"", ""HRH2"", ""APBA1"")"
"8","GOBP_ACROSOME_REACTION","0.739260739260739","0.985521302747419","0.0270967423183296","0.0531285290362498","0.453656549363915","11","ABHD2"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.264735264735265","0.820980156207429","0.0760837160951725","0.0566400112369105","1.32933786482491","60","c(""RHOA"", ""FLNA"", ""PLEC"", ""BCAR1"", ""GSN"", ""MYH9"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.187812187812188","0.725976573002069","0.0949751525905595","0.0613006467673687","1.56391477446615","72","c(""ATP1A1"", ""ATP2A2"", ""FLNA"", ""ABCC9"", ""GSN"", ""SUN2"", ""MYH9"", ""AKAP9"", ""MYL6"", ""ACTN4"")"
"11","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.724275724275724","0.985521302747419","0.0281514818960232","0.0137488319305012","0.62769563149383","391","c(""ATP1A1"", ""PAM"", ""RHOA"", ""NCKAP1"", ""ATP2A2"", ""HSP90B1"", ""ITGB1"", ""ACTN1"", ""LRP1"", ""FLNA"", ""PLEC"", ""AQP1"", ""ARF1"", ""SETD3"", ""SFRP1"", ""IQGAP1"", ""ABCC9"", ""ITGB5"", ""BCAR1"", ""GSN"", ""SH3KBP1"", ""SUN2"", ""MYH9"")"
"12","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.154845154845155","0.667570975627848","0.106729884364606","0.219931051846519","1.74965181335296","10","c(""SUN2"", ""ACTN4"", ""MYO1D"", ""WASL"")"
"13","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.185814185814186","0.723376480865782","0.0956031492204301","0.0591299863712924","1.58052868533898","80","c(""RHOA"", ""HSP90B1"", ""ITGB1"", ""ACTN1"", ""FLNA"", ""SFRP1"", ""ITGB5"")"
"14","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.222777222777223","0.764728353407599","0.0852884689790502","0.105023573402699","1.46749620410574","24","c(""GSN"", ""WDR1"", ""CAPZA2"", ""FLII"", ""SPTBN1"", ""ADD3"", ""SPTAN1"", ""ADD1"", ""PPP1R9B"", ""CAPZB"", ""SPTBN4"", ""CFL2"", ""PLEKHH2"", ""PIK3CA"", ""CARMIL1"", ""CAPG"", ""SPTA1"", ""SEMA5A"", ""TWF1"", ""CAPZA1"", ""SVIL"", ""PLEK"", ""ADD2"", ""F2RL1"")"
"15","GOBP_ACTIN_FILAMENT_ORGANIZATION","0.682317682317682","0.985521302747419","0.0311335139616949","0.01628976964875","0.630187801195516","212","c(""RHOA"", ""NCKAP1"", ""HSP90B1"", ""ITGB1"", ""ACTN1"", ""FLNA"", ""PLEC"", ""ARF1"", ""SFRP1"", ""ITGB5"", ""BCAR1"", ""GSN"", ""SH3KBP1"")"
"16","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","0.350649350649351","0.900632543926662","0.0621124188949471","0.0515269845438094","1.15837962438042","55","c(""ATP1A1"", ""ATP2A2"", ""FLNA"", ""ABCC9"", ""GSN"", ""AKAP9"", ""MYL6"")"
"17","GOBP_ACTIN_NUCLEATION","0.00919170650243912","0.141718457882239","0.380730400722792","0.218065170183321","3.20290418485114","26","c(""NCKAP1"", ""ARF1"", ""GSN"", ""ARPC4"", ""ACTR3"", ""EVL"", ""WASF3"", ""WASF2"", ""WASL"", ""ARPC1B"", ""ARPC1A"", ""ABI2"", ""TRIM27"", ""WASHC5"", ""WAS"", ""IQGAP2"", ""ARPC5L"", ""WASHC4"", ""ARPC5"", ""ACTR2"", ""CORO1A"", ""WASF1"", ""CARMIL1"", ""CYFIP1"")"
"18","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","0.525474525474525","0.985521302747419","0.0433636987883266","0.0286372613561554","0.832101115041283","99","c(""RHOA"", ""NCKAP1"")"
"19","GOBP_ACTION_POTENTIAL","0.374625374625375","0.914824383449217","0.0589694466690997","0.040858846371357","1.08176879206119","78","c(""ATP1A1"", ""NTRK2"", ""ATP2A2"", ""FLNA"")"
"20","GOBP_ACTIVATED_T_CELL_PROLIFERATION","0.839160839160839","0.985521302747419","0.019974159565129","0.0180206187860482","0.339586723041125","41","c(""IGF2"", ""PRNP"", ""IL18"")"
"21","GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY","0.904095904095904","0.985521302747419","0.0148592627836833","0.0165665096637974","0.193432107979264","18","CALM3"
"22","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","0.713286713286713","0.985521302747419","0.0289274314524646","0.0476276613965759","0.499694190288075","15","c(""BAD"", ""CYFIP2"")"
"23","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS","0.825174825174825","0.985521302747419","0.0210003441275487","0.0149171488188085","0.344368153752693","58","c(""BAD"", ""BEX3"", ""RACK1"")"
"24","GOBP_ACTIVATION_OF_GTPASE_ACTIVITY","0.957042957042957","0.985521302747419","0.00966564348468499","0.00342409913582264","0.0653178196720852","42","TBC1D1"
"25","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","0.862137862137862","0.985521302747419","0.0182442460385585","0.00924328894463372","0.362140274740804","231","c(""PHB2"", ""CLU"")"
"26","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE","0.961038961038961","0.985521302747419","0.00918593980608508","0.00277324632952691","0.0550468756658291","45","c(""HSP90AA1"", ""CREBBP"", ""EP300"", ""NONO"", ""MAVS"", ""XRCC5"", ""STING1"", ""HCK"", ""TBK1"", ""SFPQ"", ""LYN"", ""TRIM5"", ""MNDA"", ""PRKDC"", ""PAK2"", ""RBM14"", ""IFI16"", ""SIN3A"", ""TYROBP"", ""TOMM70"", ""PAK3"", ""XRCC6"", ""KLRC3"", ""FFAR2"", ""KLRK1"", ""KLRD1"", ""CLEC7A"", ""SYK"", ""PLCG2"", ""CLEC6A"", ""ZBP1"", ""PAK1"", ""CGAS"", ""SRC"", ""PYCARD"", ""IKBKB"", ""MBL2"", ""MAP3K7"", ""TLR9"", ""TLR4"", ""FCN1"", ""NLRC4"", ""FYN"", ""TRAF6"", ""HMGB1"")"
"27","GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY","0.917082917082917","0.985521302747419","0.0137183520206939","0.0134972631729839","0.135374679904744","14","PRLR"
"28","GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY","0.955044955044955","0.985521302747419","0.00989821417740655","0.00405778282746305","0.0406986990140563","14","IRAK1"
"29","GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY","0.576423576423576","0.985521302747419","0.0391155247681459","0.0552337750369675","0.746399117739447","23","PHB2"
"30","GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY","0.444555444555445","0.969003041686748","0.051011413203915","0.0328890228836482","0.968734026088963","102","c(""PHB2"", ""INSR"", ""GAS6"", ""PRNP"", ""PINK1"", ""PRLR"", ""IL18"")"
"31","GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY","0.032967032967033","0.299391124682306","0.248911114434702","0.174411996892037","2.56173378932605","26","c(""INSR"", ""GAS6"", ""PINK1"", ""IL18"", ""PPIA"", ""PARK7"")"
"32","GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY","0.828171828171828","0.985521302747419","0.0207818350435559","0.0306818181818181","0.321903823185234","15","PRLR"
"33","GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY","0.738261738261738","0.985521302747419","0.0271669768425399","0.0310821806346623","0.493511784362411","30","c(""SMAD2"", ""CSNK2B"", ""TGFBR2"", ""SMAD7"", ""ACVR1B"", ""SMAD3"", ""MEN1"", ""SMAD4"", ""LEMD3"", ""INHBA"", ""TGIF2"", ""CITED2"", ""BMPR2"", ""ACVR1"", ""ACVR1C"", ""FST"", ""ACVR2B"", ""AMHR2"", ""ACVRL1"", ""FSTL3"", ""INHBB"", ""FGF9"", ""CER1"", ""GDF6"", ""SKI"", ""SHH"", ""ACVR2A"", ""TGFBR1"", ""FGF10"", ""NODAL"")"
"34","GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION","0.837162837162837","0.985521302747419","0.0201218228563507","0.0122616757221048","0.35844460828558","100","c(""RHOA"", ""ITGB1"", ""PLEC"", ""SFRP1"", ""ITGB5"", ""MYH9"")"
