"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.918081918081918","1","0.013628036219219","0.0342254663422547","0.115828123787299","10","c(""D2HGDH"", ""L2HGDH"", ""DLST"", ""KYAT3"", ""PHYH"", ""GOT2"", ""GOT1"", ""OGDH"", ""IDH2"", ""IDH1"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.444555444555445","0.796580307414188","0.051011413203915","0.315558347348454","1.067933770523","10","c(""YBX3"", ""MAPK14"", ""ZFP36"")"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.995004995004995","1","0.00323243877654383","0.000324622626197035","0.00113132762860603","14","c(""PDK3"", ""DLAT"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.763236763236763","0.982024105079268","0.025411808387565","0.121491911571787","0.411161093671324","10","c(""PDK3"", ""DLAT"", ""PDHB"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.995004995004995","1","0.00323243877654383","0.00032515038205172","0.00120147107180039","24","c(""PDK3"", ""DLAT"", ""ACOT12"", ""AASS"", ""HMGCS1"", ""PDHB"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.491508491508492","0.834937238298583","0.0464154956843849","0.261715748164845","1.01652330627255","36","c(""SLC1A1"", ""SLC38A2"", ""AVPR1B"", ""SLC25A12"", ""ATP1A2"", ""AVPR1A"")"
"7","GOBP_ACID_SECRETION","0.941058941058941","1","0.0114177828322783","0.0442169143700466","0.162897917726261","23","c(""SV2A"", ""CCKBR"", ""CACNB4"", ""TNF"", ""CHRM5"", ""TFF2"", ""CASR"", ""OXT"", ""SLC6A1"", ""OXTR"")"
"8","GOBP_ACROSOME_REACTION","0.343656343656344","0.712372321943154","0.0630790410571939","0.379450717089751","1.30504531760503","11","c(""ADCY3"", ""B4GALT1"")"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.0659340659340659","0.286747515432774","0.172324344900946","0.395236282903912","1.58502383261499","60","c(""PDGFRA"", ""GSN"", ""ABL1"", ""NTRK3"", ""SHC1"", ""TJP1"", ""ANXA1"", ""FGF10"", ""MDK"", ""NTF3"", ""ARHGDIB"", ""CSF3"", ""PTK7"", ""PIP5K1A"", ""AUTS2"", ""BCAR1"", ""NRP1"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.511488511488511","0.849575257365884","0.0445961615888961","0.246392505851345","0.995422258516633","72","c(""DSP"", ""GSN"", ""CAMK2D"", ""PDE4D"", ""PDPN"", ""STC1"", ""GATA4"", ""ABCC9"", ""KCNJ8"", ""CACNA1G"", ""CACNA1D"", ""JUP"")"
"11","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.214785214785215","0.553754228766038","0.0873098257637931","0.261972924223757","1.12403112300996","391","c(""ID1"", ""PDGFRA"", ""DSP"", ""CCL26"", ""GSN"", ""SMAD3"", ""LRP1"", ""ABL1"", ""NTRK3"", ""PDLIM1"", ""SHC1"", ""CCN2"", ""TMSB10"", ""CAMK2D"", ""CALD1"", ""SORBS1"", ""MRAS"", ""CCR7"", ""PDGFRB"", ""TJP1"", ""PTGER4"", ""BCL6"", ""ANXA1"", ""LPAR1"", ""JAM3"", ""TMSB4X"", ""EFNA5"", ""PDE4D"", ""PDPN"", ""STC1"", ""GATA4"", ""EPB41L2"", ""SMTNL2"", ""CXCL12"", ""FGF10"", ""SVIL"", ""ARRB1"", ""TGFBR1"", ""PLEKHH2"", ""ABCC9"", ""SNX9"", ""MYL2"", ""ARPC1B"", ""KCNJ8"", ""CACNA1G"", ""PRKAR1A"", ""SRC"", ""MDK"", ""NTF3"", ""NISCH"", ""JAK2"", ""TRIM27"", ""CCL24"", ""IKBKB"", ""PDLIM2"", ""ARHGDIB"", 
""DIAPH1"", ""CAPZB"", ""SDCBP"", ""CFLAR"", ""CSF3"", ""ACTN1"", ""ROCK2"", ""CACNA1D"", ""JUP"", ""PTK7"", ""PIP5K1A"", ""AUTS2"", ""ANKRD1"", ""BCAR1"", ""PPARGC1B"", ""WNT4"", ""NRP1"", ""PXN"", ""SYNPO2"", ""EHBP1L1"", ""PLA2G1B"", ""RHOC"", ""FHOD1"", ""CDC42EP3"", ""ODAM"", ""MARCKSL1"", ""RGS4"")"
