"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.519480519480519","1","0.0438879842863647","0.238442822384428","0.854540495762871","10","c(""IDH1"", ""D2HGDH"", ""L2HGDH"", ""KYAT3"", ""GOT1"", ""IDH2"", ""GOT2"", ""DLST"", ""PHYH"", ""OGDH"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.781218781218781","1","0.0241447930798382","0.0939172749391728","0.336584317718845","10","c(""ZFP36"", ""MAPK14"", ""MYD88"")"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.927072927072927","1","0.0127958872528513","0.0332738191851972","0.123363759876246","14","c(""MPC2"", ""PDK1"", ""ACAT1"", ""PDK3"", ""PDHA1"", ""ACLY"", ""DLD"", ""PDHX"", ""DLAT"", ""PDHB"", ""ACSS2"", ""PDK4"", ""PDK2"", ""ACSS1"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.88011988011988","1","0.016838053046391","0.0480129764801298","0.172070739282864","10","MPC2"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.971028971028971","1","0.0078803141868031","0.0159323687205333","0.0617986340908489","24","c(""MPC2"", ""HMGCS1"", ""PMVK"", ""TDO2"", ""PDK1"", ""HMGCS2"", ""ACAT1"", ""PDK3"", ""ACOT12"", ""MVD"", ""PDHA1"", ""ACLY"", ""DLD"", ""ACACA"", ""PDHX"", ""DLST"", ""DLAT"", ""PDHB"", ""ACSS2"", ""AASS"", ""PDK4"", ""PDK2"", ""ACSS1"", ""ACACB"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.739260739260739","1","0.0270967423183296","0.166156526059517","0.660138539690989","36","c(""SLC1A3"", ""NF1"", ""P2RX7"", ""GRM1"", ""DTNBP1"")"
"7","GOBP_ACID_SECRETION","0.413586413586414","1","0.0543434390269162","0.296053878565405","1.14353846152884","23","c(""SGK1"", ""NF1"", ""P2RX7"", ""KCNQ1"", ""HRH2"", ""APBA1"", ""PTGER3"", ""CASR"", ""CCKBR"", ""TFF2"", ""HTR1B"")"
"8","GOBP_ACROSOME_REACTION","0.755244755244755","1","0.0259735747969448","0.10853076857998","0.394451608900353","11","c(""B4GALT1"", ""RIMS1"", ""SPINK1"", ""ZP3"")"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.200799200799201","0.738021574385211","0.0911073131586733","0.320295871855926","1.32866060272716","60","c(""PARVG"", ""CSF1R"", ""HCK"", ""PLEK"", ""FES"", ""GRB2"", ""PAK1"", ""ARHGDIB"", ""PTK2B"", ""NRP1"", ""AUTS2"", ""DTNBP1"", ""CXADR"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.931068931068931","1","0.0124136372369971","0.0951786550770055","0.398411780304926","72","c(""WAS"", ""MYO9B"", ""WIPF1"", ""MYO5A"", ""PDE4B"", ""KCNQ1"", ""DSC2"")"
"11","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.155844155844156","0.648321191004118","0.106323255932708","0.260910475536479","1.17298386101772","391","c(""TYROBP"", ""PARVG"", ""CSF1R"", ""CORO1A"", ""EPB41L3"", ""MARCKS"", ""HCK"", ""DOCK2"", ""NCKAP1L"", ""EHBP1L1"", ""WAS"", ""SRGAP2"", ""TMSB4X"", ""TMSB10"", ""PRKCD"", ""AIF1"", ""PLEK"", ""MYO9B"", ""BST2"", ""PTGER4"", ""PSTPIP1"", ""EVL"", ""MEF2A"", ""COTL1"", ""WIPF1"", ""ARPC1B"", ""LCP1"", ""PYCARD"", ""FES"", ""ZYX"", ""SSH2"", ""GRB2"", ""VASP"", ""ARRB1"", ""SDCBP"", ""MYO5A"", ""PFN1"", ""RHOH"", ""LRP1"", ""PAK1"", ""PREX1"", ""CAPG"", ""RHOG"", ""TGFBR1"", ""CXCL12"", ""ARHGDIB"", ""PTK2B"", ""ARPC4"", ""NF1"", ""CAP1"", ""EPB41L2"", ""PDE4B"", ""BCL2"", ""FMNL3"", ""ARF6"", ""ODAM"", ""CNN2"", 
""KCNQ1"", ""IL1A"", ""NRP1"", ""MYLK3"", ""CYFIP1"", ""FGD4"", ""INPPL1"")"
"12","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.829170829170829","1","0.0207088406492443","0.0749431923518559","0.268584275701769","10","MYO5A"
"13","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.361638361638362","0.959563528353028","0.060640400949416","0.27025682997987","1.13531937361625","80","c(""MARCKS"", ""WAS"", ""AIF1"", ""PLEK"", ""PTGER4"", ""EVL"", ""LCP1"", ""ZYX"", ""ARRB1"", ""PFN1"", ""PAK1"", ""TGFBR1"", ""PTK2B"")"
"14","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.663336663336663","1","0.0325057651164641","0.175387406758944","0.680294459948706","24","c(""PLEK"", ""CAPG"", ""SPTA1"", ""CAPZA2"", ""CAPZB"", ""FLII"", ""CAPZA1"", ""F2RL1"")"
"15","GOBP_ACTIN_FILAMENT_ORGANIZATION","0.134865134865135","0.60335566073271","0.115734447701689","0.287847701323495","1.26885597459952","212","c(""CORO1A"", ""MARCKS"", ""HCK"", ""NCKAP1L"", ""WAS"", ""TMSB4X"", ""TMSB10"", ""PRKCD"", ""AIF1"", ""PLEK"", ""PTGER4"", ""PSTPIP1"", ""EVL"", ""COTL1"", ""WIPF1"", ""ARPC1B"", ""LCP1"", ""PYCARD"", ""ZYX"", ""SSH2"", ""GRB2"", ""VASP"", ""ARRB1"", ""MYO5A"", ""PFN1"", ""RHOH"", ""PAK1"", ""PREX1"", ""CAPG"", ""RHOG"", ""TGFBR1"", ""CXCL12"", ""PTK2B"", ""ARPC4"")"
"16","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","0.99000999000999","1","0.00458288223817775","0.00931372549019605","0.0385250089799879","55","c(""PDE4B"", ""KCNQ1"", ""DSC2"", ""BIN1"", ""SHTN1"", ""PDPN"")"
"17","GOBP_ACTIN_NUCLEATION","0.148851148851149","0.632733310303404","0.109250039480711","0.419017760281254","1.6281275862575","26","c(""CORO1A"", ""WAS"", ""EVL"", ""ARPC1B"", ""ARPC4"", ""CYFIP1"", ""TRIM27"", ""WASF2"")"
"18","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","0.00799606567442321","0.0815748157962652","0.380730400722792","0.419677698176101","1.79332168038101","99","c(""CORO1A"", ""HCK"", ""NCKAP1L"", ""WAS"", ""TMSB4X"", ""TMSB10"", ""PRKCD"", ""AIF1"", ""PLEK"", ""PSTPIP1"", ""EVL"", ""COTL1"", ""WIPF1"", ""ARPC1B"", ""PYCARD"", ""SSH2"", ""GRB2"", ""VASP"", ""PFN1"", ""PREX1"", ""CAPG"", ""CXCL12"", ""PTK2B"", ""ARPC4"", ""ARF6"", ""CYFIP1"", ""SPTA1"", ""NCK2"", ""JAK2"", ""RAC1"", ""CCL24"", ""BIN1"")"
