"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.83016983016983","1","0.020635764771317","0.270477317828816","0.674039183153659","10","c(""IDH1"", ""PHYH"", ""KYAT3"", ""OGDH"", ""GOT2"", ""GOT1"", ""IDH2"", ""L2HGDH"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.554445554445554","1","0.0409055783172035","0.386317706141173","0.962717588208243","10","c(""ANGEL2"", ""TARDBP"", ""MYD88"", ""ELAVL1"")"
"3","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.49050949050949","1","0.0465084048719156","0.39526144136694","1.02789815125954","14","c(""ACSS1"", ""ACSS2"", ""DLAT"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","0.969030969030969","1","0.00815591848796014","0.152338489776375","0.379632983778392","10","c(""DLAT"", ""PDHB"", ""PDHX"", ""PDK3"", ""DLD"", ""PDK2"", ""PDHA1"", ""MPC2"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.677322677322677","1","0.0314928902471297","0.317348294226349","0.887658570646942","24","c(""ACSS1"", ""ACSS2"", ""ACACB"", ""DLAT"", ""MVD"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.040959040959041","0.48704672234084","0.222056046145248","0.468946054041784","1.38186854442419","36","c(""P2RX7"", ""SLC1A3"", ""ATP1A2"", ""SLC6A1"", ""ADORA1"", ""GIPC1"", ""PSEN1"", ""SLC9A3R1"", ""TRPV1"", ""NTRK2"", ""SLC7A11"", ""AVP"", ""HRH3"", ""GRM7"", ""SNCA"", ""APBA1"", ""GJA1"")"
"7","GOBP_ACID_SECRETION","0.226773226773227","0.920193056388467","0.0843144320642653","0.432267668162876","1.20236574278203","23","c(""P2RX7"", ""SLC6A1"", ""SLC9A3R1"", ""TRPV1"", ""DRD2"", ""OXT"", ""APBA1"", ""PRKAA1"", ""KCNQ1"", ""OXTR"")"
"8","GOBP_ACROSOME_REACTION","0.91008991008991","1","0.0143399359768684","0.210556659062622","0.531891274136081","11","c(""RIMS1"", ""PLA2G10"", ""STXBP1"", ""ADCY3"", ""PRND"", ""PLCB1"", ""SPINK1"")"
"9","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.931068931068931","1","0.0124136372369971","0.237000578236032","0.728413561028882","60","c(""RAPGEF3"", ""TNIK"", ""GAB1"", ""CTTN"", ""RICTOR"", ""RALA"", ""CDC42BPB"", ""AUTS2"", ""GSN"", ""PTPN1"", ""SEMA3E"", ""FER"", ""PTK7"", ""ANXA1"", ""TEK"", ""CXADR"", ""CDK5"", ""SIPA1L1"", ""BCAR1"", ""NOTCH2"", ""IQGAP2"", ""CCL27"", ""CARMIL1"", ""HRAS"", ""PLEC"", ""PHACTR1"", ""F11R"")"
"10","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.220779220779221","0.91288862652499","0.0857844408075645","0.363386069130677","1.13485677366456","72","c(""SUN2"", ""BIN1"", ""SHTN1"", ""DLG1"", ""ATP1A2"", ""MYO6"", ""ADORA1"", ""MYO9B"", ""KCNJ2"", ""AKAP9"", ""PIK3CA"", ""PDE4B"", ""RYR2"", ""GSN"", ""CAV1"", ""CACNA2D1"", ""CACNA1D"", ""JUP"", ""MYO5A"", ""TNNC1"", ""ACTN4"", ""GJA1"", ""ATP1A1"", ""KCNQ1"", ""NUP155"", ""MYL6B"", ""MYO1D"", ""WIPF2"", ""TNNT2"", ""NOS1AP"", ""CACNB2"", ""FGF13"", ""CCDC88C"", ""MYO1E"", ""WIPF3"")"
