gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
PRMT6,-2.856316095,4.913245896,-5.781067718,1.56101881005166e-07,0.00061572,7.044662405,Metabolism (other)
FBXL22,-2.69206458,5.268110758,-5.762847241,1.68275402260454e-07,0.00061572,6.978269946,NA
MRPL41,-2.605616149,4.935156619,-5.588712521,3.43472503429667e-07,0.000790268,6.324746021,NA
TTC32,-2.55215975,4.936287962,-5.532358973,4.31958638294091e-07,0.000790268,6.117273777,NA
RARRES2,-2.21935098,5.411912463,-5.329669936,9.77997202268411e-07,0.001290646,5.408682546,NA
ZIC5,-2.260043788,5.829569661,-5.309964115,1.0581958513629e-06,0.001290646,5.353097047,Development (differentiation)
FRAT1,-2.355688303,5.002857648,-5.197096991,1.65815833587279e-06,0.001474073,4.901661426,NA
INO80B,-2.436230134,4.77849154,-5.193907277,1.67924338899562e-06,0.001474073,4.890505245,NA
AC129492.1,-2.476581886,4.65696651,-5.174560031,1.81288037069296e-06,0.001474073,4.814398121,NA
MYL6,-2.005648939,5.709157483,-5.07361451,2.69795528056023e-06,0.001786825,4.497740673,NA
ABHD11,-2.217733735,5.286796098,-5.04225566,3.05054856272443e-06,0.001786825,4.364763624,Metabolism or Transport (lipid)
MAGEF1,-2.357516358,4.795197746,-5.038166604,3.09972482331365e-06,0.001786825,4.333733452,NA
FAM50B,-2.440995872,4.690763001,-5.026636391,3.24260368342754e-06,0.001786825,4.290296499,NA
MTRF1L,-2.381812207,5.135432751,-5.013116047,3.41835924561095e-06,0.001786825,4.25304067,NA
RBM15,-2.114426492,5.677362795,-4.970409079,4.03691806241533e-06,0.001969478,4.123850075,NA
PNMA1,-2.253113507,4.583233374,-4.933668418,4.65556481389995e-06,0.002129339,3.966930685,NA
TTR,-1.987351708,5.77572663,-4.900721721,5.28841953462506e-06,0.002276509,3.881299721,NA
SOWAHC,-2.167406374,5.889968097,-4.852820969,6.36069499511211e-06,0.002476529,3.710028626,NA
HIST2H2AC,-2.115610814,4.820171853,-4.850006364,6.42990645480407e-06,0.002476529,3.676063433,NA
FAM84B,-2.111436101,5.706036104,-4.815150954,7.35031171603905e-06,0.002682726,3.576058494,NA
KCNJ13,-2.241427949,4.836114664,-4.797353321,7.86861799492538e-06,0.002682726,3.507234048,Transport
HIST1H2BB,-2.156581766,4.863014106,-4.790905753,8.06503996616014e-06,0.002682726,3.471838881,NA
ID1,-2.198951192,4.706174876,-4.722871385,1.04516972937357e-05,0.003211616,3.236973745,NA
SLC35G6,-2.229695946,5.166475798,-4.717155584,1.06809672588645e-05,0.003211616,3.224523988,NA
DMPK,-1.803134902,6.363219961,-4.710078476,1.09716330762765e-05,0.003211616,3.191881693,NA
DNAJC14,-1.85100044,6.107712913,-4.696362154,1.15570635930157e-05,0.003252869,3.15148601,NA
CCDC115,-1.903650864,5.845447246,-4.667918513,1.2869567185603e-05,0.003488129,3.063689594,NA
LRIT2,-2.325072465,4.941022302,-4.650678278,1.37345196859481e-05,0.003589615,2.99037521,NA
CLDND2,-2.038144546,5.157130009,-4.627087088,1.50102500099799e-05,0.003663867,2.921462459,NA
MED19,-2.107752264,5.601276572,-4.624995309,1.51287714030841e-05,0.003663867,2.915486292,NA
EEF1A1,-1.882368895,5.962750901,-4.618191296,1.5520616934841e-05,0.003663867,2.890397781,NA
RPL18A,-2.157148273,5.239403481,-4.593876562,1.70031675724082e-05,0.003777312,2.807250858,NA
RPL32,-1.956368871,5.085818411,-4.572426618,1.84245836561267e-05,0.003777312,2.734978116,NA
NIP7,-2.217528479,5.061223705,-4.566859498,1.88119670621056e-05,0.003777312,2.713065393,NA
RBM15B,-1.894643501,5.628693394,-4.563249814,1.90673590396679e-05,0.003777312,2.703909647,NA
MISP3,-2.05659176,5.267376218,-4.553469512,1.97763712052857e-05,0.003777312,2.669070176,NA
PHF23,-1.908644562,5.882793846,-4.534060217,2.12600206691072e-05,0.003777312,2.602790869,NA
CRYAB,-1.625685605,6.035429822,-4.533361966,2.13153602324349e-05,0.003777312,2.588837818,NA
CCDC24,-2.115662402,5.146359224,-4.532910336,2.13512284493719e-05,0.003777312,2.598483835,NA
TMEM158,-2.066245209,4.770795092,-4.532670286,2.13703169312474e-05,0.003777312,2.594995295,NA
ERMN,-1.980414833,5.349994873,-4.52240076,2.22026308276646e-05,0.003777312,2.56545779,NA
NDUFA6,-1.942336033,5.319963605,-4.519193898,2.24689225761902e-05,0.003777312,2.553873473,NA
C1GALT1C1,-2.13234847,5.046873773,-4.518952723,2.24890741323713e-05,0.003777312,2.551757752,Inflammation/Immune/Stress/Toxic/Detox
CCDC96,-1.794293386,5.402681562,-4.516306214,2.27113605561028e-05,0.003777312,2.544827937,NA
PPP1R1B,-1.827611876,5.76192482,-4.488427644,2.51863062403653e-05,0.004095853,2.446241149,Metabolism (other)
GADD45A,-1.837680007,5.83809435,-4.477658998,2.62107204629852e-05,0.004136666,2.410165478,NA
RP4-583P15.14,-2.067762172,5.358181135,-4.474000911,2.65678189976631e-05,0.004136666,2.402111156,NA
NRN1L,-2.171920535,5.283761094,-4.40294765,3.45163601859496e-05,0.005262307,2.164496099,Development (differentiation)
C19orf43,-2.027551024,5.031903623,-4.397049695,3.52710799476372e-05,0.005267628,2.144312853,NA
CENPB,-2.015619344,5.256872891,-4.391036362,3.60570054353073e-05,0.005277303,2.124896048,NA
TMEM107,-2.267673761,4.786582507,-4.363920081,3.98166519238823e-05,0.005713299,2.032735404,NA
IER3,-2.047107981,4.893111163,-4.354369989,4.12289854619745e-05,0.005802187,2.003443923,Development (apoptosis)
EIF1AD,-2.180640603,5.090911728,-4.343082418,4.29608191135705e-05,0.005931835,1.966367836,NA
BCL10,-2.039401856,5.928101789,-4.334336642,4.43508457957443e-05,0.005932568,1.930654972,NA
ATP6V0B,-2.105403154,4.795551685,-4.332307119,4.46795762478423e-05,0.005932568,1.929765312,NA
AL513523.2,-2.013218948,4.883238132,-4.327920462,4.53981718425225e-05,0.005932568,1.915999537,NA
RNF19B,-1.372995878,6.626539474,-4.312585196,4.79991785825578e-05,0.006073412,1.804716015,NA
SOX2,-2.064040349,4.630189145,-4.311801973,4.81358169129131e-05,0.006073412,1.862391714,Development (differentiation)
FABP5,-1.920697305,5.234462443,-4.303363168,4.96320762577606e-05,0.00615606,1.835316586,Metabolism or Transport (lipid)
FZD7,-1.875528783,5.179763824,-4.279154163,5.4178196219232e-05,0.006500947,1.755747858,Development (differentiation)
C1orf122,-1.856681197,4.949100979,-4.279097135,5.41893659969736e-05,0.006500947,1.754891084,NA
HSPB2-C11orf52,-1.483555614,6.052261012,-4.268523045,5.62993634878531e-05,0.006642319,1.693819435,NA
ESYT1,-1.446343762,7.072163794,-4.262488874,5.75387815061824e-05,0.006642319,1.630820555,Metabolism or Transport (lipid)
GLTPD2,-1.936388378,4.954693936,-4.259841695,5.80907896175929e-05,0.006642319,1.692521593,NA
SIX3,-1.89377813,5.197723815,-4.243538485,6.16048829224268e-05,0.006761434,1.638336043,Development (differentiation)
MRPL38,-1.752738334,5.973747961,-4.236906842,6.30922691042152e-05,0.006761434,1.600238753,NA
ULBP3,-1.682484178,5.410550637,-4.233172818,6.39449507563387e-05,0.006761434,1.59873213,Inflammation/Immune/Stress/Toxic/Detox
