gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
JUND,-2.060683814,7.165899188,-8.467860008,1.78039912654897e-10,1.55464451730256e-06,13.83799738,Development (apoptosis)
DBP,-1.768929759,7.444176396,-7.683999823,2.05930580226572e-09,8.99092913269214e-06,11.47486119,NA
HIST1H3G,-2.917415723,4.841379487,-7.510072893,3.5737448790416e-09,9.67973305832066e-06,10.60659827,NA
RP11-599B13.6,-1.689769906,7.445809781,-7.395897583,5.13909987267896e-09,9.67973305832066e-06,10.57980101,NA
ZNF503,-2.33186313,6.23717144,-7.372177817,5.54267811401778e-09,9.67973305832066e-06,10.47821751,NA
PTMA,-1.72656811,7.262703135,-7.268962107,7.70566791799876e-09,1.12143153766609e-05,10.19420052,NA
GPSM3,-1.954173095,6.783614869,-7.183115246,1.01410937835469e-08,1.26502901311331e-05,9.937155747,NA
PCBP1,-1.94914115,5.992505965,-7.045094877,1.57875896490888e-08,1.4471513634339e-05,9.482599967,NA
ADRB1,-2.58341321,5.434845001,-7.033244401,1.64000920104692e-08,1.4471513634339e-05,9.37393867,NA
TSEN34,-1.569883593,7.286116835,-7.029657001,1.65901831501654e-08,1.4471513634339e-05,9.446784479,NA
NAB2,-1.755219006,6.784595187,-7.000320287,1.82302622512286e-08,1.4471513634339e-05,9.373256541,NA
PER1,-1.491903078,7.42310214,-6.944071373,2.184523744195e-08,1.50219177989397e-05,9.169095997,NA
C19orf81,-2.132266245,5.636798943,-6.936774097,2.23642844006202e-08,1.50219177989397e-05,9.117356391,NA
ING1,-1.454351804,7.488786267,-6.857423109,2.88759643198339e-08,1.7395795203837e-05,8.887983836,NA
EGLN2,-1.671608253,6.761612191,-6.792217732,3.56323978255705e-08,1.7395795203837e-05,8.727949354,NA
H3F3B,-1.849053961,6.782306246,-6.791272173,3.57412583668062e-08,1.7395795203837e-05,8.726003598,NA
HIST1H2AM,-2.782677636,4.730664875,-6.778185303,3.72827040679289e-08,1.7395795203837e-05,8.477405193,NA
HIST1H3D,-2.415802597,5.13366252,-6.766231906,3.87489516685065e-08,1.7395795203837e-05,8.537419109,NA
