gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
ZIC1,1.873788734,8.016363567,8.650856722,1.01486746882349e-10,8.86182273776671e-07,14.30732044,Development (differentiation)
ZIC4,2.22959783,6.819272149,7.816644226,1.35498914579213e-09,4.24915224831132e-06,11.73244357,NA
GATA6,1.73096427,6.87749235,7.792983601,1.45985533038639e-09,4.24915224831132e-06,11.70122692,NA
FOXC1,2.277790791,5.628843894,7.170919285,1.05450416018236e-08,2.3019825816781e-05,9.698697889,Development (differentiation)
FOXC1,2.277790791,5.628843894,7.170919285,1.05450416018236e-08,2.3019825816781e-05,9.698697889,Metabolism (other)
FOXL1,2.599150948,5.136434035,7.071962921,1.4482767976184e-08,2.48768782398486e-05,9.329243178,Development (differentiation)
MRGPRF,2.032170323,6.031545933,7.00809455,1.77803801379155e-08,2.48768782398486e-05,9.264272182,NA
ADAMTS1,2.186930412,6.041269507,6.934246563,2.25469423003248e-08,2.48768782398486e-05,9.049549565,NA
TNS4,1.849287554,6.522880009,6.930895089,2.27914596792017e-08,2.48768782398486e-05,9.092638836,Matrisome/cell adhesion/binding/signaling
TNS4,1.849287554,6.522880009,6.930895089,2.27914596792017e-08,2.48768782398486e-05,9.092638836,Motility
PRELP,1.795236096,6.381748288,6.812192613,3.34090057995878e-08,3.24141598491112e-05,8.72025805,NA
HSPB2-C11orf52,1.864878902,6.431719881,6.755960141,4.00551309603557e-08,3.49761403545826e-05,8.56687945,NA
BMP4,1.908104388,6.269623051,6.652386885,5.59704597398046e-08,4.44303685861794e-05,8.217936469,NA
CRYAB,1.81837015,6.414596723,6.596464046,6.70649560006004e-08,4.88009329831036e-05,8.083970775,NA
FOXC2,2.34418256,4.897458004,6.248832514,2.06867582909642e-07,0.000138951,6.86671528,Development (differentiation)
FOXC2,2.34418256,4.897458004,6.248832514,2.06867582909642e-07,0.000138951,6.86671528,Metabolism (other)
PKDCC,1.613991465,6.624497933,6.057121094,3.85386021002066e-07,0.000240371,6.449663902,NA
C11orf52,1.834712095,5.602704393,6.022637682,4.31028017771533e-07,0.000250916,6.28668421,NA
MXRA8,1.923916628,5.626044672,5.917913522,6.05502636685378e-07,0.000312255,5.963791569,NA
ID1,2.198838561,5.139232324,5.916687218,6.07917017938859e-07,0.000312255,5.91837088,NA
ARHGAP23,1.280378181,7.71486035,5.891126456,6.60489574437025e-07,0.000316518,5.941522018,NA
NR2F1,1.738522751,6.380370529,5.863843424,7.21623204564015e-07,0.000316518,5.852973935,Development (differentiation)
OSR1,1.827219499,5.796304001,5.862421061,7.2496093914727e-07,0.000316518,5.818072972,Development (differentiation)
PEX11A,1.920940714,5.472301994,5.833561976,7.96111707842031e-07,0.000331031,5.708440737,NA
SIX1,1.844799239,6.102914707,5.815759025,8.43438046301129e-07,0.000334768,5.697719382,Development (differentiation)
ID4,2.055473821,5.344136529,5.730202603,1.11310079346072e-06,0.000422591,5.38933099,NA
PPP2R1B,1.342964345,7.054418336,5.62655838,1.5572743416283e-06,0.000566588,5.13608988,Metabolism (other)
C19orf81,1.725759084,5.636798943,5.6059855,1.66453228126083e-06,0.000581388,5.04120756,NA
FOXF2,1.803272229,5.507039737,5.487599607,2.44116827208294e-06,0.000803833,4.686527365,Development (differentiation)
TMOD1,1.08953353,8.167616769,5.477164934,2.52488730306312e-06,0.000803833,4.630815101,NA
ZIC5,1.614062629,6.21345991,5.470773845,2.57756828513021e-06,0.000803833,4.658141961,Development (differentiation)
PTGDR,1.747679306,5.279781367,5.446470575,2.78807538575308e-06,0.000839499,4.531594014,Inflammation/Immune/Stress/Toxic/Detox
AMOTL2,1.463582213,6.885783732,5.425050957,2.98773123436374e-06,0.000869629,4.522754222,NA
FBLIM1,1.518614404,6.149656016,5.279029308,4.78382819012762e-06,0.001347496,4.079863326,NA
SFRP2,1.629405515,5.395552424,5.209006547,5.99203133275282e-06,0.001635076,3.842360579,Development (differentiation)
TMEM256,1.600084867,5.927677368,5.191892177,6.33069150355773e-06,0.001653736,3.81926502,NA
PDGFRB,1.329097973,7.383959345,5.1866008,6.43919008758407e-06,0.001653736,3.785993576,Development (differentiation)
CNN3,1.307426658,6.677143522,5.171982728,6.74860895204047e-06,0.001683682,3.761936535,NA
TMEM100,1.724849299,5.234009329,5.140733703,7.4603610129944e-06,0.001809552,3.641495123,NA
STRA6,1.385368133,6.67194888,5.125901075,7.8237656883421e-06,0.001846409,3.619760745,Transport
NFATC4,1.476105147,6.503346775,5.110368432,8.22313164097097e-06,0.001889589,3.578541843,NA
SIX5,1.606736353,6.554592509,5.096583728,8.59443416655525e-06,0.001924272,3.536413344,Development (differentiation)
CRYGN,1.600687201,5.811845114,5.068350696,9.40753815701251e-06,0.002053666,3.44857274,NA
