gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
HIST1H2BI,3.105210955,4.639433846,7.714045217,1.87276293464944e-09,9.29373702427758e-06,10.8218911,NA
HIST1H2AM,3.108849361,4.730664875,7.673524637,2.12866170963756e-09,9.29373702427758e-06,10.77299564,NA
HIST1H3J,2.584040749,5.231916452,7.347908885,5.98869655401143e-09,1.74310994365426e-05,9.992161201,NA
HIST1H3G,2.7962951,4.841379487,7.188357615,9.972281448002e-09,1.90988854170008e-05,9.42357363,NA
ZIC1,-2.250173679,8.016363567,-7.159551244,1.09361460243935e-08,1.90988854170008e-05,9.603868853,Development (differentiation)
RHBDF2,1.684777824,7.624855308,6.749261708,4.09306574084531e-08,5.62906974764827e-05,8.592822619,NA
ACSL1,1.329151262,7.876632913,6.719045179,4.51253873494478e-08,5.62906974764827e-05,8.503111708,Metabolism or Transport (lipid)
HLA-DMB,2.709548961,4.861167962,6.007099229,4.53324256901293e-07,0.000494803,6.098386527,Inflammation/Immune/Stress/Toxic/Detox
RP1-34B20.21,1.986600713,5.764418711,5.723424617,1.1378259278667e-06,0.001103944,5.371629294,NA
PCBP1,1.720835096,5.992505965,5.568521295,1.87910355215303e-06,0.001640833,4.922869659,NA
CD86,1.314878554,7.005835186,5.508538665,2.28141326807635e-06,0.001811027,4.77759543,Inflammation/Immune/Stress/Toxic/Detox
PSMB9,1.443405694,6.761576901,5.442740115,2.82186741316888e-06,0.001858683,4.577041234,Metabolism (other)
TAP1,1.694352199,6.211886397,5.412705315,3.10920044591579e-06,0.001858683,4.473821111,NA
HIST1H3D,2.077868265,5.13366252,5.41041884,3.13223017705656e-06,0.001858683,4.374683869,NA
ZIC4,-2.284566551,6.819272149,-5.381504363,3.43851640084281e-06,0.001858683,4.245242478,NA
JUND,1.436674507,7.165899188,5.371706412,3.54891568952224e-06,0.001858683,4.356141738,Development (apoptosis)
DUSP10,1.364325032,7.520399744,5.365676723,3.61859939291868e-06,0.001858683,4.328829739,NA
H2AFX,1.792131361,5.853467934,5.298160947,4.49807595972219e-06,0.002164192,4.114968699,NA
