"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.591408591408591","0.935762385090391","0.0379271467108098","0.111658708614195","0.673757421731111","10","c(""IDH2"", ""MRPS36"", ""IDH1"", ""PHYH"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.448551448551449","0.902850624815407","0.0506004243853618","0.155594433660532","0.938869039055901","10","c(""ZFP36L2"", ""TARDBP"", ""KHSRP"")"
"3","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.69030969030969","0.9613760275714","0.0305608138615649","0.0791846284683212","0.503422215421017","11","c(""MYD88"", ""HNRNPA0"", ""ELAVL1"", ""ANGEL2"", ""TARDBP"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.467532467532468","0.902878575495032","0.048701086452153","0.122630811138498","0.897572830399112","15","c(""PDHB"", ""PDK4"", ""PDHA1"", ""MPC2"", ""ACSS1"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.622377622377622","0.944517960224766","0.0355420211253902","0.0728914233963153","0.654487073566031","24","c(""PDHB"", ""PDK4"", ""PDHA1"", ""MPC2"", ""ACSS1"", ""HMGCS1"", ""MLYCD"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.0829170829170829","0.670903870903871","0.152144922367565","0.246590994431698","2.12199270401912","22","c(""CLN8"", ""ABAT"", ""SLC25A13"", ""PER2"", ""NTRK2"", ""STXBP1"", ""GIPC1"", ""DTNBP1"", ""SLC25A12"", ""SLC1A4"")"
"7","GOBP_ACROSOME_REACTION","0.392607392607393","0.884556303911143","0.0567672387487446","0.162003013416637","1.02994631024519","11","c(""PRND"", ""PCSK4"", ""STX2"", ""TRIM36"", ""RAB3A"", ""ABHD2"", ""B4GALT1"")"
"8","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.569430569430569","0.93046358985388","0.0396787203613389","0.0708622839918474","0.80953984993741","53","c(""CLDN3"", ""CCL27"", ""S1PR1"", ""CLDN19"", ""WHAMM"", ""ARHGDIA"", ""CDK5"", ""EFS"", ""PHPT1"", ""GPR65"")"
"9","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.00312634456219275","0.211712145820991","0.431707695803346","0.27856602703888","3.01405455390189","44","c(""PIK3CA"", ""ACTN4"", ""MYO5A"", ""MYO1C"", ""MYO9B"", ""SYNE2"", ""PDPN"", ""SUN2"", ""FLNA"", ""PARVA"", ""MYO5C"")"
"10","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.00342232654129544","0.224732776211734","0.431707695803346","0.126927671495382","2.03056720226502","339","c(""CLDN3"", ""CNN2"", ""CFL2"", ""CCL27"", ""TESK1"", ""S1PR1"", ""CLDN19"", ""KLHL17"", ""PDGFRB"", ""ARF6"", ""SIX4"", ""KCTD13"", ""MSRB1"", ""RHOB"", ""CDK5R1"", ""SERPINF2"", ""CATIP"", ""WHAMM"", ""ARHGDIA"", ""RND2"", ""SYNPO"", ""CDK5"", ""PACSIN2"", ""TWF1"", ""CALR"", ""FOXJ1"", ""SPTBN1"", ""EFS"", ""TPM1"", ""CAP1"", ""PHPT1"", ""GPR65"", ""BRK1"", ""SDC4"", ""MLST8"", ""GJA1"", ""PFN1"", ""RHOBTB2"", ""TCAP"", ""LIMK2"", ""TWF2"", ""TRIOBP"", ""ABL1"", ""SMAD4"", ""BCL6"", ""ADRA2A"", ""SMAD3"", ""ASAP3"", ""FERMT2"", ""KCNE2"", ""C9orf72"", ""RHOD"", ""AQP1"", ""ACTR2"", ""SH3D21"", ""ACTG1"", 
""INPP5K"", ""HRAS"", ""PDLIM4"", ""NCKAP1"", ""SORBS3"", ""ARF1"", ""CORO1C"", ""ITPKA"", ""EZR"", ""KANK1"", ""DLG1"", ""DBNL"", ""SLC9A3R1"", ""PPP1R9B"", ""NISCH"", ""DSP"", ""ID1"")"
