"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.782217782217782","1","0.0240742072753014","0.30696367096189","0.773509129271038","10","c(""IDH2"", ""MRPS36"", ""PHYH"", ""GOT1"")"
"2","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.952047952047952","1","0.0102389179310485","0.151019252771743","0.380549171661219","10","c(""RC3H1"", ""UPF1"", ""ZFP36L1"")"
"3","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.313686313686314","1","0.0675188953767744","0.461690687829616","1.17091858323374","11","c(""MYD88"", ""HNRNPA0"", ""TARDBP"", ""ELAVL1"", ""RBM24"")"
"4","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.982017982017982","1","0.00617356336775808","0.117662138272238","0.312145342613767","15","c(""ACSS2"", ""DIP2A"", ""ACAT1"", ""ACSS1"", ""DLAT"", ""PDK1"", ""PDK2"", ""PPCS"", ""MLYCD"", ""PDHX"", ""PDHA1"", ""MPC2"", ""ACLY"", ""PDK4"", ""PDHB"")"
"5","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.938061938061938","1","0.0117231586093378","0.201287819227353","0.566342868461645","24","c(""HMGCS1"", ""HMGCS2"", ""PIPOX"", ""PDHB"", ""PDK4"", ""ACLY"", ""MPC2"", ""NUDT8"", ""PDHA1"", ""NUDT7"", ""AASS"", ""PDHX"", ""PMVK"", ""MLYCD"")"
"6","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.952047952047952","1","0.0102389179310485","0.191690472438486","0.535051454541487","22","c(""SLC1A1"", ""NTRK2"", ""ARL6IP1"", ""AVPR1B"")"
"7","GOBP_ACROSOME_REACTION","0.916083916083916","1","0.0138082722594766","0.213205042413438","0.540720774279866","11","c(""PKDREJ"", ""PRND"")"
"8","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.801198801198801","1","0.0227269260340067","0.276221957005443","0.845995959909067","53","c(""SYDE1"", ""S1PR1"", ""CCL27"", ""GPR65"", ""CLDN3"", ""CXADR"", ""PARVB"", ""CLDN19"", ""NRP1"", ""TRPV4"", ""PHPT1"")"
"9","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.955044955044955","1","0.00989821417740655","0.219583126237537","0.660770882612202","44","c(""MYL6"", ""KCNE2"", ""PDPN"", ""ATP2A2"", ""BIN1"", ""KCNA5"", ""TPM1"", ""TNNC1"", ""MYO1E"", ""DLG1"", ""SLC9A1"", ""SRI"", ""MYO7A"", ""AKAP9"", ""SNTA1"", ""MYL6B"", ""MYH2"", ""DSP"", ""GJC1"")"
"10","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.999000999000999","1","0.0014426950408889","0.198029400191984","0.668614392640957","339","c(""CDK5R1"", ""SYDE1"", ""S1PR1"", ""TCAP"", ""MYL6"", ""ERMN"", ""ID1"", ""SIX4"", ""KLHL17"", ""ACTR2"", ""FERMT2"", ""CNN2"", ""TWF1"", ""KCNE2"", ""PDPK1"", ""CALR"", ""CCL27"", ""TMSB4X"", ""SHROOM2"", ""CFL2"", ""GPR65"", ""ARF6"", ""SMAD4"", ""PDPN"", ""CLDN3"", ""PFN4"", ""KPTN"", ""CAP1"", ""ATP2A2"", ""ZBED3"", ""BIN1"", ""CXADR"", ""BRK1"", ""KCNA5"", ""MYOZ1"", ""ADRA2A"", ""PARVB"", ""CLDN19"", ""SDC4"", ""TPM1"", ""RAC3"", ""MET"", ""ARPC5"", ""NRP1"", ""PACSIN2"", ""TRPV4"", ""RHOB"", ""PHPT1"", ""RHOD"", ""TRIOBP"", ""TMSB10"", ""MARCKSL1"", ""LLGL2"", ""VASP"", ""CATIP"", ""JMY"", ""EHBP1L1"", 
""MLST8"", ""RTKN"", ""SERPINF2"", ""PTGER4"", ""ANTXR1"", ""ITGB5"", ""RHOC"", ""PAM"", ""SMAD3"", ""RHOU"", ""TESK1"", ""ABL1"", ""ACTN1"", ""ARF1"", ""CORO1C"", ""CNN3"", ""TNNC1"", ""MYO1E"", ""DLG1"", ""TRIM32"", ""SLC9A1"", ""RND2"", ""C9orf72"", ""ARHGAP26"", ""WASF3"", ""PLEKHG2"", ""PRICKLE4"", ""CSF1R"", ""ANG"", ""GMFG"", ""SRI"", ""SPECC1"", ""ACTG1"", ""NCKAP1"", ""ADD1"", ""CSRP2"", ""MTSS1"", ""MYO7A"", ""LIMK2"", ""ABI2"", ""ITPKA"", ""RHOQ"", ""CGNL1"", ""RHOG"", ""MSRB1"", ""AKAP9"", ""SYNPO"", ""TAOK2"", ""SNTA1"", ""PFN1"", ""SPTAN1"", ""HIP1R"", ""KCTD13"", ""SPTBN1"", ""DMTN"", ""CFL1"", 
""FCHSD2"", ""TPM2"", ""ITGB1BP1"", ""SORBS3"", ""NCK2"", ""DSTN"", ""SPTB"", ""GAS2L1"", ""MYL6B"", ""TJP1"", ""ALKBH4"", ""ASAP3"", ""MYH2"", ""MEF2A"", ""ARHGAP12"", ""AMOTL2"", ""CTTN"", ""DBNL"", ""SSH3"", ""CDK5"", ""NCK1"", ""HRAS"", ""FLII"", ""SPIRE1"", ""GAS2L2"", ""DSP"", ""CYTH2"")"
