"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.803196803196803","1","0.0225842720346634","0.0501089324618736","0.340563515716","11","c(""HNRNPA0"", ""MAPK14"", ""ANGEL2"", ""LARP4B"", ""TIRAP"", ""RBM24"", ""ELAVL1"")"
"2","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.782217782217782","1","0.0240742072753014","0.0536697247706422","0.381217337311982","12","c(""PDHB"", ""ACSS2"", ""ACLY"")"
"3","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.721278721278721","1","0.0283628487151644","0.0537313432835821","0.506453186851398","22","c(""PDHB"", ""NUDT8"", ""ACSS2"", ""ACLY"")"
"4","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.0187745797146894","0.165745469180067","0.352487857583619","0.242580907307798","2.76641312307306","37","c(""ABAT"", ""NTRK2"", ""ADORA1"", ""SLC25A18"", ""KCNJ10"", ""GRM1"", ""NTSR1"", ""SLC3A1"", ""TRPV1"", ""SLC25A13"", ""SLC6A1"", ""SLC7A13"", ""SLC1A1"", ""RAB3GAP1"")"
"5","GOBP_ACID_SECRETION","0.034965034965035","0.252598901888001","0.241339976815091","0.323829900460973","2.7155578872455","17","c(""ABAT"", ""PTGER3"", ""SLC26A7"", ""ABCB4"", ""NTSR1"", ""TRPV1"", ""SLC6A1"", ""OXTR"")"
"6","GOBP_ACROSOME_REACTION","0.608391608391608","1","0.0366082221336689","0.0736999196418322","0.678227409848715","21","c(""HYAL3"", ""B4GALT1"", ""PCSK4"", ""CCDC87"", ""PRSS37"", ""ACR"", ""PKDREJ"", ""STXBP1"", ""ROPN1B"", ""SPINK1"", ""ABHD2"")"
"7","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.395604395604396","0.916463475733992","0.0564118388217596","0.0891875305546331","1.11572375322806","47","c(""HAX1"", ""HRAS"", ""MICALL2"", ""PHPT1"", ""CDK5"", ""CDC42"", ""GPR65"", ""FLNA"", ""ABL1"", ""WHAMM"", ""ATP2C1"")"
"8","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.000248354604182293","0.00600913018479168","0.49849310876659","0.264079390045555","3.74076867128632","69","c(""SCN5A"", ""MYO5B"", ""SYNE2"", ""KCND3"", ""SCN1A"", ""KCNH2"", ""PARVA"", ""MYO6"", ""KCNJ3"", ""ADORA1"", ""NOS1AP"", ""GATA4"", ""FNBP1L"", ""SHTN1"", ""KCNA5"", ""MYO7A"", ""MYO5A"", ""MYH4"", ""MYO1B"", ""MYL1"", ""KCNN2"", ""MYH3"", ""MYLK2"", ""AKAP9"", ""SCN3B"", ""MYO5C"", ""CACNB2"")"
"9","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.00238639132654291","0.0377611333435319","0.431707695803346","0.116045318860226","2.27750556369731","368","c(""ARF6"", ""ARPC5"", ""CYTH2"", ""MYADM"", ""PLEKHG2"", ""TRIP10"", ""HSP90B1"", ""SRF"", ""SCN1B"", ""SH3BP1"", ""HAX1"", ""MYO1C"", ""ALKBH4"", ""SMAD3"", ""ANG"", ""HRAS"", ""TMSB10"", ""ID1"", ""MICALL2"", ""CALR"", ""MYL6B"", ""PDXP"", ""PHPT1"", ""S100A10"", ""TMOD1"", ""RHOC"", ""CATIP"", ""CDK5"", ""TPM1"", ""FZD10"", ""TNNC1"", ""TAOK2"", ""DBN1"", ""NUAK2"", ""CDC42EP4"", ""WASF2"", ""PIK3R1"", ""PXN"", ""ATP2A2"", ""PIP5K1C"", ""SORBS3"", ""RNF207"", ""MYO18A"", ""CNN2"", ""SMTNL2"", ""TESK1"", ""PDLIM7"", ""ARPC3"", ""VPS4A"", ""SUN2"", ""APOA1"", ""GHRL"", ""NISCH"", ""FSCN2"", ""ALDOA"", 
""AKAP13"", ""PDGFA"", ""WDR1"", ""LIMA1"", ""CDC42"", ""SERPINF2"", ""GPR65"", ""SPATC1L"", ""ASAP3"", ""FLNA"", ""FHL3"", ""RGS4"", ""KCNE5"", ""MKKS"", ""MAD2L2"", ""SRI"", ""NKX2-5"", ""ABL1"", ""ITGB1BP1"", ""CAPZB"")"
"10","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.00934116187841357","0.105214613965481","0.380730400722792","0.425357479963515","3.38275958132538","15","c(""MYO5B"", ""SYNE2"", ""MYO6"", ""FNBP1L"", ""MYO7A"", ""MYO5A"", ""MYO1B"")"
"11","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.513486513486514","1","0.0444181153081573","0.0605708723231616","0.888336762093993","80","c(""HSP90B1"", ""SRF"", ""SMAD3"", ""ID1"", ""PDXP"", ""S100A10"", ""RHOC"", ""TPM1"", ""WASF2"", ""PIK3R1"", ""PXN"", ""SORBS3"", ""TESK1"", ""APOA1"", ""FSCN2"", ""LIMA1"", ""CDC42"", ""SERPINF2"", ""GPR65"", ""ASAP3"", ""FLNA"", ""MKKS"", ""ABL1"", ""ITGB1BP1"", ""FSCN1"", ""PPFIA1"", ""INPP5K"", ""FSCN3"", ""TNFAIP1"")"
"12","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.832167832167832","1","0.0204893625108019","0.0270021831552338","0.286406403296723","29","c(""SH3BP1"", ""PDXP"", ""TMOD1"", ""WDR1"", ""LIMA1"", ""CAPZB"", ""TRIOBP"", ""LMOD3"", ""FLII"", ""RDX"", ""TMOD3"", ""ADD1"", ""LMOD2"")"
"13","GOBP_ACTIN_FILAMENT_ORGANIZATION","0.0769230769230769","0.402481957401866","0.158514105424824","0.0930036936808633","1.68211028896577","207","c(""ARF6"", ""ARPC5"", ""MYADM"", ""PLEKHG2"", ""HSP90B1"", ""SRF"", ""SH3BP1"", ""HAX1"", ""MYO1C"", ""SMAD3"", ""ANG"", ""TMSB10"", ""ID1"", ""MICALL2"", ""PDXP"", ""S100A10"", ""TMOD1"", ""RHOC"", ""CATIP"", ""TPM1"", ""DBN1"", ""CDC42EP4"", ""WASF2"", ""PIK3R1"", ""PXN"", ""SORBS3"", ""TESK1"", ""ARPC3"", ""APOA1"", ""GHRL"", ""FSCN2"", ""ALDOA"", ""WDR1"", ""LIMA1"", ""CDC42"", ""SERPINF2"", ""GPR65"", ""SPATC1L"", ""ASAP3"", ""FLNA"", ""RGS4"", ""MKKS"", ""MAD2L2"", ""ABL1"", ""ITGB1BP1"", ""CAPZB"", ""TRIOBP"", ""WHAMM"", ""LMOD3"", ""WASF1"", ""ARPC5L"", ""FLII"", ""FSCN1"", ""PPFIA1"", ""SSH3"", 
""INPP5K"", ""FSCN3"", ""CDC42EP3"", ""TNFAIP1"")"
