"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.495504495504495","0.911494343321612","0.0460457683018055","0.325968416735942","1.02380279831135","11","c(""TIRAP"", ""RBM24"", ""MAPK14"", ""ANGEL2"", ""DAZL"", ""ELAVL1"", ""BOLL"")"
"2","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.788211788211788","1","0.0236501012290726","0.163402154840564","0.524571053857732","12","c(""PDK4"", ""PDK3"", ""ACAT1"", ""ACSS1"")"
"3","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.518481518481518","0.924372703320072","0.0439759278026345","0.289285205392019","0.991367032073401","22","c(""AASS"", ""NUDT8"", ""MLYCD"", ""ACACB"", ""ACSS2"", ""ACLY"", ""AADAT"", ""NUDT7"", ""PDK2"", ""DLAT"", ""HMGCS1"")"
"4","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.434565434565435","0.868280803764675","0.0520570030732099","0.295772969722846","1.07752988149933","37","c(""SLC1A7"", ""GJA1"", ""SLC25A22"", ""SLC1A1"", ""SLC9A3R1"", ""NTRK2"", ""SLC25A18"", ""SLC7A11"", ""SLC12A2"", ""PRAF2"", ""PER2"", ""NPY5R"", ""ATP1A2"")"
"5","GOBP_ACID_SECRETION","0.568431568431568","0.950086828376302","0.03975964750879","0.27353763760668","0.917303279229606","17","c(""SGK1"", ""PTGER3"", ""NTSR1"")"
"6","GOBP_ACROSOME_REACTION","0.639360639360639","0.977531328584488","0.0342688261591917","0.244629901694705","0.838567121169662","21","c(""ADCY3"", ""ROPN1B"", ""PCSK4"", ""HYAL3"")"
"7","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.615384615384615","0.967395615728376","0.0360729976388226","0.242433725141831","0.902589186337801","47","c(""PARVB"", ""ATP2C1"", ""GDPD2"", ""CASS4"", ""HCK"", ""TRPV4"", ""NPHS2"", ""DTNBP1"", ""KIT"")"
"8","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.228771228771229","0.635197831919143","0.0838361057159929","0.320980020853291","1.23464429527497","69","c(""DSP"", ""TPM1"", ""GJA1"", ""FLNA"", ""RNF207"", ""KCNJ8"", ""TNNC1"", ""SCN2B"", ""ACTN4"", ""KCNE5"", ""PARVA"", ""SNTA1"", ""MYH10"", ""CACNB2"", ""SCN1B"")"
"9","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.00546559706996485","0.0605185845059304","0.407017918923954","0.326070064032506","1.3759347503314","368","c(""ID1"", ""TMOD1"", ""AMOTL2"", ""PDGFRB"", ""CNN3"", ""SYNPO"", ""DSP"", ""PIP5K1C"", ""TPM1"", ""DIXDC1"", ""CDC42EP4"", ""CCL26"", ""ASAP3"", ""TMOD3"", ""S100A10"", ""FZD10"", ""FAM107A"", ""CSRP1"", ""MYL9"", ""PDLIM1"", ""ARPC5"", ""RHOC"", ""GJA1"", ""CORO7"", ""FLNA"", ""FCHSD1"", ""PDLIM7"", ""CORO2B"", ""PDGFA"", ""ABL1"", ""RNF207"", ""SMAD3"", ""FSCN1"", ""SMTNL2"", ""SSH3"", ""HAX1"", ""KCNJ8"", ""WASF1"", ""CYTH2"", ""DBN1"", ""TNNC1"", ""LMOD1"", ""PXN"", ""SCN2B"", ""ANLN"", ""HRAS"", ""TPM2"", ""ACTN4"", ""ARHGEF10"", ""WNT11"", ""SRF"", ""SIX4"", ""KCNE5"", ""SDC4"", ""LIMA1"", ""SPATC1L"", 
""AIF1L"", ""SORBS3"", ""PARVA"", ""SNTA1"", ""TGFB3"", ""PDGFRA"", ""PIK3R1"", ""MYH10"", ""ALKBH4"", ""PHPT1"", ""SLC9A3R1"", ""HIP1R"", ""MYADM"", ""MICAL3"", ""SPTBN1"", ""PLEKHG2"", ""WASF3"", ""FLII"", ""MICALL2"", ""ARF6"", ""USH1C"", ""WHAMM"", ""FLNB"", ""CLRN1"", ""DIAPH1"", ""CACNB2"", ""CAPZB"", ""SCN1B"", ""NCKAP1"")"
"10","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.926073926073926","1","0.0128901829648689","0.0651106717543117","0.216673901756907","15","c(""MYO1E"", ""MYO5A"", ""MYO5C"", ""MYO7A"", ""FNBP1L"", ""MYO5B"")"
"11","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.00175797877787988","0.0270681378829788","0.45505986738723","0.446760992944547","1.74438652231564","80","c(""ID1"", ""SYNPO"", ""TPM1"", ""ASAP3"", ""S100A10"", ""FAM107A"", ""PDLIM1"", ""RHOC"", ""FLNA"", ""CORO2B"", ""ABL1"", ""SMAD3"", ""FSCN1"", ""PXN"", ""ARHGEF10"", ""WNT11"", ""SRF"", ""SDC4"", ""LIMA1"", ""AIF1L"", ""SORBS3"", ""TGFB3"", ""PIK3R1"")"
"12","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.212787212787213","0.615092240250268","0.0878312634480124","0.376334135790999","1.32739697744589","29","c(""TMOD1"", ""TMOD3"", ""LMOD1"", ""LIMA1"", ""MICAL3"", ""SPTBN1"", ""FLII"", ""CAPZB"", ""TRIOBP"", ""ADD1"", ""SH3BP1"", ""PDXP"")"
"13","GOBP_ACTIN_FILAMENT_ORGANIZATION","0.026973026973027","0.183008386272481","0.276500599254472","0.327329394955739","1.35689771560803","207","c(""ID1"", ""TMOD1"", ""SYNPO"", ""TPM1"", ""CDC42EP4"", ""CCL26"", ""ASAP3"", ""TMOD3"", ""S100A10"", ""FAM107A"", ""PDLIM1"", ""ARPC5"", ""RHOC"", ""CORO7"", ""FLNA"", ""FCHSD1"", ""CORO2B"", ""ABL1"", ""SMAD3"", ""FSCN1"", ""SSH3"", ""HAX1"", ""WASF1"", ""DBN1"", ""LMOD1"", ""PXN"", ""TPM2"", ""ARHGEF10"", ""WNT11"", ""SRF"", ""SDC4"", ""LIMA1"", ""SPATC1L"", ""AIF1L"", ""SORBS3"", ""TGFB3"", ""PIK3R1"", ""HIP1R"", ""MYADM"", ""MICAL3"", ""SPTBN1"", ""PLEKHG2"", ""WASF3"", ""FLII"", ""MICALL2"", ""ARF6"", ""USH1C"", ""WHAMM"", ""CLRN1"", ""DIAPH1"", ""CAPZB"", ""NCKAP1"", ""PAWR"", ""SORBS2"")"
"14","GOBP_ACTIN_FILAMENT_POLYMERIZATION","0.0679320679320679","0.332605296202727","0.169570644405628","0.364790597393295","1.41851969387641","77","c(""TMOD1"", ""CDC42EP4"", ""CCL26"", ""TMOD3"", ""FAM107A"", ""ARPC5"", ""CORO7"", ""FCHSD1"", ""ABL1"", ""SSH3"", ""HAX1"", ""WASF1"", ""DBN1"", ""LMOD1"", ""HIP1R"", ""MYADM"", ""SPTBN1"", ""PLEKHG2"", ""WASF3"", ""FLII"", ""MICALL2"", ""ARF6"", ""DIAPH1"", ""CAPZB"", ""NCKAP1"")"
"15","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","0.0839160839160839","0.369699664497352","0.151148761385484","0.388637823745144","1.46430182325639","51","c(""DSP"", ""TPM1"", ""GJA1"", ""FLNA"", ""RNF207"", ""KCNJ8"", ""TNNC1"", ""SCN2B"", ""KCNE5"", ""PARVA"", ""SNTA1"", ""CACNB2"", ""SCN1B"")"
"16","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","0.257742257742258","0.676222228717926","0.0774767547848578","0.426039026652397","1.37413300649052","13","c(""TPM1"", ""TNNC1"", ""MYH2"", ""MYL6B"", ""MYH4"", ""MYH3"", ""TNNT2"")"
"17","GOBP_ACTIN_NUCLEATION","0.0719280719280719","0.342989648516239","0.16440575583821","0.479952316594127","1.64477441213729","22","c(""ARPC5"", ""WASF1"", ""LMOD1"", ""HIP1R"", ""WASF3"", ""WHAMM"", ""NCKAP1"")"
