"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.598401598401598","1","0.0373806494758473","0.287320714317171","0.876009070925767","11","c(""HNRNPA0"", ""LARP4B"", ""ANGEL2"", ""MAPKAPK2"", ""MAPK14"")"
"2","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.371628371628372","0.988056129916595","0.0593487680335629","0.383142530567954","1.18038102790956","12","c(""PDHB"", ""PDK4"", ""PDK3"", ""ACSS2"", ""ACLY"", ""ACAT1"", ""ACSS1"", ""DLAT"", ""PDHA1"")"
"3","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.907092907092907","1","0.0146010500585968","0.127778534135719","0.427061389764038","22","c(""ACACB"", ""AASS"", ""MLYCD"")"
"4","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.996003996003996","1","0.00288973010331959","0.0283047185008301","0.100594362649008","37","c(""NTRK2"", ""SLC1A7"", ""GJA1"", ""SLC1A1"", ""SLC25A18"", ""ABAT"", ""SLC7A11"", ""SLC9A3R1"", ""SLC25A22"", ""TRPV1"", ""SLC6A1"", ""ADORA1"")"
"5","GOBP_ACID_SECRETION","0.653346653346653","1","0.0332359307785383","0.260205433105159","0.833787304381106","17","c(""ABAT"", ""SLC26A7"", ""SLC9A3R1"", ""HIP1R"", ""TRPV1"", ""SLC6A1"", ""ABCB4"", ""OXTR"")"
"6","GOBP_ACROSOME_REACTION","0.0649350649350649","0.469854512576032","0.173747838999571","0.479649933093022","1.58887646559156","21","c(""PRSS37"", ""B4GALT1"", ""ZP4"", ""CCDC87"", ""PRND"", ""SPINK1"", ""PKDREJ"", ""HYAL3"", ""ZP3"", ""SERPINA10"", ""ABHD2"")"
"7","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.271728271728272","0.8819115589875","0.0747385227439092","0.330403601257513","1.19708267492674","47","c(""ATP2C1"", ""PARVB"", ""HCK"", ""GRB2"", ""GPR65"", ""CASS4"", ""DTNBP1"", ""PTPN1"", ""PLEK2"", ""GDPD2"", ""TRPV4"", ""CDC42"", ""BAIAP2"", ""CDK5"", ""HAX1"", ""HRAS"", ""MICALL2"")"
"8","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.986013986013986","1","0.0054335217582325","0.115257432851182","0.428131784306962","69","c(""DSP"", ""PARVA"", ""GJA1"", ""CACNB2"", ""SCN5A"", ""SYNE2"", ""MYH10"", ""MYO6"", ""KCND3"", ""GATA4"", ""KCNJ8"", ""ACTN4"", ""SNTA1"", ""KCNJ3"", ""MYH4"", ""MYO1B"")"
"9","GOBP_ACTIN_FILAMENT_BASED_PROCESS","0.982017982017982","1","0.00617356336775808","0.179596756545886","0.725829938840193","368","c(""PDGFRB"", ""DSP"", ""CNN3"", ""AMOTL2"", ""SYNPO"", ""PARVA"", ""MICAL3"", ""PDLIM5"", ""FAM107A"", ""GJA1"", ""SHROOM3"", ""AQP1"", ""BCAR1"", ""EPB41L4B"", ""WNT11"", ""CSRP1"", ""MYOM2"", ""PDLIM1"", ""LMOD1"", ""CACNB2"", ""TMOD1"", ""CORO2B"", ""CLRN1"", ""SCN5A"", ""PDGFRA"", ""AIF1L"", ""MYL9"", ""DIXDC1"", ""SYNE2"", ""CCL26"", ""SPTBN1"", ""TMOD3"", ""PAK3"", ""SHROOM2"", ""USH1C"", ""MYH10"", ""EFS"", ""WASF3"", ""PHACTR2"", ""NCKAP1"", ""RHPN2"", ""MYO6"", ""FCHSD1"", ""FGD1"", ""SORBS2"", ""CTNNA1"", ""BIN3"", ""KCND3"", ""GATA4"", ""KCNJ8"", ""ALMS1"", ""ID1"", ""PAWR"", ""ACTN4"", ""SNTA1"", 
""KCNJ3"", ""MYH4"", ""PAM"", ""PTK7"", ""EPB41L4A"", ""CGNL1"", ""MYO1B"", ""EFNA5"", ""FHOD3"", ""SDC4"", ""CORO7"", ""PIP5K1C"", ""SHROOM4"", ""BBS4"", ""FAM171A1"", ""ASAP3"", ""SIX4"", ""NPHP1"", ""PDLIM3"", ""ELN"", ""INF2"", ""FLNB"", ""ARHGEF10"", ""MYH3"", ""ARHGEF11"", ""TPM2"", ""SLC9A3R1"")"
"10","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.488511488511489","1","0.0466948041282054","0.326805089789938","1.03628312035796","15","c(""MYO1E"", ""MYO1C"", ""SUN2"")"
"11","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.925074925074925","1","0.0129839954274655","0.166036515107742","0.623968169440533","80","c(""SYNPO"", ""FAM107A"", ""WNT11"", ""PDLIM1"", ""CORO2B"", ""AIF1L"", ""SHROOM2"", ""USH1C"", ""RHPN2"", ""ALMS1"", ""ID1"", ""PAWR"", ""CGNL1"", ""MYO1B"", ""SDC4"", ""BBS4"", ""FAM171A1"", ""ASAP3"", ""ELN"", ""ARHGEF10"", ""FHDC1"", ""EPHA1"", ""TPM1"")"
"12","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.795204795204795","1","0.0231538258045259","0.193756395132261","0.67092872767937","29","c(""MICAL3"", ""LMOD1"", ""TMOD1"", ""SPTBN1"", ""TMOD3"")"
