gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
AC012405.1,7.168721693,4.311040853,33.14836142,9.10394798343098e-59,2.59380581995932e-54,123.3187586,NA,0.657648795
DPP10,6.316450241,6.907105791,28.69076154,1.25745002972874e-52,1.79130043985007e-48,109.595819,Metabolism (other),0.807181505
FMN2,5.278852519,5.893875652,27.4825097,7.79214923046176e-51,7.40020412416954e-47,105.3764566,NA,0.715199213
SLC1A2,5.910809388,3.808564865,25.36577995,1.50695228075338e-47,1.07336443577362e-43,97.45848558,Transport,0.3944909
AC073941.1,6.199605682,3.108416799,25.14849762,3.36171878056426e-47,1.91557459554113e-43,96.52967021,NA,0.338416134
SLC14A1,6.369033771,2.947092182,24.74524143,1.50995161640413e-46,7.17000525049503e-43,95.09189535,Transport,0.354156419
CD44,4.968415472,5.23057309,24.01415935,2.40393923579561e-45,9.78437610957897e-42,92.76349716,Matrisome/cell adhesion/binding/signaling,0.566158387
NRCAM,5.571417964,4.570104487,23.85151564,4.48481212449964e-45,1.59720977798899e-41,92.093183,Development (differentiation),0.585833743
LINC01094,5.416477861,2.951752521,23.72763831,7.2253793686217e-45,2.28731426212668e-41,91.11676294,NA,0.229217905
RFX4,6.121788387,4.108066965,23.53216421,1.53879338270894e-44,4.38417622667605e-41,90.88116983,NA,0.573044761
CDH20,5.489075369,4.911952234,22.71799706,3.75537300908573e-43,9.72675749107833e-40,87.79055081,Matrisome/cell adhesion/binding/signaling,0.560747664
CTNNA2,5.087663839,7.09816368,22.05766838,5.29801238881233e-42,1.25788059141377e-38,85.18529308,NA,0.827348746
CNTN1,4.588758285,5.919210531,21.88684485,1.05940105210018e-41,2.32179964426048e-38,84.50913524,Matrisome/cell adhesion/binding/signaling,0.581406788
AC092691.1,5.28813184,4.936597659,21.76283061,1.755801752357e-41,3.57318198045739e-38,83.9643135,NA,0.553369405
PPP2R2B,4.558598834,6.748714347,21.65588333,2.71849060118512e-41,5.16350104789102e-38,83.59182281,Metabolism (other),0.748155435
ADCY2,4.918838806,6.164352262,21.56023653,4.02363136727773e-41,7.16483008031936e-38,83.20346092,NA,0.711756026
NPAS3,3.968902088,8.028821571,21.43575738,6.71350384915754e-41,1.12514375391969e-37,82.64400843,NA,0.831283817
LINC00299,4.752414128,3.586527436,21.19332911,1.82917324506505e-40,2.89527638473046e-37,81.1439512,NA,0.286276439
GFAP,6.683823207,3.7905271,20.96566734,4.71885892743708e-40,7.07605314219e-37,80.70081547,NA,0.599606493
BAALC,4.95091099,3.321401638,20.81559325,8.84378323922876e-40,1.19984870604222e-36,79.7802716,Development (differentiation),0.254795868
FUT9,5.076482005,4.041982719,20.81963854,8.69499053504318e-40,1.19984870604222e-36,79.92168096,Metabolism (other),0.388588293
DCLK1,4.790839738,5.573542233,20.61417441,2.06366575532306e-39,2.67254095613224e-36,79.24401532,Development (differentiation),0.589276931
LINC01748,5.103347387,2.735838647,19.77190594,7.53204318012722e-38,9.33023661934803e-35,75.13659627,NA,0.197737334
TNC,4.848037196,3.197011241,19.19462621,9.3273437323906e-37,1.10727229283142e-33,72.76988382,NA,0.215937039
AQP4,6.073537152,2.201693039,18.62079116,1.18602197891225e-35,1.35163808804756e-32,70.25734027,Transport,0.259222823
NRG3,4.466270763,8.121757423,18.57078417,1.48315091237947e-35,1.62524817863859e-32,70.26863838,Development (differentiation),0.879980325
