gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ASPM,6.173491431,4.761227296,19.91632848,2.88218887856532e-19,2.77050405952091e-15,33.12968765,NA,0.569506726
MKI67,7.486995898,3.609485113,19.93271744,2.81443571143505e-19,2.77050405952091e-15,32.50662802,Development (cell cycle),0.6367713
CENPE,4.323849824,5.811424082,18.06829768,4.7192716130859e-18,2.30632944135718e-14,30.84866332,NA,0.529147982
CENPF,5.868288178,4.768877275,18.05772674,4.79860481946878e-18,2.30632944135718e-14,30.55407742,NA,0.573991031
TOP2A,5.824865457,4.206475068,14.70949593,1.47567581091787e-15,5.6739734929792e-12,25.068592,NA,0.511210762
EZH2,3.221267483,6.274115019,14.52513756,2.08161724271256e-15,6.66984858185817e-12,25.0714721,NA,0.484304933
GTSE1,5.011882984,4.07071691,13.65579526,1.1030787564288e-14,3.02952701319196e-11,23.00637489,NA,0.421524664
ANLN,5.165665548,4.371511258,13.0161619,3.95481709173318e-14,9.5039198235713e-11,21.98195858,NA,0.466367713
KIF11,3.989615197,4.938679552,12.80512233,6.08552573888575e-14,1.29993591477865e-10,21.58900613,NA,0.452914798
KNL1,4.299151528,5.573919696,12.50712824,1.1278589370454e-13,2.16830880646979e-10,21.14374533,NA,0.533632287
KNTC1,2.60929372,6.291040727,12.37407431,1.49040582365633e-13,2.60482290543573e-10,20.87869706,NA,0.502242152
ARHGAP11A,4.371941363,4.151895571,12.31669135,1.68182850573162e-13,2.69442941855753e-10,20.46943269,NA,0.313901345
CENPK,3.891892666,4.986594831,12.17660171,2.26249178372169e-13,3.10688603871782e-10,20.38376849,NA,0.408071749
SMC4,3.37881913,6.307676907,12.1887272,2.20495254852965e-13,3.10688603871782e-10,20.53092752,NA,0.627802691
DIAPH3,4.024886833,6.329697875,12.05371398,2.94029361735767e-13,3.53294654960632e-10,20.26212457,NA,0.587443946
KIF15,3.74970564,5.166280603,12.05709772,2.91908564677231e-13,3.53294654960632e-10,20.16190235,NA,0.439461883
KIF20B,3.210754307,5.909847377,11.84466689,4.61055113080903e-13,5.21399091116492e-10,19.77854889,NA,0.502242152
ARHGAP11B,3.633449477,5.027608266,11.78132295,5.2892440161179e-13,5.6492064561037e-10,19.55866455,NA,0.376681614
CIT,3.587151611,6.241606165,11.56313833,8.51958957550874e-13,8.62047945206081e-10,19.21384665,NA,0.556053812
NCAPG,5.115534613,3.82239734,11.53909284,8.98228033979773e-13,8.63421697663056e-10,18.89933393,NA,0.349775785
IQGAP3,4.224655017,4.084782992,11.22221029,1.81520615366948e-12,1.58624265019526e-09,18.21397929,NA,0.295964126
NCAPH,4.401306498,3.875730235,11.23179986,1.77664721251675e-12,1.58624265019526e-09,18.16991302,NA,0.304932735
APOLD1,2.984404839,6.985198782,11.14215926,2.17249527940806e-12,1.74496160469103e-09,18.27713657,Metabolism or Transport (lipid),0.515695067
SGO2,3.854478738,5.019059173,11.14095971,2.17836559233211e-12,1.74496160469103e-09,18.20115387,Development (cell cycle),0.3632287
CEP152,2.430626988,6.636261242,11.05452217,2.64717144847992e-12,2.03567484388106e-09,18.10063995,NA,0.569506726
TPX2,4.046704932,4.860466536,10.95765482,3.29706757853839e-12,2.43792785374617e-09,17.80527573,NA,0.35426009
CDK1,4.688848123,3.405860841,10.65537617,6.59096206632787e-12,4.6930091009316e-09,16.89915197,Development (cell cycle),0.201793722
KIFC1,4.601312855,3.174327285,10.57613655,7.91839621083783e-12,5.43682739833419e-09,16.66481544,NA,0.228699552
POLQ,4.174435499,5.298848316,10.56052261,8.21070702516792e-12,5.44313250202942e-09,16.95220023,NA,0.484304933
CCDC18,2.336637381,7.184557848,10.51490162,9.12971066036259e-12,5.85062291484902e-09,16.8673443,NA,0.618834081
FANCI,3.290534726,5.223322127,10.47881013,9.9309471706044e-12,6.1587890114474e-09,16.73002021,NA,0.358744395
NUSAP1,3.71299701,5.413805208,10.42092495,1.13693661896335e-11,6.83050203111577e-09,16.64763276,Development (cell cycle),0.457399103
PARPBP,3.862494968,5.044020956,10.35997783,1.3115688027859e-11,7.64088188895723e-09,16.48742867,NA,0.35426009
CENPI,3.413010046,4.83964495,10.23870278,1.74537150931811e-11,9.86904919607078e-09,16.15864503,NA,0.30941704
BUB1,4.310347737,3.698495615,10.21345636,1.85278645096863e-11,1.0177091291392e-08,15.95872058,NA,0.251121076
BUB1B,4.249091928,4.46157173,10.00414427,3.04963599455384e-11,1.58457437825129e-08,15.62477029,NA,0.340807175
CIP2A,3.486372546,4.64497376,10.00754058,3.02493882153077e-11,1.58457437825129e-08,15.62656799,NA,0.322869955
DLGAP5,4.235478512,4.043117677,9.97096934,3.30199830935218e-11,1.62771583326399e-08,15.50360115,NA,0.237668161
RRM2,4.201839874,5.001960477,9.975851329,3.26356083435735e-11,1.62771583326399e-08,15.60459198,NA,0.390134529
NSD2,2.100647148,7.555798386,9.916066085,3.76753737133659e-11,1.81077264909865e-08,15.44651794,NA,0.708520179
TICRR,4.323923023,3.762323242,9.678914028,6.69026472791359e-11,3.13708144863753e-08,14.77970377,NA,0.255605381
CEP128,1.59715478,7.706091631,9.666465095,6.89640463072881e-11,3.15674711966099e-08,14.8441559,NA,0.65470852
GPSM2,3.349060998,5.171931402,9.596392134,8.18412388560671e-11,3.65906469071602e-08,14.69725653,NA,0.35426009
CKAP2,3.155691522,4.825891471,9.097814857,2.81879230782869e-10,1.23162004813651e-07,13.49517988,NA,0.30941704
NEIL3,4.39430649,3.834981876,9.065796505,3.05519827222414e-10,1.30524859518909e-07,13.35614842,NA,0.260089686
CENPP,2.132200226,7.47441101,9.028349273,3.35753272229809e-10,1.39098848020759e-07,13.28443686,NA,0.618834081
