gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
EML4,-1.330333205,8.024058101,-9.391696746,1.35445073626975e-10,9.13801009901759e-07,14.23035825,Development (cell cycle),0.180261186
ETS1,-2.221457987,6.205472601,-9.37091794,1.42595736265554e-10,9.13801009901759e-07,13.4889818,Development (differentiation),0.034896168
PDE7A,-1.128940795,7.68311124,-9.653343278,7.12072289955819e-11,9.13801009901759e-07,14.81741729,Metabolism (other),0.156497538
CBLB,-1.03498348,8.331187954,-8.608202245,9.80104263431869e-10,3.80967719474941e-06,12.3027089,NA,0.216441875
CD83,3.413455105,6.691738375,8.533379875,1.18897597755508e-09,3.80967719474941e-06,12.03966111,Inflammation/Immune/Stress/Toxic/Detox,0.290730036
STK17B,-2.159040576,7.1239124,-8.541489204,1.16429931388026e-09,3.80967719474941e-06,11.96632526,NA,0.068293727
CEP128,-1.024222403,7.706091631,-8.27406946,2.33542294627685e-09,6.41407230602465e-06,11.45988606,NA,0.159494755
PPP2R5C,-1.285189709,8.457536458,-8.184685422,2.9531885459184e-09,7.09688122441015e-06,11.21529523,Metabolism (other),0.235709698
HSPD1,1.804223087,8.977592417,8.029853852,4.44508688547692e-09,9.49519948592154e-06,10.60807184,Metabolism (other),0.484692785
CNOT6L,-1.11475539,7.93769743,-7.904907665,6.19633967270657e-09,1.19124630207784e-05,10.51302315,NA,0.184757011
CENPE,-2.298816907,5.811424082,-7.810484677,7.9744697439331e-09,1.39371982570103e-05,9.722444058,NA,0.024191822
SQSTM1,1.701247953,6.387596057,7.704642276,1.05944004541134e-08,1.69731123941942e-05,9.925579993,Inflammation/Immune/Stress/Toxic/Detox,0.174266752
ADGRE5,-2.432837292,5.528501774,-7.62833516,1.30131966530173e-08,1.92445158195583e-05,9.168811951,Matrisome/cell adhesion/binding/signaling,0.022693213
RBMS1,-0.981674188,8.566247882,-7.548325353,1.61564280193007e-08,2.21862377622183e-05,9.524484414,NA,0.256904303
