gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
FLT1,6.833097864,5.356494565,50.9078452,7.85636418170681e-78,2.23835671901009e-73,167.3793035,Development (differentiation),0.672355411
MECOM,6.227245451,5.469756921,42.81160308,5.114046330462e-70,7.28521470005964e-66,149.512919,NA,0.618176893
ANO2,5.379916174,5.857417774,41.38982215,1.64548315397758e-68,1.56271535133251e-64,146.0245021,NA,0.638629283
VWF,7.112070863,4.417422892,41.2666195,2.23394001599519e-68,1.59117962489297e-64,145.6575138,NA,0.663280509
ARL15,4.055281491,8.458991172,40.29967722,2.53186991412562e-67,1.44271011446706e-63,143.3236545,NA,0.729513748
PECAM1,5.355267604,4.489849973,36.97920018,1.58531098826316e-63,7.52784922776763e-60,134.3705262,Matrisome/cell adhesion/binding/signaling,0.454422322
PIK3R3,5.197204721,5.388427903,34.54971731,1.47010520270914e-60,5.98353819005516e-57,127.7756463,Metabolism (other),0.430312881
CALCRL,5.195651504,3.963090234,33.8918306,1.00214143607366e-59,3.56900145689681e-56,125.5548766,Transport,0.284708113
STC1,6.306530719,3.302038657,33.48326875,3.35256450009734e-59,1.06131016858082e-55,124.3145695,NA,0.265881078
LDB2,4.98955772,6.623292506,33.06179165,1.18021638354061e-58,3.36255449834555e-55,123.4506895,NA,0.686441826
NOTCH4,6.217158575,2.815180535,32.37811888,9.3505307513902e-58,2.42187246943507e-54,120.9006694,Development (differentiation),0.333739672
ATP8B1,4.344765136,5.537396222,31.85430089,4.67789349522293e-57,1.1106488631033e-53,119.7055199,Metabolism or Transport (lipid),0.388324529
PKHD1L1,5.569060793,3.578463659,30.2865874,6.59823512044126e-55,1.44607936012686e-51,114.5852821,NA,0.211431667
SHANK3,5.113077141,3.713519004,29.43519262,1.0565652783076e-53,2.15018581030442e-50,111.7594158,NA,0.34660707
UGCG,3.571874533,6.237619356,29.24604349,1.97321670814833e-53,3.74792781545694e-50,111.4424504,Metabolism or Transport (lipid),0.363537857
TEK,5.053155728,3.472387853,28.24321678,5.70832190807697e-52,1.01647374676888e-48,107.7609287,NA,0.253690912
ST8SIA6,4.943017683,4.207514929,28.10312537,9.20030738375487e-52,1.54191739806212e-48,107.5087421,Matrisome/cell adhesion/binding/signaling,0.287417039
IVNS1ABP,4.23811631,5.280098469,27.09870014,2.97427624768659e-50,4.70778358737993e-47,104.11803,NA,0.297846404
TFPI,4.425737761,4.701667751,27.02865678,3.80369001848997e-50,5.70373327983146e-47,103.8205981,NA,0.308953
BTNL9,5.611123037,3.019833134,26.99224089,4.32339231857397e-50,6.15888852742455e-47,103.5118968,Inflammation/Immune/Stress/Toxic/Detox,0.241365299
EFNB2,4.762677433,4.126668269,26.88139045,6.389613471352e-50,8.6688798767757e-47,103.248686,NA,0.262088582
ATP10A,4.185221193,4.939839938,26.27295353,5.57127334015225e-49,7.21505221519444e-46,101.2068869,Metabolism or Transport (lipid),0.261682243
IGFBP3,6.889655349,2.354828328,26.17776955,7.84374291422185e-49,9.71635127691716e-46,100.7734941,Development (differentiation),0.193281864
DIPK2B,5.459948133,2.667684747,26.07355047,1.14194877991046e-48,1.3556359453512e-45,100.1731003,NA,0.197887038
