gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
LINC02147,4.354445121,8.147153151,18.5633758,3.2455452071769e-16,4.93809703271966e-12,26.79296059,NA,0.55474934
LRRC1,3.356619513,7.36745469,15.01128836,4.45793210683854e-14,3.39137185027742e-10,22.09886298,NA,0.457124011
AF064858.1,3.054818303,5.768094561,13.79732257,2.98937366348177e-13,1.33611129848406e-09,20.06141821,NA,0.158311346
TBC1D4,2.708462168,7.592602689,13.6980875,3.51261596709578e-13,1.33611129848406e-09,20.14020165,NA,0.372691293
LDLRAD3,2.133425601,8.174438817,13.10916031,9.32336247170307e-13,2.36424933344937e-09,19.22770783,NA,0.472295515
TSHZ2,2.96998254,9.250266629,13.15499144,8.63110267771765e-13,2.36424933344937e-09,19.33466476,NA,0.658311346
ADGRG6,4.157453704,5.883521785,12.10892115,5.29084005028131e-12,1.00625164206288e-08,17.42110528,Matrisome/cell adhesion/binding/signaling,0.285620053
TLL1,3.01492936,7.519519133,12.10931144,5.28715088198303e-12,1.00625164206288e-08,17.52118712,Matrisome/cell adhesion/binding/signaling,0.376649077
HS3ST2,4.227157696,5.953478021,11.86205435,8.251742460157e-12,1.39500290590321e-08,16.9816682,Metabolism (other),0.180738786
TRPM6,2.059172197,6.132694631,11.70679643,1.09497695188532e-11,1.66600743229351e-08,16.73225634,Transport,0.190633245
ANKS1A,1.864234572,7.673615371,11.26760775,2.47299091852701e-11,3.42059607503531e-08,16.02116387,NA,0.37005277
LEF1,2.598951488,6.292305825,10.92914251,4.70314861231257e-11,5.90979806043454e-08,15.3531434,Development (differentiation),0.243403694
PKHD1L1,3.867300934,7.375444962,10.89215749,5.04944954227072e-11,5.90979806043454e-08,15.29959264,NA,0.384564644
CDH2,2.592784143,6.138547139,10.73291625,6.86898113967837e-11,7.46511057430045e-08,14.98173307,Matrisome/cell adhesion/binding/signaling,0.187335092
NOSTRIN,2.434681932,6.399745809,10.68381173,7.55732348763462e-11,7.66564512429072e-08,14.88146239,Metabolism (other),0.256596306
AFF3,3.263924832,7.583045433,10.56277627,9.57488506231758e-11,9.03560237295724e-08,14.69703213,NA,0.286939314
SEMA6A,2.297462479,6.501585766,10.53580918,1.00956451094494e-10,9.03560237295724e-08,14.62311155,Development (differentiation),0.267150396
SLC19A3,3.901756363,3.921807999,10.32303853,1.53797468091425e-10,1.30001582056168e-07,13.88959083,Transport,0.095646438
LHFPL6,1.588472643,9.291815206,10.26430794,1.72915253743892e-10,1.38468715037543e-07,14.09620599,NA,0.566622691
ATP10A,2.101207317,8.7129419,10.09512926,2.42907251112391e-10,1.84791691283751e-07,13.76995015,Metabolism or Transport (lipid),0.44591029
KCTD8,2.844406102,7.555566723,10.02591898,2.7942804701248e-10,2.02452273109281e-07,13.64418919,Transport,0.335751979
CCSER1,1.685056877,8.502906638,9.980959467,3.0614297369598e-10,2.11725697490197e-07,13.54584793,NA,0.432717678
IL1R1,3.492685939,8.15961751,9.774627159,4.67006262702744e-10,3.08934795087924e-07,13.12787785,Inflammation/Immune/Stress/Toxic/Detox,0.505936675
IL18R1,2.336309083,5.85577911,9.648758809,6.05827543692968e-10,3.84069419887021e-07,12.86679689,Inflammation/Immune/Stress/Toxic/Detox,0.172823219
DNM3,1.461770782,8.105716478,9.599563436,6.71063049455915e-10,4.0840897189887e-07,12.77728244,NA,0.408970976
NKAIN2,-2.191992704,8.081576084,-9.531563152,7.7335053656737e-10,4.52558785148944e-07,12.64516638,Transport,0.100923483
ARL15,-1.740310551,11.67800015,-9.389383558,1.04240157851324e-09,5.87412593225145e-07,12.26238004,NA,0.606860158
POSTN,4.034684899,6.648840783,9.320545893,1.20564041951967e-09,6.55136392249706e-07,12.2128359,NA,0.228891821
ZNF385D,1.902242999,7.81762791,9.278883815,1.31700356923192e-09,6.90972734684955e-07,12.11491052,NA,0.309366755
SLC7A5,4.362756082,5.872661453,9.212933638,1.5153911580999e-09,7.68555882349665e-07,11.98331381,Transport,0.277704485
SHROOM2,1.92567535,5.653278846,9.110820278,1.88522365743759e-09,9.25279933803642e-07,11.76334438,Development (differentiation),0.156332454
ABCB1,1.918959568,9.071386346,8.905059474,2.93944352935384e-09,1.39761354059746e-06,11.27784954,Metabolism or Transport (lipid),0.547493404
SAMD5,3.109972189,5.101492595,8.866765258,3.19472151846196e-09,1.47296023949693e-06,11.23929485,NA,0.123350923
ACKR1,4.212510289,3.853622318,8.829356221,3.4661386842198e-09,1.55109706118836e-06,11.00295954,Immune/Inflammation/Stress/Toxin,0.083113456
ST6GAL1,1.411104043,9.164306645,8.812374556,3.59706213285414e-09,1.56369429575359e-06,11.07905482,Metabolism or Transport (lipid),0.556728232
SLC7A1,2.343823309,6.173242608,8.775649715,3.89786652559329e-09,1.64738997741394e-06,11.06666276,Transport,0.201187335
FAR2,1.597250323,5.661656367,8.676470896,4.84627363802797e-09,1.99286630817826e-06,10.84963027,NA,0.131926121
IL6R,1.803561994,6.331897964,8.645121674,5.19303729818826e-09,2.07926480241933e-06,10.78655862,Inflammation/Immune/Stress/Toxic/Detox,0.175461741
CACNA1C,1.715246537,8.096232796,8.631410823,5.35261345376745e-09,2.08820547946338e-06,10.72054805,Transport,0.377968338
TPO,3.848635709,3.806856292,8.608225181,5.63401914301802e-09,2.14304003152548e-06,10.56499355,NA,0.048153034
FENDRR,3.566682473,5.00206382,8.516990279,6.89734140359452e-09,2.55958657209001e-06,10.49739666,NA,0.174802111
CEMIP2,1.894187477,8.45568948,8.417292194,8.61478135268139e-09,3.1208071019297e-06,10.23251635,NA,0.478891821
ABLIM1,1.478654904,9.084464372,8.372610141,9.52153840597849e-09,3.26577155690361e-06,10.11057371,Motility,0.537598945
PLCXD3,2.771692745,7.488512345,8.374602556,9.4790894067052e-09,3.26577155690361e-06,10.16762151,NA,0.324538259
SLC1A1,2.529365314,7.033972755,8.366226118,9.65887085512076e-09,3.26577155690361e-06,10.16272819,Transport,0.29353562
