gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ITM2B,-1.717420324,7.020084012,-13.68764148,1.41E-14,4.33E-10,23.27081476,Matrisome/cell adhesion/binding/signaling,0.161397107
CD59,-1.839927796,7.523369091,-11.16037744,2.63E-12,8.69E-09,18.09644842,NA,0.203821808
COMMD8,-1.59974079,3.022774855,-11.47237304,1.32E-12,8.69E-09,18.48905602,NA,0.0144483
DNAJB9,-1.759519702,3.84778279,-11.17279993,2.56E-12,8.69E-09,18.01278764,Metabolism (other),0.023610442
EIF4B,-1.155567665,6.627817409,-11.36227771,1.68E-12,8.69E-09,18.55526161,NA,0.181151482
EIF4G1,-1.257755471,6.091780894,-11.25900438,2.11E-12,8.69E-09,18.33474766,NA,0.120952225
HSP90AB1,-2.517007336,6.864467374,-11.12671698,2.83E-12,8.69E-09,18.04470756,Metabolism (other),0.093756598
NCL,-1.675130311,5.483057301,-11.40057365,1.55E-12,8.69E-09,18.6244098,NA,0.069660164
RPL32,-1.900147288,5.41920624,-11.65733749,8.87E-13,8.69E-09,19.16388259,NA,0.059689364
RPLP1,-2.285063744,6.456898615,-11.34089924,1.76E-12,8.69E-09,18.51172019,NA,0.094421849
CALM1,-1.39294981,7.233491548,-10.86251502,5.11E-12,1.03E-08,17.4391879,Transport,0.216031358
PNMA8A,-1.814610193,2.82272913,-10.84054415,5.37E-12,1.03E-08,17.1145477,NA,0.011751443
PRNP,-1.602147752,7.369113248,-10.85918424,5.15E-12,1.03E-08,17.42904772,NA,0.192261575
RPL38,-1.730896003,5.144934202,-10.91449794,4.55E-12,1.03E-08,17.56466801,NA,0.054423124
SARAF,-1.583258631,6.103443739,-10.9746291,3.97E-12,1.03E-08,17.71309129,NA,0.109818231
UBB,-2.641370352,4.503744315,-10.89927709,4.70E-12,1.03E-08,17.46828982,Metabolism (other),0.025195891
RPS6,-2.331011599,5.719090633,-10.81023006,5.75E-12,1.04E-08,17.344851,NA,0.062481825
CA2,-1.867545623,7.573501225,-10.75861144,6.46E-12,1.10E-08,17.19748131,Inflammation/Immune/Stress/Toxic/Detox,0.198826449
MT-ND5,-3.944870046,8.392321678,-10.6608528,8.07E-12,1.18E-08,16.99195558,NA,0.117327204
NDUFA1,-1.896582753,4.388190685,-10.66427652,8.01E-12,1.18E-08,16.97586415,NA,0.029956221
RPL26,-1.666188915,4.999952144,-10.68192441,7.69E-12,1.18E-08,17.04835266,NA,0.051558958
EEF1A1,-3.319284493,8.23707663,-10.52609973,1.10E-11,1.52E-08,16.66964272,NA,0.175566559
RFK,-1.899217423,2.552882723,-10.4920555,1.19E-11,1.52E-08,16.32931657,NA,0.010110225
SERF2,-2.261497876,6.798041936,-10.5013353,1.16E-11,1.52E-08,16.64722131,NA,0.131138137
TSPYL1,-2.340526792,5.125795982,-10.40403822,1.45E-11,1.79E-08,16.4232841,NA,0.047527616
H3F3B,-2.462655716,4.11877911,-10.20692605,2.30E-11,2.50E-08,15.92038083,NA,0.019889815
ICMT,-1.73333371,3.619451716,-10.1952702,2.36E-11,2.50E-08,15.86627463,NA,0.02294519
LDHB,-1.497413513,6.223752359,-10.22232248,2.22E-11,2.50E-08,16.01382145,NA,0.119721312
RPL7,-1.998445983,4.592794354,-10.24131582,2.12E-11,2.50E-08,16.04082458,NA,0.033899926
EIF1,-2.057319297,5.024350241,-10.11565111,2.85E-11,2.73E-08,15.77231074,NA,0.043591878
EIF4G2,-1.320135888,6.706911322,-10.13198251,2.74E-11,2.73E-08,15.78820746,NA,0.170662821
PDE12,-1.257394617,3.862988108,-10.11873362,2.83E-11,2.73E-08,15.73417672,Metabolism (other),0.028004286
RPL34,-1.523967676,5.555736155,-10.06358187,3.22E-11,2.99E-08,15.65701681,NA,0.079320249
UHMK1,-1.247111071,5.816141148,-10.04406812,3.37E-11,3.04E-08,15.60788649,NA,0.100711859
NGRN,-1.731373128,4.826589414,-9.993358738,3.80E-11,3.08E-08,15.48892896,Development (differentiation),0.044575813
PPIA,-1.981851642,5.146292818,-9.982524792,3.90E-11,3.08E-08,15.46738279,NA,0.056315305
PRDX1,-2.330810921,4.504355804,-9.985483551,3.87E-11,3.08E-08,15.45282361,Metabolism (other),0.027705521
PSAP,-2.175062067,6.97986502,-10.00434203,3.70E-11,3.08E-08,15.49207102,NA,0.151123557
PTMA,-1.978787631,5.788392709,-9.972151847,3.99E-11,3.08E-08,15.44410768,NA,0.076758833
TPT1,-1.59359258,6.786008824,-9.969853944,4.01E-11,3.08E-08,15.40914758,NA,0.142092872
CKAP4,-1.732900444,4.092500528,-9.936871625,4.34E-11,3.25E-08,15.32724423,NA,0.027410739
FTH1,-2.605466527,6.295459975,-9.889341836,4.86E-11,3.55E-08,15.24740914,NA,0.0796708
HNRNPH2,-1.706746682,3.705101189,-9.84532736,5.39E-11,3.85E-08,15.09548324,NA,0.021770046
MT-CO3,-5.427526416,10.04285095,-9.831856187,5.57E-11,3.89E-08,15.01857977,NA,0.085180036
MT-ND2,-4.987505569,8.863619145,-9.773968021,6.40E-11,4.18E-08,14.93375318,NA,0.080822043
TMBIM6,-2.338358777,7.768264902,-9.788055681,6.19E-11,4.18E-08,14.94311477,NA,0.187238331
TMSB4X,-3.198570459,3.727335503,-9.779675295,6.31E-11,4.18E-08,14.89300079,NA,0.009683986
SERINC1,-1.634524332,5.778171353,-9.735344069,7.02E-11,4.49E-08,14.8876171,Metabolism or Transport (lipid),0.089653552
ATP1B2,-2.090974509,3.60422025,-9.711983313,7.42E-11,4.65E-08,14.77435553,NA,0.017567411
SAP18,-1.731632256,4.203485712,-9.686362908,7.89E-11,4.85E-08,14.75782581,NA,0.03006776
EIF3F,-1.18817176,4.74430902,-9.656990041,8.47E-11,5.07E-08,14.70715367,NA,0.056132062
MXRA7,-1.279598995,6.880724528,-9.643623656,8.75E-11,5.07E-08,14.62638537,NA,0.200666845
SELENOP,-2.661173497,4.332305101,-9.647185847,8.67E-11,5.07E-08,14.65933124,Metabolism (other),0.025028582
TMEM33,-1.276824626,5.312671648,-9.613754742,9.40E-11,5.35E-08,14.60460674,NA,0.07432489
MAP1B,-2.433145007,4.475502273,-9.601649275,9.68E-11,5.40E-08,14.55858566,NA,0.024239841
GLUL,-1.633932491,5.74433795,-9.593990276,9.86E-11,5.41E-08,14.55282109,Metabolism (other),0.079818191
