gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
AL031073.2,2.329596847,2.913875052,13.0075332,5.37E-14,8.25E-10,21.83718319,NA,0.016540986
SGCD,2.678436869,3.518577217,13.3022752,2.99E-14,8.25E-10,22.48378423,NA,0.028741517
PPFIA2,2.789260359,2.437761694,12.27584124,2.39E-13,2.45E-09,20.37131188,NA,0.01545069
AC090578.1,2.42106448,3.156890126,12.07623669,3.63E-13,2.79E-09,20.02374767,NA,0.019977697
AC008691.1,2.431672108,3.178710972,11.90615648,5.21E-13,2.95E-09,19.67386358,NA,0.020106211
ANKS1B,1.955916916,5.047885479,11.85850356,5.76E-13,2.95E-09,19.61159967,NA,0.051824276
AL807742.1,2.316278036,2.4579865,11.31836589,1.85E-12,3.56E-09,18.39143168,NA,0.01168233
ANK3,2.582593126,3.90514081,11.45085734,1.39E-12,3.56E-09,18.74820196,NA,0.033214631
CACNA1D,1.979503925,3.394706149,11.36148037,1.69E-12,3.56E-09,18.53591869,Transport,0.018800343
COL24A1,2.272812283,2.675343642,11.5345589,1.16E-12,3.56E-09,18.85892162,Matrisome/cell adhesion/binding/signaling,0.012822373
GPC5,2.509766797,4.217491101,11.31783356,1.86E-12,3.56E-09,18.46195492,NA,0.038993612
KHDRBS2,2.864407685,2.631898805,11.60583672,9.91E-13,3.56E-09,19.02011444,NA,0.017747358
NCAM2,2.854134749,3.620862498,11.50095889,1.24E-12,3.56E-09,18.8525624,NA,0.035183796
PCDH15,2.514217509,4.019460431,11.3827651,1.61E-12,3.56E-09,18.60232187,Development (differentiation),0.035826365
RYR2,2.025748533,4.491695323,11.34856765,1.74E-12,3.56E-09,18.52817451,Transport,0.038089869
ZNF804B,2.85106844,2.734536854,11.47116088,1.33E-12,3.56E-09,18.7542295,NA,0.016856052
PTPRD,2.089432216,5.351583795,11.24701581,2.17E-12,3.70E-09,18.28623496,NA,0.079653759
TMEM178B,2.293784841,2.714103173,11.24803688,2.16E-12,3.70E-09,18.2615394,NA,0.012896994
PTPRT,2.733250749,3.527488069,11.22070564,2.30E-12,3.72E-09,18.24855171,NA,0.030980147
ENOX1,2.017726544,3.071339613,11.19735253,2.42E-12,3.72E-09,18.17276811,NA,0.016901654
AL591501.1,2.431070715,2.54182351,11.1040607,2.98E-12,4.35E-09,17.9481845,NA,0.013630767
RBFOX1,2.611557098,5.906180199,11.07958912,3.14E-12,4.39E-09,17.87337373,NA,0.13446702
MDGA2,2.883161379,3.638285842,10.99992776,3.75E-12,4.92E-09,17.76875218,NA,0.03056144
NKAIN2,2.862626419,3.721786687,10.98881372,3.85E-12,4.92E-09,17.74433667,Transport,0.034010588
AC011246.1,2.291210425,3.492640347,10.88165422,4.89E-12,6.01E-09,17.50476438,NA,0.021449388
DCC,2.521467331,3.720008671,10.84301295,5.34E-12,6.07E-09,17.4220146,NA,0.028534237
IL1RAPL1,2.779901195,4.63951067,10.8566773,5.18E-12,6.07E-09,17.43411047,Inflammation/Immune/Stress/Toxic/Detox,0.072274572
CNTN4,2.462807662,4.158076333,10.82320201,5.58E-12,6.12E-09,17.37529806,Matrisome/cell adhesion/binding/signaling,0.034889457
SPOCK3,2.974699828,2.506368895,10.69956332,7.39E-12,7.82E-09,17.07513376,Matrisome/cell adhesion/binding/signaling,0.017548369
DACH1,2.287982429,2.868306751,10.61767546,8.90E-12,8.54E-09,16.90280148,Development (differentiation),0.013630767
EYS,2.25398649,4.547434351,10.62317687,8.79E-12,8.54E-09,16.91870518,NA,0.04041141
IL1RAPL2,2.358759168,3.602076776,10.62622096,8.73E-12,8.54E-09,16.93809666,Inflammation/Immune/Stress/Toxic/Detox,0.026996215
MSR1,2.633392729,2.94349964,10.59510828,9.37E-12,8.72E-09,16.86185797,NA,0.020877294
CTNNA3,2.459627877,4.913112673,10.5532868,1.03E-11,9.32E-09,16.74277392,NA,0.06146282
LINC02336,2.15721791,3.031181334,10.53910202,1.07E-11,9.35E-09,16.72886097,NA,0.015069294
KCNH8,2.11244573,2.462304387,10.45969553,1.28E-11,1.09E-08,16.51818934,Transport,0.010786878
NMNAT2,2.064094273,2.741751445,10.42867355,1.37E-11,1.14E-08,16.4746541,NA,0.011827427
AOAH,2.490820236,2.512381181,10.40716669,1.44E-11,1.15E-08,16.42244406,Metabolism or Transport (lipid),0.012540472
NLGN4X,2.466268137,2.451542945,10.4029069,1.46E-11,1.15E-08,16.40442752,NA,0.012349773
ERVMER61-1,2.024574898,3.622157714,10.38005478,1.54E-11,1.18E-08,16.38229856,NA,0.022887915
CAMK4,2.082797914,2.119021825,10.32927783,1.73E-11,1.30E-08,16.20981106,Transport,0.008361696
EMCN,2.303935728,2.766753455,10.31325523,1.79E-11,1.30E-08,16.21774831,NA,0.013659786
KIAA1211,2.263568873,2.278017026,10.30365376,1.84E-11,1.30E-08,16.16442874,NA,0.00910376
LUZP2,2.483159,2.801735937,10.2973287,1.86E-11,1.30E-08,16.18077939,NA,0.014588403
DGKB,2.637649629,3.350589691,10.27861796,1.94E-11,1.33E-08,16.1515288,NA,0.021436951
LRP2,2.392623173,1.771211353,10.19083631,2.39E-11,1.59E-08,15.87388671,Metabolism or Transport (lipid),0.00760305
ADGRB3,3.172718081,3.655576894,10.17712746,2.46E-11,1.61E-08,15.91374073,Matrisome/cell adhesion/binding/signaling,0.040809389
OBI1-AS1,2.319425278,2.919569877,10.16678994,2.52E-11,1.62E-08,15.88971734,NA,0.014012163
DOCK10,2.573926762,3.299281935,10.13700063,2.71E-11,1.67E-08,15.82672329,NA,0.025910065
LINC02147,2.714462608,2.415145093,10.13586772,2.71E-11,1.67E-08,15.81054217,NA,0.014347958
PCSK2,2.553091842,1.801352777,10.12659875,2.77E-11,1.67E-08,15.73938569,Metabolism (other),0.008079795
LINC02755,2.266219359,3.132388018,10.11513998,2.85E-11,1.68E-08,15.77415066,NA,0.017983658
CCDC26,2.120507096,3.644951981,10.09877495,2.96E-11,1.72E-08,15.7380176,NA,0.022166579
