gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
SRGAP1,-4.276332587,7.17785373,-36.81932926,2.11E-33,6.61E-29,66.02486929,NA,0.029218937
CMIP,-4.220893048,7.394591403,-34.76491868,2.14E-32,3.36E-28,63.80337657,NA,0.03573369
ARHGEF2,-4.338900908,5.300442009,-33.36310153,1.12E-31,8.87E-28,61.57407047,NA,0.008777755
LDLRAD3,-4.014671376,7.261146938,-33.35620466,1.13E-31,8.87E-28,62.17206178,NA,0.037141167
MAML3,-4.713684883,7.28353028,-32.89890814,1.97E-31,1.24E-27,61.59322626,NA,0.026102135
PALM2-AKAP2,-4.789084145,6.978809389,-32.35602444,3.83E-31,2.01E-27,60.89113645,NA,0.020134159
EEPD1,-3.50944747,6.479302469,-31.6183834,9.66E-31,4.33E-27,59.99720506,NA,0.027940824
PCSK5,-3.992518464,6.122349433,-31.25745648,1.53E-30,6.00E-27,59.4198677,Metabolism (other),0.018793951
NAV1,-2.87298695,7.019567371,-30.79366611,2.78E-30,9.69E-27,59.02215102,NA,0.055407314
ATP10A,-5.030408307,5.698354561,-29.90862025,8.89E-30,2.79E-26,57.42845158,Metabolism or Transport (lipid),0.007948103
DGKH,-3.420128631,6.18123984,-29.73847076,1.12E-29,2.92E-26,57.57417244,NA,0.026372936
SESTD1,-3.178889542,7.471491918,-29.77184594,1.07E-29,2.92E-26,57.69262455,NA,0.06714146
GNB4,-4.468291312,4.873079003,-29.6580479,1.24E-29,3.00E-26,56.89027273,NA,0.006206006
BAZ1A,-2.312881239,6.519143226,-29.37585797,1.82E-29,4.08E-26,57.15077973,NA,0.055098566
ELL2,-4.404990952,7.822365971,-29.21571004,2.26E-29,4.73E-26,56.94343294,NA,0.047343647
KLF7,-4.604281469,6.199968911,-29.10548712,2.63E-29,5.15E-26,56.62313463,NA,0.014255874
SH3PXD2A,-3.384430633,6.61441959,-27.83714151,1.54E-28,2.84E-25,55.0147117,Matrisome/cell adhesion/binding/signaling,0.038205398
MAN1A1,-4.025406697,6.656287624,-27.66691605,1.96E-28,3.42E-25,54.7539859,Metabolism (other),0.02353556
DOCK4,-3.065491063,8.866107984,-27.60734867,2.13E-28,3.53E-25,54.58141594,NA,0.139931799
EPB41L2,-3.689825311,7.506551577,-27.49976998,2.49E-28,3.55E-25,54.54902057,NA,0.049197859
PLCB1,-4.445646253,7.85965379,-27.56353644,2.27E-28,3.55E-25,54.63834331,Metabolism or Transport (lipid),0.036623712
WIPF1,-2.132783801,6.791626954,-27.5036658,2.48E-28,3.55E-25,54.55491599,NA,0.067262199
ECE1,-4.661957047,6.26168315,-27.34263705,3.12E-28,4.26E-25,54.21438827,NA,0.014416285
FYN,-4.841776684,6.906465691,-26.98807102,5.23E-28,6.84E-25,53.770411,NA,0.018504177
ARRB1,-4.379970182,5.565894945,-26.94394956,5.58E-28,7.00E-25,53.49719464,NA,0.010485355
CCDC88A,-2.551720725,7.596905136,-26.91008818,5.86E-28,7.08E-25,53.66206884,NA,0.100243031
TMEM131L,-3.992525564,5.607536564,-26.5492206,9.97E-28,1.16E-24,53.05422954,NA,0.01237234
AL589843.1,-2.859268689,4.245274223,-26.19294646,1.70E-27,1.82E-24,52.30907492,NA,0.009760919
BAHCC1,-4.017233726,3.911245763,-26.18177622,1.73E-27,1.82E-24,51.91583258,NA,0.004475982
HIP1,-2.130168898,8.358682942,-26.17626745,1.74E-27,1.82E-24,52.43623703,NA,0.165656193
GPR137B,-3.71479604,4.269757793,-26.13402075,1.85E-27,1.88E-24,52.0903307,NA,0.005712699
ARHGAP24,-3.877439016,6.897243091,-26.09613579,1.96E-27,1.92E-24,52.48530384,NA,0.031199063
ARRDC2,-5.256554786,3.939374067,-26.07716445,2.02E-27,1.92E-24,51.5746044,NA,0.002074993
PHACTR1,-3.563653471,7.698327141,-26.01625342,2.21E-27,2.05E-24,52.34187236,Matrisome/cell adhesion/binding/signaling,0.058396477
ATP8B1,-4.574255564,6.25284017,-25.97967171,2.34E-27,2.10E-24,52.23803754,Metabolism or Transport (lipid),0.014436984
PRR5L,-3.829408541,4.87917122,-25.92480277,2.54E-27,2.22E-24,51.92658706,NA,0.009710898
ROCK2,-1.617861578,7.774649976,-25.89849774,2.65E-27,2.25E-24,52.07926131,NA,0.165730361
ATOH8,-4.508212461,4.816056213,-25.72982257,3.42E-27,2.83E-24,51.58962141,Development (differentiation),0.006002473
EFCAB13,-4.421686016,5.106056807,-25.62879259,3.99E-27,3.21E-24,51.52619435,NA,0.006973563
ITPR2,-2.064022622,8.36398346,-25.5762036,4.33E-27,3.40E-24,51.53640467,NA,0.174201093
DPYD,-3.729958593,8.459772004,-25.36348797,6.00E-27,4.50E-24,51.26522433,NA,0.088207037
GLRX,-4.42662838,3.604375284,-25.36147431,6.02E-27,4.50E-24,50.55424068,NA,0.00244756
GRK5,-3.744926884,7.379464483,-25.29281655,6.69E-27,4.88E-24,51.25718906,NA,0.04405781
LRCH1,-2.176803674,7.272710512,-25.2796694,6.83E-27,4.88E-24,51.19745503,NA,0.094890826
PRKCH,-4.767292637,6.886933933,-25.16635346,8.15E-27,5.69E-24,51.05963638,NA,0.020053091
BICD1,-1.803214179,7.113416883,-25.11786789,8.78E-27,6.00E-24,50.95421512,Cilia,0.095082284
KLHL2,-3.680415822,5.300537014,-25.00035831,1.06E-26,7.05E-24,50.65645861,Metabolism (other),0.013598707
PHIP,-1.481284988,8.192796098,-24.96946016,1.11E-26,7.25E-24,50.56559336,NA,0.205420854
PPM1L,-1.834257991,7.315793921,-24.90830796,1.22E-26,7.81E-24,50.5968504,Metabolism (other),0.094795959
PIP4K2A,-3.51081616,7.510357971,-24.8880028,1.26E-26,7.91E-24,50.61076635,Metabolism or Transport (lipid),0.059008798
