gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CBLB,2.710449907,8.737573993,26.02703614,4.19E-18,1.25E-13,31.52190471,NA,0.670434919
ABCA10,2.79749087,7.039107513,21.93642949,1.61E-16,1.21E-12,27.82168305,Metabolism or Transport (lipid),0.378133668
ABCA6,3.012714286,7.077211567,22.236109,1.21E-16,1.21E-12,28.11000298,Metabolism or Transport (lipid),0.488669074
PDGFRA,2.416509557,6.745451431,22.1148836,1.36E-16,1.21E-12,27.92330459,Development (differentiation),0.362589627
A2M,4.68210557,4.868052442,20.37383122,7.71E-16,4.61E-12,25.94338431,Metabolism (other),0.208562307
RIPOR3,4.309619726,6.243267981,19.76633999,1.46E-15,7.26E-12,25.64950902,NA,0.369602763
S1PR3,2.767776067,5.889996345,19.20455323,2.67E-15,1.14E-11,24.98471909,Inflammation/Immune/Stress/Toxic/Detox,0.289056367
HTR2B,3.286138483,1.599300793,18.76564305,4.33E-15,1.62E-11,22.29486091,NA,0.03312922
ENG,2.678510038,6.660415034,18.50518359,5.80E-15,1.93E-11,24.32795867,NA,0.386664573
C1QTNF1,3.3957821,5.484104256,17.59758997,1.65E-14,4.93E-11,23.20363864,Metabolism or Transport (lipid),0.327785628
NALCN,-1.439847984,8.105380391,-17.31065361,2.32E-14,6.31E-11,22.98818341,NA,0.216308159
COL4A1,2.476001825,7.747126484,16.58312309,5.62E-14,1.21E-10,22.14123076,Matrisome/cell adhesion/binding/signaling,0.47432878
NAV2,2.836495662,8.756202951,16.67134488,5.04E-14,1.21E-10,22.22176512,NA,0.636677657
STC1,3.880893196,4.171264637,16.57935226,5.65E-14,1.21E-10,21.80760962,NA,0.087873554
NPR3,2.41895359,4.478887995,16.42670786,6.83E-14,1.36E-10,21.64482801,NA,0.128800963
ACSL4,2.160797428,6.612832298,16.29363475,8.08E-14,1.51E-10,21.76352127,Metabolism or Transport (lipid),0.269639399
GATA2-AS1,2.570308098,3.179707982,16.01965921,1.14E-13,2.01E-10,20.69028381,NA,0.073899618
COL15A1,3.640433825,5.09953307,15.90105252,1.33E-13,2.11E-10,21.17448095,Matrisome/cell adhesion/binding/signaling,0.221960538
SGIP1,2.447835815,6.677706281,15.89675335,1.34E-13,2.11E-10,21.27368872,NA,0.262887947
CALCRL,1.693842347,5.142665916,15.78051764,1.55E-13,2.32E-10,20.9713934,Transport,0.127073847
NAV2-IT1,4.101610321,0.335505177,15.19431984,3.36E-13,4.57E-10,18.14525715,NA,0.023708588
SPON1,3.242656947,5.859563284,15.20821798,3.30E-13,4.57E-10,20.35954539,Development (differentiation),0.235411106
NAV1,1.134299252,8.481087536,15.15616295,3.54E-13,4.60E-10,20.29414738,NA,0.512691684
PAPPA,2.849350979,6.629356784,14.99391814,4.40E-13,5.48E-10,20.09977014,NA,0.319254723
NEURL1B,2.466327913,4.908824188,14.61316628,7.39E-13,8.85E-10,19.46643903,NA,0.16015073
PALM2-AKAP2,1.991553061,6.883828637,14.55642911,8.00E-13,9.20E-10,19.50830685,NA,0.315538808
ENPP6,-2.016124855,7.183174306,-14.40877666,9.82E-13,1.09E-09,19.26968945,Metabolism (other),0.104464332
RND3,1.762213487,5.578263942,14.32661167,1.10E-12,1.14E-09,19.15115965,NA,0.16527974
SH3RF3,1.914328963,8.539600928,14.33904285,1.08E-12,1.14E-09,19.16038404,NA,0.592453028
PLA2G4A,1.816366206,6.104214426,14.13582521,1.44E-12,1.43E-09,18.91557681,Metabolism or Transport (lipid),0.231485843
PTH1R,2.672308288,4.915048604,14.0744207,1.57E-12,1.43E-09,18.77460179,NA,0.169937719
SLC13A3,-2.340340804,7.412065309,-14.09492678,1.53E-12,1.43E-09,18.84147895,Transport,0.103051238
TCF21,3.179039117,1.662946057,14.08518962,1.55E-12,1.43E-09,17.76944219,Development (differentiation),0.040770398
ID2,2.852411597,5.609203458,14.02273979,1.69E-12,1.47E-09,18.74406093,NA,0.238498979
LUM,3.704914075,1.660046856,14.01287187,1.72E-12,1.47E-09,17.75055968,Matrisome/cell adhesion/binding/signaling,0.038572251
MT2A,4.179915718,4.794778652,13.9745491,1.81E-12,1.51E-09,18.61757466,NA,0.149317004
HIF1A,1.853133295,7.31147826,13.80373998,2.32E-12,1.87E-09,18.44387719,NA,0.414664783
DACH1,3.190801316,6.205654404,13.75479276,2.49E-12,1.96E-09,18.38413544,Development (differentiation),0.254304705
ID3,1.987607214,5.583926716,13.59912579,3.12E-12,2.39E-09,18.1376849,NA,0.222640917
RETREG1,-1.879250391,7.876485658,-13.27814154,5.01E-12,3.75E-09,17.69077118,NA,0.164075993
TGM2,2.864927744,5.219314884,13.19865345,5.64E-12,4.12E-09,17.55165253,NA,0.203485634
GGT5,2.367371449,5.340057488,13.17248669,5.87E-12,4.18E-09,17.51850395,NA,0.213795991
FAM20C,2.320148474,6.191649269,13.12464246,6.31E-12,4.29E-09,17.46364322,NA,0.269534725
SNAI1,3.768066789,1.038097296,13.1312193,6.24E-12,4.29E-09,16.32950889,NA,0.023551578
ARHGAP42,1.735803621,7.033422092,13.00413999,7.56E-12,4.84E-09,17.26843277,NA,0.304652745
LXN,2.815240199,5.54200578,13.02200275,7.36E-12,4.84E-09,17.30413857,NA,0.23054378
UGCG,1.387186447,6.028837265,13.00107844,7.60E-12,4.84E-09,17.2774776,Metabolism or Transport (lipid),0.191343487
PKP2,-1.644645478,8.436764452,-12.93938436,8.34E-12,5.20E-09,17.16854848,Matrisome/cell adhesion/binding/signaling,0.243523316
PTGS2,3.903997666,3.093565588,12.91524566,8.66E-12,5.28E-09,16.87157636,NA,0.058355576
LINC00922,1.955378804,5.912462096,12.88581225,9.05E-12,5.42E-09,17.10582556,NA,0.159627362
LAMA2,1.84803658,11.39102674,12.85101901,9.55E-12,5.49E-09,16.66525161,Matrisome/cell adhesion/binding/signaling,0.875542995
MGP,2.939735949,7.231862797,12.8551332,9.49E-12,5.49E-09,17.03059325,NA,0.395457162
SLC7A11,-2.396160206,7.808946528,-12.83719138,9.75E-12,5.50E-09,17.03277904,Transport,0.10383629
C6,1.860666294,4.919555123,12.81882698,1.00E-11,5.55E-09,16.96716121,Inflammation/Immune/Stress/Toxic/Detox,0.124195321
GLRX,1.762438781,4.30943784,12.6967187,1.21E-11,6.58E-09,16.72969001,NA,0.088187575
NR1H4,3.483080058,4.102695737,12.57885026,1.45E-11,7.76E-09,16.56918826,Metabolism or Transport (lipid),0.113518606
PTEN,0.954131408,8.039615445,12.53009495,1.57E-11,8.22E-09,16.50098526,Development (cell cycle),0.481027896
DCN,2.174666917,7.097332535,12.49165977,1.66E-11,8.45E-09,16.47150204,NA,0.363479353
EMP1,1.837762429,5.226107869,12.49059045,1.67E-11,8.45E-09,16.48216743,Matrisome/cell adhesion/binding/signaling,0.145025383
ATP10A,2.022902929,5.449334959,12.45696906,1.76E-11,8.47E-09,16.44663833,Metabolism or Transport (lipid),0.170408751
BMP2,2.576133629,3.659843361,12.46458569,1.74E-11,8.47E-09,16.3249888,NA,0.080284712
TBX2,2.990185041,2.258124986,12.46398706,1.74E-11,8.47E-09,15.96727473,NA,0.040037683
ALCAM,-1.636964104,8.882323471,-12.36644068,2.02E-11,9.61E-09,16.25787911,Matrisome/cell adhesion/binding/signaling,0.279583399
FBLN5,1.486898767,5.827434126,12.31980429,2.18E-11,1.02E-08,16.238545,NA,0.199822055
PGM2L1,2.556577825,4.253628732,12.26027942,2.39E-11,1.10E-08,16.08816996,NA,0.096456796
MT1X,3.062737245,2.730971303,12.20799898,2.60E-11,1.18E-08,15.71318727,NA,0.05134244
FNDC3B,1.318183891,9.110747522,12.18838685,2.68E-11,1.20E-08,15.86865428,NA,0.671167635
IL18,-2.731598481,6.225003842,-12.15780822,2.82E-11,1.24E-08,15.92227529,Inflammation/Immune/Stress/Toxic/Detox,0.04338724
ABCA8,1.720815514,9.131623544,12.08831773,3.15E-11,1.36E-08,15.69207413,Metabolism or Transport (lipid),0.657926414
IL1RL1,4.374390136,3.089582331,11.99426402,3.66E-11,1.56E-08,15.5336455,Inflammation/Immune/Stress/Toxic/Detox,0.079709007
TFPI,1.288950652,6.865967525,11.98013228,3.75E-11,1.58E-08,15.67891093,NA,0.279949757
COL4A2,1.750083918,7.821095802,11.92698112,4.08E-11,1.70E-08,15.52830048,Matrisome/cell adhesion/binding/signaling,0.472496991
SLC22A3,-1.86689061,6.773145621,-11.86280677,4.53E-11,1.86E-08,15.51349132,Transport,0.090961428
EBF2,1.88080605,5.150736659,11.62876226,6.64E-11,2.65E-08,15.13635391,Development (apoptosis),0.136232794
RARRES1,2.589794673,8.154902572,11.62884038,6.64E-11,2.65E-08,15.0075532,NA,0.392264615
ATP1A2,-3.043603759,6.61131633,-11.60852573,6.87E-11,2.66E-08,15.0817638,NA,0.044276967
DLC1,1.879979484,7.053244812,11.61205544,6.83E-11,2.66E-08,15.05948088,NA,0.347725964
SPRY1,3.069509894,2.971419091,11.60262493,6.93E-11,2.66E-08,14.8932088,NA,0.068927618
SPTLC3,-1.363263931,8.86616362,-11.56344578,7.40E-11,2.80E-08,14.94386668,Metabolism or Transport (lipid),0.277123567
SLC16A7,1.153518534,6.809913181,11.53845055,7.71E-11,2.88E-08,14.9620087,Transport,0.242947611
GSE1,1.932676786,7.728581462,11.50174122,8.19E-11,3.03E-08,14.83680826,NA,0.482807348
FJX1,3.03979473,1.631691666,11.43365988,9.18E-11,3.35E-08,14.25374673,NA,0.026534778
AL356737.2,-2.447431556,5.637751585,-11.38708515,9.92E-11,3.56E-08,14.66860559,NA,0.032762862
3-Mar,1.521024516,6.98952975,11.38205891,1.00E-10,3.56E-08,14.6854674,NA,0.252996284
ABCA9,1.514208911,9.159969779,11.32938429,1.09E-10,3.85E-08,14.42121794,Metabolism or Transport (lipid),0.654210499
ANGPT1,2.311629977,5.57217232,11.26850661,1.21E-10,4.21E-08,14.5410544,NA,0.168053593
APOL3,1.609209387,4.083877076,11.26073737,1.23E-10,4.22E-08,14.48136626,Metabolism or Transport (lipid),0.081750144
ARL15,1.311584475,8.020677266,11.24326274,1.26E-10,4.25E-08,14.3853184,NA,0.451719265
PID1,1.371641969,8.25789493,11.24287109,1.26E-10,4.25E-08,14.36754334,NA,0.45925577
FOXF2,1.975503376,2.197645803,11.23427943,1.28E-10,4.26E-08,14.05940562,Development (differentiation),0.03511802
FZD4,1.68866312,4.665846903,11.21952556,1.32E-10,4.32E-08,14.44905405,Development (differentiation),0.118699953
TCF4,1.141364444,8.579363118,11.20619526,1.35E-10,4.37E-08,14.27437056,Development (differentiation),0.55581724
NRP1,1.563357574,7.478496806,11.05702352,1.73E-10,5.57E-08,14.09864751,NA,0.422253624
KCNT2,1.740416126,9.973548968,11.00914827,1.88E-10,5.99E-08,13.77113035,Transport,0.701313655
VMP1,1.223180565,8.133432124,10.95311313,2.07E-10,6.52E-08,13.87404297,NA,0.489925158
AL139383.1,1.813845946,6.662387228,10.93007915,2.16E-10,6.71E-08,13.92597775,NA,0.235097085
GREB1,-1.716000785,6.27420468,-10.91883476,2.20E-10,6.78E-08,13.95765592,NA,0.086774481
P4HA3,2.689375838,3.48973115,10.81759733,2.62E-10,7.99E-08,13.72656074,Matrisome/cell adhesion/binding/signaling,0.066258439
SERPINE2,2.607430161,5.191133002,10.78825785,2.76E-10,8.32E-08,13.73413477,NA,0.09755587
AC099782.2,-2.065840815,4.264084193,-10.77492353,2.82E-10,8.43E-08,13.49170144,NA,0.016852462
GAB2,0.766948874,7.258397256,10.75909158,2.90E-10,8.58E-08,13.61453054,NA,0.311979903
PATJ,-1.462332187,8.286216049,-10.75151398,2.94E-10,8.61E-08,13.59214167,NA,0.282252578
IL4R,1.704214555,7.401774357,10.73739949,3.01E-10,8.74E-08,13.55381272,Inflammation/Immune/Stress/Toxic/Detox,0.434343434
STXBP6,-1.82610902,7.988892859,-10.71512172,3.13E-10,9.00E-08,13.56300069,NA,0.129690689
FAM155A,1.947639956,8.264708172,10.69693305,3.23E-10,9.11E-08,13.39121281,NA,0.376511226
SLC9A2,-2.234460498,4.630301809,-10.70077298,3.21E-10,9.11E-08,13.42849532,Transport,0.02004501
ARHGAP26,1.208129547,8.233362177,10.65459702,3.48E-10,9.71E-08,13.34300823,NA,0.479510127
GRK5,1.339446004,8.685636682,10.65036611,3.51E-10,9.71E-08,13.29017824,NA,0.522635683
SLC6A13,-2.172648586,6.576070224,-10.60156642,3.82E-10,1.05E-07,13.41641262,Transport,0.065473387
FBLN2,2.034408836,3.517028086,10.57416082,4.01E-10,1.09E-07,13.31277457,NA,0.060396713
EML5,-1.323922424,5.866492465,-10.55323486,4.16E-10,1.12E-07,13.33139035,Development (cell cycle),0.075155702
ELL,1.051988426,6.101481262,10.51869488,4.42E-10,1.18E-07,13.24836639,NA,0.219396033
ANKS1B,-1.109024023,8.137474286,-10.49772676,4.59E-10,1.21E-07,13.14288447,NA,0.238289632
LINC01482,-1.403156115,8.07541818,-10.48912111,4.66E-10,1.22E-07,13.14166293,NA,0.204323023
ASAP1,1.083124172,8.257949794,10.45298059,4.97E-10,1.29E-07,12.98002462,NA,0.48741299
ASTN2,-1.281069152,7.36174044,-10.4309777,5.16E-10,1.31E-07,13.07663259,NA,0.172188203
ITGB1,1.011959415,6.543289743,10.43094358,5.16E-10,1.31E-07,13.07290488,Matrisome/cell adhesion/binding/signaling,0.269430052
SPRY4,2.189912436,4.960333311,10.42903646,5.18E-10,1.31E-07,13.11565876,NA,0.152090857
CLMP,1.222224301,8.486172674,10.42337558,5.23E-10,1.32E-07,12.90831866,Matrisome/cell adhesion/binding/signaling,0.506044905
STARD8,1.20393109,5.238013065,10.37523358,5.70E-10,1.42E-07,13.02095871,Metabolism or Transport (lipid),0.138744963
TFPI2,3.175597666,0.937796955,10.33977835,6.08E-10,1.50E-07,12.36281532,NA,0.012456168
TNFRSF19,1.670642416,5.278685163,10.33469941,6.13E-10,1.50E-07,12.94391691,NA,0.136599152
RBMS3,1.189603205,11.22868422,10.32527929,6.24E-10,1.52E-07,12.40953656,NA,0.874025226
HEYL,3.466422789,1.770466691,10.29490888,6.59E-10,1.59E-07,12.57818609,Development (differentiation),0.028366567
AZI2,0.856045845,6.30226459,10.28593052,6.69E-10,1.60E-07,12.8295617,NA,0.22044277
CRISPLD2,2.204753124,5.719235153,10.27390511,6.84E-10,1.62E-07,12.81887917,NA,0.142356205
PAK3,-1.9490964,6.883469295,-10.22621799,7.45E-10,1.76E-07,12.7457408,NA,0.093839954
UNC5C,-1.86368394,9.77725565,-10.20579226,7.73E-10,1.81E-07,12.50155467,NA,0.365625164
THBS1,3.3539191,4.432689825,10.17786332,8.13E-10,1.89E-07,12.67374369,NA,0.089391323
TMEM204,2.084855284,2.628101898,10.16990735,8.25E-10,1.90E-07,12.4910246,NA,0.045690061
ADORA2B,-1.371767137,5.496686556,-10.0873593,9.58E-10,2.17E-07,12.50846454,NA,0.060972418
LAMC3,3.943202392,5.143654618,10.08700288,9.59E-10,2.17E-07,12.49103544,Matrisome/cell adhesion/binding/signaling,0.194902392
AVPR1A,3.762129461,1.953612552,9.991193185,1.14E-09,2.57E-07,12.12694788,NA,0.036374104
ITGA8,1.789153849,9.287591954,9.977974776,1.17E-09,2.59E-07,11.97143295,Matrisome/cell adhesion/binding/signaling,0.651750667
MYL3,2.199499006,2.248343483,9.978982355,1.17E-09,2.59E-07,12.0999811,NA,0.040613388
GFPT2,1.445131001,6.099942988,9.944003189,1.25E-09,2.74E-07,12.20696009,NA,0.199874392
