gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
TFPI,-2.531525597,6.865967525,-22.90416999,6.45E-17,1.93E-12,28.17730009,NA,0.060278083
KCNMA1,3.012596968,10.51858003,19.67402964,1.61E-15,1.60E-11,25.65399134,Transport,0.801506197
SPTLC3,1.768881129,8.86616362,19.77571979,1.44E-15,1.60E-11,25.77173367,Metabolism or Transport (lipid),0.60029399
CFH,-2.417446053,9.318565711,-19.33916816,2.31E-15,1.72E-11,25.29301932,NA,0.224107206
TMOD1,1.239799671,9.334235217,18.76067808,4.35E-15,2.60E-11,24.68480121,NA,0.685480704
NPL,1.684938539,5.41422107,18.54666756,5.53E-15,2.76E-11,24.00407481,Metabolism (other),0.159580359
MYO1B,-2.308328974,6.726971581,-18.33975824,6.99E-15,2.99E-11,23.91229444,NA,0.067879545
LAMA2,-2.76639779,11.39102674,-17.84247912,1.24E-14,4.63E-11,23.6087843,Matrisome/cell adhesion/binding/signaling,0.434481439
LINC02058,-2.764252178,4.993252037,-17.38153601,2.13E-14,5.86E-11,22.28802398,NA,0.020277277
NTN1,2.516920811,7.219237171,17.29979056,2.35E-14,5.86E-11,22.9609667,NA,0.389778802
PTPRE,1.841716701,8.751367587,17.35586365,2.20E-14,5.86E-11,23.07537239,NA,0.561823545
SULF1,1.891820505,8.607112973,17.53744894,1.77E-14,5.86E-11,23.28939872,NA,0.548845685
PLEKHA6,1.773085751,7.697268539,17.19944994,2.65E-14,6.10E-11,22.87020686,NA,0.442868218
RAPGEF5,-2.184856049,6.527238852,-16.88450204,3.88E-14,8.29E-11,22.28331239,NA,0.059835084
COL4A2,-2.595134928,7.821095802,-16.71468431,4.78E-14,9.53E-11,22.24230616,Matrisome/cell adhesion/binding/signaling,0.114706563
FOXP1,1.753940429,11.23561661,16.51681579,6.11E-14,1.14E-10,21.92040985,Development (differentiation),0.887860818
LINC01638,2.255713327,3.72844522,16.43471634,6.77E-14,1.19E-10,21.08364023,NA,0.084532284
SLC47A1,2.734414489,6.705175951,16.36644287,7.37E-14,1.22E-10,21.81289313,Transport,0.347411979
FBLN5,-1.955375554,5.827434126,-16.17347597,9.40E-14,1.41E-10,21.35780642,NA,0.047843903
SLC9B2,2.13465646,6.583647126,16.17721145,9.36E-14,1.41E-10,21.57303147,Transport,0.289429437
COL4A1,-2.614054623,7.747126484,-16.13176521,9.91E-14,1.41E-10,21.53224655,Matrisome/cell adhesion/binding/signaling,0.104084653
ADAMTS12,-3.254265058,6.876786576,-16.00082466,1.17E-13,1.59E-10,21.25664892,NA,0.049625968
SGIP1,-2.65339326,6.677706281,-15.93025012,1.28E-13,1.67E-10,21.17949688,NA,0.046253134
SLC4A4,2.999291328,10.0265026,15.79608344,1.52E-13,1.90E-10,21.07931837,Transport,0.749111485
KCNT2,-2.615139953,9.973548968,-15.6617766,1.81E-13,2.17E-10,20.96142767,Transport,0.24571348
ROBO1,-2.543195897,8.661128446,-15.63082438,1.89E-13,2.17E-10,20.9380334,Development (differentiation),0.176233098
KLF5,1.929128307,5.846144758,15.50673876,2.22E-13,2.46E-10,20.66113224,NA,0.215257292
ABCA9,-2.096694384,9.159969779,-15.43968885,2.43E-13,2.50E-10,20.68699676,Metabolism or Transport (lipid),0.228144539
S1PR3,-2.40383668,5.889996345,-15.4411925,2.42E-13,2.50E-10,20.46078716,Inflammation/Immune/Stress/Toxic/Detox,0.039980669
AFAP1L1,1.953139458,6.471063292,15.38408078,2.61E-13,2.60E-10,20.56547487,NA,0.279310935
AC124854.1,-1.738488896,6.475068559,-15.31480366,2.86E-13,2.76E-10,20.42018606,NA,0.065130936
CACNA2D3,2.302849173,9.014293943,15.25233917,3.11E-13,2.82E-10,20.41590835,Transport,0.693364075
PTGDR,2.506722684,6.510005145,15.25367319,3.10E-13,2.82E-10,20.40728791,Inflammation/Immune/Stress/Toxic/Detox,0.310149714
FOXO1,1.521117765,8.997165098,15.1283646,3.67E-13,3.23E-10,20.25201002,Development (differentiation),0.537086073
PDGFRA,-1.71465372,6.745451431,-15.09255569,3.85E-13,3.29E-10,20.16254641,Development (differentiation),0.081038632
NEGR1,-1.691692009,7.602112082,-14.97215154,4.53E-13,3.76E-10,20.05631847,NA,0.120807869
