gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
TMOD1,3.850052485,6.778799262,28.9203822,3.38E-29,1.06E-24,56.49013188,NA,0.614860187
BICC1,4.12237927,7.093139031,25.08410674,9.26E-27,1.45E-22,50.94363844,NA,0.653457904
LEPR,3.898395496,8.054068005,23.00104073,2.70E-25,2.83E-21,47.54231585,Metabolism or Transport (lipid),0.690123758
NFKBIZ,3.061154658,5.801196676,22.1895257,1.08E-24,8.48E-21,46.1626307,NA,0.339150903
SPTLC3,3.913886922,6.57422336,21.80927803,2.10E-24,1.32E-20,45.53782584,Metabolism or Transport (lipid),0.50714394
SEMA3C,2.703762829,5.661518691,21.63523791,2.85E-24,1.49E-20,45.17468361,Development (differentiation),0.255217022
PKP2,3.706514664,5.915155227,21.03596765,8.35E-24,3.75E-20,44.14219682,Matrisome/cell adhesion/binding/signaling,0.417777104
NNMT,3.31685931,5.268434996,20.86173823,1.15E-23,4.50E-20,43.79208572,NA,0.25912031
ABCA9,3.540062557,6.087741017,20.61991693,1.79E-23,5.98E-20,43.40419416,Metabolism or Transport (lipid),0.372025556
LDLRAD3,1.813891371,7.261146938,20.58533005,1.90E-23,5.98E-20,43.31296384,NA,0.414276013
COL11A1,4.235427609,5.902090777,20.20645052,3.85E-23,1.10E-19,42.63715547,Matrisome/cell adhesion/binding/signaling,0.460957229
MLPH,3.809974782,3.787780666,19.90569734,6.80E-23,1.78E-19,41.79442603,NA,0.173294125
NR2F1-AS1,3.015258411,6.186375255,19.82850283,7.87E-23,1.90E-19,41.93235481,NA,0.402559555
BMPR1B,3.949749885,6.283092521,19.70253642,1.00E-22,1.96E-19,41.69191844,NA,0.458708882
MID1,2.99024736,7.225595638,19.74125737,9.30E-23,1.96E-19,41.739352,NA,0.491543975
TRIB2,3.391610293,4.371729529,19.71100488,9.85E-23,1.96E-19,41.58084991,NA,0.217792928
AFAP1L1,3.722275318,4.376540374,19.42903957,1.69E-22,3.13E-19,41.02973238,NA,0.218063257
MPP6,3.860075626,5.624227747,19.32973321,2.05E-22,3.58E-19,40.97063511,NA,0.401141976
CLMP,3.996122274,5.692108806,18.99693723,3.94E-22,6.09E-19,40.32942171,Matrisome/cell adhesion/binding/signaling,0.359208002
ENPP6,3.862361076,4.737356313,18.98045294,4.07E-22,6.09E-19,40.21990075,Metabolism (other),0.272142259
FGF10,4.063108723,3.86312486,19.01222065,3.82E-22,6.09E-19,40.14773529,Development (differentiation),0.140670021
AC092155.1,4.36588369,4.111807592,18.88162383,4.95E-22,6.76E-19,39.94602733,NA,0.2169226
SLC13A3,3.120146397,5.653494851,18.89784784,4.79E-22,6.76E-19,40.11739293,Transport,0.262595027
MCC,2.357387294,6.617141405,18.78744818,5.97E-22,7.81E-19,39.90150446,NA,0.398629893
GDPD5,2.772228298,3.965296274,18.74808255,6.45E-22,8.10E-19,39.64798284,NA,0.144421661
ATP1A2,3.819511691,4.561840257,18.66054633,7.68E-22,9.28E-19,39.59755741,NA,0.170307318
HMGCLL1,3.449762613,3.777724865,18.58478067,8.94E-22,9.50E-19,39.26718656,NA,0.153329333
LINC01197,3.08878137,4.956885342,18.56010651,9.40E-22,9.50E-19,39.44411083,NA,0.236682996
NAV1,1.47154023,7.019567371,18.54541104,9.68E-22,9.50E-19,39.40768599,NA,0.334495968
PLEKHA5,1.749763683,8.165105015,18.59901419,8.69E-22,9.50E-19,39.41793834,NA,0.58339652
SLC47A1,3.846475535,5.07027176,18.55455281,9.50E-22,9.50E-19,39.4218562,Transport,0.254682957
STXBP6,3.821497986,5.674620726,18.5767567,9.09E-22,9.50E-19,39.49739808,NA,0.288929035
PTPDC1,1.60214995,5.373788558,18.52174655,1.01E-21,9.66E-19,39.34191403,NA,0.172456764
EYA2,4.562689656,6.934138882,18.45905435,1.15E-21,1.03E-18,39.21239608,Development (differentiation),0.703613838
JAM2,2.956626109,4.965005322,18.46000127,1.15E-21,1.03E-18,39.22042618,Matrisome/cell adhesion/binding/signaling,0.227933565
KLF5,4.201058985,3.499839584,18.44693788,1.18E-21,1.03E-18,38.97641624,NA,0.165955679
JCAD,2.789067104,4.536289938,18.4051483,1.28E-21,1.09E-18,39.05720849,NA,0.166305129
AOX1,3.945980646,3.86958054,18.36549668,1.39E-21,1.15E-18,38.8898393,NA,0.19291606
SLC9B2,2.987147675,5.133588414,18.33416244,1.48E-21,1.19E-18,38.98143567,Transport,0.220337977
C16orf95,2.616846468,4.564398886,18.31424339,1.54E-21,1.21E-18,38.88643862,NA,0.161287558
SLC35G1,3.089643227,4.303397551,18.22908432,1.83E-21,1.41E-18,38.62778915,Transport,0.167346885
ITGA9,2.222519587,6.769988904,18.20255869,1.94E-21,1.44E-18,38.71280817,Matrisome/cell adhesion/binding/signaling,0.371049734
MAST4,2.388100245,7.944331524,18.19397998,1.97E-21,1.44E-18,38.59171038,NA,0.603743728
SVIL,2.027926565,7.144499875,18.1549698,2.13E-21,1.52E-18,38.57775905,NA,0.410141956
SLC7A2,4.554549113,7.092036393,18.09005248,2.44E-21,1.70E-18,38.43058388,Transport,0.677912796
MN1,2.954497475,4.379117897,17.96663526,3.14E-21,2.14E-18,38.20201171,NA,0.149841429
SDC2,2.414635458,5.823385771,17.88352885,3.73E-21,2.49E-18,38.0958582,Matrisome/cell adhesion/binding/signaling,0.276177415
TBC1D8,1.664714059,7.606889486,17.72622594,5.17E-21,3.38E-18,37.671273,NA,0.45734405
ANXA2,1.7343019,5.790201522,17.70831049,5.36E-21,3.44E-18,37.73290318,NA,0.221551161
IGSF10,3.204020071,3.355626788,17.68124835,5.67E-21,3.56E-18,37.35910495,Inflammation/Immune/Stress/Toxic/Detox,0.104630539
FOXP2,3.037812424,6.97179642,17.62352082,6.40E-21,3.94E-18,37.48624539,Development (differentiation),0.507888994
LINC01482,4.217280572,5.25903332,17.59970207,6.73E-21,4.06E-18,37.50708773,NA,0.351922303
KLF9,2.364580038,6.808666355,17.5131045,8.06E-21,4.78E-18,37.28318404,NA,0.448924288
ARHGAP28,2.807281961,4.416732128,17.44562305,9.29E-21,5.17E-18,37.09866995,NA,0.146933743
LRP1,2.102550078,6.627783755,17.44070436,9.39E-21,5.17E-18,37.14733976,Metabolism or Transport (lipid),0.416023261
PLD1,1.958161027,6.87750659,17.44233072,9.36E-21,5.17E-18,37.13388723,Metabolism or Transport (lipid),0.410379318
ROBO1,1.961733551,7.252168849,17.44120875,9.38E-21,5.17E-18,37.09440237,Development (differentiation),0.308887233
C1QTNF7,3.388296706,3.000405116,17.39778597,1.03E-20,5.57E-18,36.76937483,NA,0.089162441
UACA,1.955954793,8.41677311,17.37696269,1.07E-20,5.72E-18,36.82014389,Metabolism (other),0.688554531
BNC2,4.270491395,8.490353574,17.34065459,1.16E-20,6.07E-18,36.72306998,Development (differentiation),0.81856963
ADAMTS15,4.284343984,3.33233166,17.30509957,1.25E-20,6.44E-18,36.69814246,NA,0.145845833
A4GALT,3.22618745,3.67215606,17.29725606,1.27E-20,6.44E-18,36.72447111,Metabolism (other),0.144105178
PDE8B,2.540641554,6.061466013,17.2465579,1.42E-20,7.06E-18,36.76455304,Metabolism (other),0.291025734
PDE1A,2.865081269,6.614383753,17.23183357,1.46E-20,7.17E-18,36.68656935,Metabolism (other),0.39601891
CRTC3,1.460684164,7.344865456,17.19618872,1.58E-20,7.43E-18,36.57954704,NA,0.419999077
EHBP1,2.040887905,8.029275911,17.19377542,1.58E-20,7.43E-18,36.4927284,NA,0.608636025
RIPOR2,3.169213251,6.071741912,17.1942235,1.58E-20,7.43E-18,36.64350525,NA,0.382476082
ABCD3,1.422404958,6.493513439,17.15906127,1.71E-20,7.88E-18,36.57492235,Metabolism or Transport (lipid),0.277423566
TSPAN18,2.97243417,5.22776463,17.14253987,1.77E-20,8.05E-18,36.54905025,Matrisome/cell adhesion/binding/signaling,0.269445562
TSPAN18,2.97243417,5.22776463,17.14253987,1.77E-20,8.05E-18,36.54905025,Motility,0.269445562
FBN1,2.273426833,7.07938409,17.11518566,1.87E-20,8.41E-18,36.42672503,NA,0.424878187
PODN,3.704733457,3.205350178,16.93641762,2.75E-20,1.22E-17,35.90631346,NA,0.127351368
C1S,2.270917342,5.36428521,16.89522101,3.01E-20,1.31E-17,36.01855815,Inflammation/Immune/Stress/Toxic/Detox,0.240981888
PC,2.087273225,5.472488604,16.86392124,3.22E-20,1.38E-17,35.95099275,Metabolism (other),0.223094015
MPPED2,2.466086429,5.392722295,16.8240836,3.51E-20,1.49E-17,35.86814034,NA,0.201843512
CYP1B1-AS1,2.611050705,5.025627122,16.8045162,3.66E-20,1.53E-17,35.81672482,NA,0.184601792
KLF3-AS1,2.145173441,5.67588811,16.78691665,3.80E-20,1.56E-17,35.78842869,NA,0.232212676
PRDM6,3.351127035,5.286714625,16.78473933,3.82E-20,1.56E-17,35.78379417,Development (differentiation),0.28157081
LAMA4,2.924624547,5.706944322,16.75865967,4.04E-20,1.63E-17,35.71495903,Matrisome/cell adhesion/binding/signaling,0.311557557
SCARA5,4.592988051,3.976983537,16.68827704,4.71E-20,1.87E-17,35.50492113,Inflammation/Immune/Stress/Toxic/Detox,0.206973171
COL1A1,2.90498927,3.58824953,16.62917007,5.36E-20,2.08E-17,35.28081841,Matrisome/cell adhesion/binding/signaling,0.113234916
DLG2,1.686187834,9.12186494,16.63084993,5.34E-20,2.08E-17,35.06982437,Polarity,0.727106094
TNXB,3.257584773,5.571210811,16.61566697,5.52E-20,2.11E-17,35.41268047,Matrisome/cell adhesion/binding/signaling,0.346621216
TNXB,3.257584773,5.571210811,16.61566697,5.52E-20,2.11E-17,35.41268047,Motility,0.346621216
CCDC68,2.672579993,3.777327611,16.60300185,5.67E-20,2.15E-17,35.2716931,NA,0.10245472
NEBL,3.094032992,7.914160086,16.55711092,6.27E-20,2.34E-17,35.09626706,NA,0.656220536
TLE2,2.611359042,4.479731105,16.48570723,7.33E-20,2.71E-17,35.10968412,NA,0.172865554
CA8,3.492042643,4.109011099,16.47121275,7.57E-20,2.73E-17,35.036348,Inflammation/Immune/Stress/Toxic/Detox,0.139819473
MIR100HG,2.701994508,7.848257569,16.47253635,7.55E-20,2.73E-17,34.92311615,NA,0.641128261
SULF2,2.314453276,5.988153926,16.4619512,7.73E-20,2.76E-17,35.068107,NA,0.313456454
AP000547.3,2.767275655,2.141571451,16.3736465,9.39E-20,3.31E-17,34.36580492,NA,0.053050433
NALCN,2.259058289,6.598323179,16.35343192,9.82E-20,3.43E-17,34.80684024,NA,0.402111204
SH3BP5,2.16405922,6.428413231,16.32716972,1.04E-19,3.59E-17,34.75031201,NA,0.345658581
AKAP12,2.723520722,7.112381881,16.25912715,1.21E-19,4.13E-17,34.49792001,NA,0.445146274
IKZF2,1.585450786,5.836843594,16.23474279,1.28E-19,4.31E-17,34.58490227,NA,0.214094035
PLPP3,1.748820363,6.371848269,16.19735302,1.39E-19,4.64E-17,34.46962789,Metabolism or Transport (lipid),0.255177461
