gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ARHGAP24,4.308874061,6.897243091,32.19817935,4.66E-31,1.46E-26,60.81189529,NA,0.619767756
SMAP2,4.068471412,5.84664881,29.92659268,8.68E-30,1.36E-25,57.80896386,NA,0.5
IKZF1,5.664240542,3.240763042,28.22399332,8.90E-29,9.32E-25,55.10034222,Inflammation/Immune/Stress/Toxic/Detox,0.279908183
EMB,5.175366467,2.811345731,27.70296341,1.86E-28,1.17E-24,54.13583623,NA,0.191061302
TBXAS1,5.435826307,5.499059606,27.7490782,1.74E-28,1.17E-24,54.88509559,NA,0.633135296
SRGAP1,3.130130125,7.17785373,27.53761579,2.36E-28,1.23E-24,54.60296243,NA,0.562179314
HCLS1,5.571070898,3.659132966,27.16417092,4.04E-28,1.81E-24,53.76769942,Inflammation/Immune/Stress/Toxic/Detox,0.355387524
SKAP2,4.057275388,5.724046503,26.7792576,7.10E-28,2.79E-24,53.47679636,Inflammation/Immune/Stress/Toxic/Detox,0.45199838
DOCK4,3.226756171,8.866107984,26.14225865,1.83E-27,5.36E-24,52.40266578,NA,0.7989468
PARP8,2.518082907,6.608022286,26.08608565,1.99E-27,5.36E-24,52.45730361,NA,0.37584391
PIK3R5,6.067867711,4.008475798,26.21550598,1.64E-27,5.36E-24,52.52895883,Metabolism (other),0.439643532
RAB31,3.485318619,7.23162552,26.06507912,2.06E-27,5.36E-24,52.43516736,Transport,0.562179314
RIN3,3.479347523,5.678342837,26.0147899,2.22E-27,5.36E-24,52.32134716,NA,0.4278963
GRB2,2.742185178,6.634372941,25.894807,2.66E-27,5.97E-24,52.18017812,NA,0.437483122
RHBDF2,4.162742661,5.474100181,25.58510341,4.27E-27,8.94E-24,51.66811289,NA,0.482716716
RNASET2,5.234988662,4.052783887,25.44423668,5.30E-27,1.04E-23,51.31000971,NA,0.381312449
SRGAP2,2.963151238,6.702329382,25.31314107,6.49E-27,1.20E-23,51.29917507,NA,0.463408048
TLR2,6.45572727,3.963922612,25.14012049,8.49E-27,1.48E-23,50.92943675,NA,0.453618688
THEMIS2,5.867827676,2.674902208,25.07591944,9.38E-27,1.55E-23,50.51366859,NA,0.275182285
DENND3,3.627512527,5.526832595,24.92894346,1.18E-26,1.85E-23,50.68551915,NA,0.399203349
LYVE1,5.825828747,2.877027974,24.8989874,1.24E-26,1.85E-23,50.32121513,Development (differentiation),0.215028355
MARCO,6.12724255,1.732815516,24.64433198,1.85E-26,2.64E-23,49.54695445,Inflammation/Immune/Stress/Toxic/Detox,0.089184445
LRMDA,3.847554772,8.44106612,24.48001978,2.40E-26,3.28E-23,49.79861973,NA,0.827234675
CMIP,2.934474958,7.394591403,24.3179278,3.11E-26,4.07E-23,49.70340652,NA,0.626654064
PDE3B,4.14033719,5.645158662,24.20453131,3.73E-26,4.69E-23,49.54895172,Metabolism (other),0.405549554
ACSL1,4.528324881,6.897966386,24.15865374,4.02E-26,4.85E-23,49.4459752,Metabolism or Transport (lipid),0.651026195
RNF149,3.559666072,6.955371503,24.01421768,5.07E-26,5.69E-23,49.23128261,NA,0.58810424
SH2B3,3.139556678,5.23857087,24.01908267,5.03E-26,5.69E-23,49.18948968,NA,0.310964083
