gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
MCAM,6.896892265,2.880156018,33.10910269,1.02E-58,2.92E-54,122.5961511,Matrisome/cell adhesion/binding/signaling,0.391131041
ACTA2,5.737474386,3.738348677,29.02853969,4.06E-53,5.79E-49,110.1345631,NA,0.33756851
FHL5,6.951127467,2.19518957,28.80334971,8.62E-53,8.19E-49,109.0357893,NA,0.239661186
TBX2,6.703575424,2.103150095,28.00285145,1.30E-51,9.23E-48,106.398736,NA,0.270553064
CARMN,6.420575876,3.84516882,27.59825187,5.22E-51,2.97E-47,105.6158392,NA,0.45266567
MYH11,5.847482088,5.139856489,27.12143921,2.75E-50,1.30E-46,104.1738633,NA,0.541604385
PDE3A,4.323927387,6.345815422,25.80998458,2.97E-48,1.21E-44,99.53514026,Metabolism (other),0.519431988
NOTCH3,5.990382938,3.243630827,25.38067171,1.43E-47,5.08E-44,97.62221568,Development (differentiation),0.342052815
COL4A1,4.956669706,5.65737447,24.47049332,4.24E-46,1.34E-42,94.5910074,Matrisome/cell adhesion/binding/signaling,0.488290982
RCAN2,4.497417243,5.73342598,23.92816785,3.34E-45,9.52E-42,92.51636112,NA,0.463876432
FRY,3.974310224,5.665604088,23.31272579,3.61E-44,9.36E-41,90.11117102,NA,0.4040857
CSPG4,5.543005233,1.873173005,23.17141029,6.28E-44,1.49E-40,88.71439206,NA,0.141255605
SYNPO2,4.35656085,5.394095187,22.86833342,2.07E-43,4.54E-40,88.38179804,NA,0.376183358
COL4A2,4.673241728,5.469613138,22.09845771,4.49E-42,9.14E-39,85.36396221,Matrisome/cell adhesion/binding/signaling,0.477827603
CRISPLD2,4.229877614,4.862938641,21.49689449,5.22E-41,9.91E-38,82.81279533,NA,0.248878924
CACNA1H,5.291661288,1.781727454,20.69460569,1.47E-39,2.62E-36,78.78170654,Transport,0.141753861
SLIT3,4.480614267,6.229753221,20.1859633,1.27E-38,2.13E-35,77.46874863,Development (differentiation),0.543846537
RGS6,4.505240985,6.076729639,19.71669315,9.56E-38,1.51E-34,75.46196723,NA,0.452914798
C11orf96,6.394598012,2.691746934,19.41389513,3.57E-37,5.35E-34,74.03035629,NA,0.284005979
HEYL,5.449683441,1.855482969,19.29207607,6.08E-37,8.66E-34,73.06974383,Development (differentiation),0.113353264
COL14A1,4.070395559,4.705388292,19.17114839,1.03E-36,1.40E-33,73.00729261,Matrisome/cell adhesion/binding/signaling,0.236671649
DSTN,2.961746994,5.756748151,18.56632345,1.51E-35,1.96E-32,70.38274686,NA,0.300946687
CACNA1C,3.692235717,7.672576045,18.4629632,2.40E-35,2.98E-32,69.87790662,Transport,0.672894868
SPEG,4.549594276,2.995805795,18.27296264,5.65E-35,6.71E-32,68.81086602,NA,0.179870453
LDB3,4.915002307,3.018481126,18.06888195,1.42E-34,1.62E-31,67.99398151,NA,0.18285999
ADAMTS1,4.726018917,4.759388027,18.01997237,1.78E-34,1.95E-31,67.96281558,NA,0.29795715
CALD1,3.980379785,7.445271795,17.87148046,3.49E-34,3.56E-31,67.15811104,Transport,0.768061784
GPR20,6.011284379,0.761729177,17.87515164,3.44E-34,3.56E-31,66.7052115,NA,0.083707025
DES,6.071629234,0.597511538,17.57440949,1.36E-33,1.34E-30,65.2292205,NA,0.073492775
HIP1,2.672283386,7.91192227,17.4976109,1.94E-33,1.84E-30,65.53037331,NA,0.567513702
