gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
ZFHX3,1.219394161,11.26709585,34.11202789,1.50E-28,1.82E-24,54.84330688,NA,0.91588785
PITPNC1,2.169452019,9.89751691,26.29328876,1.02E-24,6.15E-21,46.3963959,NA,0.740186916
CRISPLD2,2.404635677,8.70404908,25.09290002,4.85E-24,1.96E-20,43.96917837,NA,0.669158879
ADAMTS1,2.071263461,9.140975388,20.62884927,3.10E-21,9.40E-18,38.25747216,NA,0.695327103
ELL2,1.862989921,9.296053361,17.9682884,2.65E-19,6.42E-16,33.96686849,NA,0.685981308
ADCY3,2.051164093,8.0286023,14.98154154,7.71E-17,1.56E-13,27.8832615,NA,0.471028037
ESYT2,1.713893607,9.082155132,14.74849273,1.24E-16,2.15E-13,27.86877982,Metabolism or Transport (lipid),0.596261682
ATP1B3,1.935021231,8.449015606,14.3862258,2.64E-16,4.00E-13,26.97274767,NA,0.428037383
SIK3,1.119508547,9.668052611,13.66978167,1.22E-15,1.64E-12,25.55592868,Development (differentiation),0.68411215
BTBD9,1.221052373,9.154488867,13.48728961,1.82E-15,2.21E-12,25.21292356,NA,0.603738318
SGIP1,0.829831059,9.831129556,12.89227098,6.86E-15,7.56E-12,23.76854784,NA,0.629906542
DLC1,0.904733822,10.02906479,12.68188524,1.11E-14,1.12E-11,23.16218021,NA,0.689719626
NEAT1,0.784891942,13.20310495,12.64134856,1.22E-14,1.13E-11,20.13118404,NA,0.955140187
PRKG1,0.332613532,12.0193137,12.25343857,2.99E-14,2.59E-11,20.30695204,NA,0.921495327
ZNF331,2.801443954,7.555147403,12.19987259,3.39E-14,2.74E-11,21.89393179,NA,0.314018692
UTRN,0.821917292,10.46816006,12.07724433,4.52E-14,3.42E-11,21.51708392,NA,0.842990654
ADAMTS9,2.244041477,9.252605928,11.84761414,7.80E-14,5.56E-11,21.42686915,Matrisome/cell adhesion/binding/signaling,0.577570093
HSP90AA1,0.690098152,12.35894651,11.31032861,2.87E-13,1.93E-10,16.85054801,Metabolism (other),0.654205607
