gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
FGF14,6.079748277,5.543156025,47.04924498,2.93E-74,8.35E-70,159.1304167,Development (differentiation),0.784061697
ADGRB3,5.769301754,6.447918844,44.80044747,4.71E-72,6.71E-68,154.2426607,Matrisome/cell adhesion/binding/signaling,0.87596401
ARPP21,7.685023166,2.79655959,43.4304262,1.17E-70,1.11E-66,150.3186987,NA,0.635604113
ANKS1B,4.390686609,7.363312091,39.12284073,5.21E-66,3.71E-62,140.3641088,NA,0.821336761
GRIK2,5.634510054,5.371340755,37.01589053,1.43E-63,8.17E-60,134.6430767,NA,0.673843188
CAMK2A,7.298047686,1.888942433,35.68859994,5.69E-62,2.70E-58,130.12972,Transport,0.362467866
MEG3,6.42186299,5.897583765,35.54748721,8.47E-62,3.45E-58,130.6863252,NA,0.756105398
FGF12,5.477693094,5.283186187,34.77334825,7.71E-61,2.75E-57,128.394674,Development (differentiation),0.645886889
GRIA2,6.80094193,3.384899117,33.5150719,3.05E-59,9.66E-56,124.5228959,NA,0.523457584
RIMS2,5.57064847,5.488599447,32.91967742,1.81E-58,5.16E-55,122.9955807,NA,0.69151671
KCND2,6.278398679,4.718280589,32.77639389,2.79E-58,6.85E-55,122.5296668,Transport,0.656169666
SNTG1,5.552280873,5.631210887,32.76504401,2.89E-58,6.85E-55,122.5580142,NA,0.643316195
TRIM9,5.311402902,3.96202931,32.21202195,1.55E-57,3.41E-54,120.471321,NA,0.442159383
RALYL,6.403161291,5.086108645,32.14083042,1.93E-57,3.94E-54,120.6564681,NA,0.663560411
NRXN1,5.954982378,6.154099947,31.95079516,3.47E-57,6.59E-54,120.0754606,NA,0.812660668
PPFIA2,4.989397783,5.193527776,31.67200635,8.23E-57,1.47E-53,119.1155981,NA,0.488431877
RBFOX1,5.183195967,7.999804281,31.59245926,1.05E-56,1.77E-53,118.8081593,NA,0.863753213
LRRC7,6.207454491,4.995020885,31.55231584,1.20E-56,1.89E-53,118.8258569,NA,0.599614396
MYT1L,5.980428695,4.649083513,31.32005951,2.47E-56,3.52E-53,118.0676458,NA,0.623071979
SEZ6L,5.897285367,4.291027529,31.32110615,2.46E-56,3.52E-53,118.0135399,NA,0.501285347
TMEM178B,4.824874716,5.139358303,31.06953065,5.43E-56,7.37E-53,117.1912848,NA,0.493573265
GRIA4,5.707692135,4.495107782,31.04816052,5.81E-56,7.53E-53,117.1548497,NA,0.532455013
GRIA1,6.217938091,4.049954313,30.77049526,1.40E-55,1.74E-52,116.2902669,NA,0.405526992
KCNIP4,7.32241776,6.082652293,30.53541533,2.97E-55,3.52E-52,115.5619706,Transport,0.855077121
SNAP25,6.905192631,2.571883635,30.41778657,4.33E-55,4.93E-52,114.869423,NA,0.448907455
