gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
RNF220,5.458803422,5.856263778,38.68539361,1.64E-65,4.66E-61,139.1954845,NA,0.625672242
TF,5.874165206,3.972580365,36.93462692,1.79E-63,2.55E-59,134.1889589,Transport,0.389575084
SLC24A2,6.436730681,4.748626028,36.73749842,3.07E-63,2.92E-59,133.9282741,Transport,0.590863424
C10orf90,5.673000446,4.491288108,34.51304789,1.63E-60,1.10E-56,127.5884657,NA,0.458897228
DNAJC6,4.186814266,5.17949896,34.39423272,2.31E-60,1.10E-56,127.1607309,Metabolism (other),0.347556291
ENOX1,4.123264811,5.35652327,34.41125731,2.20E-60,1.10E-56,127.250588,NA,0.350333905
SPOCK3,5.303194603,5.124099439,32.55812586,5.40E-58,2.20E-54,121.8928034,Matrisome/cell adhesion/binding/signaling,0.458247149
PRUNE2,4.870939659,5.633260588,32.4959686,6.53E-58,2.32E-54,121.7359261,NA,0.511435494
ANLN,5.774279571,2.978500424,32.30742856,1.16E-57,3.67E-54,120.7115624,NA,0.258436263
NCAM2,4.949960729,6.1672588,32.11859542,2.07E-57,5.90E-54,120.6016121,NA,0.554222564
ST18,6.308990783,5.295944515,31.94593684,3.52E-57,9.13E-54,120.0708755,NA,0.610838603
CTNNA3,4.594104058,7.068956508,31.83048946,5.04E-57,1.10E-53,119.679886,NA,0.648779623
QDPR,4.680405521,4.319618178,31.83615812,4.95E-57,1.10E-53,119.4417019,NA,0.303882749
AC008571.2,5.949181334,4.211532837,31.70891405,7.34E-57,1.49E-53,119.2449292,NA,0.337036818
IL1RAPL1,5.498269386,6.826849439,31.16100223,4.07E-56,7.74E-53,117.5583982,Inflammation/Immune/Stress/Toxic/Detox,0.729507712
CD22,5.728736114,2.935444075,30.9544955,7.82E-56,1.39E-52,116.5148963,Inflammation/Immune/Stress/Toxic/Detox,0.231310206
MAPT,4.652513129,4.745769415,30.74218051,1.53E-55,2.43E-52,116.1893089,NA,0.33922345
PIP4K2A,3.802793018,7.118038383,30.75508975,1.47E-55,2.43E-52,116.323467,Metabolism or Transport (lipid),0.630340996
MOBP,7.134725005,3.092863854,29.90633733,2.26E-54,3.39E-51,113.4788363,NA,0.412918858
PEX5L,5.437330383,5.180810322,29.84200393,2.79E-54,3.97E-51,113.4049125,NA,0.499202175
NFASC,4.544017538,5.02960246,29.49074737,8.80E-54,1.19E-50,112.2091689,NA,0.391170735
AL033523.1,4.774895308,4.58687109,29.4296703,1.08E-53,1.39E-50,111.9466295,NA,0.26174576
