gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
DNAJC6,4.149537855,5.22431177,28.93542021,3.31E-29,1.04E-24,56.22975007,Metabolism (other),0.311519985
MAPT,5.336613835,4.69487941,26.91763001,5.79E-28,9.10E-24,53.48228113,NA,0.361778301
RNF220,4.936911976,6.27185151,24.89391051,1.25E-26,1.31E-22,50.64520893,NA,0.506571196
ENOX1,4.426222235,5.419850485,24.69206233,1.71E-26,1.35E-22,50.24722711,NA,0.33096166
PEX5L,5.363473459,5.413942149,24.27772176,3.32E-26,1.74E-22,49.62535516,NA,0.42318499
TRIM9,4.834339783,3.695909015,24.3467342,2.97E-26,1.74E-22,49.34898305,NA,0.160699719
GRID1,4.494972404,5.230444142,24.06575984,4.67E-26,2.09E-22,49.27028409,NA,0.342925768
PHACTR3,4.79622005,4.613726044,23.84374924,6.69E-26,2.63E-22,48.84669993,Matrisome/cell adhesion/binding/signaling,0.296338258
TF,5.575060005,4.23278929,23.59485137,1.01E-25,3.51E-22,48.37764669,Transport,0.309752561
OTUD7A,3.14596804,6.404814798,23.50518575,1.17E-25,3.66E-22,48.40222875,NA,0.361370434
ANLN,5.469855523,3.227710031,23.18581701,1.98E-25,5.66E-22,47.48722848,NA,0.201848998
SPOCK3,5.083746226,5.459516511,22.67037756,4.73E-25,1.24E-21,47.01470211,Matrisome/cell adhesion/binding/signaling,0.400616333
CAMK2A,5.638453018,2.030472883,22.58458623,5.47E-25,1.32E-21,46.16122064,Transport,0.060183087
FRMD5,4.696223708,6.355703638,22.4807865,6.53E-25,1.47E-21,46.70241484,NA,0.539789722
SLAIN1,3.976690216,4.879987418,22.42846387,7.15E-25,1.47E-21,46.47119352,Transport,0.26479652
SLC24A2,6.435962458,5.057578465,22.39958321,7.51E-25,1.47E-21,46.55175115,Transport,0.512462612
ARPP21,6.105746029,2.972091493,22.07257668,1.32E-24,2.34E-21,45.70033819,NA,0.110622677
GPM6B,5.294801482,4.79756728,22.06434305,1.34E-24,2.34E-21,45.93301814,Development (differentiation),0.357382398
ANKS1B,3.325703739,7.500354101,21.77601068,2.22E-24,3.06E-21,45.44125747,NA,0.462204296
ELAVL3,5.618301581,3.250818445,21.79620706,2.15E-24,3.06E-21,45.25165825,NA,0.211909725
KIRREL3,5.659986063,5.309029316,21.77364755,2.23E-24,3.06E-21,45.47138572,Inflammation/Immune/Stress/Toxic/Detox,0.468594217
NFASC,4.152034814,5.488024098,21.77144367,2.24E-24,3.06E-21,45.46273071,NA,0.379588507
QDPR,4.390128336,4.430834877,21.78309057,2.20E-24,3.06E-21,45.33768539,NA,0.24870842
AL033523.1,3.927248449,5.093272529,21.29041199,5.28E-24,6.90E-21,44.57165413,NA,0.210051663
MAP7,3.539297838,6.899298029,21.21462937,6.05E-24,7.59E-21,44.48450386,NA,0.495694734
SCD5,2.858769628,5.890221875,21.05140337,8.12E-24,9.81E-21,44.16326432,NA,0.264343334
CDH20,5.468352974,4.82426693,20.96936906,9.42E-24,1.10E-20,44.02118717,Matrisome/cell adhesion/binding/signaling,0.367216532
PPP2R2B,4.403317179,6.58234187,20.88219123,1.10E-23,1.24E-20,43.86807379,Metabolism (other),0.506253965
ADGRB3,4.87214687,6.59765114,20.76768186,1.36E-23,1.43E-20,43.63384028,Matrisome/cell adhesion/binding/signaling,0.499456177
TMEFF2,5.363595979,3.974621165,20.78108321,1.33E-23,1.43E-20,43.58880252,NA,0.235022206
NCAM2,5.41775538,6.110283862,20.57690619,1.93E-23,1.96E-20,43.31478629,NA,0.543596483
SH3GL3,4.862387713,4.813880161,20.31792584,3.13E-23,3.07E-20,42.80077468,NA,0.314828243
CD22,5.379678959,3.219646179,20.2901847,3.29E-23,3.14E-20,42.57013775,Inflammation/Immune/Stress/Toxic/Detox,0.180685217
DPYSL5,5.578597134,3.398182533,20.25765902,3.50E-23,3.23E-20,42.5524547,NA,0.197725007
TMTC2,3.092233165,7.281718883,20.20635448,3.85E-23,3.46E-20,42.6113454,NA,0.457037977
SILC1,5.706241681,2.724696362,20.15056001,4.28E-23,3.73E-20,42.20843963,NA,0.162376507
GRIA2,5.671497476,3.428314303,20.13253977,4.43E-23,3.76E-20,42.36740722,NA,0.151409408
GRM3,5.054753949,3.969079241,19.62913518,1.15E-22,9.52E-20,41.46912303,NA,0.215036708
SLC5A11,5.261799727,4.753922469,19.61132235,1.19E-22,9.60E-20,41.50334302,Transport,0.281655035
PIP4K2A,3.028045559,7.510357971,19.57319624,1.28E-22,1.01E-19,41.37163046,Metabolism or Transport (lipid),0.518580622
GRIA4,5.156273828,4.506212921,19.5352255,1.38E-22,1.03E-19,41.35207081,NA,0.251880721
KLHL32,4.479406003,4.713563628,19.5448435,1.35E-22,1.03E-19,41.34978737,Metabolism (other),0.280159521
MOBP,6.654727719,3.585730866,19.274917,2.29E-22,1.67E-19,40.8106826,NA,0.3232575
PXK,2.367554295,6.969046896,19.23555815,2.47E-22,1.76E-19,40.78704914,NA,0.351898849
DAAM2,3.715427099,4.993829279,18.90604372,4.72E-22,3.29E-19,40.13559782,Development (differentiation),0.242998278
C10orf90,5.402213781,4.696231037,18.8258378,5.53E-22,3.62E-19,39.98840382,NA,0.367715037
LRRC7,4.843878841,5.108896723,18.82476222,5.54E-22,3.62E-19,39.99103187,NA,0.2050213
