gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CBLB,3.628957991,8.331187954,26.40000722,7.25E-23,9.91E-19,41.97098722,NA,0.808219178
ETS1,5.158921596,6.205472601,26.09011871,1.03E-22,9.91E-19,40.80559928,Development (differentiation),0.591780822
CNOT6L,3.735323995,7.93769743,23.67810132,1.83E-21,1.17E-17,38.7683105,NA,0.728767123
BCL11B,5.520871391,5.108804167,21.5751534,2.82E-20,1.35E-16,35.1267577,NA,0.487671233
THEMIS,6.332299787,6.003641625,21.03760185,5.88E-20,2.26E-16,35.07142223,NA,0.64109589
SLC38A1,4.962772741,6.092845532,19.91298745,2.90E-19,9.28E-16,33.4507511,Transport,0.58630137
FYN,4.61357633,7.729191823,19.13205976,9.18E-19,2.22E-15,32.79871537,NA,0.8
SLFN12L,4.945474791,5.216624603,19.12777908,9.24E-19,2.22E-15,31.97098321,NA,0.378082192
SKAP1,5.413890118,6.785901952,18.46329615,2.55E-18,5.44E-15,31.69111259,Inflammation/Immune/Stress/Toxic/Detox,0.709589041
PDE7A,2.674690565,7.68311124,17.92635105,5.91E-18,1.14E-14,30.83456807,Metabolism (other),0.553424658
ITK,5.152698948,5.313850205,16.14577676,1.13E-16,1.97E-13,27.57559147,Inflammation/Immune/Stress/Toxic/Detox,0.416438356
CAMK4,6.276222974,6.114589997,16.06194006,1.30E-16,2.09E-13,27.75759937,Transport,0.698630137
PARP8,3.426355542,9.169901594,15.73132788,2.32E-16,3.19E-13,27.25110344,NA,0.906849315
TC2N,6.068838745,5.197218191,15.73484888,2.31E-16,3.19E-13,26.95808139,NA,0.479452055
EML4,2.77196469,8.024058101,15.44969909,3.83E-16,4.91E-13,26.83206692,Development (cell cycle),0.610958904
PPP1R16B,5.065395786,5.672046706,14.94946668,9.48E-16,1.14E-12,25.72818484,Metabolism (other),0.42739726
INPP4B,3.639008338,7.361786376,14.32096948,3.06E-15,3.46E-12,24.76254769,Metabolism (other),0.542465753
STK17A,3.292514691,6.351102301,14.25662069,3.46E-15,3.69E-12,24.47481423,NA,0.364383562
ATP8A1,3.429439112,6.683101903,14.17893432,4.01E-15,4.05E-12,24.4411332,Metabolism or Transport (lipid),0.463013699
LINC01619,4.083533036,5.918469154,14.06905181,4.95E-15,4.75E-12,24.10483708,NA,0.345205479
CD96,4.407160779,6.259443679,14.01943843,5.44E-15,4.75E-12,24.14395322,Matrisome/cell adhesion/binding/signaling,0.468493151
TOX,3.53837813,7.106189146,14.0221818,5.41E-15,4.75E-12,24.20547065,NA,0.490410959
ZNF831,5.172052181,5.066713884,13.32771237,2.11E-14,1.77E-11,22.61661609,NA,0.334246575
CD247,4.108015404,6.158926,13.19520799,2.75E-14,2.21E-11,22.52809526,Inflammation/Immune/Stress/Toxic/Detox,0.424657534
ANK3,2.567933584,8.27069804,13.02350879,3.90E-14,3.00E-11,22.25858237,NA,0.42739726
GRAP2,5.158741354,4.643155878,12.65155632,8.35E-14,5.98E-11,21.21755282,NA,0.260273973
MYBL1,4.035905564,4.976324127,12.64932963,8.39E-14,5.98E-11,21.22976254,Development (differentiation),0.164383562
LINC01934,4.84722972,5.84945638,12.29799013,1.75E-13,1.20E-10,20.72084667,NA,0.380821918
CDC42SE2,2.271599738,8.647222347,12.25821651,1.90E-13,1.26E-10,20.63251163,NA,0.704109589
SLAMF6,5.04130078,3.970176902,12.23331059,2.01E-13,1.29E-10,20.20623607,Inflammation/Immune/Stress/Toxic/Detox,0.189041096
PRKCH,2.669568093,8.420713763,12.12842057,2.51E-13,1.51E-10,20.37593003,NA,0.736986301
PYHIN1,5.206952979,4.026600661,12.1292829,2.50E-13,1.51E-10,20.05024678,Inflammation/Immune/Stress/Toxic/Detox,0.238356164
CD2,5.41475711,3.661219536,12.11025251,2.61E-13,1.52E-10,19.87324852,Inflammation/Immune/Stress/Toxic/Detox,0.175342466
CASK,2.143158365,7.78379114,12.00676002,3.25E-13,1.84E-10,20.16835993,NA,0.490410959
RHOH,3.145448724,6.340360384,11.63183269,7.33E-13,4.03E-10,19.35605432,NA,0.317808219
GPR174,5.753826678,3.069629593,11.60394301,7.79E-13,4.16E-10,18.7230957,NA,0.145205479
DTHD1,5.177835541,4.213130322,11.55207026,8.73E-13,4.54E-10,18.93336756,NA,0.178082192
CCSER2,1.916831016,7.75478937,11.44790114,1.10E-12,5.56E-10,18.96807098,NA,0.44109589
RABGAP1L,1.786371564,9.413652069,11.30615818,1.50E-12,7.42E-10,18.4654244,Transport,0.728767123
CCDC88C,3.412862904,5.449865949,11.14132734,2.18E-12,1.05E-09,18.21094257,NA,0.257534247
PTPN4,2.298953306,6.859868052,11.12581272,2.25E-12,1.05E-09,18.24411403,NA,0.317808219
RASGRP1,4.607242182,4.586234143,11.11702497,2.30E-12,1.05E-09,18.0472952,NA,0.232876712
AC006369.1,4.786723716,3.844884814,11.07487056,2.53E-12,1.13E-09,17.78596337,NA,0.145205479
SCML4,4.827005911,5.004590291,11.01699139,2.88E-12,1.26E-09,17.92523007,NA,0.238356164
TRAT1,4.988929606,3.679082449,11.00614793,2.95E-12,1.26E-09,17.6329934,NA,0.115068493
DPP4,4.304176405,4.068830362,10.98548627,3.10E-12,1.29E-09,17.65508583,Metabolism (other),0.112328767
IKZF3,4.703521517,5.291295247,10.96066834,3.27E-12,1.34E-09,17.82855007,Inflammation/Immune/Stress/Toxic/Detox,0.331506849
KLRK1,5.452830705,3.874209664,10.66759669,6.41E-12,2.57E-09,16.9876725,NA,0.189041096
EPB41,1.921202633,7.779755496,10.44223724,1.08E-11,4.24E-09,16.70711739,NA,0.476712329
PPP1R2,3.076310801,6.164622584,10.33627236,1.39E-11,5.33E-09,16.45913927,Metabolism (other),0.290410959
AC016074.2,3.983464872,5.546708867,10.23094298,1.78E-11,6.60E-09,16.18270924,NA,0.216438356
RUNX3,3.831329461,5.717088249,10.2291826,1.79E-11,6.60E-09,16.2112735,NA,0.35890411
NIBAN1,2.42094698,7.532295056,10.19607067,1.93E-11,7.00E-09,16.13006904,NA,0.4
IL7R,4.648966965,4.428800242,10.15140249,2.15E-11,7.50E-09,15.95571656,Inflammation/Immune/Stress/Toxic/Detox,0.230136986
WAKMAR2,3.711254932,4.755316178,10.15282631,2.14E-11,7.50E-09,15.91849987,NA,0.153424658
STK4,1.925937467,8.123114503,10.0570911,2.69E-11,9.22E-09,15.74875984,Development (apoptosis),0.567123288
CD69,4.048766617,5.278246253,10.04222539,2.78E-11,9.39E-09,15.76195577,Inflammation/Immune/Stress/Toxic/Detox,0.232876712
CD6,4.425129925,4.252962578,9.905175603,3.87E-11,1.28E-08,15.28578256,Inflammation/Immune/Stress/Toxic/Detox,0.164383562
LEPROTL1,2.721331203,5.90839919,9.748850194,5.64E-11,1.81E-08,15.07863621,NA,0.235616438
LINC00426,4.224251463,3.836499771,9.7520473,5.60E-11,1.81E-08,14.856605,NA,0.112328767
TNIK,2.323359546,6.711685642,9.72657319,5.96E-11,1.88E-08,15.04383822,NA,0.301369863
PTPRC,2.291046735,9.160036175,9.717716514,6.09E-11,1.89E-08,14.73041739,NA,0.805479452
LCK,4.304644621,4.72945199,9.695541671,6.42E-11,1.96E-08,14.89173069,NA,0.21369863
PPP2R5C,1.995868701,8.457536458,9.684666181,6.60E-11,1.96E-08,14.8037347,Metabolism (other),0.638356164
