"","Show","Aggregated","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","*","Adhesion","GOBP_CELL_ADHESION","1.85772952848331e-12","3.42965451412304e-10","0.898671232061694","0.404069438859383","1.39964196389279","1440","c(""CD44"", ""NRCAM"", ""CDH20"", ""CTNNA2"", ""CNTN1"", ""FUT9"", ""TNC"", ""AQP4"", ""ADGRL3"", ""GPM6B"", ""NTM"", ""CTNND2"", ""ANGPT1"", ""TTYH1"", ""APC"", ""NFASC"", ""ASTN2"", ""FAT3"", ""NCAM2"", ""FYN"", ""SERPINE2"", ""ASTN1"", ""HEPACAM"", ""PALLD"", ""CADM1"", ""FRMD5"", ""NCAM1"", ""CHL1"", ""DCHS2"", ""LAMA1"", ""BCAN"", ""MEGF10"", ""BCL2"", ""MEGF9"", ""CDH2"", ""VCAN"", ""CDH10"", ""PCDH9"", ""PPFIA2"", ""SLC7A11"", ""HMGB1"", ""SORBS1"", ""SOX2"", ""CRB1"", ""CNN3"", ""SEMA6A"", ""IGSF11"", ""TENM4"", ""GPC4"", ""ADGRG1"", ""LSAMP"", ""ANOS1"", ""CARMIL1"", ""CADM2"", ""SRPX"", ""LRRC4B"", 
""KITLG"", ""CRB2"", ""NTNG2"", ""SPOCK2"", ""MICALL2"", ""CDH22"", ""CADM3"", ""NCAN"", ""SPON1"", ""ARVCF"", ""GLI3"", ""CSRP1"", ""SIRPA"", ""FAP"", ""CDH4"", ""IGDCC4"", ""ITGB4"", ""COL16A1"", ""ERBIN"", ""CNTNAP1"", ""SERPINI2"", ""ITGA2"", ""TJP2"", ""PREX1"", ""PCDH10"", ""ADAM22"", ""BCL6"", ""ABI3BP"", ""ONECUT1"", ""COL5A3"", ""NEO1"", ""NRXN2"", ""ARHGAP5"", ""TNR"", ""FREM1"", ""PARD3"", ""MAP4K4"", ""SLITRK2"", ""NRXN1"", ""ADGRV1"", ""PLPP3"", ""PLXNB3"", ""TESK2"", ""PCDHA10"", ""ELMO2"", ""VSIR"", ""BAIAP2"", ""NLGN3"", ""RGMB"", ""PCDHA1"", ""PLEKHA7"", ""NTNG1"", ""CDC42EP1"", ""PRKCA"", 
""FEZ1"", ""ECM2"", ""DDR1"", ""GLI2"", ""IGSF5"", ""DST"", ""PTPRF"", ""ADAMTS13"", ""ILDR2"", ""PCDHB9"", ""FAM107A"", ""MYBPC1"", ""ITGA7"", ""NRARP"", ""PCDHB12"", ""ZMIZ1"", ""PCDHB4"", ""SOX9"", ""RADIL"", ""HSPB1"", ""MACF1"", ""MINK1"", ""SSPN"", ""TYRO3"", ""ATP1B2"", ""LIMCH1"", ""TIAM1"", ""ITPKB"", ""PKD1"", ""TNFSF4"", ""PARD3B"", ""SCRIB"", ""PPFIA1"", ""CTTN"", ""PCDHA5"", ""BCR"", ""MADCAM1"", ""PCDH7"", ""ROBO3"", ""NTN1"", ""LAMA4"", ""SRPX2"", ""IGDCC3"", ""THBS4"", ""CLDN12"", ""ANXA1"", ""AMIGO2"", ""HAS2"", ""PTPRS"", ""BMP7"", ""LGALS3"", ""PCDHB5"", ""FERMT2"", ""CD99"", ""ITGB8"", 
""LOXL3"", ""IL1A"", ""PCDHGA1"", ""PCDHB2"", ""PCDHB13"", ""PCDHB10"", ""PCDHGB2"", ""SOX13"", ""S1PR1"", ""LRFN4"", ""SLITRK3"", ""CNTNAP3B"", ""NLGN4X"", ""CELSR2"", ""PCDHA9"", ""SDK2"", ""BOC"", ""KIRREL2"", ""NPNT"", ""PCDHA4"", ""TLN2"", ""ITGB3"", ""CDH26"", ""CEACAM8"", ""TMEM8B"", ""CDHR3"", ""COL8A1"")"
"2","","Adhesion","GOBP_CELL_CELL_ADHESION","2.54007872392712e-10","3.81011808589068e-08","0.814035837847908","0.419307301643101","1.44313898354858","897","c(""CD44"", ""NRCAM"", ""CDH20"", ""CTNNA2"", ""CNTN1"", ""FUT9"", ""AQP4"", ""ADGRL3"", ""CTNND2"", ""TTYH1"", ""NFASC"", ""ASTN2"", ""FAT3"", ""NCAM2"", ""FYN"", ""SERPINE2"", ""ASTN1"", ""PALLD"", ""CADM1"", ""DCHS2"", ""MEGF10"", ""BCL2"", ""CDH2"", ""CDH10"", ""PCDH9"", ""SLC7A11"", ""HMGB1"", ""SOX2"", ""CRB1"", ""CNN3"", ""IGSF11"", ""TENM4"", ""GPC4"", ""CADM2"", ""LRRC4B"", ""KITLG"", ""CRB2"", ""NTNG2"", ""CDH22"", ""CADM3"", ""ARVCF"", ""GLI3"", ""CSRP1"", ""SIRPA"", ""CDH4"", ""IGDCC4"", ""ITGA2"", ""TJP2"", ""PCDH10"", ""BCL6"", ""NEO1"", ""NRXN2"", ""TNR"", ""SLITRK2"", ""NRXN1"", ""ADGRV1"", 
""PLPP3"", ""PLXNB3"", ""PCDHA10"", ""ELMO2"", ""VSIR"", ""BAIAP2"", ""NLGN3"", ""PCDHA1"", ""PLEKHA7"", ""NTNG1"", ""CDC42EP1"", ""PRKCA"", ""GLI2"", ""IGSF5"", ""PTPRF"", ""ILDR2"", ""PCDHB9"", ""ITGA7"", ""NRARP"", ""PCDHB12"", ""ZMIZ1"", ""PCDHB4"", ""SOX9"", ""HSPB1"", ""MINK1"", ""TYRO3"", ""ATP1B2"", ""ITPKB"", ""PKD1"", ""TNFSF4"", ""SCRIB"", ""PCDHA5"", ""MADCAM1"", ""PCDH7"", ""ROBO3"", ""NTN1"", ""SRPX2"", ""IGDCC3"", ""THBS4"", ""CLDN12"", ""ANXA1"", ""AMIGO2"", ""HAS2"", ""PTPRS"", ""BMP7"", ""LGALS3"", ""PCDHB5"", ""CD99"", ""LOXL3"", ""IL1A"", ""PCDHGA1"", ""PCDHB2"", ""PCDHB13"", ""PCDHB10"", 
""PCDHGB2"", ""SOX13"", ""LRFN4"", ""SLITRK3"", ""NLGN4X"", ""CELSR2"", ""PCDHA9"", ""SDK2"", ""BOC"", ""KIRREL2"", ""NPNT"", ""PCDHA4"", ""TLN2"", ""ITGB3"", ""CDH26"", ""CEACAM8"", ""CDHR3"", ""NOTCH1"", ""PCDHB8"", ""PCDHB15"", ""LRRC4"", ""FGB"", ""ARID1A"", ""DLG4"", ""EPHB3"", ""HLA-DOB"", ""PCDHGC4"", ""RGCC"")"
"3","","Adhesion","GOCC_ANCHORING_JUNCTION","3.17888370121752e-14","8.17427237455934e-12","0.965327754226083","0.417482214265942","1.44366673985138","1303","c(""CD44"", ""CDH20"", ""CTNNA2"", ""BAALC"", ""TNC"", ""ADCY8"", ""ADGRL3"", ""GABRG1"", ""OPHN1"", ""CTNND2"", ""CCDC85A"", ""ANK2"", ""ADCYAP1R1"", ""APC"", ""NFASC"", ""GABRB1"", ""DOCK7"", ""TRIM9"", ""DTNA"", ""HEPACAM"", ""PALLD"", ""CADM1"", ""FRMD5"", ""GRIN2A"", ""MAP1B"", ""FGFR3"", ""LAMA1"", ""GRIN2C"", ""KIF1A"", ""GRID1"", ""CDH2"", ""CDH10"", ""PCDH9"", ""PPFIA2"", ""SYNPO2"", ""SORBS1"", ""GRIA1"", ""DGKB"", ""OLFM2"", ""CRB1"", ""GRIK4"", ""CNN3"", ""FAIM2"", ""IGSF11"", ""AMOT"", ""GABBR1"", ""PRRT2"", ""NCS1"", ""CADM2"", ""GJA1"", ""LRRC4B"", ""GRIP1"", ""STON2"", ""LYPD6"", ""NTRK2"", 
""KIF1B"", ""CRB2"", ""SH3GL2"", ""ATP1A2"", ""MICALL2"", ""CDH22"", ""CADM3"", ""FRMPD2"", ""ARVCF"", ""CSRP1"", ""SLC8A3"", ""FAP"", ""CDC42EP4"", ""ITGB4"", ""KCND2"", ""CAPN2"", ""ERBIN"", ""CNTNAP1"", ""ABR"", ""ITGA2"", ""TJP2"", ""ARHGAP32"", ""PRKD1"", ""BCAR3"", ""PALM"", ""LRRTM4"", ""VANGL2"", ""HAP1"", ""PRAG1"", ""AKAP6"", ""SLC3A2"", ""SNPH"", ""PARD3"", ""PRIMA1"", ""MAP4K4"", ""NRXN1"", ""ADD3"", ""SYNM"", ""CAMK2B"", ""PLPP3"", ""PSD3"", ""GRIN3A"", ""SYT11"", ""PMP22"", ""CAPN5"", ""TRPV1"", ""BAIAP2"", ""SNTA1"", ""CADPS"", ""RUFY3"", ""NLGN3"", ""FRMD6"", ""SORCS2"", ""PLEKHA7"", ""ASAP3"", 
""GABRA2"", ""CDC42EP1"", ""ZDHHC15"", ""CPEB1"", ""PDLIM3"", ""LLGL1"", ""IGSF5"", ""DST"", ""ARHGAP31"", ""ILDR2"", ""FLNC"", ""FAM107A"", ""STXBP5"", ""ANO7"", ""GRIA4"", ""HACD3"", ""SAMD4A"", ""SYP"", ""HSPB1"", ""MINK1"", ""KCNA2"", ""CNR1"", ""SSPN"", ""NOS1AP"", ""GPM6A"", ""AHNAK"", ""GRIA2"", ""P2RX7"", ""TIAM1"", ""PPP1R9A"", ""TANC1"", ""ENAH"", ""TMEM163"", ""FARP1"", ""PLEC"", ""C4B"", ""LGI1"", ""SPTBN4"", ""PARD3B"", ""SCRIB"", ""PPFIA1"", ""CTTN"", ""RNF112"", ""SLC6A1"", ""BCR"", ""SRPX2"", ""CAMK2A"", ""MARCKS"", ""SPHK1"", ""OLFM1"", ""GRIK3"", ""CLDN12"", ""ANXA1"", ""PTPRS"", ""SHROOM3"", 
""FERMT2"", ""CD99"", ""ITGB8"", ""DOCK10"", ""FRMPD4"", ""SNAP25"", ""SYT9"", ""RGS12"", ""MAPRE2"", ""ABI2"", ""NLGN4X"", ""SDK2"", ""SYNDIG1"", ""RPH3A"", ""PDLIM4"", ""KIRREL2"", ""GAP43"", ""CNKSR1"", ""TLN2"", ""ITGB3"", ""KCNB1"", ""FRS2"", ""CDHR3"", ""ARC"", ""NOTCH1"", ""INPP4A"", ""CPLX3"", ""C4A"", ""LRRC4"", ""DLG4"", ""AJM1"", ""C1QTNF5"", ""SHISA6"", ""SH3PXD2B"", ""ANKS1B"", ""ITGBL1"", ""ABI1"", ""PCDH1"", ""LRRTM1"", ""MPDZ"", ""BAIAP2L2"", ""PTPRK"", ""SCN1A"", ""PKP3"", ""NOX4"", ""ATP6V0E2"")"
"4","","Adhesion","GOCC_CELL_SURFACE","4.59705188978985e-06","0.000231459955290118","0.610526878385931","0.389653455734373","1.33868214091546","815","c(""SLC1A2"", ""CD44"", ""NRCAM"", ""AQP4"", ""RGMA"", ""ADCYAP1R1"", ""GPRC5B"", ""RSPO2"", ""SERPINE2"", ""ASTN1"", ""CNTFR"", ""CD109"", ""GRIN2A"", ""NCAM1"", ""SLC38A1"", ""LRP4"", ""FGFR3"", ""MMP16"", ""CDH2"", ""GPC5"", ""PPFIA2"", ""SLC7A11"", ""HMGB1"", ""GRIA1"", ""CD38"", ""LIFR"", ""AMOT"", ""GPC4"", ""CRYAB"", ""ANOS1"", ""SRPX"", ""SORL1"", ""ECE1"", ""SLC1A3"", ""SIRPA"", ""FAP"", ""TLR4"", ""ITGB4"", ""CAPN2"", ""P2RY1"", ""ITGA2"", ""SDC2"", ""NEO1"", ""WNT7A"", ""ANTXR2"", ""TNR"", ""SLC3A2"", ""NRXN1"", ""ADGRV1"", ""RAMP3"", ""NDP"", ""PLXNB3"", ""NOTCH2"", ""CAPN5"", ""RAMP1"", ""TRPV1"", 
""ABCA1"", ""NLGN3"", ""CLU"", ""FAS"", ""SLC1A4"", ""KCNN2"", ""IGSF5"", ""ADAMTS13"", ""INTU"", ""LRRC8A"", ""ITGA7"", ""TYRO3"", ""ATP1B2"", ""GRIA2"", ""P2RX7"", ""SPARC"", ""PKD1"", ""TNFSF4"", ""BMPR1A"", ""LTF"", ""GPC2"", ""SLC6A1"", ""EPHA5"", ""SLC7A5"", ""SRPX2"", ""ANXA1"", ""LGALS3"", ""FERMT2"", ""SERPINA5"", ""ITGB8"", ""CRLF1"", ""IL1A"", ""ENOX1"", ""TMC1"", ""ADGRA3"", ""S1PR1"", ""LRFN4"", ""SLITRK3"", ""ACKR2"", ""NLGN4X"", ""VASN"", ""FZD3"", ""ADAM21"", ""ITGB3"", ""KCNB1"", ""CEACAM8"", ""TMEM8B"", ""KCNJ3"")"
"5","","Adhesion","GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE","1.7106107337258e-09","2.08752496319081e-07","0.788186810800237","0.380676578785","1.31934641730124","1599","c(""DPP10"", ""SLC1A2"", ""SLC14A1"", ""CD44"", ""NRCAM"", ""CNTN1"", ""ADCY2"", ""DCLK1"", ""AQP4"", ""NRG3"", ""ADRA1A"", ""ADCY8"", ""ADGRL3"", ""GABRG1"", ""ADGRB3"", ""ADCYAP1R1"", ""PTPRZ1"", ""NFASC"", ""GABRB1"", ""CNTFR"", ""ZNRF3"", ""ERBB4"", ""GRIN2A"", ""SLC38A1"", ""MTSS2"", ""FGFR3"", ""MMP16"", ""GRIN2C"", ""APLNR"", ""FXYD6"", ""GRID1"", ""CDH2"", ""CDH10"", ""PCDH9"", ""GPC5"", ""GRIA1"", ""OLFM2"", ""GRIK4"", ""SEMA6A"", ""TENM4"", ""LIFR"", ""GABBR1"", ""GPC4"", ""ADGRG1"", ""PRRT2"", ""GJA1"", ""LRRC4B"", ""SORL1"", ""IL17RB"", ""SEMA3D"", ""NTRK2"", ""ATP1A2"", ""NTNG2"", ""SLC16A9"", 
""CADM3"", ""KCNJ10"", ""SLC1A3"", ""SLC8A3"", ""SIRPA"", ""GPR137B"", ""CDH4"", ""TLR4"", ""PTH1R"", ""ITGB4"", ""KCND2"", ""P2RY1"", ""TRPV3"", ""CNTNAP1"", ""ITGA2"", ""PCDH10"", ""ADAM22"", ""KCNG1"", ""PALM"", ""NEO1"", ""NTSR2"", ""ADCY1"", ""NTRK3"", ""NRXN1"", ""SLC35G2"", ""SLC15A2"", ""ADGRB2"", ""PLPP3"", ""RAMP3"", ""PLXNB3"", ""EDNRB"", ""PCDHA10"", ""NOTCH2"", ""SLC6A11"", ""GRIN3A"", ""SYT11"", ""GPR19"", ""RAMP1"", ""TRPV1"", ""ABCA1"", ""GPR75"", ""TSPAN11"", ""NLGN3"", ""RGMB"", ""SORCS2"", ""RYR1"", ""PCDHA1"", ""HS6ST1"", ""NTNG1"", ""GABRA2"", ""GLP1R"", ""CLCN2"", ""DDR1"", ""SLC1A4"", 
""TMEM150C"", ""CACNG7"", ""PTPRF"", ""CALM2"", ""GAL3ST1"", ""LRRC8A"", ""PCDHB9"", ""STXBP5"", ""ITGA7"", ""GRIA4"", ""KCNJ16"", ""PCDHB12"", ""KCNK7"", ""ABCC8"", ""ESYT3"", ""PCDHB4"", ""SEMA4B"", ""KCNA2"", ""CNR1"", ""SSPN"", ""TYRO3"", ""ATP1B2"", ""HCN1"", ""GPM6A"", ""GRIA2"", ""P2RX7"", ""SCN8A"", ""RRH"", ""GRM5"", ""SLC6A9"", ""RHCG"", ""HRH1"", ""PKD1"", ""TNFSF4"", ""SORCS3"", ""GPC2"", ""PCDHA5"", ""SLC6A1"", ""PCDH7"", ""EPHA5"", ""KCNQ2"", ""IGDCC3"", ""ATP1A4"", ""GRIK3"", ""RHBDL1"", ""SLC38A3"", ""KCNJ9"", ""HAS2"", ""PTPRS"", ""PCDHB5"", ""CD99"", ""ITGB8"", ""SEMA6D"", ""PCDHGA1"", 
""PHEX"", ""PCDHB2"", ""SLC7A10"", ""PCDHB13"", ""SEMA3B"", ""PCDHB10"", ""PCDHGB2"", ""TMC1"", ""S1PR1"", ""ADORA1"", ""GPR156"", ""C8G"", ""LRFN4"", ""SLITRK3"", ""ACKR2"", ""NLGN4X"", ""PCDHA9"", ""IL22RA1"", ""BOC"", ""SYNDIG1"", ""KIRREL2"", ""SLC22A7"", ""PCDHA4"", ""SLC26A1"", ""ITGB3"", ""KCNB1"", ""SEMA3A"", ""FRS2"", ""KCNJ3"", ""GPR35"", ""LPAR4"", ""CPLX3"", ""TAS1R3"", ""PCDHB8"", ""PCDHB15"", ""LRRC4"", ""CALHM1"", ""DLG4"", ""EPHB3"", ""OPRL1"", ""SHISA6"", ""VSIG2"", ""PCDHGC4"", ""ITGBL1"", ""SLCO3A1"", ""IL9R"", ""CXCR5"", ""PCDH1"", ""LRRTM1"", ""FXYD2"", ""PTPRK"", ""HRH3"", ""STOM"", 
""SCN1A"", ""LRFN5"", ""CCR8"", ""PCDHA6"", ""GPR22"", ""NOX4"", ""PCDHB11"", ""SLC29A2"")"
"6","","Adhesion","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","3.00014129179832e-08","2.70012716261849e-06","0.719512826338911","0.46329053907426","1.57394521005313","400","c(""TNC"", ""ANGPT1"", ""PTPRZ1"", ""SERPINE2"", ""SCARA3"", ""NCAM1"", ""NAV2"", ""LAMA1"", ""BCAN"", ""AEBP1"", ""MEGF9"", ""CDH2"", ""VCAN"", ""GPC5"", ""P3H2"", ""MATN2"", ""AGT"", ""COL27A1"", ""GPC4"", ""SRPX"", ""NTNG2"", ""SPON1"", ""COL24A1"", ""ITGB4"", ""ANGPTL4"", ""COL16A1"", ""ERBIN"", ""COL21A1"", ""SDC2"", ""ABI3BP"", ""COL5A3"", ""MMP28"", ""TNR"", ""FREM1"", ""ENTPD2"", ""TMEFF1"", ""NDP"", ""GDF10"", ""LTBP1"", ""SNORC"", ""NTNG1"", ""CLU"", ""SERPINH1"", ""ECM2"", ""DST"", ""SBSPON"", ""CTSH"", ""SPARC"", ""GPC2"", ""NTN1"", ""LAMA4"", ""SRPX2"", ""THBS4"", ""ANXA1"", ""BMP7"", ""LGALS3"", 
""SERPINA5"", ""LOXL3"", ""EFEMP1"", ""SEMA3B"", ""LAD1"", ""MUC2"", ""ANXA8"", ""MMP8"", ""NPNT"", ""COL8A1"", ""FGFBP3"", ""F12"", ""COL9A2"", ""ATRNL1"", ""FGB"", ""ANGPTL6"")"
"7","","Adhesion","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE","4.00158220912912e-11","6.54804361493855e-09","0.851339057116899","0.46297622210601","1.58039947587956","528","c(""TNC"", ""ANGPT1"", ""LRIG1"", ""PTPRZ1"", ""SERPINE2"", ""FGF1"", ""EMID1"", ""SCARA3"", ""NCAM1"", ""NAV2"", ""MMP16"", ""LAMA1"", ""BCAN"", ""AEBP1"", ""MEGF9"", ""CDH2"", ""VCAN"", ""GPC5"", ""P3H2"", ""MATN2"", ""HPSE2"", ""AGT"", ""LRRN1"", ""TRIL"", ""COL27A1"", ""GPC4"", ""ANOS1"", ""SRPX"", ""NTNG2"", ""SPOCK2"", ""NCAN"", ""SPON1"", ""COL24A1"", ""ITGB4"", ""ANGPTL4"", ""COL16A1"", ""ERBIN"", ""COL21A1"", ""SDC2"", ""ABI3BP"", ""COL5A3"", ""LRRTM4"", ""WNT7A"", ""MMP28"", ""TNR"", ""FREM1"", ""WNT3"", ""ENTPD2"", ""PAPLN"", ""TNFRSF11B"", ""TMEFF1"", ""NDP"", ""GDF10"", ""LTBP1"", ""SNORC"", 
""NTNG1"", ""CLU"", ""SERPINH1"", ""ECM2"", ""DST"", ""ADAMTS13"", ""LRRC3B"", ""SBSPON"", ""CTSH"", ""SPARC"", ""GPC2"", ""NTN1"", ""LAMA4"", ""SRPX2"", ""THBS4"", ""ANXA1"", ""BMP7"", ""LGALS3"", ""SERPINA5"", ""LOXL3"", ""EFEMP1"", ""SEMA3B"", ""MEPE"", ""LAD1"", ""MUC2"", ""ANXA8"", ""MMP8"", ""VASN"", ""NPNT"", ""COL8A1"", ""GPLD1"", ""FGFBP3"", ""F12"", ""COL9A2"", ""ATRNL1"", ""FGB"", ""ANGPTL6"", ""COLEC12"")"
"8","","Adhesion","GOCC_CELL_LEADING_EDGE","3.56401774733836e-05","0.00128304638904181","0.557332238758646","0.41485932417484","1.41175071063051","416","c(""SLC1A2"", ""CD44"", ""MAPT"", ""GABRG1"", ""DPYSL3"", ""APC"", ""PALLD"", ""MTSS2"", ""PSD2"", ""APC2"", ""CDH2"", ""GRIA1"", ""ABLIM1"", ""AMOT"", ""GABBR1"", ""MYLK"", ""CARMIL1"", ""KITLG"", ""FAP"", ""S100B"", ""GDPD2"", ""TLR4"", ""HIP1R"", ""ITGB4"", ""ARHGEF4"", ""ARHGEF26"", ""PDE9A"", ""ADGRV1"", ""PSD3"", ""TRPV1"", ""BAIAP2"", ""RUFY3"", ""TUBB3"", ""ASAP3"", ""GABRA2"", ""DST"", ""ARHGAP31"", ""SPRY2"", ""FAM107A"", ""COBL"", ""PLCG1"", ""MACF1"", ""KCNA2"", ""MCC"", ""ENAH"", ""ARHGEF6"", ""SCRIB"", ""CTTN"", ""FERMT2"", ""WASF3"", ""FGD6"", ""CARMIL3"", ""WWC1"", ""ADORA1"", ""ABI2"", ""CAPG"", 
""PDLIM4"", ""TLN2"", ""ITGB3"", ""KCNB1"")"
"9","","Adhesion","GOMF_ACTIN_BINDING","2.69476920816391e-05","0.00101582923030263","0.575610261071129","0.41540317059096","1.41406183027515","424","c(""FMN2"", ""CTNNA2"", ""MAPT"", ""ADCY8"", ""OPHN1"", ""DAAM2"", ""PALLD"", ""TTN"", ""PHACTR3"", ""MAP1B"", ""NEBL"", ""MTSS2"", ""SYNPO2"", ""SORBS1"", ""ABLIM1"", ""CNN3"", ""MYLK"", ""MICALL2"", ""HIP1R"", ""USH1C"", ""MAP1A"", ""MYOM1"", ""EPB41L1"", ""SPIRE1"", ""ADD3"", ""CAMK2B"", ""MYO5C"", ""SNTA1"", ""PDLIM3"", ""DST"", ""FLNC"", ""FAM107A"", ""MYBPC1"", ""MYOM2"", ""COBL"", ""MACF1"", ""SPTAN1"", ""MYH7B"", ""LIMCH1"", ""PPP1R9A"", ""ENAH"", ""TMOD2"", ""PLEC"", ""SPTBN4"", ""CTTN"", ""WIPF2"", ""MARCKS"", ""MYO16"", ""PLS3"", ""SHROOM3"", ""FERMT2"", ""WASF3"")"
"10","","Adhesion","GOMF_CELL_ADHESION_MOLECULE_BINDING","3.95689387760141e-05","0.00138973833749903","0.557332238758646","0.398599092352958","1.36225671919736","541","c(""NRCAM"", ""CDH20"", ""CTNNA2"", ""CNTN1"", ""GFAP"", ""CTNND2"", ""PTPRZ1"", ""APC"", ""NFASC"", ""FGF1"", ""PALLD"", ""CADM1"", ""FRMD5"", ""CDH2"", ""CDH10"", ""HMGB1"", ""CNN3"", ""TENM4"", ""CPE"", ""CDH22"", ""ARVCF"", ""SIRPA"", ""FAP"", ""CDH4"", ""ITGB4"", ""COL16A1"", ""ITGA2"", ""TJP2"", ""ADAM22"", ""NRXN2"", ""EPS15L1"", ""SLC3A2"", ""NRXN1"", ""PLPP3"", ""BAG3"", ""PLXNB3"", ""FGF2"", ""BAIAP2"", ""NLGN3"", ""NTNG1"", ""CDC42EP1"", ""PRKCA"", ""ECM2"", ""DST"", ""PTPRF"", ""ADAMTS13"", ""ITGA7"", ""MACF1"", ""SPTAN1"", ""AHNAK"", ""PLEC"", ""SCRIB"", ""CTTN"", ""MADCAM1"", ""ROBO3"", ""PFKP"", 
""THBS4"", ""ANXA1"", ""FERMT2"", ""ITGB8"", ""LAD1"", ""PRDX6"", ""NLGN4X"", ""CAPG"", ""VASN"", ""KIRREL2"", ""NPNT"", ""TLN2"", ""ITGB3"", ""CDH26"", ""CDHR3"", ""ASAP1"")"
