"","X","Show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","3.71584557440024e-13","2.52358998009982e-11","0.932595211336209","0.0863879559734407","6.17501623920137","826","c(""ANK3"", ""XIRP2"", ""CNTNAP2"", ""CTNNA3"", ""FLT1"", ""APBB1IP"", ""PECAM1"", ""SLC8A1"", ""TEK"", ""LCP2"", ""HMCN1"", ""TIAM1"", ""TRPC4"", ""CAV2"", ""ITGA2"", ""JCAD"", ""TNC"", ""PGM5"", ""CDH13"", ""CDH7"", ""CD44"", ""ITGBL1"", ""SHROOM4"", ""SCN1A"", ""PLAUR"", ""RND3"", ""EFNB2"", ""LCP1"", ""SYNPO2"", ""CDH18"", ""CDH8"", ""MARCKS"", ""ARHGAP24"", ""ABCB11"", ""VAV1"", ""LDB3"", ""CAV3"", ""ARHGAP22"", ""NFASC"", ""ITGA4"", ""TLE2"", ""AKAP12"", ""JAM2"", ""ADGRL3"", ""IGSF21"", ""P2RX7"", ""EPB41L3"", ""PCDH9"", ""CDH10"", ""CLDN10"", ""HEPACAM"", ""PRAG1"", ""ADGRE5"", ""ITGB3"", ""GRHL2"", 
""CDH20"", ""ITGA8"", ""COL13A1"", ""SLA"", ""ITGA1"", ""ALOX15B"", ""MCAM"", ""FGF13"", ""SLC6A4"", ""CLMP"", ""ITGA5"", ""PKP2"", ""CLDN14"", ""ITK"", ""PARVG"", ""ATP1A2"", ""CNN1"", ""ARHGAP31"", ""MME"", ""FERMT1"", ""NPHS1"", ""NOX4"", ""ENG"", ""JAML"", ""CDH11"", ""FRMD4B"", ""CD53"", ""TNS2"", ""SCN5A"", ""PALLD"", ""RND1"", ""CEACAM1"", ""HPN"", ""CORO1C"", ""FES"", ""STXBP6"", ""CDH22"", ""SVIL"", ""KIRREL3"", ""CDH19"", ""IL1RL1"", ""CAV1"", ""FBLIM1"", ""SH3BP1"", ""SCN1B"", ""GJB1"", ""POF1B"", ""IQGAP3"", ""MISP"", ""ARHGEF2"", ""PHLDB2"", ""AIF1L"", ""RASIP1"", ""WNK4"", ""ESAM"", ""CLIC4"", 
""PRKCG"", ""ITGA11"", ""SKAP1"", ""AQP7"", ""GJB6"", ""CSPG4"", ""PEAK3"", ""SORBS1"", ""FAT2"", ""MIP"", ""PLXDC1"", ""DSG3"", ""PCDH1"", ""DES"", ""ITGB2"", ""MSN"", ""PLAU"", ""LAMA1"", ""TM4SF20"", ""CDC42EP1"", ""DCHS1"", ""GJA5"", ""ABCB4"", ""CADM3"", ""CTNNA2"", ""OPRM1"", ""THEMIS"", ""DSC3"", ""ANXA1"", ""CDH5"", ""ICAM1"", ""FRMD5"", ""MPP4"", ""LIMA1"", ""GJB2"", ""OPALIN"", ""NDRG1"", ""HAMP"", ""ADAM10"", ""CORO1A"", ""CLDN6"", ""USP53"", ""JAK2"", ""KIAA1210"", ""FRMD4A"", ""PDLIM1"", ""CNTNAP1"", ""EPB41L2"")"
"2","9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","2.10689657184743e-10","1.03615720371338e-08","0.826657301178302","0.10777648735041","6.70489141392485","429","c(""XIRP2"", ""FLT1"", ""APBB1IP"", ""TEK"", ""HMCN1"", ""CAV2"", ""ITGA2"", ""TNC"", ""PGM5"", ""CDH13"", ""CD44"", ""ITGBL1"", ""SHROOM4"", ""PLAUR"", ""RND3"", ""EFNB2"", ""LCP1"", ""SYNPO2"", ""MARCKS"", ""ARHGAP24"", ""CAV3"", ""ARHGAP22"", ""NFASC"", ""ITGA4"", ""TLE2"", ""AKAP12"", ""PRAG1"", ""ADGRE5"", ""ITGB3"", ""ITGA8"", ""SLA"", ""ITGA1"", ""ALOX15B"", ""MCAM"", ""SLC6A4"", ""ITGA5"", ""PARVG"", ""CNN1"", ""ARHGAP31"", ""MME"", ""FERMT1"", ""NPHS1"", ""NOX4"", ""ENG"", ""TNS2"", ""PALLD"", ""CORO1C"", ""FES"", ""SVIL"", ""IL1RL1"", ""CAV1"", ""FBLIM1"", ""MISP"", ""ARHGEF2"", ""PHLDB2"", ""AIF1L"", 
""ITGA11"", ""CSPG4"", ""PEAK3"", ""SORBS1"", ""ITGB2"", ""MSN"", ""PLAU"", ""TM4SF20"", ""CDC42EP1"", ""ABCB4"", ""OPRM1"", ""ANXA1"", ""ICAM1"")"
"3","21","","Adhesion","GOMF_STRUCTURAL_MOLECULE_ACTIVITY","GO:0005198","The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]","2.95343488046791e-14","2.28923305789312e-12","0.965327754226083","0.10854758308407","7.35486419095065","628","c(""ANK3"", ""COL24A1"", ""SPON1"", ""VCAN"", ""HMCN1"", ""EDIL3"", ""ANK1"", ""TTN"", ""ZPLD1"", ""TNC"", ""PGM5"", ""HLA-DRB1"", ""COL15A1"", ""COL11A1"", ""COL14A1"", ""CD4"", ""THBS1"", ""BICD1"", ""NPNT"", ""DCN"", ""HAPLN1"", ""MAP1B"", ""FN1"", ""MRPS22"", ""COL4A1"", ""FGL2"", ""EPB41L3"", ""CLDN10"", ""COL8A1"", ""COL6A6"", ""ABI3BP"", ""COL4A2"", ""COL13A1"", ""ERC2"", ""SNTG1"", ""BSN"", ""COL22A1"", ""CLDN14"", ""COL16A1"", ""PLP1"", ""MAL"", ""MUC17"", ""EMILIN2"", ""MYOM1"", ""NEBL"", ""THSD4"", ""MGP"", ""LAMB4"", ""FBLN2"", ""MYBPC1"", ""ANOS1"", ""COL3A1"", ""SRPX"", ""PRG4"", ""OTOG"", 
""IMPG1"", ""FBN3"", ""COL19A1"", ""PODN"", ""MFAP4"", ""LAMC2"", ""COL25A1"", ""LTBP4"", ""BFSP2"", ""COMP"", ""COL23A1"", ""OGN"", ""MMRN1"", ""HIP1"", ""BFSP1"", ""MYH8"", ""VWF"", ""COL1A2"", ""RPL3L"", ""TUBA8"", ""HMCN2"", ""GP2"", ""ADD2"", ""MIP"", ""COL6A5"", ""SBSPON"", ""DES"", ""MSN"", ""NEB"", ""NUP205"", ""LAMA1"", ""SPTA1"", ""ACAN"", ""LMNB1"", ""LAMC3"", ""CTNNA2"", ""LUM"", ""KRT222"", ""UPK1B"", ""EPB42"", ""AEBP1"", ""FMOD"", ""KRT15"", ""LAMA4"", ""TUBB4A"", ""CCN1"", ""MYBPC2"", ""CLDN6"", ""NCMAP"", ""COL27A1"", ""LZTS1-AS1"", ""EPB41L2"", ""TUBB3"", ""EMILIN1"", ""MYOM2"", ""ACTN3"", 
""TUBB2B"", ""TFPI2"", ""EVPLL"", ""SEPTIN4"", ""JAG1"", ""TGM3"", ""MYOT"", ""AMBN"", ""MYBPC3"", ""COL11A2"", ""CLDN7"", ""MEPE"", ""MACF1"", ""TPR"", ""COL1A1"", ""RPL39L"", ""MATN1"", ""UMOD"", ""ASPN"", ""LIM2"", ""NEFL"", ""APOE"", ""CRYBB1"", ""MAP2"", ""ROCK2"", ""ADIPOQ"", ""LAMB3"", ""POSTN"", ""ZP4"", ""SPTBN4"", ""PNPLA1"", ""MFAP5"", ""MYL1"", ""MUC4"", ""TNXB"", ""COL7A1"", ""POM121L2"", ""OIT3"", ""SPTAN1"", ""ZP2"", ""FLG"", ""AHNAK"", ""COL2A1"", ""CRYBA1"", ""SMTN"", ""NEXN"", ""TPM4"", ""KRT27"", ""THBS2"", ""NID1"", ""NEFM"", ""MMRN2"", ""INA"", ""KRT82"", ""KRT40"", ""LAMA2"", ""CRYGA"", 
""MYL2"", ""TUBA3C"", ""CRYBA4"", ""CRYBG3"", ""EIF3A"", ""MUC3A"", ""NEFH"", ""KRT19"", ""SPRR2E"", ""MYH11"", ""COL6A3"", ""CLTA"", ""COL5A1"", ""KRT84"", ""COL17A1"")"
"4","24","","Adhesion","GOBP_CELL_CELL_JUNCTION_ORGANIZATION","GO:0045216","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]","3.62014286022123e-05","0.00059757497074624","0.557332238758646","0.104954649571679","5.11609616202859","197","c(""NLGN4X"", ""XIRP2"", ""CNTNAP2"", ""EPHB2"", ""PECAM1"", ""NR1H4"", ""PTPRO"", ""CDH7"", ""CSF1R"", ""EFNB2"", ""CDH18"", ""CDH8"", ""PRKCH"", ""EPB41L3"", ""CDH10"", ""CLDN10"", ""GRHL2"", ""CDH20"", ""PKP2"", ""CLDN14"", ""SVEP1"", ""CDH11"", ""TGFB3"", ""IRX3"", ""CDH22"", ""CDH19"", ""CAV1"", ""GJB1"", ""POF1B"", ""ESAM"", ""GJB6"", ""ABCC8"", ""ACE"", ""DCHS1"", ""GJA5"", ""TBX5"", ""CDH5"", ""GJB2"", ""TGFB1"", ""AGT"", ""ADAM10"", ""CLDN6"")"
"5","32","","Adhesion","GOBP_TIGHT_JUNCTION_ORGANIZATION","GO:0120193","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a tight junction. A tight junction seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other. [GOC:krc, GOC:rl]","0.000783082533027127","0.00792079651491694","0.477270815362862","0.145437422861234","4.72076865842116","73","c(""EPHB2"", ""PECAM1"", ""PRKCH"", ""CLDN10"", ""GRHL2"", ""CLDN14"", ""SVEP1"", ""TGFB3"", ""POF1B"", ""ESAM"", ""ABCC8"", ""CDH5"", ""CLDN6"")"
"6","35","","Adhesion","GOCC_APICAL_JUNCTION_COMPLEX","GO:0043296","A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes and in some invertebrates, such as Drosophila, is composed of the subapical complex (SAC), the zonula adherens and the septate junction. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability. [GOC:go_curators, GOC:kmv, PMID:12525486, PMID:15196556]","2.29744247687349e-08","8.27427389019436e-07","0.73376198835648","0.182827864602747","7.98517694875149","141","c(""ANK3"", ""SHROOM4"", ""JAM2"", ""CLDN10"", ""CLMP"", ""CLDN14"", ""JAML"", ""FRMD4B"", ""SH3BP1"", ""POF1B"", ""ARHGEF2"", ""WNK4"", ""ESAM"", ""SORBS1"", ""PLXDC1"", ""CDH5"", ""CLDN6"", ""USP53"", ""FRMD4A"", ""WNK3"", ""CLDN7"", ""PMP22"")"
"7","41","","Adhesion","GOCC_TIGHT_JUNCTION","GO:0070160","A cell-cell junction that seals cells together in an epithelium in a way that prevents even small molecules from leaking from one side of the sheet to the other. [ISBN:0815332181]","2.39348374952859e-07","6.88223089430983e-06","0.674962860011025","0.182230402849568","7.58239766732036","125","c(""ANK3"", ""JAM2"", ""CLDN10"", ""CLMP"", ""CLDN14"", ""JAML"", ""FRMD4B"", ""SH3BP1"", ""POF1B"", ""ARHGEF2"", ""WNK4"", ""ESAM"", ""PLXDC1"", ""CDH5"", ""CLDN6"", ""USP53"", ""FRMD4A"", ""WNK3"", ""CLDN7"", ""PMP22"")"
"8","45","","Cilia","GOBP_CILIUM_MOVEMENT","GO:0003341","The directed, self-propelled movement of a cilium. [GOC:dph, GOC:jl]","3.71056175119191e-11","2.05116401920539e-09","0.851339057116899","0.209468003100477","9.61758896831937","163","c(""RFX3"", ""SPAG16"", ""CFAP61"", ""CFAP54"", ""ZBBX"", ""CFAP221"", ""TTC29"", ""ROPN1L"", ""CFAP47"", ""DNAH7"", ""HYDIN"", ""DNAH9"", ""DNAH11"", ""DAW1"", ""TTC12"", ""TEKT1"", ""MAFIP"", ""NEK10"", ""DNAI1"", ""EFCAB1"", ""CFAP43"", ""NME5"", ""SPAG6"", ""TTLL9"", ""CCSAP"", ""CFAP206"", ""CFAP69"", ""JHY"", ""PLTP"", ""NPHP4"", ""CFAP44"", ""CCDC39"", ""AQP4"", ""SPAG17"", ""DPCD"", ""DNAAF1"", ""SPA17"", ""ARMC2"", ""CFAP52"", ""CFAP65"", ""SPEF1"", ""SPEF2"", ""ENO4"")"
"9","46","","Cilia","GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY","GO:0001539","Cell motility due to movement of eukaryotic cilia or bacterial-type flagella or archaeal-type flagella. [GOC:cilia, GOC:hjd, GOC:krc]","2.90632104441509e-06","6.64262031016796e-05","0.627256739718528","0.145794286570554","6.25712920753293","135","c(""DNAH3"", ""DNAH17"", ""DNAH8"", ""CATSPERD"", ""SLC9B2"", ""LDHC"", ""NEURL1"", ""SLC26A8"", ""ADCY3"", ""CACNA1I"", ""TACR3"", ""TACR1"", ""DDX4"", ""SLC9C1"", ""SLC22A16"", ""ATP1A4"", ""KLC3"", ""RSPH6A"", ""TEKT5"", ""TBC1D21"", ""TEX101"", ""SEPTIN4"")"
"10","47","","Cilia","GOBP_MOTILE_CILIUM_ASSEMBLY","GO:0044458","The aggregation, arrangement and bonding together of a set of components to form a motile cilium. [GO_REF:0000079, GOC:cilia, GOC:krc, GOC:TermGenie, PMID:19776033, PMID:21129373, ZFIN:dsf]","3.87901276036875e-10","1.81981842067036e-08","0.814035837847908","0.372876133575977","10.004391112817","54","c(""SPAG16"", ""FOXJ1"", ""ATMIN"", ""CFAP221"", ""CFAP47"", ""TTC12"", ""CC2D2A"", ""CFAP43"", ""SPAG6"", ""CFAP206"", ""CFAP69"", ""JHY"", ""CFAP44"", ""CCDC39"", ""DNAAF1"", ""ARMC2"", ""CFAP65"", ""SPEF2"", ""BBS5"")"
