"","X.2","X.1","X","show","Aggregated","pathway","gs_number.x","gs_description.x","gs_number.y","gs_description.y","gs_number.x.x","gs_description.x.x","gs_number.y.y","gs_description.y.y","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1","1","1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","6.6882374197083e-10","1.39685077073093e-07","0.801215574617779","0.368920548779488","2.40930564982054","513","c(""PRKG1"", ""LPP"", ""PDLIM5"", ""COL14A1"", ""ZBTB16"", ""DLG2"", ""EXT1"", ""HSPB1"", ""ITGA1"", ""JAK2"", ""PALLD"", ""ITGA5"", ""FN1"", ""ACTN1"", ""FLNA"", ""NEXN"", ""VCL"", ""NEGR1"", ""ROCK1"", ""MYL9"", ""CTNNA3"", ""PTPRG"", ""CDH13"", ""TMEM131L"", ""NTN1"", ""SDK1"", ""COL13A1"", ""FNDC3A"", ""ADGRL3"", ""PDE5A"", ""PARVA"", ""FAT3"", ""ITGA3"", ""LIMS2"", ""ITGA8"", ""HSPH1"", ""NPNT"", ""JAG1"", ""MYH9"", ""IGFN1"", ""MSN"", ""NFAT5"", ""FBLIM1"", ""KIRREL1"", ""ADAM19"", ""FOXO3"", ""CCN3"", ""BCL2"", ""ALCAM"", ""GLDN"", ""CSRP1"", ""ACTB"", ""FER"", ""PCDH7"", ""IGFBP2"", ""HSPD1"", ""ANXA1"", 
""CAV1"", ""ITGA11"", ""ZBTB1"", ""SDK2"", ""LAMA5"", ""CTNNA1"", ""PCDH11X"", ""TENM4"", ""CTNND1"", ""LIMS1"", ""PAWR"", ""BCL6"", ""ITGAV"", ""CD47"", ""CD58"", ""PTK2"", ""FAT4"", ""ITGB1"", ""HMCN1"", ""TJP1"", ""ANK3"", ""NPTN"", ""EGFR"", ""KIFAP3"", ""PRKCA"", ""DNAJB6"", ""METAP1"", ""CD99"", ""ESAM"", ""CDH6"", ""CDH23"", ""MYADM"", ""IL15"", ""ITGB3"", ""ETS1"", ""MIA3"", ""ITCH"", ""NEO1"", ""PCDH18"", ""GLI3"")"
"2","3","3","3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","1.52193082727816e-05","0.000640460293658326","0.593325476396405","0.3715138383998","2.4144055710034","254","c(""ZBTB16"", ""COL8A1"", ""TPM1"", ""EDIL3"", ""JAK2"", ""ANGPT1"", ""ITGA5"", ""FN1"", ""CARMIL1"", ""FLNA"", ""UTRN"", ""ROCK1"", ""CDH13"", ""CDK6"", ""FERMT2"", ""DOCK1"", ""RSU1"", ""ITGA3"", ""LIMS2"", ""MAP4K4"", ""HSPH1"", ""NPNT"", ""NFAT5"", ""ARHGEF7"", ""ADAM19"", ""FOXO3"", ""IGFBP2"", ""HSPD1"", ""ANXA1"", ""CAV1"", ""ZBTB1"", ""LIMS1"", ""BCL6"", ""RIN2"", ""ITGAV"", ""CD47"", ""ECM2"", ""TGM2"", ""TJP1"", ""ANK3"", ""KIFAP3"", ""PRKCA"", ""GSK3B"", ""MYADM"", ""IL15"", ""ZFHX3"", ""ETS1"")"
"3","6","6","6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","2.14168538230125e-08","3.01924096769919e-06","0.73376198835648","0.362535576417016","2.36732739469601","456","c(""PRKG1"", ""ZBTB16"", ""COL8A1"", ""TPM1"", ""EDIL3"", ""MACF1"", ""JAK2"", ""ANGPT1"", ""ITGA5"", ""FN1"", ""CARMIL1"", ""FLNA"", ""VCL"", ""UTRN"", ""PPP1R12A"", ""LAMA4"", ""ROCK1"", ""PTPRG"", ""CDH13"", ""TMEM131L"", ""CDK6"", ""NUAK1"", ""FERMT2"", ""PDE5A"", ""ARHGAP6"", ""PHLDB2"", ""BCAS3"", ""DOCK1"", ""RSU1"", ""ITGA3"", ""LIMS2"", ""MAP4K4"", ""ROCK2"", ""HSPH1"", ""NPNT"", ""JAG1"", ""NFAT5"", ""ANGPT2"", ""ARHGEF7"", ""FAF1"", ""CORO1C"", ""ADAM19"", ""FOXO3"", ""BCL2"", ""IGFBP2"", ""HSPD1"", ""ANXA1"", ""CAV1"", ""ZBTB1"", ""ACTN4"", ""LAMA5"", ""LIMS1"", ""PAWR"", ""BCL6"", ""TNC"", ""RIN2"", 
""ITGAV"", ""CD47"", ""ECM2"", ""RASA1"", ""PLXNA4"", ""PTK2"", ""TGM2"", ""ST6GAL1"", ""TJP1"", ""ANK3"", ""PIK3R1"", ""COL1A1"", ""KIFAP3"", ""PRKCA"", ""PPP1CB"", ""ACER2"", ""THBS1"", ""GSK3B"", ""MYADM"", ""CYTIP"", ""IL15"", ""ZFHX3"", ""ETS1"", ""MIA3"", ""ITCH"")"
"4","8","8","8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","3.35924295438138e-14","2.10475233552851e-11","0.965327754226083","0.388354623957235","2.5359183676416","637","c(""LPP"", ""SVIL"", ""DMD"", ""SYNPO2"", ""PDLIM5"", ""PARD3B"", ""SORBS2"", ""TNS1"", ""HSPB1"", ""ITGA1"", ""FRMD4A"", ""JAK2"", ""PALLD"", ""AKAP6"", ""ITGA5"", ""MPP7"", ""ACTN1"", ""FLNA"", ""NEXN"", ""FHL1"", ""VCL"", ""PPP1R12A"", ""ENAH"", ""CTNNA3"", ""CDH13"", ""NOX4"", ""COL13A1"", ""DST"", ""ITGBL1"", ""ADGRL3"", ""FERMT2"", ""HSPA1B"", ""PARVA"", ""HSPG2"", ""PHLDB2"", ""RSU1"", ""ITGA3"", ""ARHGAP24"", ""LIMS2"", ""ITGA8"", ""MAP4K4"", ""GAB1"", ""MPRIP"", ""JAG1"", ""MYH9"", ""MSN"", ""MCAM"", ""ARHGEF7"", ""ERBIN"", ""FBLIM1"", ""KIRREL1"", ""MAPRE2"", ""LASP1"", ""DES"", ""CORO1C"", ""MAGI2"", 
""CCN3"", ""ALCAM"", ""PDLIM7"", ""HSPA1A"", ""WTIP"", ""VIM"", ""CSRP1"", ""MYO1E"", ""ACTB"", ""CLIC4"", ""NCKAP1"", ""LDB3"", ""MPDZ"", ""SLC8A1"", ""PTPRK"", ""ANXA1"", ""CAV1"", ""ITGA11"", ""IQGAP1"", ""RRAS2"", ""AHNAK"", ""CAPN2"", ""CNN1"", ""ACTN4"", ""PKD2"", ""CTNNA1"", ""CTNND1"", ""LIMS1"", ""TNC"", ""ITGAV"", ""SHROOM3"", ""PTK2"", ""TGM2"", ""YWHAH"", ""ITGB1"", ""HMCN1"", ""PGM5"", ""TJP1"", ""WASF2"", ""ANK3"", ""PMP22"", ""PIK3R1"", ""DOCK7"", ""EGFR"", ""SORBS3"", ""RAPGEF2"", ""ARHGAP17"", ""RAP1B"", ""TSPAN9"", ""PRKD1"", ""NHS"", ""PPP1CB"", ""DCAF6"", ""SORBS1"", ""BMPR2"", ""CD99"", 
""TGFB1I1"", ""ESAM"", ""FLNC"", ""WASF1"", ""CD151"", ""CBL"", ""ADD1"", ""CDH6"", ""TMEM65"", ""SPECC1L"", ""PDGFRB"", ""MYADM"", ""SGCA"", ""CTTN"", ""ZYX"", ""ITGB3"")"
"5","9","9","9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","4.17074402310708e-17","1.17594127731504e-13","1.06720998682811","0.48582676431043","3.16444356658835","373","c(""LPP"", ""SVIL"", ""DMD"", ""SYNPO2"", ""SORBS2"", ""TNS1"", ""HSPB1"", ""ITGA1"", ""JAK2"", ""PALLD"", ""ITGA5"", ""ACTN1"", ""FLNA"", ""NEXN"", ""FHL1"", ""VCL"", ""PPP1R12A"", ""ENAH"", ""CDH13"", ""NOX4"", ""DST"", ""ITGBL1"", ""FERMT2"", ""HSPA1B"", ""PARVA"", ""HSPG2"", ""PHLDB2"", ""RSU1"", ""ITGA3"", ""ARHGAP24"", ""LIMS2"", ""ITGA8"", ""MAP4K4"", ""MPRIP"", ""MYH9"", ""MSN"", ""MCAM"", ""ARHGEF7"", ""ERBIN"", ""FBLIM1"", ""MAPRE2"", ""LASP1"", ""CORO1C"", ""ALCAM"", ""PDLIM7"", ""HSPA1A"", ""VIM"", ""CSRP1"", ""ACTB"", ""NCKAP1"", ""ANXA1"", ""CAV1"", ""ITGA11"", ""IQGAP1"", ""RRAS2"", ""AHNAK"", 
""CAPN2"", ""CNN1"", ""ACTN4"", ""CTNNA1"", ""LIMS1"", ""TNC"", ""ITGAV"", ""PTK2"", ""TGM2"", ""ITGB1"", ""HMCN1"", ""PGM5"", ""DOCK7"", ""EGFR"", ""SORBS3"", ""TSPAN9"", ""NHS"", ""PPP1CB"", ""DCAF6"", ""SORBS1"", ""CD99"", ""TGFB1I1"", ""FLNC"", ""WASF1"", ""CD151"", ""CBL"", ""ADD1"", ""PDGFRB"", ""CTTN"", ""ZYX"", ""ITGB3"")"
"6","12","12","12","","Adhesion","GOBP_CELL_MATRIX_ADHESION","GO:0007160","The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]","GO:0007160","The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]","GO:0007160","The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]","GO:0007160","The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]","1.67562577942488e-07","1.81708726349556e-05","0.690132458796796","0.481734069000854","3.09913565628538","168","c(""ITGA1"", ""MACF1"", ""ITGA5"", ""FN1"", ""ACTN1"", ""VCL"", ""UTRN"", ""ROCK1"", ""PPFIA2"", ""CDH13"", ""COL13A1"", ""CDK6"", ""ITGBL1"", ""FERMT2"", ""ARHGAP6"", ""PHLDB2"", ""BCAS3"", ""ITGA3"", ""FREM1"", ""ITGA8"", ""MAP4K4"", ""ROCK2"", ""COL3A1"", ""NPNT"", ""JAG1"", ""ARHGEF7"", ""CORO1C"", ""BCL2"", ""PTPRK"", ""ITGA11"", ""LIMS1"", ""BCL6"", ""RIN2"", ""ITGAV"", ""ECM2"", ""RASA1"", ""PTK2"", ""ITGB1"", ""FBLN5"", ""PIK3R1"", ""SORBS1"", ""BCR"", ""CCN2"", ""ACER2"", ""THBS1"", ""GSK3B"", ""CTTN"", ""ZYX"", ""ITGB3"")"
"7","13","13","13","","Adhesion","GOBP_CELL_SUBSTRATE_ADHESION","GO:0031589","The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]","GO:0031589","The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]","GO:0031589","The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]","GO:0031589","The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]","1.2442051655736e-10","3.18912405848616e-08","0.826657301178302","0.463015548313663","3.01143644470472","263","c(""COL8A1"", ""ITGA1"", ""EDIL3"", ""MACF1"", ""JAK2"", ""ANGPT1"", ""ITGA5"", ""FN1"", ""ACTN1"", ""CARMIL1"", ""FLNA"", ""VCL"", ""UTRN"", ""ROCK1"", ""PPFIA2"", ""CDH13"", ""COL13A1"", ""CDK6"", ""ITGBL1"", ""FERMT2"", ""ARHGAP6"", ""PARVA"", ""LAMC1"", ""PHLDB2"", ""BCAS3"", ""DOCK1"", ""RSU1"", ""ITGA3"", ""LIMS2"", ""FREM1"", ""ITGA8"", ""MAP4K4"", ""ROCK2"", ""COL3A1"", ""NPNT"", ""JAG1"", ""ANGPT2"", ""ARHGEF7"", ""CORO1C"", ""BCL2"", ""FER"", ""PTPRK"", ""NTN4"", ""ITGA11"", ""SMAD6"", ""ACTN4"", ""LAMA5"", ""LIMS1"", ""BCL6"", ""RIN2"", ""ITGAV"", ""ECM2"", ""RASA1"", ""PTK2"", ""ITGB1"", ""ST6GAL1"", 
""FBLN5"", ""ANTXR1"", ""PIK3R1"", ""COL1A1"", ""SORBS3"", ""SORBS1"", ""BCR"", ""CCN2"", ""MERTK"", ""ACER2"", ""THBS1"", ""GSK3B"", ""MYADM"", ""CTTN"", ""ZYX"", ""ITGB3"")"
"8","14","14","14","","Adhesion","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GO:0045229","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]","GO:0045229","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]","GO:0045229","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]","GO:0045229","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]","0.000457970469226499","0.00985685296171079","0.49849310876659","0.348032907433873","2.25018917523745","195","c(""MYH11"", ""COL14A1"", ""COL8A1"", ""EXT1"", ""COL4A2"", ""COL13A1"", ""LAMC1"", ""COL1A2"", ""SERPINH1"", ""PHLDB2"", ""ITGA8"", ""COL5A2"", ""COL3A1"", ""ELN"", ""NPNT"", ""COL4A1"", ""AEBP1"", ""TNFRSF11B"", ""MYO1E"", ""NTN4"", ""CAV1"", ""OLFML2A"", ""TMEM38B"", ""ST7"", ""ADAMTS10"", ""COL5A1"", ""COL12A1"", ""HPSE2"", ""ECM2"", ""RB1"", ""ITGB1"", ""HMCN1"", ""COL18A1"", ""FBLN5"", ""ANTXR1"", ""COL1A1"", ""SH3PXD2B"", ""PXDN"", ""DNAJB6"", ""CCN2"", ""CFLAR"")"
"9","15","15","15","","Adhesion","GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION","GO:0010810","Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]","GO:0010810","Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]","GO:0010810","Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]","GO:0010810","Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]","7.18343463089681e-08","8.74440982679885e-06","0.704975715167238","0.493574963017204","3.16387911672898","160","c(""COL8A1"", ""EDIL3"", ""MACF1"", ""JAK2"", ""ITGA5"", ""FN1"", ""CARMIL1"", ""FLNA"", ""VCL"", ""UTRN"", ""ROCK1"", ""CDH13"", ""CDK6"", ""FERMT2"", ""ARHGAP6"", ""PHLDB2"", ""BCAS3"", ""DOCK1"", ""RSU1"", ""ITGA3"", ""LIMS2"", ""MAP4K4"", ""ROCK2"", ""NPNT"", ""JAG1"", ""ANGPT2"", ""ARHGEF7"", ""CORO1C"", ""BCL2"", ""ACTN4"", ""LIMS1"", ""BCL6"", ""RIN2"", ""ECM2"", ""RASA1"", ""PTK2"", ""ST6GAL1"", ""PIK3R1"", ""COL1A1"")"
"10","16","16","16","","Adhesion","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","1.14307656463955e-08","1.74211047243309e-06","0.747739663149885","0.42965873806925","2.79015940295595","253","c(""NAV2"", ""LTBP1"", ""COL14A1"", ""COL8A1"", ""COL4A2"", ""EDIL3"", ""ANGPT1"", ""FN1"", ""LAMA4"", ""CDH13"", ""NTN1"", ""COL13A1"", ""PRELP"", ""ITIH5"", ""DST"", ""VCAN"", ""LAMC1"", ""COL1A2"", ""SERPINH1"", ""HSPG2"", ""FREM1"", ""COL5A2"", ""COL3A1"", ""ELN"", ""NPNT"", ""MFGE8"", ""COL4A1"", ""ANGPT2"", ""AEBP1"", ""ERBIN"", ""ADAM19"", ""CCN3"", ""COL6A2"", ""LTBP2"", ""P3H2"", ""ANXA11"", ""IGFBP7"", ""ANXA1"", ""NTN4"", ""SDC2"", ""ASPN"", ""ADAMTS10"", ""COL5A1"", ""LAMA5"", ""COL12A1"", ""TNC"", ""A2M"", ""ECM2"", ""ANGPTL1"", ""TGM2"", ""SCARA3"", ""HMCN1"", ""COL18A1"", ""FBLN5"", ""COL1A1"", 
""LTBP4"", ""PXDN"", ""CCN2"", ""TGFB1I1"", ""THBS1"", ""ANGPT4"", ""CD151"", ""BGN"", ""COL4A5"", ""COL6A1"", ""THBS2"", ""ADAMTS2"", ""COL7A1"", ""ITIH4"", ""MEGF9"", ""MGP"", ""EMILIN1"", ""COL27A1"", ""ABI3BP"")"
