,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
PJA1,0.934317088,-0.029505708,-1.648199807,0.12522632,,,,,,,,,,,,,,,
IL1RAP,0.755313091,-0.121872988,-4.913952292,0.00035743,,,,,,,,,,,,,,,
CLN6,0.755957272,-0.121502751,-3.134028051,0.008627073,,,,,,,,,,,,,,,
SLC7A8,0.713452948,-0.146634663,-2.276842488,0.041916743,,,,,,,,,,,,,,,
UAP1L1,1.203154133,0.080321267,2.763029328,0.01718244,,,,,,,,,,,,,,,
IMP3,0.901784002,-0.044897474,-2.871912207,0.014039869,,,,,,,,,,,,,,,
APOA4,0.429449613,-0.367087785,-3.861644014,0.002261885,,,,,,,,,,,,,,,
HSD11B1,1.365775275,0.135379246,2.862540153,0.014286306,,,,,,,,,,,,,,,
CHAC2,0.897244546,-0.047089173,-2.042962385,0.063657376,,,,,,,,,,,,,,,
STX2,0.792213118,-0.10115797,-2.051363695,0.062720519,,,,,,,,,,,,,,,
MAN2B2,0.916921863,-0.037667672,-1.203947656,0.251821301,,,,,,,,,,,,,,,
FBH1,0.871565934,-0.059699753,-1.43389843,0.17714155,,,,,,,,,,,,,,,
PPP1R1A,1.537456946,0.186802963,2.914261236,0.012977938,,,,,,,,,,,,,,,
H3-3A,1.035549392,0.015170818,0.739849055,0.473617974,,,,,,,,,,,,,,,
KATNAL1,0.869213855,-0.06087336,-2.354702053,0.036400259,,,,,,,,,,,,,,,
GTF2F1,0.863483579,-0.063745917,-2.382890783,0.03458027,,,,,,,,,,,,,,,
ZNF488,1.245092838,0.095201735,2.321449684,0.038665447,,,,,,,,,,,,,,,
FABP5,0.820807917,-0.085758463,-2.336949989,0.037593232,,,,,,,,,,,,,,,
GABRA3,0.962315733,-0.016682414,-1.427616932,0.178904898,,,,,,,,,,,,,,,
ALDH9A1,1.155475198,0.062760628,2.008731088,0.067610799,,,,,,,,,,,,,,,
H2AC6,1.579881657,0.198624557,3.029451079,0.010477271,,,,,,,,,,,,,,,
PARP14,0.914730471,-0.038706854,-1.59631857,0.136401219,,,,,,,,,,,,,,,
GRIA2,0.948563833,-0.022933438,-1.409846982,0.183973183,,,,,,,,,,,,,,,
HLA-B,0.758729795,-0.119912861,-1.574514753,0.141351133,,,,,,,,,,,,,,,
TMEM168,0.888261291,-0.051459263,-1.985125461,0.070468428,,,,,,,,,,,,,,,
H4C1,1.297425258,0.113082349,2.800560193,0.016027588,,,,,,,,,,,,,,,
VRK2,0.710896698,-0.148193503,-4.936471515,0.000344124,,,,,,,,,,,,,,,
