Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.973026973,0.997016213,0.007595911,-0.176991961,-0.755137797,453,"c(""IL1RAP"", ""APOA4"", ""RIPK2"", ""ARG1"", ""ICAM3"", ""ADIPOQ"", ""PCDHB8"", ""MAGI1"", ""MYO10"", ""HLA-DQA2"", ""APOA1"", ""PLG"", ""PIK3CB"", ""BMP7"", ""FLOT1"", ""ITGA2B"", ""FLOT2"", ""PPARA"", ""FCGR2B"", ""VNN1"", ""SERPINF2"", ""VEZT"", ""HBB"", ""CDH23"", ""PIEZO1"", ""FOXA2"", ""SCARF2"", ""SPTA1"", ""SELL"", ""ICAM2"", ""MMRN1"", ""BAIAP2L1"", ""ITGAD"", ""METTL3"", ""PAG1"", ""FAT3"", ""FIBP"", ""FNDC3A"", ""LOXL3"", ""ST3GAL4"", ""CCN3"", ""PCDH10"", ""CLDN5"", ""HLA-DRB5"", ""LILRB1"", ""B2M"", ""GFUS"", ""AP3B1"", ""VCAM1"", ""HFE"", ""ELANE"", ""EMB"", ""CTSG"", ""CD2AP"", ""NOTCH1"", 
""TRPV4"", ""ITGB5"", ""FGB"", ""WNT5A"", ""PCDHA6"", ""SIGLEC1"", ""FGG"", ""SRC"", ""NF2"", ""PNP"", ""STAT5B"", ""SRPX2"", ""TGFB2"", ""SERPINB8"", ""NFAT5"", ""FGA"", ""PTPRU"", ""PRKCZ"", ""AKT1"", ""SCGB1A1"", ""CBLN1"", ""CDH3"", ""RPS3"", ""IRAK1"", ""LAMB1"", ""HLA-DQB1"", ""ZFP36L1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.788559755,0.933129043,0.024849388,-0.212053328,-0.86469901,170,"c(""APOA4"", ""RIPK2"", ""ARG1"", ""HLA-DQA2"", ""BMP7"", ""FLOT2"", ""PPARA"", ""FCGR2B"", ""VNN1"", ""SPTA1"", ""SELL"", ""PAG1"", ""LOXL3"", ""ST3GAL4"", ""HLA-DRB5"", ""LILRB1"", ""B2M"", ""GFUS"", ""AP3B1"", ""VCAM1"", ""HFE"", ""ELANE"", ""CTSG"", ""SRC"", ""PNP"", ""STAT5B"", ""NFAT5"", ""PRKCZ"", ""AKT1"", ""SCGB1A1"", ""RPS3"", ""IRAK1"", ""HLA-DQB1"", ""TNFAIP8L2"", ""CD74"", ""PIK3R6"", ""HLA-DPB1"", ""JAK2"", ""FGL2"", ""AP3D1"", ""CASP3"", ""HLA-DMA"", ""MAD1L1"", ""PTPN6"", ""FERMT3"", ""PAWR"", ""SYK"", ""PRKCQ"", ""SART1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.748484848,0.917287356,0.027026516,-0.216231886,-0.899609942,245,"c(""RIPK2"", ""HRG"", ""MAGI1"", ""MYO10"", ""HLA-DQA2"", ""APOA1"", ""PTPRJ"", ""BMP7"", ""CARMIL1"", ""FLOT1"", ""FLOT2"", ""VNN1"", ""SERPINF2"", ""PIEZO1"", ""FOXA2"", ""SPTA1"", ""DAB2"", ""LDB1"", ""MMRN1"", ""CD36"", ""ATM"", ""RREB1"", ""SFRP2"", ""AZU1"", ""IFT74"", ""ST3GAL4"", ""HLA-DRB5"", ""LILRB1"", ""B2M"", ""GFUS"", ""AP3B1"", ""VCAM1"", ""ELANE"", ""CTSG"", ""TRIOBP"", ""TFE3"", ""FGB"", ""WNT5A"", ""FGG"", ""SRC"", ""PNP"", ""STAT5B"", ""TGFB2"", ""NFAT5"", ""FGA"", ""PTPRU"", ""PRKCZ"", ""AKT1"", ""RPS3"", ""IRAK1"", ""HLA-DQB1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.157948718,0.428805925,0.107140237,-0.295481065,-1.188259561,134,"c(""RIPK2"", ""MAGI1"", ""MYO10"", ""HLA-DQA2"", ""BMP7"", ""FLOT1"", ""FLOT2"", ""VNN1"", ""SERPINF2"", ""PIEZO1"", ""FOXA2"", ""SPTA1"", ""MMRN1"", ""ST3GAL4"", ""HLA-DRB5"", ""LILRB1"", ""B2M"", ""AP3B1"", ""VCAM1"", ""ELANE"", ""CTSG"", ""FGB"", ""WNT5A"", ""FGG"", ""SRC"", ""PNP"", ""STAT5B"", ""NFAT5"", ""FGA"", ""PTPRU"", ""PRKCZ"", ""AKT1"", ""RPS3"", ""IRAK1"", ""HLA-DQB1"", ""CD74"", ""PIK3R6"", ""HLA-DPB1"", ""JAK2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.838574423,0.959658037,0.022869397,-0.203509592,-0.791800904,105,"c(""RIPK2"", ""HLA-DQA2"", ""FLOT2"", ""VNN1"", ""SPTA1"", ""ST3GAL4"", ""HLA-DRB5"", ""LILRB1"", ""B2M"", ""AP3B1"", ""VCAM1"", ""ELANE"", ""SRC"", ""PNP"", ""STAT5B"", ""NFAT5"", ""PRKCZ"", ""AKT1"", ""RPS3"", ""IRAK1"", ""HLA-DQB1"", ""CD74"", ""PIK3R6"", ""HLA-DPB1"", ""JAK2"", ""AP3D1"", ""HLA-DMA"", ""PTPN6"", ""SYK"", ""PRKCQ"", ""SART1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.953,0.995818633,0.010238918,-0.182256624,-0.775798378,407,"c(""PEAK1"", ""RIPK2"", ""HRG"", ""ARG1"", ""ADIPOQ"", ""MAGI1"", ""MYO10"", ""HLA-DQA2"", ""ATXN3"", ""APOA1"", ""PLG"", ""PIK3CB"", ""PTPRJ"", ""BMP7"", ""CARMIL1"", ""FLOT1"", ""FLOT2"", ""PPARA"", ""FCGR2B"", ""VNN1"", ""SERPINF2"", ""MMP14"", ""PIEZO1"", ""FOXA2"", ""SPTA1"", ""DAB2"", ""LDB1"", ""MMRN1"", ""KNG1"", ""METTL3"", ""PLXND1"", ""PAG1"", ""CD36"", ""ATM"", ""RREB1"", ""SFRP2"", ""AZU1"", ""IFT74"", ""LOXL3"", ""ST3GAL4"", ""DACT2"", ""FES"", ""HLA-DRB5"", ""LILRB1"", ""MELTF"", ""B2M"", ""MMP2"", ""GFUS"", ""AP3B1"", ""VCAM1"", ""HFE"", ""ELANE"", ""CTSG"", ""TRIOBP"", ""TFE3"", ""NOTCH1"", 
""TRPV4"", ""FGB"", ""WNT5A"", ""SLK"", ""FGG"", ""SRC"", ""NF2"", ""PNP"", ""STAT5B"", ""TGFB2"", ""NFAT5"", ""FGA"", ""PTPRU"", ""PRKCZ"", ""AKT1"", ""SCGB1A1"", ""RPS3"", ""IRAK1"", ""HLA-DQB1"", ""SMAD3"", ""TNFAIP8L2"", ""EPB41L4B"", ""CD74"", ""PIK3R6"", ""GTPBP4"", ""HLA-DPB1"", ""JAK2"", ""PTK2"", ""FGL2"", ""EPHA4"", ""ITGB1BP1"", ""AP3D1"", ""PRKCD"", ""CDH1"", ""CASP3"", ""HLA-DMA"", ""MAD1L1"", ""PIK3R1"", ""MYF5"", ""PTPN6"", ""FERMT3"", ""PLXNA3"", ""YTHDF2"", ""CALR"", ""MMP12"", ""PAWR"", ""SYK"", ""PRKCQ"", ""RASA1"", ""CDKN2A"", ""SART1"", ""COL1A1"", ""NRP1"", ""SIPA1"", ""WASHC2C"", ""PPM1F"", 
""ARHGAP6"", ""SPINT2"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.384381339,0.671550719,0.058469321,-0.253778019,-1.046877421,211,"c(""RIPK2"", ""ARG1"", ""ADIPOQ"", ""MAGI1"", ""MYO10"", ""HLA-DQA2"", ""APOA1"", ""PLG"", ""BMP7"", ""FLOT1"", ""FLOT2"", ""PPARA"", ""FCGR2B"", ""VNN1"", ""SERPINF2"", ""PIEZO1"", ""FOXA2"", ""SPTA1"", ""MMRN1"", ""METTL3"", ""PAG1"", ""LOXL3"", ""ST3GAL4"", ""HLA-DRB5"", ""LILRB1"", ""B2M"", ""AP3B1"", ""VCAM1"", ""HFE"", ""ELANE"", ""CTSG"", ""NOTCH1"", ""TRPV4"", ""FGB"", ""WNT5A"", ""FGG"", ""SRC"", ""NF2"", ""PNP"", ""STAT5B"", ""NFAT5"", ""FGA"", ""PTPRU"", ""PRKCZ"", ""AKT1"", ""SCGB1A1"", ""RPS3"", ""IRAK1"", ""HLA-DQB1"", ""TNFAIP8L2"", ""CD74"", ""PIK3R6"", ""GTPBP4"", ""HLA-DPB1"", ""JAK2"", 
""PTK2"", ""FGL2"", ""AP3D1"", ""PRKCD"", ""CDH1"", ""CASP3"", ""HLA-DMA"", ""MAD1L1"", ""PTPN6"", ""FERMT3"", ""YTHDF2"", ""PAWR"", ""SYK"", ""PRKCQ"", ""SART1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],NA,NA,NA,0.240034263,NA,612,"c(""PPP1CA"", ""FAM107A"", ""ARHGEF2"", ""RAP1B"", ""CLASP1"", ""DNM2"", ""DAG1"", ""HMCN1"", ""RHOA"", ""PLEC"", ""MYO1E"", ""WASF2"", ""APBB1IP"", ""HMGA1"", ""CLIC4"", ""STARD10"", ""CAMSAP3"", ""ATAT1"", ""MAP2K1"", ""RHOG"", ""MYADM"", ""CDC42EP4"", ""CYFIP1"", ""RAB10"", ""CDH2"", ""DMD"", ""ADAM10"", ""GNA13"", ""CD81"", ""CDC42"", ""TJP2"", ""MAPK3"", ""CD44"", ""SORBS1"", ""GNB2"", ""YES1"", ""SAV1"", ""RAC1"", ""AIF1L"", ""CTNNA3"", ""MAPRE2"", ""ADCYAP1R1"", ""XIRP1"", ""CD9"", ""DLG1"", ""STRN"", ""PAK2"", ""CTNND2"", ""HEPACAM"", ""CDC42EP1"", ""CFL1"", ""MARCKS"", ""STXBP6"", ""MAPRE1"", 
""RALA"", ""EPB41L3"", ""EPB41L2"", ""NFASC"", ""GRB2"", ""FRMD5"", ""LIN7A"", ""ADGRL3"", ""CLDN11"", ""SIRT2"", ""EVL"", ""TNC"", ""ITGA2"", ""MAPK1"", ""MXRA8"", ""CORO2B"", ""PPP1CB"", ""ARHGAP26"", ""CD99L2"", ""RHOB"", ""CD59"", ""CAP1"", ""YWHAH"", ""CASK"", ""CDH20"", ""CNTNAP2"", ""SRCIN1"", ""GSN"", ""CTNNA2"", ""LIMK1"", ""CYTH1"", ""CNTNAP1"", ""CADM3"", ""FLNC"", ""MAP4K4"", ""ATP1B1"", ""ASH1L"", ""PIP5K1C"", ""RAPGEF2"", ""LDB3"", ""THY1"", ""SDC4"", ""AJAP1"", ""CADM4"", ""P2RX7"", ""EHD3"", ""CSRP1"", ""RDX"", ""ABI2"", ""ANK2"", ""CAPN5"", ""GNA12"", ""PAK1"", ""DCTN4"", ""GDI2"", ""KCNA2"", 
""PPP3CA"", ""CTNNB1"", ""YWHAQ"", ""CYTH3"", ""ATP1A2"", ""AKAP12"", ""FSCN1"", ""EPB41L5"", ""SPTBN4"", ""HSPA8"", ""YWHAZ"", ""SCRIB"", ""SYNM"", ""RRAS"", ""OPALIN"", ""PPIA"", ""YWHAE"", ""KRAS"", ""TBCD"", ""SCN2A"", ""JAM3"", ""YWHAB"", ""PDZD2"", ""ZFYVE21"", ""ENAH"", ""WASF1"", ""CORO1C"", ""GJA1"", ""NHS"", ""PDXP"", ""YWHAG"", ""JAK1"", ""ACTB"", ""PPP1CC"", ""PRKCG"", ""SLC8A1"", ""PDZD11"", ""ANK3"", ""NCKAP1"", ""ANXA1"", ""ADD1"", ""CD99"", ""GAB1"", ""PPFIA1"", ""NPHP4"", ""PCDH1"", ""CLASP2"", ""ADD3"", ""PDLIM4"", ""TGM2"", ""MAGI2"", ""ARVCF"", ""AFAP1"", ""CD151"", ""PCDH9"", ""LPP"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",NA,NA,NA,0.23185799,NA,370,"c(""FAM107A"", ""ARHGEF2"", ""CLASP1"", ""DNM2"", ""DAG1"", ""HMCN1"", ""RHOA"", ""PLEC"", ""APBB1IP"", ""HMGA1"", ""ATAT1"", ""MAP2K1"", ""RHOG"", ""CYFIP1"", ""RAB10"", ""CDH2"", ""DMD"", ""ADAM10"", ""GNA13"", ""CD81"", ""CDC42"", ""MAPK3"", ""CD44"", ""SORBS1"", ""GNB2"", ""YES1"", ""RAC1"", ""AIF1L"", ""MAPRE2"", ""XIRP1"", ""CD9"", ""CDC42EP1"", ""CFL1"", ""MARCKS"", ""MAPRE1"", ""RALA"", ""EPB41L2"", ""NFASC"", ""EVL"", ""TNC"", ""ITGA2"", ""MAPK1"", ""CORO2B"", ""PPP1CB"", ""ARHGAP26"", ""CD99L2"", ""RHOB"", ""CD59"", ""CAP1"", ""CASK"", ""SRCIN1"", ""GSN"", ""LIMK1"", ""FLNC"", ""MAP4K4"", ""PIP5K1C"", 
""THY1"", ""SDC4"", ""EHD3"", ""CSRP1"", ""RDX"", ""CAPN5"", ""GNA12"", ""PAK1"", ""DCTN4"", ""GDI2"", ""CTNNB1"", ""YWHAQ"", ""AKAP12"", ""EPB41L5"", ""HSPA8"", ""YWHAZ"", ""RRAS"", ""PPIA"", ""YWHAE"", ""KRAS"", ""YWHAB"", ""ZFYVE21"", ""ENAH"", ""WASF1"", ""CORO1C"", ""GJA1"", ""NHS"", ""YWHAG"", ""JAK1"", ""ACTB"", ""PPP1CC"", ""NCKAP1"", ""ANXA1"", ""ADD1"", ""CD99"", ""PPFIA1"", ""CLASP2"", ""TGM2"", ""AFAP1"", ""CD151"", ""LPP"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.844,0.962088683,0.019677649,-0.203081274,-0.86482942,405,"c(""APOA4"", ""EGFL8"", ""LPL"", ""HRG"", ""ADIPOQ"", ""ABCA1"", ""PLG"", ""PTPRJ"", ""FLOT1"", ""ITGA2B"", ""IGHV2-26"", ""FCGR2B"", ""CD5L"", ""SERPINF2"", ""IGHM"", ""MME"", ""IGHG2"", ""LEPR"", ""IDE"", ""ABCG2"", ""FGFR2"", ""SCARB1"", ""IGHV6-1"", ""IGF2R"", ""TF"", ""APOH"", ""ACE"", ""ITGAD"", ""CD36"", ""HEG1"", ""ABCB1"", ""NRDC"", ""PTGFRN"", ""IGKC"", ""IGHG3"", ""PTPRK"", ""SLC1A1"", ""MRC1"", ""IGHG1"", ""IGLC2"", ""GRIA2"", ""LILRB1"", ""LTF"", ""MELTF"", ""B2M"", ""IGHV3-53"", ""VCAM1"", ""SPA17"", ""HFE"", ""ELANE"", ""CTSG"", ""CLCN3"", ""TYROBP"", ""AMBP"", ""B4GALT1"", ""NOTCH1"", ""IGLL1"", 
""IGHV2-5"", ""TRPV4"", ""ITGB5"", ""FGB"", ""WNT5A"", ""CD14"", ""ABCA7"", ""SRPX"", ""FGG"", ""ATP6AP2"", ""TSPAN33"", ""VASN"", ""IGHE"", ""BGN"", ""PAM"")"
