Row,FC_ad_adnc,log10 LFC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,,
A1BG,0.793187684,-0.100624038,-0.462588214,0.648913412,,,,,,,,,,,,,,,,
AAMDC,0.553698493,-0.256726659,-1.289520127,0.212694506,,,,,,,,,,,,,,,,
AARSD1,0.705803047,-0.151316471,-1.018410599,0.321276401,,,,,,,,,,,,,,,,
ABCA2,0.833658777,-0.079011673,-1.047144973,0.30817179,,,,,,,,,,,,,,,,
ABHD14B,0.556699339,-0.254379294,-1.113275024,0.279476997,,,,,,,,,,,,,,,,
ABL1,0.254308577,-0.594638993,-1.068388034,0.298732325,,,,,,,,,,,,,,,,
ABO,0.822086356,-0.08508256,0.339938669,0.73763191,,,,,,,,,,,,,,,,
ABRAXAS2,0.460943033,-0.336352745,-0.560926224,0.581403403,,,,,,,,,,,,,,,,
ACAA1,0.353710652,-0.451351861,-1.011900784,0.324299179,,,,,,,,,,,,,,,,
ACADM,0.631309754,-0.1997575,0.087773423,0.93097527,,,,,,,,,,,,,,,,
ACADSB,0.670588937,-0.173543616,-1.311329372,0.205373431,,,,,,,,,,,,,,,,
ACAN,0.73265768,-0.135098894,0.295400474,0.770891908,,,,,,,,,,,,,,,,
ACE,0.598874482,-0.222664192,-0.216694097,0.830756473,,,,,,,,,,,,,,,,
ACE2,0.521950592,-0.282370605,-1.496748752,0.150886487,,,,,,,,,,,,,,,,
ACHE,0.996579848,-0.001487899,1.049222553,0.307239299,,,,,,,,,,,,,,,,
ACOT13,0.427209323,-0.369359278,-1.433104365,0.168078453,,,,,,,,,,,,,,,,
ACOX1,0.457697271,-0.339421677,-1.408214942,0.175220465,,,,,,,,,,,,,,,,
ACP1,0.6374939,-0.195523967,-1.895212758,0.073383048,,,,,,,,,,,,,,,,
ACP5,1.516293559,0.18078329,0.754345718,0.459889658,,,,,,,,,,,,,,,,
ACP6,0.310956942,-0.507299743,-0.774774825,0.448008068,,,,,,,,,,,,,,,,
ACRBP,0.607260618,-0.216624883,-1.486053086,0.153670337,,,,,,,,,,,,,,,,
ACRV1,0.934229099,-0.029546609,-0.552612635,0.586971811,,,,,,,,,,,,,,,,
ACSL1,0.783463638,-0.105981155,-1.068754856,0.298571176,,,,,,,,,,,,,,,,
ACTA2,0.792235587,-0.101145653,0.213852909,0.832939947,,,,,,,,,,,,,,,,
ACTN2,0.261066978,-0.583248058,-1.719176064,0.101832521,,,,,,,,,,,,,,,,
ACTN4,0.774077799,-0.111215388,-1.892859458,0.073711736,,,,,,,,,,,,,,,,
ACVRL1,0.859642212,-0.065682267,-0.469797189,0.643846944,,,,,,,,,,,,,,,,
ACY1,0.88027137,-0.055383423,-1.551375411,0.137309469,,,,,,,,,,,,,,,,
ACY3,0.754934423,-0.122090772,-0.548145627,0.589974783,,,,,,,,,,,,,,,,
ACYP1,0.991039798,-0.003908905,-0.162677042,0.872490424,,,,,,,,,,,,,,,,
