"","X","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","1","1","0","-0.137694973270229","-0.553192221896205","358","c(""HLA-E"", ""CDH4"", ""TJP3"", ""PTPRM"", ""ADA"", ""SOX9"", ""SCARF2"", ""APOA4"", ""ZP4"", ""BAIAP2"", ""CASP3"", ""PRKCQ"", ""ASS1"", ""FADD"", ""SWAP70"", ""NCK2"", ""EPO"", ""IL2RA"", ""EZR"", ""SART1"", ""CDH1"", ""LPP"", ""MINK1"", ""CD46"", ""SFTPD"", ""KIRREL2"", ""IL2"", ""CXCL12"", ""TFRC"", ""AMIGO1"", ""LAG3"", ""GLI2"", ""CTLA4"", ""KRT18"", ""CDH3"", ""STXBP3"", ""IL7R"", ""SHH"", ""CRTAM"", ""ROBO4"", ""CD3E"", ""CDHR2"", ""PRDX2"", ""RAB10"", ""IDO1"", ""DSG2"", ""PPM1F"", ""ABL1"", ""FGA"", ""DHPS"", ""CD2AP"", ""RNASE10"", ""SOX2"", ""TNFRSF13C"", ""DLG4"", ""PAK4"", ""TARM1"", ""PDE5A"", 
""FOXO3"", ""METAP1"", ""CD200R1"", ""BSG"", ""ARG1"", ""BOC"", ""PDLIM5"", ""PALLD"", ""IL18"", ""MAD1L1"", ""CD28"", ""TGFB1"", ""SLAMF1"", ""SDK2"", ""ICOSLG"", ""IGDCC3"", ""PRKG1"", ""PDGFRA"", ""NEXN"", ""ARG2"", ""CD5"", ""CD93"", ""PAG1"", ""XCL1"", ""TNIP1"", ""SKAP1"", ""BMP4"", ""LYN"", ""APOA1"", ""PTPN6"", ""FCGR2B"", ""PRKAR1A"", ""SELE"", ""SEMA4D"", ""CD34"", ""CXADR"", ""KLRK1"", ""NEO1"", ""VCAM1"", ""TNFSF9"", ""CDON"", ""SIGLEC1"", ""ITGB7"", ""KIRREL1"", ""CORO1A"", ""ZBTB16"", ""IL20RB"", ""ADAM9"", ""CD86"", ""LGALS3"", ""LAMB1"", ""FGL1"", ""SELPLG"", ""ICAM2"", ""CD4"", ""NINJ1"", 
""IL12B"", ""NFAT5"", ""ADGRV1"", ""EPB41L5"", ""SERPINF2"", ""GCNT1"", ""CXCL13"", ""MYH9"", ""SERPINB8"", ""SDC4"", ""TNFAIP8L2"", ""SRC"", ""ITGA2"", ""SCRIB"", ""EPCAM"", ""BCL2"", ""IL12RB1"", ""SERPINE2"", ""IL10"", ""CD70"", ""GP1BA"", ""NLGN1"", ""DNAJB6"", ""NT5E"", ""NECTIN2"", ""FXYD5"", ""LILRB2"", ""NRXN3"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"", ""MEGF11"", ""ITGB1"", ""ICAM4"", ""CDH5"", ""IGSF9"", ""CEBPB"", ""YES1"", ""AIF1"", ""AGER"", ""CCN1"", ""CD80"", ""JAM3"", ""CRNN"", ""CD55"", ""PODXL"", ""CLEC4M"", ""PVR"", ""AP3B1"", ""ICAM1"", ""THY1"", ""ANXA1"", ""ZP3"", ""DCC"", ""ICAM3"", 
""RGCC"", ""IFNL1"", ""DSG3"", ""CDH17"", ""PCDHB15"", ""SLITRK2"", ""IL4R"", ""TNR"", ""PCDH7"", ""PECAM1"", ""CR1"", ""PLXNB3"")"
"2","2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.820745216515609","1","0.0217960026831818","-0.219683925769044","-0.8498531027844","168","c(""HLA-E"", ""ADA"", ""APOA4"", ""ZP4"", ""CASP3"", ""PRKCQ"", ""ASS1"", ""FADD"", ""NCK2"", ""EPO"", ""IL2RA"", ""EZR"", ""SART1"", ""CD46"", ""SFTPD"", ""IL2"", ""CXCL12"", ""TFRC"", ""LAG3"", ""GLI2"", ""CTLA4"", ""IL7R"", ""SHH"", ""CRTAM"", ""CD3E"", ""PRDX2"", ""IDO1"", ""DHPS"", ""TNFRSF13C"", ""TARM1"", ""PDE5A"", ""FOXO3"", ""ARG1"", ""IL18"", ""MAD1L1"", ""CD28"", ""SLAMF1"", ""ICOSLG"", ""ARG2"", ""CD5"", ""PAG1"", ""XCL1"", ""TNIP1"", ""SKAP1"", ""BMP4"", ""LYN"", ""PTPN6"", ""FCGR2B"", ""PRKAR1A"", ""SELE"", ""SEMA4D"", ""KLRK1"", ""VCAM1"", ""TNFSF9"", ""ITGB7"", ""CORO1A"", ""ZBTB16"", ""IL20RB"", 
""CD86"", ""LGALS3"", ""FGL1"", ""SELPLG"", ""CD4"", ""IL12B"", ""NFAT5"", ""GCNT1"", ""SDC4"", ""TNFAIP8L2"", ""SRC"", ""SCRIB"", ""IL12RB1"", ""IL10"", ""CD70"", ""NT5E"", ""LILRB2"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"", ""ITGB1"", ""CEBPB"", ""YES1"", ""AIF1"", ""AGER"", ""CD80"", ""CD55"", ""CLEC4M"", ""AP3B1"", ""ICAM1"", ""THY1"", ""ANXA1"", ""ZP3"")"
"3","3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.983935742971888","1","0.00667841440698826","-0.169539599832334","-0.661967485373739","189","c(""HLA-E"", ""RAC3"", ""ADA"", ""TGM2"", ""FUT1"", ""C1QBP"", ""ZP4"", ""CYTH3"", ""PRKCQ"", ""FADD"", ""NCK2"", ""EPO"", ""IL2RA"", ""SART1"", ""CD46"", ""IL2"", ""CXCL12"", ""TFRC"", ""GLI2"", ""RRAS"", ""IL7R"", ""SHH"", ""BAG4"", ""CD3E"", ""PPM1F"", ""EPHA1"", ""ABL1"", ""FGA"", ""DHPS"", ""RNASE10"", ""STX3"", ""SOX2"", ""TNFRSF13C"", ""FOXO3"", ""IL18"", ""CD28"", ""SLAMF1"", ""ICOSLG"", ""CRKL"", ""STX4"", ""CD5"", ""PRKD2"", ""XCL1"", ""SKAP1"", ""LYN"", ""APOA1"", ""SFRP1"", ""APBB1IP"", ""PTPN6"", ""DAB2"", ""SELE"", ""KLRK1"", ""VCAM1"", ""TNFSF9"", ""CORO1A"", ""ZBTB16"", ""ADAM9"", ""CD86"", ""AGR2"", 
""CD4"", ""IL12B"", ""NFAT5"", ""EPB41L5"", ""SERPINF2"", ""CXCL13"", ""SDC4"", ""SRC"", ""ITGA2"", ""SMAD3"", ""IL12RB1"", ""IL10"", ""CD70"", ""P4HB"", ""LILRB2"", ""TSC1"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"", ""VAV3"", ""YES1"", ""AIF1"", ""AGER"", ""STK4"", ""CCN1"", ""CD80"", ""CD55"", ""AZU1"", ""PODXL"")"
"4","4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.904471544715447","1","0.0161121851693944","-0.198721659525137","-0.750795400088394","121","c(""HLA-E"", ""ADA"", ""ZP4"", ""PRKCQ"", ""FADD"", ""NCK2"", ""EPO"", ""IL2RA"", ""SART1"", ""CD46"", ""IL2"", ""TFRC"", ""GLI2"", ""IL7R"", ""SHH"", ""CD3E"", ""FGA"", ""DHPS"", ""RNASE10"", ""SOX2"", ""TNFRSF13C"", ""FOXO3"", ""IL18"", ""CD28"", ""SLAMF1"", ""ICOSLG"", ""CD5"", ""XCL1"", ""SKAP1"", ""LYN"", ""PTPN6"", ""SELE"", ""KLRK1"", ""VCAM1"", ""TNFSF9"", ""CORO1A"", ""ZBTB16"", ""CD86"", ""CD4"", ""IL12B"", ""NFAT5"", ""SERPINF2"", ""CXCL13"", ""SRC"", ""IL12RB1"", ""IL10"", ""CD70"", ""LILRB2"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"", ""YES1"", ""AIF1"", ""AGER"", ""CD80"", ""CD55"", ""PODXL"", 
""AP3B1"", ""THY1"", ""ANXA1"", ""ZP3"")"
"5","5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.86489252814739","1","0.0196032645039178","-0.210226553651237","-0.783956395344496","107","c(""HLA-E"", ""ADA"", ""ZP4"", ""PRKCQ"", ""FADD"", ""NCK2"", ""EPO"", ""IL2RA"", ""SART1"", ""CD46"", ""IL2"", ""TFRC"", ""GLI2"", ""IL7R"", ""SHH"", ""CD3E"", ""DHPS"", ""TNFRSF13C"", ""FOXO3"", ""IL18"", ""CD28"", ""SLAMF1"", ""ICOSLG"", ""CD5"", ""XCL1"", ""SKAP1"", ""LYN"", ""PTPN6"", ""SELE"", ""KLRK1"", ""VCAM1"", ""TNFSF9"", ""CORO1A"", ""ZBTB16"", ""CD86"", ""CD4"", ""IL12B"", ""NFAT5"", ""SRC"", ""IL12RB1"", ""CD70"", ""LILRB2"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"", ""YES1"", ""AIF1"", ""AGER"", ""CD80"", ""CD55"", ""AP3B1"", ""THY1"", ""ANXA1"", ""ZP3"")"
"6","6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.999000999000999","1","0.0014426950408889","-0.147609925973177","-0.588901661986545","290","c(""HLA-E"", ""RAC3"", ""ADA"", ""TGM2"", ""FUT1"", ""SOX9"", ""ACTN4"", ""C1QBP"", ""CLASP1"", ""MELTF"", ""SLK"", ""ZP4"", ""CYTH3"", ""CASP3"", ""PRKCQ"", ""ASS1"", ""FADD"", ""SWAP70"", ""NCK2"", ""EPO"", ""IL2RA"", ""EPHA2"", ""SART1"", ""CDH1"", ""MINK1"", ""CD46"", ""SFTPD"", ""IL2"", ""CXCL12"", ""TFRC"", ""LAG3"", ""GLI2"", ""CTLA4"", ""RRAS"", ""IL7R"", ""SHH"", ""CRTAM"", ""BAG4"", ""CD3E"", ""PRDX2"", ""IDO1"", ""PPM1F"", ""RASA1"", ""EPHA1"", ""ABL1"", ""FGA"", ""DHPS"", ""RNASE10"", ""STX3"", ""SOX2"", ""TNFRSF13C"", ""ATXN3"", ""TARM1"", ""PPP1R12A"", ""PDE5A"", ""FOXO3"", ""ARG1"", ""IL18"", ""MAD1L1"", 
""CD28"", ""TGFB1"", ""SLAMF1"", ""ICOSLG"", ""CRKL"", ""PRKG1"", ""STX4"", ""ARG2"", ""CD5"", ""PRKD2"", ""PAG1"", ""XCL1"", ""GBP1"", ""SKAP1"", ""BMP4"", ""LYN"", ""APOA1"", ""SFRP1"", ""APBB1IP"", ""PTPN6"", ""FCGR2B"", ""DAB2"", ""PLXNA4"", ""PRKAR1A"", ""SELE"", ""SEMA4D"", ""KLRK1"", ""PHLDB2"", ""VCAM1"", ""TNFSF9"", ""CORO1A"", ""ZBTB16"", ""IL20RB"", ""ADAM9"", ""CD86"", ""LGALS3"", ""AGR2"", ""ERBB3"", ""FGL1"", ""CD4"", ""IL12B"", ""NFAT5"", ""EPB41L5"", ""SERPINF2"", ""CXCL13"", ""SDC4"", ""TNFAIP8L2"", ""SRC"", ""ITGA2"", ""SCRIB"", ""EPCAM"", ""BCL2"", ""SMAD3"", ""IL12RB1"", ""SERPINE2"", 
""IL10"", ""CD70"", ""P4HB"", ""FXYD5"", ""LILRB2"", ""TSC1"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"", ""VAV3"", ""CEBPB"", ""YES1"", ""AIF1"", ""AGER"", ""STK4"", ""CCN1"", ""CD80"", ""JAM3"", ""CD55"", ""AZU1"", ""PODXL"")"
"7","7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.874623871614845","1","0.0175479783225763","-0.20784342374705","-0.811623291154302","186","c(""HLA-E"", ""ADA"", ""ZP4"", ""CASP3"", ""PRKCQ"", ""ASS1"", ""FADD"", ""SWAP70"", ""NCK2"", ""EPO"", ""IL2RA"", ""SART1"", ""CDH1"", ""MINK1"", ""CD46"", ""SFTPD"", ""IL2"", ""CXCL12"", ""TFRC"", ""LAG3"", ""GLI2"", ""CTLA4"", ""IL7R"", ""SHH"", ""CRTAM"", ""CD3E"", ""PRDX2"", ""IDO1"", ""PPM1F"", ""ABL1"", ""FGA"", ""DHPS"", ""RNASE10"", ""SOX2"", ""TNFRSF13C"", ""TARM1"", ""PDE5A"", ""FOXO3"", ""ARG1"", ""IL18"", ""MAD1L1"", ""CD28"", ""TGFB1"", ""SLAMF1"", ""ICOSLG"", ""PRKG1"", ""ARG2"", ""CD5"", ""PAG1"", ""XCL1"", ""SKAP1"", ""BMP4"", ""LYN"", ""APOA1"", ""PTPN6"", ""FCGR2B"", ""PRKAR1A"", ""SELE"", ""KLRK1"", 
""VCAM1"", ""TNFSF9"", ""CORO1A"", ""ZBTB16"", ""IL20RB"", ""CD86"", ""LGALS3"", ""FGL1"", ""CD4"", ""IL12B"", ""NFAT5"", ""EPB41L5"", ""SERPINF2"", ""CXCL13"", ""SDC4"", ""TNFAIP8L2"", ""SRC"", ""SCRIB"", ""EPCAM"", ""IL12RB1"", ""SERPINE2"", ""IL10"", ""CD70"", ""FXYD5"", ""LILRB2"", ""LILRB1"", ""TNF"", ""CD209"", ""HLA-DRA"")"
"8","8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.688376753507014","1","0.0308468245215279","-0.234816957692623","-0.926198480646088","234","c(""TJP3"", ""PTPRM"", ""LAP3"", ""AMOT"", ""PTK7"", ""HEG1"", ""TGM2"", ""SV2A"", ""ACTN4"", ""EPPK1"", ""SCARF2"", ""CLASP1"", ""ACTN2"", ""WASF1"", ""CYTH3"", ""BAIAP2"", ""PROCR"", ""ANK2"", ""DMD"", ""EPHA2"", ""SPTBN2"", ""EZR"", ""PIKFYVE"", ""CDH1"", ""LPP"", ""MPRIP"", ""CD46"", ""KIRREL2"", ""AKAP12"", ""AFAP1"", ""SORBS1"", ""KAZN"", ""PDIA3"", ""MTDH"", ""PDZD2"", ""PPP1CC"", ""KRT18"", ""CDH3"", ""RRAS"", ""CDC42BPB"", ""CD3E"", ""RAB10"", ""DSG2"", ""MAP2K1"", ""REXO2"", ""VIM"", ""LAT"", ""PCBP2"", ""CD2AP"", ""STX3"", ""ERBIN"", ""RPS10"", ""CGN"", ""HSP90B1"", ""PTPRK"", ""PKD2"", ""GIT1"", 
""PAK4"", ""PPP1R12A"", ""EHD3"", ""PXN"", ""NUMB"", ""PARK7"", ""PPP1R9B"", ""BSG"", ""PDLIM5"", ""STX16"", ""PALLD"", ""SIRT2"", ""SNAP23"", ""NEXN"", ""AMOTL2"", ""MICALL2"", ""NDRG1"", ""SKAP1"", ""LYN"", ""SDCCAG8"", ""APBB1IP"", ""C1QTNF5"", ""PTPN6"", ""TJAP1"", ""SLC9A3R2"", ""DAB2"", ""NPM1"", ""HYOU1"", ""NPHS2"", ""HNRNPK"", ""CXADR"", ""SH3BP1"", ""AIF1L"", ""PHLDB2"", ""PRKAR2A"", ""DBN1"", ""ARF6"", ""ADD1"", ""ITGB7"", ""KIRREL1"", ""CORO1A"", ""ENAH"", ""ADAM9"", ""ITGB6"", ""AHNAK"", ""PPL"", ""DNMBP"", ""EPB41L5"", ""VAMP5"", ""MYH9"", ""SDC4"", ""LAMA1"", ""SRC"", ""ITGA2"", ""ADGRE5"", 
""SCRIB"", ""EPCAM"")"
"9","9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.808510638297872","1","0.0230116943194552","-0.222677201803413","-0.844976108839245","129","c(""LAP3"", ""PTK7"", ""TGM2"", ""ACTN4"", ""EPPK1"", ""SCARF2"", ""CLASP1"", ""ACTN2"", ""WASF1"", ""PROCR"", ""DMD"", ""EPHA2"", ""EZR"", ""LPP"", ""MPRIP"", ""CD46"", ""AKAP12"", ""AFAP1"", ""SORBS1"", ""PDIA3"", ""PPP1CC"", ""RRAS"", ""RAB10"", ""MAP2K1"", ""REXO2"", ""VIM"", ""PCBP2"", ""ERBIN"", ""RPS10"", ""HSP90B1"", ""GIT1"", ""PAK4"", ""PPP1R12A"", ""EHD3"", ""PXN"", ""NUMB"", ""BSG"", ""STX16"", ""PALLD"", ""SNAP23"", ""NEXN"", ""APBB1IP"", ""SLC9A3R2"", ""DAB2"", ""NPM1"", ""HYOU1"", ""HNRNPK"", ""AIF1L"", ""PHLDB2"", ""PRKAR2A"", ""ARF6"", ""ADD1"", ""ITGB7"", ""ENAH"", ""ADAM9"", ""ITGB6"", ""AHNAK"", 
""EPB41L5"", ""MYH9"", ""SDC4"", ""SRC"", ""ITGA2"", ""ADGRE5"", ""CAT"", ""VASP"", ""P4HB"", ""NECTIN2"", ""MME"", ""ITGB1"", ""IL16"", ""YES1"", ""LRP1"", ""FLRT2"", ""ENG"", ""PVR"", ""HSPA1A"", ""FLT1"", ""PDGFRB"", ""ICAM1"", ""THY1"", ""ANXA1"", ""THSD1"", ""ANXA5"")"
"10","10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","1","1","0","-0.0823790781824985","-0.33311204726863","412","c(""HLA-E"", ""MIF"", ""ENO2"", ""GRIN2B"", ""AMOT"", ""ADA"", ""HEG1"", ""CD3D"", ""C1QBP"", ""FZD10"", ""SLC1A4"", ""OTOA"", ""CLEC4C"", ""MELTF"", ""APOA4"", ""FOLH1"", ""PROCR"", ""FCRL1"", ""DMD"", ""ACE2"")"
