gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
PLP1,4.973334898,6.142283849,11.24820487,2.21E-12,1.36E-08,17.46978843,NA,0.10342368
NDRG1,-2.960203082,8.552794361,-8.553503353,1.32E-09,4.07E-06,11.86956845,NA,0.324536377
ATF3,-2.744411441,8.307025076,-7.579411778,1.69E-08,2.07E-05,9.458143885,NA,0.274607703
CPTP,3.689283136,6.093381474,7.701351319,1.22E-08,2.07E-05,9.405387244,NA,0.093437946
TAF3,3.933250131,5.922574962,7.663057217,1.35E-08,2.07E-05,9.216398914,NA,0.082738944
FGFR1,-2.848817804,7.88471124,-7.38451638,2.84E-08,2.91E-05,8.940051184,NA,0.236091298
FASLG,2.942644547,6.13871424,6.97544571,8.64E-08,7.04E-05,7.829253363,NA,0.082025678
JUNB,-3.051215428,8.615551606,-6.953813525,9.17E-08,7.04E-05,7.886953747,Development (apoptosis),0.356633381
AKAP12,-3.191469811,8.369440645,-6.722682655,1.73E-07,0.000106368,7.285502,NA,0.296718973
DPY30,2.366214361,7.121330953,6.743564925,1.63E-07,0.000106368,7.34518124,NA,0.173323823
SCG2,3.982084449,5.71069353,6.570481781,2.64E-07,0.000147427,6.610272365,Transport,0.087731812
HES1,-2.208939382,8.377376927,-6.476010271,3.43E-07,0.000175766,6.650636179,Development (differentiation),0.282453638
CDKN1C,-2.394386829,7.832896461,-6.174163146,7.99E-07,0.000377581,5.832375947,Development (cell cycle),0.212553495
DUSP5,-2.249304833,8.951557413,-6.112284127,9.51E-07,0.00038943,5.682792649,NA,0.397289586
STUB1,2.350165495,6.642313314,6.134663835,8.93E-07,0.00038943,5.72221015,NA,0.113409415
ADM,-2.513529387,9.085398938,-6.01837286,1.24E-06,0.00042281,5.431543016,NA,0.424393723
DUSP4,2.200592386,7.191527672,6.046740108,1.14E-06,0.00042281,5.507721368,NA,0.150499287
RNF123,2.249613569,6.941858041,6.028283925,1.20E-06,0.00042281,5.454864049,NA,0.137660485
FLNA,-2.404696047,7.454694632,-5.974557001,1.40E-06,0.000453267,5.306025085,NA,0.17189729
BCL2L1,2.23105561,6.89367021,5.923630464,1.62E-06,0.000497213,5.174682736,Development (differentiation),0.141226819
HP,2.179538012,6.91422809,5.867066596,1.90E-06,0.000537987,5.027028365,NA,0.144079886
RGS5,-2.088399611,8.000307706,-5.862045054,1.93E-06,0.000537987,5.014048415,NA,0.218972896
GALNT6,2.236079972,6.686132064,5.785522234,2.39E-06,0.000612443,4.808082085,NA,0.124821683
IGF1,2.413888115,6.698614216,5.797587186,2.31E-06,0.000612443,4.838855532,Development (differentiation),0.114835949
BHLHE40,-2.209911755,8.569931449,-5.568075635,4.43E-06,0.001089656,4.222123735,NA,0.339514979
SELENBP1,2.092071117,6.985300367,5.52042661,5.08E-06,0.001199692,4.098449092,Metabolism (other),0.139800285
RCAN1,1.89970089,7.380005244,5.502936074,5.34E-06,0.001214158,4.045545053,Metabolism (other),0.175463623
JUN,-2.347802115,9.467496361,-5.486584686,5.59E-06,0.001226517,4.009004115,Development (apoptosis),0.502853067
VPS4A,2.185117738,6.403239257,5.403827866,7.07E-06,0.001498551,3.785030754,NA,0.102710414
SIGIRR,1.828445234,7.293686547,5.306481849,9.33E-06,0.001911071,3.51699184,NA,0.164051355
