gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
TRIM37,-1.093684802,7.222281783,-7.917619854,2.31E-05,0.141927201,2.045956981,NA,0.173760267
HNRNPF,-1.001681526,6.68767756,-7.047955522,5.79E-05,0.178073786,1.788013042,NA,0.123819563
ABCC9,-0.507015391,6.59981787,-3.309119481,0.009010068,0.235379498,-2.342132732,Transport,0.119427241
ACP5,0.560391228,5.896908647,3.343897898,0.008522856,0.235379498,-2.289842105,Metabolism (other),0.080006149
ACSM2A,0.563248077,5.902120667,4.345697255,0.001831443,0.235379498,-0.954893585,Metabolism or Transport (lipid),0.081719155
ACVRL1,0.406607184,5.598280786,3.383847849,0.007996872,0.235379498,-2.230718698,NA,0.0651601
ADAM19,0.441189284,6.744588397,3.476869548,0.006899153,0.235379498,-2.104551572,NA,0.135107832
ADAR,-0.5132695,7.099732115,-3.886314392,0.003646709,0.235379498,-1.561614133,NA,0.165041507
ADCY1,0.480298785,6.435593804,3.74306626,0.004547059,0.235379498,-1.74234635,NA,0.115122765
ADCY7,0.550698226,6.340996937,4.792679928,0.000964572,0.235379498,-0.417695557,NA,0.107062854
ADGRF3,0.553684118,6.690753326,4.748516936,0.001026328,0.235379498,-0.525465527,Matrisome/cell adhesion/binding/signaling,0.134075636
ADGRL2,0.436781214,6.563835248,3.785611896,0.004257424,0.235379498,-1.688937356,Matrisome/cell adhesion/binding/signaling,0.124785874
ADRA1B,0.431206398,6.631581657,3.683380837,0.004988833,0.235379498,-1.825778961,NA,0.128563271
ADRB1,0.490812592,6.736892815,3.149069167,0.011654658,0.235379498,-2.550008508,NA,0.139104845
AEBP2,-0.646858791,6.901169796,-4.173672115,0.002362085,0.235379498,-1.190414135,Metabolism or Transport (lipid),0.140883735
AK1,-1.103254557,6.86195828,-4.41554347,0.001653684,0.235379498,-0.868273118,NA,0.132582246
ALDOC,0.432530937,6.441303968,3.684599542,0.004979374,0.235379498,-1.820856528,Metabolism (other),0.113585453
AMPH,0.435453988,6.278810861,3.468989242,0.006985729,0.235379498,-2.116012287,NA,0.101814029
ANKRD22,0.420467433,6.603233283,3.301089527,0.009126622,0.235379498,-2.344166642,NA,0.126169456
ANLN,0.438914128,6.108816125,3.361004787,0.008293346,0.235379498,-2.268588987,NA,0.093600387
APCDD1,0.469881503,7.0591415,3.236264431,0.010126868,0.235379498,-2.443386866,Development (differentiation),0.167413361
APOL1,0.408238746,6.999572157,3.286270216,0.009345856,0.235379498,-2.366951843,Metabolism or Transport (lipid),0.161725304
APRT,-0.493171908,6.527520705,-3.13592477,0.011904866,0.235379498,-2.586534473,NA,0.111564984
ARG1,0.465190453,6.57677512,3.907118487,0.003532496,0.235379498,-1.53008646,NA,0.122370097
ARPC1A,-1.640160633,9.094293899,-5.84328684,0.000239249,0.235379498,-1.30809599,NA,0.460161637
ASIC2,0.441254652,6.645474951,3.741524943,0.004557933,0.235379498,-1.748779194,Transport,0.130539816
ATP7A,0.785222376,6.070188213,3.200880061,0.010720193,0.235379498,-2.493373291,NA,0.092458383
AVP,0.491665477,5.863465448,3.138571605,0.01185404,0.235379498,-2.579002178,NA,0.077304871
BACH2,0.459323141,6.509893415,3.778725868,0.00430295,0.235379498,-1.695014062,Inflammation/Immune/Stress/Toxic/Detox,0.118944086
BATF,0.336311846,6.313318365,3.139598763,0.011834377,0.235379498,-2.582328173,NA,0.104844731
BCL3,0.405767818,6.51153441,3.220376534,0.01038895,0.235379498,-2.462854981,NA,0.119449203
BEX1,0.788884646,6.082110104,3.195978003,0.010805187,0.235379498,-2.497794819,NA,0.094281196
BRD4,-0.504291322,6.508784473,-3.254681724,0.009831623,0.235379498,-2.418400403,NA,0.110598674
C4BPA,0.411070668,6.137983356,3.265275173,0.00966586,0.235379498,-2.404366725,Inflammation/Immune/Stress/Toxic/Detox,0.093249001
C8B,0.515771687,6.680667236,3.590177698,0.005771221,0.235379498,-1.954856688,Inflammation/Immune/Stress/Toxic/Detox,0.131396319
CACNA1G,0.529788122,6.557193052,4.261901094,0.00207201,0.235379498,-1.073652272,Transport,0.12445645
CACNA1S,0.557369117,6.664811296,4.384468204,0.001730384,0.235379498,-0.950921718,Transport,0.131989283
CACNB3,0.419000785,5.944976898,3.411912384,0.007647688,0.235379498,-2.196491386,Transport,0.083805508
CACNG3,0.621453363,6.366524182,4.42790141,0.001624198,0.235379498,-0.867689709,Transport,0.107611894
CACNG6,0.413399023,5.742000411,3.262722878,0.00970553,0.235379498,-2.402051389,Transport,0.072056046
CALCB,0.458523892,6.279875598,3.894795041,0.003599686,0.235379498,-1.536714727,Transport,0.102494839
CAMTA1,0.409619661,6.212174721,3.473645419,0.006934438,0.235379498,-2.110618204,Transport,0.097377784
CCBE1,0.422287124,6.314172581,3.868593416,0.003747074,0.235379498,-1.57289163,NA,0.105437695
CCL15,0.539408939,5.878322859,4.348891129,0.001822885,0.235379498,-0.956379636,Inflammation/Immune/Stress/Toxic/Detox,0.078798261
CCL24,0.503500958,6.618432454,4.014783295,0.002998959,0.235379498,-1.386803508,Inflammation/Immune/Stress/Toxic/Detox,0.128453463
CCR3,0.477669636,6.99161668,3.279911433,0.009441597,0.235379498,-2.379303591,Inflammation/Immune/Stress/Toxic/Detox,0.164602275
CCR5,0.428374292,5.514399692,3.150769443,0.011622692,0.235379498,-2.55463248,Inflammation/Immune/Stress/Toxic/Detox,0.064171828
CD19,0.553231701,6.255334499,5.157568795,0.000583911,0.235379498,0.0025318,Inflammation/Immune/Stress/Toxic/Detox,0.100584179
CD207,0.452629499,6.445273811,3.713607648,0.004759716,0.235379498,-1.784077906,Inflammation/Immune/Stress/Toxic/Detox,0.113848992
CD209,0.473246641,5.62427338,3.167644468,0.011310304,0.235379498,-2.529485908,Inflammation/Immune/Stress/Toxic/Detox,0.067246453
CD300A,0.52889651,5.952310792,3.265398489,0.009663948,0.235379498,-2.40343199,Inflammation/Immune/Stress/Toxic/Detox,0.086089516
CD38,0.395123702,6.428148426,3.181079082,0.011067819,0.235379498,-2.513900366,Inflammation/Immune/Stress/Toxic/Detox,0.111652831
CD3D,0.431685732,6.354629643,3.552974476,0.006118578,0.235379498,-1.999681001,Inflammation/Immune/Stress/Toxic/Detox,0.108995476
CD3E,0.427829557,5.939588244,3.279753137,0.009443994,0.235379498,-2.381461409,Inflammation/Immune/Stress/Toxic/Detox,0.084003162
CD40LG,0.613979001,6.001877885,3.222081595,0.01036049,0.235379498,-2.461387526,Inflammation/Immune/Stress/Toxic/Detox,0.086682479
CD70,0.401732335,6.182468624,3.303155517,0.009096485,0.235379498,-2.349262956,Inflammation/Immune/Stress/Toxic/Detox,0.09678482
CDH3,-0.732319567,7.01352044,-3.673074348,0.005069583,0.235379498,-1.843080124,Matrisome/cell adhesion/binding/signaling,0.150327228
CHAT,0.403241131,6.535486203,3.603060522,0.005655812,0.235379498,-1.931184101,NA,0.12241402
CHID1,-0.600069028,5.621444949,-3.703388757,0.00483591,0.235379498,-1.80925023,NA,0.064589098
CHRNA7,0.446525672,7.074588216,3.176129036,0.011156532,0.235379498,-2.518693307,NA,0.168862828
CLEC5A,0.462939011,6.683894056,3.693282625,0.004912526,0.235379498,-1.81723883,NA,0.133702288
