gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
COL5A3,-2.3611767,7.033289019,-5.809362742,4.56E-05,0.255956397,1.571470316,Matrisome/cell adhesion/binding/signaling,0.171277643
ICAM1,2.181610775,9.371535003,5.083006348,0.000167645,0.313887426,0.512279294,Inflammation/Immune/Stress/Toxic/Detox,0.478646253
MVP,2.808771032,9.218152274,5.085194372,0.000166971,0.313887426,0.57275698,NA,0.41516698
ACOT11,-1.321908471,7.675896281,-3.076776604,0.008214679,0.328278242,-2.383456092,Metabolism or Transport (lipid),0.245680007
ACTN4,-1.40694624,7.71265495,-3.252250691,0.00579697,0.328278242,-2.114157005,NA,0.255439162
AK1,-1.905809688,7.347445668,-3.96014874,0.001427144,0.328278242,-1.024597993,NA,0.203867849
APLN,1.199267288,6.493635686,3.193097925,0.006520275,0.328278242,-2.183783082,Metabolism (other),0.089443997
ARG2,1.17824014,6.328952666,3.08853072,0.008025292,0.328278242,-2.346170696,NA,0.089623064
ARX,1.369428586,8.942942401,3.299745232,0.00527461,0.328278242,-2.053682016,NA,0.385262781
ATP2A2,-1.236862142,7.231805413,-3.235939513,0.005988029,0.328278242,-2.125323439,Transport,0.182558868
ATP6V0C,-2.266377995,7.794185784,-3.39865596,0.00433297,0.328278242,-1.888118343,NA,0.309696481
ATXN1,-1.581620427,6.313800222,-3.142212108,0.00721395,0.328278242,-2.261579654,Development (differentiation),0.112454114
B2M,-1.765001975,8.417944297,-3.04761341,0.0087039,0.328278242,-2.443506512,Inflammation/Immune/Stress/Toxic/Detox,0.38803832
BMP2,1.044263717,5.821108271,3.043160157,0.0087811,0.328278242,-2.419991462,NA,0.056943325
BMP8B,1.213097719,5.859460832,3.490171922,0.00361253,0.328278242,-1.697214829,NA,0.059002596
CALCOCO2,-1.927905642,7.318672717,-3.320190482,0.005064487,0.328278242,-2.001903209,Transport,0.209597994
CALM1,-1.73732099,8.557923924,-3.705843504,0.002355691,0.328278242,-1.483291074,Transport,0.394663802
CALU,-1.313264328,7.238623107,-3.020755787,0.009179888,0.328278242,-2.463817201,NA,0.19222849
CANX,-1.449444862,8.609856753,-3.068841146,0.008345036,0.328278242,-2.422685996,NA,0.406571761
CAT,-1.900628123,6.775702464,-3.645895995,0.002652489,0.328278242,-1.46089028,NA,0.155161608
CCL13,1.104793019,5.684572913,3.005617534,0.009459422,0.328278242,-2.481135147,Inflammation/Immune/Stress/Toxic/Detox,0.053451518
CD40LG,1.161967016,5.820338845,3.095925499,0.007908368,0.328278242,-2.333265448,Inflammation/Immune/Stress/Toxic/Detox,0.059450264
CD52,1.302629494,5.647511493,3.110651538,0.007680533,0.328278242,-2.313576814,Inflammation/Immune/Stress/Toxic/Detox,0.051302713
CD59,-1.973190492,8.536832025,-3.966663487,0.001409017,0.328278242,-1.083239841,NA,0.414271645
CD9,-2.001612614,7.469371059,-4.134387401,0.001015064,0.328278242,-0.7381976,Inflammation/Immune/Stress/Toxic/Detox,0.243799803
CDC73,-1.48890056,6.62300338,-3.603078104,0.002887385,0.328278242,-1.530512528,NA,0.12731668
