gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
COL5A3,-1.669180656,7.801588198,-6.783729277,1.00E-05,0.061465228,3.001493633,Matrisome/cell adhesion/binding/signaling,0.241363092
ABCB10,0.85999266,7.35454971,3.515748273,0.003546447,0.118585126,-1.648009175,Metabolism or Transport (lipid),0.189627159
ACADVL,-1.207808996,8.341751895,-3.072020433,0.008486629,0.118585126,-2.428905111,Metabolism or Transport (lipid),0.344054643
ACTN4,-1.020193083,7.667486107,-4.044663662,0.001264827,0.118585126,-0.773586785,NA,0.235280913
ADAM19,0.752872132,6.438828066,3.092338881,0.008154447,0.118585126,-2.371757416,NA,0.108399607
ADCY7,0.915995966,5.988749967,3.275182259,0.005691186,0.118585126,-2.051501801,NA,0.082595776
ADCY8,0.730590886,6.424596097,3.092336753,0.008154482,0.118585126,-2.371973572,NA,0.107426886
ADGRF3,0.882675243,6.399454473,3.905799068,0.00165507,0.118585126,-0.986157992,Matrisome/cell adhesion/binding/signaling,0.107010005
ADGRL2,0.760807899,6.301258009,3.282047807,0.005614822,0.118585126,-2.043675385,Matrisome/cell adhesion/binding/signaling,0.101419531
ADORA2B,0.821274734,6.583838717,3.47504163,0.003841604,0.118585126,-1.719514788,NA,0.119131606
ADRA1A,0.776813412,5.990375453,3.068765587,0.008541075,0.118585126,-2.394331295,NA,0.081227553
ADRB1,0.853448151,6.429166094,3.548304933,0.003326923,0.118585126,-1.592560936,NA,0.109393706
AFF1,-1.011247569,7.585038042,-3.385888487,0.004577406,0.118585126,-1.866415,NA,0.219450145
AGTR2,1.133765694,5.760223505,3.147166099,0.007321168,0.118585126,-2.262924238,NA,0.074942278
AHR,0.674988746,6.99006803,3.11524662,0.007795399,0.118585126,-2.341528716,NA,0.156843253
AK1,-1.423379709,7.165116379,-4.031026444,0.001298584,0.118585126,-0.780511599,NA,0.17240679
ALDH2,-0.856445239,7.688638912,-3.100613087,0.008022903,0.118585126,-2.34470964,Metabolism (other),0.236071917
ALDOC,0.732318122,6.270671534,3.580868636,0.003121069,0.118585126,-1.538038366,Metabolism (other),0.099067898
ANKRD22,0.764305729,6.317913389,3.202056523,0.00657187,0.118585126,-2.181123548,NA,0.101408842
ANO4,0.761113475,6.331215381,3.496796607,0.003680906,0.118585126,-1.679267553,NA,0.100500257
ANXA4,-1.148929815,8.157660734,-3.501167435,0.003649447,0.118585126,-1.735302121,NA,0.309560458
ANXA5,-0.915858315,7.515839061,-3.448528399,0.004047039,0.118585126,-1.76294517,NA,0.216318197
AP1S3,0.720847785,6.74253538,3.107175217,0.007920079,0.118585126,-2.35756134,Transport,0.132525227
APOD,-1.470034002,8.525091707,-3.08050578,0.008346301,0.118585126,-2.459458099,Metabolism or Transport (lipid),0.366940311
APOL1,0.700922275,6.736557643,3.252166207,0.00595485,0.118585126,-2.107372746,Metabolism or Transport (lipid),0.132044211
AQP7,0.788804631,7.323691708,3.16260038,0.007102269,0.118585126,-2.244548969,Transport,0.190450231
AQP9,0.724572383,6.673833151,3.285265473,0.005579386,0.118585126,-2.048954269,Transport,0.126015478
AR,0.987071601,6.141424781,3.415534682,0.004318202,0.118585126,-1.816524382,NA,0.094140157
ARF1,-1.111217827,7.543969088,-3.30608055,0.005355498,0.118585126,-2.005383055,NA,0.219717376
ARG1,0.787291506,6.306423324,3.376620957,0.004661598,0.118585126,-1.883223554,NA,0.098661707
ARG2,0.913787488,6.709225341,4.381912955,0.000663008,0.118585126,-0.176905637,NA,0.130633231
ASIC2,0.834863731,6.370310101,3.688681069,0.002527018,0.118585126,-1.353325176,Transport,0.105705918
ATP2A2,-0.748700279,6.993898316,-3.193816394,0.006679275,0.118585126,-2.206016271,Transport,0.153230289
ATP6V0C,-1.300242836,7.62764363,-3.8944368,0.001692001,0.118585126,-1.006964818,NA,0.232170344
AVPR1A,0.900387523,6.196837098,3.388794789,0.004551319,0.118585126,-1.86177394,NA,0.095166325
B2M,-1.769686833,7.981738781,-3.955445276,0.0015031,0.118585126,-0.964769167,Inflammation/Immune/Stress/Toxic/Detox,0.278262357
BACH2,0.776489339,6.225029048,3.188058213,0.006755367,0.118585126,-2.200952845,Inflammation/Immune/Stress/Toxic/Detox,0.094899094
BCL6,0.799176497,6.617086865,3.106448026,0.007931408,0.118585126,-2.35544823,Development (differentiation),0.123396614
BEX1,1.033957438,5.928414721,3.90456727,0.001659034,0.118585126,-1.017443548,NA,0.080971011
BEX2,0.961388507,6.344539993,3.1140674,0.007813492,0.118585126,-2.33451336,NA,0.106881734
BMP15,1.078727503,5.679261787,3.134833105,0.007500899,0.118585126,-2.283616455,NA,0.069469386
BRCC3,0.802127769,7.191482983,3.285832292,0.005573167,0.118585126,-2.039697453,NA,0.177730032
C5AR1,-1.045439616,6.952869364,-3.360837421,0.004808582,0.118585126,-1.908418352,Inflammation/Immune/Stress/Toxic/Detox,0.149018728
C8B,0.830018746,6.38677723,3.460164543,0.00395555,0.118585126,-1.742948581,Inflammation/Immune/Stress/Toxic/Detox,0.10496836
CACNA1B,0.81893311,6.325675659,3.446367293,0.004064264,0.118585126,-1.76589626,Transport,0.102435009
CACNA1E,0.805622467,6.080945029,3.307753944,0.005337895,0.118585126,-1.997342831,Transport,0.08705319
