gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
FGFR1,1.95808463,7.632651486,5.364856876,5.39E-05,0.108982676,1.883048965,NA,0.140334572
GDF15,2.531245732,8.097293709,5.496208729,4.13E-05,0.108982676,1.806839775,Development (differentiation),0.169144981
HLA.DRA,1.853288062,7.433260336,5.827721035,2.13E-05,0.108982676,2.669494462,NA,0.116635688
JUND,2.268194374,8.750309082,5.210351626,7.39E-05,0.11206717,1.162551702,Development (apoptosis),0.279042751
NR4A1,2.99531647,9.706533125,4.903111112,0.000139514,0.133869032,0.026892646,Development (apoptosis),0.42936803
PER1,1.549198353,8.278478523,4.969785466,0.000121432,0.133869032,1.145893976,NA,0.220492565
SRGN,1.624354857,7.900587382,4.854383057,0.000154456,0.133869032,0.958421394,NA,0.174024164
CALD1,1.290806279,7.972410966,4.510412578,0.000318787,0.193407833,0.344355311,Transport,0.18052974
IGFBP7,1.997261783,9.170163494,4.600896487,0.000263191,0.193407833,0.177304798,Development (cell cycle),0.315520446
IGFBP7,1.997261783,9.170163494,4.600896487,0.000263191,0.193407833,0.177304798,Development (differentiation),0.315520446
PTGS2,1.631580229,7.284078411,4.532203658,0.000304389,0.193407833,0.357976072,NA,0.111524164
ATF3,1.747660205,8.067561286,4.330337575,0.000467694,0.202678565,0.032365444,NA,0.1875
BHLHE40,1.297116039,8.282992882,4.363063749,0.000436148,0.202678565,0.080671372,NA,0.217472119
C1QC,1.557346535,7.312700513,4.345406584,0.000452891,0.202678565,0.063811768,Inflammation/Immune/Stress/Toxic/Detox,0.11222119
EGR1,2.026863421,8.183222269,4.356396218,0.000442395,0.202678565,0.049097796,NA,0.188429368
SERPINE1,1.715291815,7.780805931,4.21426544,0.000599472,0.213941097,-0.227104879,NA,0.148234201
THBS2,1.802137968,8.491908803,4.23025537,0.000579291,0.213941097,-0.206168318,NA,0.211663569
ZFP36,2.135674172,8.415750353,4.230528651,0.000578952,0.213941097,-0.22208539,NA,0.224442379
JUNB,2.472828067,8.633226644,4.052694214,0.000847961,0.270767224,-0.690718027,Development (apoptosis),0.253252788
SLC2A3,2.148253699,8.891442981,4.058587183,0.000837285,0.270767224,-0.635279951,Transport,0.293680297
SCPEP1,1.446064455,6.732422382,4.020893822,0.000907986,0.275437596,-0.57613918,Metabolism (other),0.084340149
NR4A3,1.413382264,7.803929225,3.969375908,0.001014461,0.29308254,-0.620685254,Development (apoptosis),0.171468401
ADM,2.270721945,8.455899007,3.853566176,0.001302016,0.303820468,-0.913187389,NA,0.215381041
C1QB,1.526700506,6.350895034,3.889327927,0.001205404,0.303820468,-0.795877616,Inflammation/Immune/Stress/Toxic/Detox,0.066914498
CD74,1.593414706,8.246720125,3.906645376,0.001161242,0.303820468,-0.751442045,Inflammation/Immune/Stress/Toxic/Detox,0.194005576
CRYAB,1.759110218,8.401719083,3.865035297,0.001270213,0.303820468,-0.834267575,NA,0.224210037
JUN,2.157511085,8.705905134,3.864363861,0.001272053,0.303820468,-0.939300635,Development (apoptosis),0.256505576
HSPA1B,1.993570581,8.438029261,3.825593215,0.001382978,0.310760384,-0.901158078,Metabolism (other),0.238847584
BNIP3L,1.400935117,7.489735244,3.771017157,0.001555772,0.311361832,-0.99404481,Development (apoptosis),0.145910781
