gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CTSZ,1.768040171,7.880774619,5.619758475,9.89E-06,0.019615142,3.401128276,Metabolism (other),0.153780509
JUNB,1.990165576,7.982675787,5.951610545,4.42E-06,0.019615142,3.991752295,Development (apoptosis),0.16999488
PRKCD,1.497615961,7.543379896,5.623236575,9.81E-06,0.019615142,3.479459076,NA,0.129885646
HLA.DPB1,1.651762317,8.135979777,5.212426174,2.70E-05,0.040093837,2.484593759,NA,0.191670934
CSF1R,1.647757424,8.131949261,4.796670204,7.58E-05,0.066893671,1.577609673,Inflammation/Immune/Stress/Toxic/Detox,0.181088923
HAMP,1.743873589,7.745496732,4.715204635,9.30E-05,0.066893671,1.451252185,NA,0.130056324
HLA.DPA1,2.046636329,8.845229273,4.650144612,0.000109398,0.066893671,1.048016778,NA,0.287591739
NR4A1,1.558857706,7.759753021,4.737339963,8.80E-05,0.066893671,1.502185288,Development (apoptosis),0.150366957
PDK4,1.353272484,7.691087086,4.639161319,0.000112445,0.066893671,1.286206164,NA,0.149172214
SELENOP,1.941542692,8.514806853,4.724107957,9.09E-05,0.066893671,1.333289372,Metabolism (other),0.210786824
FCGRT,1.735360151,8.618092861,4.599208424,0.000124266,0.067205554,1.035924163,Inflammation/Immune/Stress/Toxic/Detox,0.24645844
C3,1.334909621,7.369200964,4.439605944,0.000185291,0.091857922,0.841476189,Inflammation/Immune/Stress/Toxic/Detox,0.115378051
HLA.DMB,1.271398125,8.019383152,4.350559545,0.000231557,0.09931352,0.632415475,NA,0.188598737
MS4A7,1.631125055,8.565896531,4.34684784,0.000233718,0.09931352,0.506531477,NA,0.235193719
FOS,1.89596126,9.31865413,4.309011286,0.00025693,0.10189831,0.238024809,NA,0.34988906
A2M,1.183601253,7.432325171,4.018112008,0.000531388,0.121585573,-0.106883371,Metabolism (other),0.124253286
AP2A2,1.149989235,8.144173275,4.051122656,0.000489408,0.121585573,-0.034801091,Transport,0.190134835
BHLHE40,1.06683149,7.681900071,4.065868553,0.000471735,0.121585573,-0.001059079,NA,0.140979689
C5AR1,1.297068408,8.208821281,4.019618963,0.000529396,0.121585573,-0.116106439,Inflammation/Immune/Stress/Toxic/Detox,0.200716846
FCGBP,1.891386273,7.971569323,4.042914043,0.000499529,0.121585573,-0.068550021,Inflammation/Immune/Stress/Toxic/Detox,0.166922683
HERPUD1,1.455563227,8.071346136,4.071398957,0.000465272,0.121585573,0.005435301,NA,0.182625021
ITPR2,1.050590367,7.771333774,4.107013302,0.000425703,0.121585573,0.091555627,NA,0.143198498
MS4A6A,1.296901057,8.104314443,4.030768646,0.000514886,0.121585573,-0.081844959,NA,0.180918245
NCF4,1.156708312,7.652980476,4.125537562,0.000406462,0.121585573,0.132690801,NA,0.134323263
PSAP,1.954938314,9.269984835,4.047003952,0.000494461,0.121585573,-0.247145513,NA,0.342208568
SRSF5,1.164083315,8.163643646,4.131803179,0.000400152,0.121585573,0.145985165,NA,0.189964158
EIF4G3,1.055901918,6.952628648,3.993111949,0.000565538,0.122796179,-0.164652225,NA,0.087045571
HMGCLL1,-1.256544367,6.742151028,-3.974237035,0.000592754,0.122796179,-0.214163803,NA,0.081583888
LAIR1,1.346706788,8.313169572,3.970292844,0.000598603,0.122796179,-0.218374189,NA,0.198668715
C1QB,2.074429504,8.809949114,3.955399884,0.000621208,0.123185557,-0.362085598,Inflammation/Immune/Stress/Toxic/Detox,0.271718723
B2M,1.874865294,8.883603196,3.92868839,0.000663888,0.125321873,-0.376657313,Inflammation/Immune/Stress/Toxic/Detox,0.282300734
CD4,1.200499367,6.99132167,3.922541515,0.000674113,0.125321873,-0.319519585,Inflammation/Immune/Stress/Toxic/Detox,0.094384707
APLP2,1.09741342,7.978918312,3.81626874,0.000877622,0.128738123,-0.554834581,Development (differentiation),0.168800137
CIITA,1.434829448,8.593814661,3.811990223,0.000886977,0.128738123,-0.576393007,NA,0.245263697
GADD45B,1.481372113,8.902318453,3.834821908,0.00083817,0.128738123,-0.520663312,NA,0.272742789
GDF15,1.14068955,7.146317356,3.833781013,0.000840337,0.128738123,-0.524544225,Development (differentiation),0.100358423
GPC4,-1.211341276,6.346273139,-3.865912237,0.000775947,0.128738123,-0.442667634,NA,0.062980031
MAN2B1,1.186223049,6.926016057,3.840817794,0.000825799,0.128738123,-0.506209413,Metabolism (other),0.080559822
PRICKLE2,-1.11474069,6.401042354,-3.811865069,0.000887252,0.128738123,-0.560538789,Polarity,0.065540195
TCF4,0.959551439,7.568145435,3.825533689,0.000857697,0.128738123,-0.541900135,Development (differentiation),0.127666837
TIMP2,1.163533218,7.970758755,3.818713065,0.000872322,0.128738123,-0.547094537,NA,0.171872333
GNAI2,1.188370215,8.113547758,3.781758216,0.000955939,0.129858622,-0.627087164,NA,0.180918245
MNAT1,-1.079390005,6.416030733,-3.779849646,0.000960465,0.129858622,-0.630244652,NA,0.064174774
MS4A4A,1.118484754,7.646132755,3.770770964,0.000982289,0.129858622,-0.660383871,NA,0.134323263
VAMP8,1.010369426,7.959407805,3.796699176,0.000921221,0.129858622,-0.598413084,NA,0.169482847
ACADVL,1.132217668,7.670129703,3.718833711,0.001116855,0.138510009,-0.777006494,Metabolism or Transport (lipid),0.152073733
DOCK2,0.962834074,7.448515822,3.718571146,0.001117579,0.138510009,-0.78438685,NA,0.123570575
INPP5D,1.103316516,7.136900684,3.731026366,0.001083721,0.138510009,-0.753731248,Metabolism (other),0.100870456
ATP6V0A1,0.906159484,7.252862219,3.593963756,0.001519008,0.143867953,-1.052398583,NA,0.10906298
BTG2,1.570242956,8.811495291,3.6831047,0.001219797,0.143867953,-0.875583854,Development (cell cycle),0.244068954
C1QA,1.957111262,9.06254738,3.628234394,0.001396297,0.143867953,-1.040887536,Inflammation/Immune/Stress/Toxic/Detox,0.301416624
CHMP1B,1.204037258,7.760674801,3.590835751,0.001530721,0.143867953,-1.053308004,NA,0.141150367
CTSS,1.041073334,7.669527308,3.666818322,0.001269762,0.143867953,-0.890407654,Metabolism (other),0.139614269
CYBB,1.223474555,7.634185847,3.595070484,0.001514885,0.143867953,-1.046148358,NA,0.129373613
DPYD,1.12748006,8.055062807,3.597193691,0.001507005,0.143867953,-1.033253998,NA,0.177675371
EVL,1.023003335,7.998541433,3.653174451,0.001313164,0.143867953,-0.913695594,Motility,0.167946749
HLA.DRA,2.123709133,10.0609709,3.609290613,0.001462873,0.143867953,-1.245322418,NA,0.490527394
IQGAP1,0.99421671,7.105303454,3.586330394,0.001547747,0.143867953,-1.065682895,NA,0.09984639
ITM2B,1.336426853,8.295751917,3.660424882,0.001289922,0.143867953,-0.888975682,Matrisome/cell adhesion/binding/signaling,0.201740911
MAF,1.895348455,9.668468746,3.691776189,0.001193987,0.143867953,-0.997520831,NA,0.377197474
SF3B1,1.012408396,7.790863423,3.64257875,0.001347872,0.143867953,-0.941413463,NA,0.151391022
SPI1,1.190251274,8.425902892,3.61680702,0.001436093,0.143867953,-0.981691761,Development (differentiation),0.224441031
SUMO1,-1.042730338,6.702071576,-3.599974875,0.001496745,0.143867953,-1.017990008,NA,0.076122205
TUBA1A,1.247820312,7.85969794,3.591583257,0.001527914,0.143867953,-1.053941951,Transport,0.151732378
ATP5F1B,0.934571948,7.506116651,3.505857017,0.001885052,0.144157229,-1.241805853,NA,0.123399898
CD68,1.174216702,7.529814825,3.537029568,0.00174662,0.144157229,-1.178365843,Inflammation/Immune/Stress/Toxic/Detox,0.131592422
CORO1A,1.101423302,8.1830287,3.531539328,0.001770258,0.144157229,-1.169317963,NA,0.191329578
CTSW,-1.316128252,5.985264402,-3.511186366,0.001860648,0.144157229,-1.205993103,Metabolism (other),0.053080731
FCER1G,1.207481409,7.480426359,3.524560847,0.001800756,0.144157229,-1.205723248,Inflammation/Immune/Stress/Toxic/Detox,0.123741253
FOLR2,1.002221004,7.24118297,3.516987676,0.001834433,0.144157229,-1.230954325,NA,0.099505035
JUND,1.433647398,8.780544523,3.542468496,0.001723508,0.144157229,-1.158024213,Development (apoptosis),0.266598396
KIR3DL1,-1.061377654,6.429137506,-3.547273573,0.001703339,0.144157229,-1.13249257,Inflammation/Immune/Stress/Toxic/Detox,0.067759003
LGMN,1.413064611,8.089761226,3.563178771,0.00163821,0.144157229,-1.098736225,NA,0.167434716
MYO6,-1.158175239,6.396975898,-3.504760876,0.00189011,0.144157229,-1.223274302,NA,0.066393583
PREX1,1.14572688,7.978244243,3.551605672,0.001685353,0.144157229,-1.134968152,NA,0.170336235
SNRNP70,1.162918305,8.709757388,3.569477796,0.001613097,0.144157229,-1.084690253,NA,0.272742789
SRGN,1.880471289,9.44632004,3.534441391,0.001757725,0.144157229,-1.25717516,NA,0.390681004
ZFP36L1,1.507376584,9.443410824,3.50783481,0.001875959,0.144157229,-1.275283834,NA,0.344427377
WIPF1,0.930355686,7.779769273,3.494821175,0.001936586,0.144473223,-1.26875346,NA,0.15719406
ZFP36,1.69414595,8.62840353,3.49350493,0.001942824,0.144473223,-1.256659324,NA,0.252773511
IGFBP7,1.05043848,8.167835039,3.48257289,0.001995394,0.14655063,-1.282524203,Development (cell cycle),0.182966377
IGFBP7,1.05043848,8.167835039,3.48257289,0.001995394,0.14655063,-1.282524203,Development (differentiation),0.182966377
MDGA2,-0.981156359,6.184119713,-3.471144911,0.002051835,0.148858131,-1.296702383,NA,0.056323605
HLA.E,1.05312528,7.901645409,3.461367365,0.00210136,0.150614312,-1.332915915,NA,0.162143711
RNF213,0.915302769,7.366320963,3.439297882,0.002217471,0.155249516,-1.3968765,NA,0.119132958
TGFBI,1.085175674,8.283493253,3.439158721,0.002218223,0.155249516,-1.37282235,Matrisome/cell adhesion/binding/signaling,0.208397337
CLU,1.211413126,6.965937367,3.420132348,0.002323364,0.160717326,-1.438165343,NA,0.081071855
BST2,1.189961995,7.576947172,3.397443049,0.002455106,0.161353091,-1.484778565,NA,0.124253286
ETS2,1.025892855,7.564211604,3.389271974,0.00250431,0.161353091,-1.504790711,Development (differentiation),0.126813449
FGL2,1.038634636,7.365027046,3.386837216,0.002519156,0.161353091,-1.512925709,NA,0.113671275
OCA2,-1.1422266,6.566962047,-3.386304912,0.002522413,0.161353091,-1.475153889,Metabolism (other),0.069124424
PABPN1,0.949614324,7.547934752,3.40485589,0.002411283,0.161353091,-1.462671801,NA,0.135176651
RGS5,1.030683803,7.463332768,3.395288062,0.002467991,0.161353091,-1.491199987,NA,0.115719406
SH3GLB2,0.887763918,7.070834219,3.399678558,0.002441809,0.161353091,-1.475334892,NA,0.09557945
