gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
RBBP7,3.998885933,5.831813827,7.928810046,2.27E-07,0.001289923,6.55546233,NA,0.050597976
NR4A2,-2.826131336,8.64838166,-6.884599006,1.65E-06,0.003320415,5.29265593,NA,0.206531739
XRCC1,3.156223395,5.761258637,6.854563087,1.75E-06,0.003320415,4.906128269,NA,0.052437902
NFE2,3.043067035,5.930392217,6.501384963,3.55E-06,0.005045465,4.410077833,NA,0.050597976
COPS5,2.029238182,6.975688035,5.528934408,2.70E-05,0.011483354,2.689838493,Development (cell cycle),0.091076357
DDX41,2.089923848,7.247910009,5.621483898,2.21E-05,0.011483354,2.881401254,NA,0.10625575
FKBP11,2.782201043,6.391132248,5.764862602,1.63E-05,0.011483354,3.059152815,Metabolism (other),0.060717571
FOS,-3.336207611,10.20397299,-5.542562243,2.62E-05,0.011483354,2.680787669,NA,0.465041398
HRH1,2.465175741,6.790913669,5.64500779,2.11E-05,0.011483354,2.902256659,Inflammation/Immune/Stress/Toxic/Detox,0.075896964
JARID2,2.224741173,6.905701892,5.599078059,2.32E-05,0.011483354,2.82657299,NA,0.084636615
MAP2K4,2.40855529,6.628584355,5.616528365,2.24E-05,0.011483354,2.82961652,NA,0.069917203
NR4A3,-2.287981897,8.332757435,-5.595647858,2.34E-05,0.011483354,2.828959685,Development (apoptosis),0.183532659
RNASET2,2.466410574,6.491540814,5.585886381,2.39E-05,0.011483354,2.762974945,NA,0.067157314
UBAP1,2.430311242,6.607575909,5.507168814,2.83E-05,0.011483354,2.614173073,Metabolism (other),0.069917203
LMO4,2.248410593,7.048707174,5.449151087,3.21E-05,0.011717878,2.531866216,NA,0.086936523
PDE10A,2.478910162,6.36907101,5.435741936,3.30E-05,0.011717878,2.444696168,Metabolism (other),0.068537259
CACNB4,1.960519115,6.863007995,5.287403872,4.55E-05,0.01436004,2.205077343,Transport,0.084176633
CERS6,2.124974558,6.770689718,5.295468086,4.47E-05,0.01436004,2.217522722,NA,0.079576817
EGR1,-2.786281156,8.307280605,-5.232774903,5.12E-05,0.014581985,2.097862737,NA,0.191812328
PLA2G5,2.387733985,6.164680698,5.209546942,5.39E-05,0.014581985,1.9938881,Metabolism or Transport (lipid),0.056577737
THRB,1.888666255,7.325015872,5.220009196,5.27E-05,0.014581985,2.071670704,NA,0.119595216
YARS1,2.047971045,6.647306473,5.140054382,6.27E-05,0.016201042,1.900614247,NA,0.074517019
ATP1B3,-1.723288235,8.756716619,-5.110851778,6.69E-05,0.016519852,1.846524975,NA,0.225850966
ASB6,2.381678808,6.344480875,4.743311607,0.000150541,0.023156335,1.091343057,NA,0.067617295
EFNB1,2.413845122,6.879643219,4.796383045,0.000133799,0.023156335,1.205107457,NA,0.086936523
GAB2,1.79067929,7.04847765,4.831538306,0.000123763,0.023156335,1.277542341,NA,0.088316467
GNLY,2.060276916,6.539115638,4.760983718,0.000144742,0.023156335,1.122694229,NA,0.070837167
GPR37,2.043147411,6.504414242,4.933046948,9.89E-05,0.023156335,1.478465748,NA,0.063937443
GUCA2B,1.955567697,6.416010889,4.756912684,0.000146057,0.023156335,1.12139272,NA,0.061637534
LSR,2.147643406,6.477175504,4.812885567,0.000128989,0.023156335,1.233218617,Metabolism or Transport (lipid),0.063937443
NR4A1,-2.703465523,10.38695178,-4.742570358,0.000150789,0.023156335,1.079583197,Development (apoptosis),0.519319227
PJA1,1.980121512,6.630070743,4.75697664,0.000146037,0.023156335,1.12232425,Metabolism (other),0.069917203
SDS,2.115796335,6.330643153,4.753821925,0.000147064,0.023156335,1.097287522,NA,0.060717571
STAR,2.094937949,6.489836859,4.89789008,0.000106857,0.023156335,1.395652017,NA,0.072677093
TTR,-1.858056229,7.760042565,-4.849000012,0.000119066,0.023156335,1.31329775,NA,0.141214351
ZFP36,-1.933487875,8.85150779,-4.849387767,0.000118964,0.023156335,1.306131515,NA,0.259429623
ZNRF1,1.926606506,6.936123531,4.854701173,0.000117573,0.023156335,1.32584574,NA,0.086476541
UBL4A,2.004543176,6.771070109,4.685178868,0.000171335,0.025619109,0.978405125,Metabolism (other),0.069917203
CYCS,-1.842233929,7.433079659,-4.654830762,0.000183326,0.026041481,0.916461069,NA,0.103955842
MAGEC2,1.945391677,6.573717268,4.65780077,0.000182116,0.026041481,0.920412267,NA,0.06899724
SCUBE2,1.771265593,6.899223396,4.638330868,0.000190199,0.026350124,0.876682946,Matrisome/cell adhesion/binding/signaling,0.072217111
ZP3,1.778960897,6.993722696,4.627680834,0.000194774,0.026350124,0.85255149,NA,0.086936523
