Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.828482328,1,0.02308278,0.193391354,0.877567719,541,"c(""IGF1"", ""TYK2"", ""KIFC3"", ""L1CAM"", ""FADD"", ""VSIG4"", ""ROBO4"", ""ALCAM"", ""BOC"", ""CD44"", ""MADCAM1"", ""DSC3"", ""CCR7"", ""SELL"", ""LRRC4C"", ""SOX9"", ""WNT4"", ""ASTN2"", ""PDE5A"", ""WNT7B"", ""DLG4"", ""LRRC4B"", ""KIRREL3"", ""ADGRV1"", ""ICAM3"", ""CD5"", ""SPINT2"", ""PLXNB3"", ""BMP7"", ""SIGLEC1"", ""IL12RB1"", ""CXCL12"", ""MAPK14"", ""PLEK"", ""LILRB1"", ""GPC4"", ""AMBRA1"", ""NCK2"", ""FGA"", ""CDH2"", ""PTPRG"", ""TENM4"", ""PIK3CG"", ""PPP1CA"", ""MEGF11"", ""TENM2"", ""CSTA"", ""S100A8"", ""CEACAM8"", ""FOXF1"", ""RET"", ""CLDN3"", ""CEACAM1"", ""SCGB1A1"", ""TSPAN32"", 
""CDH3"", ""ILK"", ""SOCS1"", ""LAMA3"", ""RUNX1"", ""IHH"", ""IL10"", ""ITGAM"", ""NECTIN1"", ""CD4"", ""IFNB1"", ""DPP4"", ""ESAM"", ""IL12A"", ""NLGN4X"", ""NECTIN4"", ""CITED2"", ""NEO1"", ""DSCAML1"", ""LGALS2"", ""EFNB2"", ""FGG"", ""FER"", ""ELMO2"", ""NEGR1"", ""ITGB2"", ""NF2"", ""ASS1"", ""BLK"", ""SDK1"", ""CCL5"", ""MDK"", ""IFNL1"", ""MAG"", ""PTPRR"", ""ZP3"", ""EPCAM"", ""ROCK1"", ""NLGN3"", ""TBX21"", ""IZUMO1"", ""CTNND1"", ""OLR1"", ""TJP1"", ""PTPN11"", ""LCK"", ""CELSR1"", ""DLG3"", ""ADAM8"", ""CR1"", ""STXBP3"", ""AP3D1"", ""CD33"", ""ITGAL"", ""ITGA4"", ""ADORA2A"", ""PRNP"", ""TNFSF4"", 
""ZBTB16"", ""CDH10"", ""VTCN1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.993384785,1,0.015199317,0.157366364,0.680203322,275,"c(""IGF1"", ""TYK2"", ""FADD"", ""VSIG4"", ""CD44"", ""MADCAM1"", ""CCR7"", ""SELL"", ""PDE5A"", ""CD5"", ""BMP7"", ""IL12RB1"", ""CXCL12"", ""LILRB1"", ""AMBRA1"", ""NCK2"", ""S100A8"", ""CEACAM1"", ""SCGB1A1"", ""SOCS1"", ""RUNX1"", ""IHH"", ""IL10"", ""CD4"", ""IFNB1"", ""DPP4"", ""IL12A"", ""EFNB2"", ""ITGB2"", ""ASS1"", ""CCL5"", ""MDK"", ""IFNL1"", ""ZP3"", ""ROCK1"", ""TBX21"", ""OLR1"", ""PTPN11"", ""LCK"", ""ADAM8"", ""CR1"", ""AP3D1"", ""ITGAL"", ""ITGA4"", ""ADORA2A"", ""PRNP"", ""TNFSF4"", ""ZBTB16"", ""VTCN1"", ""CARD11"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.226523104,0.850478604,0.249246554,-0.197364338,-1.037762434,318,"c(""HES1"", ""FLNA"", ""CD74"", ""PODXL"", ""STX4"", ""B2M"", ""ITGAV"", ""PRKCA"", ""IRAK1"", ""CDK6"", ""SMAD7"", ""SELE"", ""PDGFB"", ""PRKCE"", ""XBP1"", ""FN1"", ""NR4A3"", ""ZFHX3"", ""AFDN"", ""ETS1"", ""IL7"", ""SHH"", ""RUNX3"", ""CD47"", ""IL6"", ""PPP3CA"", ""ADAM19"", ""TNFSF13B"", ""FLOT1"", ""DAB2"", ""ABL1"", ""NID1"", ""CD81"", ""CD28"", ""CD209"", ""GP6"", ""IL2"", ""LEP"", ""HSPD1"", ""HAVCR2"", ""ARHGEF7"", ""IGF2"", ""RAC3"", ""PLAUR"", ""TFE3"", ""PLPP3"", ""SELP"", ""TPM1"", ""SYK"", ""VEGFA"", ""FBLN2"", ""CCDC80"", ""CORO1A"", ""ATM"", ""IL15"", ""CD160"", ""TEK"", ""PRKCZ"", ""FOXO3"", ""RRAS"", 
""CCR2"", ""PLEKHA2"", ""EPHA4"", ""CD24"", ""TFRC"", ""AP3B1"", ""CD83"", ""LDB1"", ""AKT1"", ""JAK1"", ""MALT1"", ""APBB1IP"", ""IL23R"", ""PCK1"", ""RARA"", ""EMP2"", ""RIPK2"", ""P2RY12"", ""CD27"", ""CSF1"", ""MAGI1"", ""MAP3K8"", ""NCK1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.8,1,0.143758989,-0.172572984,-0.880792461,220,"c(""HES1"", ""CD74"", ""PODXL"", ""B2M"", ""IRAK1"", ""SMAD7"", ""SELE"", ""XBP1"", ""NR4A3"", ""AFDN"", ""ETS1"", ""IL7"", ""SHH"", ""RUNX3"", ""CD47"", ""IL6"", ""ADAM19"", ""TNFSF13B"", ""FLOT1"", ""CD81"", ""CD28"", ""CD209"", ""GP6"", ""IL2"", ""LEP"", ""HSPD1"", ""HAVCR2"", ""IGF2"", ""PLAUR"", ""PLPP3"", ""SELP"", ""SYK"", ""CORO1A"", ""IL15"", ""CD160"", ""PRKCZ"", ""FOXO3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.96875,1,0.121543282,-0.154082699,-0.772427143,187,"c(""HES1"", ""CD74"", ""B2M"", ""IRAK1"", ""SELE"", ""XBP1"", ""NR4A3"", ""ETS1"", ""IL7"", ""SHH"", ""RUNX3"", ""CD47"", ""IL6"", ""TNFSF13B"", ""CD81"", ""CD28"", ""CD209"", ""IL2"", ""LEP"", ""HSPD1"", ""HAVCR2"", ""IGF2"", ""SELP"", ""SYK"", ""CORO1A"", ""IL15"", ""CD160"", ""PRKCZ"", ""FOXO3"", ""CCR2"", ""CD24"", ""TFRC"", ""AP3B1"", ""CD83"", ""AKT1"", ""MALT1"", ""IL23R"", ""PCK1"", ""RARA"", ""RIPK2"", ""CD27"", ""MAP3K8"", ""NCK1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.681818182,1,0.261663522,-0.173024276,-0.958737718,513,"c(""HES1"", ""FLNA"", ""CYTH1"", ""CD74"", ""PODXL"", ""THBS1"", ""STX4"", ""KLF4"", ""DUSP1"", ""B2M"", ""DAPK3"", ""CXCL8"", ""ITGAV"", ""PRKCA"", ""IRAK1"", ""CDK6"", ""PELI1"", ""SMAD7"", ""LAMA5"", ""CYP1B1"", ""VCL"", ""CEBPB"", ""SELE"", ""PDGFB"", ""PPP2R1A"", ""PRKAR1A"", ""PRKCE"", ""XBP1"", ""ACER2"", ""FN1"", ""NR4A3"", ""ZFHX3"", ""AFDN"", ""ETS1"", ""IL7"", ""SHH"", ""RUNX3"", ""CXCR4"", ""CD47"", ""IL6"", ""PPP3CA"", ""ADAM19"", ""IDO1"", ""TNFSF13B"", ""FLOT1"", ""DAB2"", ""ABL1"", ""RCC2"", ""NID1"", ""CD81"", ""CD28"", ""CD209"", ""GP6"", ""IL2"", ""LEP"", ""HSPD1"", ""HAVCR2"", ""FUT9"", ""ARHGEF7"", 
""IGF2"", ""RAC3"", ""PLAUR"", ""CORO1C"", ""JAG1"", ""FES"", ""TFE3"", ""PLPP3"", ""ITCH"", ""SELP"", ""SERPINE1"", ""TPM1"", ""SYK"", ""LRRC32"", ""VEGFA"", ""FBLN2"", ""CCDC80"", ""SRF"", ""CORO1A"", ""ATM"", ""IL15"", ""CD160"", ""TEK"", ""PIK3R1"", ""PRKCZ"", ""FOXO3"", ""GBP1"", ""FOXJ1"", ""RRAS"", ""MBP"", ""BST1"", ""CCR2"", ""PLEKHA2"", ""EPHA4"", ""CD24"", ""DUSP3"", ""FBLN1"", ""TFRC"", ""EPHA7"", ""AP3B1"", ""CD83"", ""LDB1"", ""BMP6"", ""SERPINE2"", ""AKT1"", ""TIGIT"", ""CBLB"", ""NUAK1"", ""JAK1"", ""MALT1"", ""APBB1IP"", ""IL23R"", ""PCK1"", ""RARA"", ""EMP2"", ""RIPK2"", ""PLXNA2"", ""ADIPOQ"", 
""P2RY12"", ""CD27"", ""CSF1"", ""MAGI1"", ""MAP3K8"", ""NCK1"", ""SNAI2"", ""PRKCD"", ""PRKG1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,1,1,0.157402899,-0.151513972,-0.79731556,320,"c(""HES1"", ""CD74"", ""PODXL"", ""KLF4"", ""B2M"", ""PRKCA"", ""IRAK1"", ""PELI1"", ""SMAD7"", ""CEBPB"", ""SELE"", ""PRKAR1A"", ""XBP1"", ""NR4A3"", ""AFDN"", ""ETS1"", ""IL7"", ""SHH"", ""RUNX3"", ""CD47"", ""IL6"", ""ADAM19"", ""IDO1"", ""TNFSF13B"", ""FLOT1"", ""ABL1"", ""CD81"", ""CD28"", ""CD209"", ""GP6"", ""IL2"", ""LEP"", ""HSPD1"", ""HAVCR2"", ""FUT9"", ""IGF2"", ""PLAUR"", ""JAG1"", ""PLPP3"", ""ITCH"", ""SELP"", ""SYK"", ""LRRC32"", ""VEGFA"", ""CORO1A"", ""IL15"", ""CD160"", ""PRKCZ"", ""FOXO3"", ""FOXJ1"", ""MBP"", ""CCR2"", ""CD24"", ""DUSP3"", ""TFRC"", ""EPHA7"", ""AP3B1"", ""CD83"", ""BMP6"", 
""SERPINE2"", ""AKT1"", ""TIGIT"", ""CBLB"", ""JAK1"", ""MALT1"", ""IL23R"", ""PCK1"", ""RARA"", ""RIPK2"", ""ADIPOQ"", ""CD27"", ""MAGI1"", ""MAP3K8"", ""NCK1"", ""PRKCD"", ""PRKG1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,1.20E-06,0.003208102,0.643551836,-0.2893965,-1.564818702,421,"c(""NDRG1"", ""AKAP12"", ""FLNA"", ""CYTH1"", ""PIP5K1C"", ""VIM"", ""PODXL"", ""PTPRM"", ""MYH9"", ""HSP90B1"", ""SORBS1"", ""CD59"", ""PVR"", ""B2M"", ""IQGAP1"", ""ACTR3"", ""CTNNA1"", ""ITGAV"", ""APP"", ""CTNNB1"", ""MARCKS"", ""S100A7"", ""FLT1"", ""LCP2"", ""FAP"", ""WDR1"", ""HSPA9"", ""ITGA8"", ""DSC2"", ""SMAD7"", ""VCL"", ""ICAM1"", ""PTK7"", ""CTNND2"", ""PKD2"", ""GJA1"", ""GJC1"", ""RAP1B"", ""CDC42BPB"", ""RHOB"", ""EVL"", ""AFDN"", ""WAS"", ""KCNA2"", ""TJP2"", ""PPIA"", ""YBX3"", ""PDCD6IP"", ""ARPC1B"", ""SYNPO2"", ""SAV1"", ""STARD10"", ""PDLIM1"", ""ANXA5"", ""ZYX"", ""PPP3CA"", ""TNFSF13B"", 
""FLOT1"", ""PXN"", ""DAB2"", ""CDK4"", ""HSPA1B"", ""CDH5"", ""CD81"", ""BMPR2"", ""ITGB1"", ""SVIL"", ""PTPN12"", ""NUMB"", ""DCTN4"", ""TWF1"", ""PDIA3"", ""ARHGEF7"", ""PRUNE1"", ""PLAUR"", ""CORO1C"", ""JAG1"", ""FES"", ""MSN"", ""PLPP3"", ""ENAH"", ""ADD3"", ""DSG3"", ""BSG"", ""DSP"", ""BCAR1"", ""VEGFA"", ""CORO1A"", ""SCARB2"", ""EGFR"", ""EPB41L2"", ""TEK"", ""PIK3R1"", ""ITGA1"", ""PRKCZ"", ""ADGRL3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,1.33E-05,0.014213965,0.593325476,-0.318224447,-1.645989811,242,"c(""AKAP12"", ""FLNA"", ""PIP5K1C"", ""VIM"", ""MYH9"", ""HSP90B1"", ""SORBS1"", ""CD59"", ""PVR"", ""B2M"", ""IQGAP1"", ""ACTR3"", ""CTNNA1"", ""ITGAV"", ""CTNNB1"", ""MARCKS"", ""S100A7"", ""FLT1"", ""FAP"", ""HSPA9"", ""ITGA8"", ""VCL"", ""ICAM1"", ""PTK7"", ""GJA1"", ""RHOB"", ""EVL"", ""PPIA"", ""PDCD6IP"", ""ARPC1B"", ""SYNPO2"", ""PDLIM1"", ""ANXA5"", ""ZYX"", ""TNFSF13B"", ""FLOT1"", ""PXN"", ""DAB2"", ""HSPA1B"", ""CD81"", ""ITGB1"", ""SVIL"", ""PTPN12"", ""NUMB"", ""DCTN4"", ""TWF1"", ""PDIA3"", ""ARHGEF7"", ""PRUNE1"", ""PLAUR"", ""CORO1C"", ""FES"", ""MSN"", ""ENAH"", ""BSG"", ""BCAR1"", ""SCARB2"", 
""EGFR"", ""EPB41L2"", ""TEK"", ""ITGA1"")"
Adhesion,GOCC_CELL_SURFACE,0.202072539,0.831154419,0.092848121,0.24209999,1.101101553,570,"c(""FASLG"", ""PDCD1"", ""L1CAM"", ""EPHB2"", ""SCUBE2"", ""TNFSF18"", ""LAMP3"", ""ADGRA3"", ""ALCAM"", ""CD44"", ""ANO6"", ""CCR7"", ""CXCR2"", ""CLEC5A"", ""FZD9"", ""CASR"", ""CD48"", ""NTRK1"", ""CD244"", ""CXCR6"", ""FOLR1"", ""WNT4"", ""CRLF1"", ""BACE1"", ""TLR4"", ""PLA2G1B"", ""F3"", ""IL2RG"", ""SLC1A1"", ""ADGRV1"", ""CD5"", ""CLEC10A"", ""NDP"", ""MRC1"", ""KLRD1"", ""SLC38A1"", ""PLXNB3"", ""FCRL5"", ""IL12RB1"", ""CXCL12"", ""ADGRG6"", ""CSPG4"", ""SDC2"", ""CD79A"", ""LILRB1"", ""GPC4"", ""FCER1A"", ""FGA"", ""CDH2"", ""NGFR"", ""CCR1"", ""FAS"", ""CD1A"", ""SLAMF7"", ""CLEC14A"", ""PDGFC"", 
""PTPRJ"", ""IL17A"", ""AXL"", ""CEACAM8"", ""CLEC4C"", ""LMAN2"", ""SORL1"", ""CHRNA4"", ""CD3G"", ""RSPO2"", ""TGFBR3"", ""SLC2A4"", ""CEACAM1"", ""CXCL10"", ""TSPAN32"", ""GHRHR"", ""CD151"", ""TNN"", ""CD1C"", ""ARSB"", ""ITGAM"", ""CD4"", ""GRIN2B"", ""DPP4"", ""CD1E"", ""IL13RA2"", ""MR1"", ""NLGN4X"", ""EPOR"", ""NEO1"", ""DSCAML1"", ""CD79B"", ""CLEC4E"", ""GPC5"", ""FGG"", ""OTOA"", ""MS4A1"", ""CXCR5"", ""TRBC2"", ""FZD6"", ""ITGB2"", ""GPR37"", ""TRDC"", ""TLR2"", ""C1QBP"", ""EPCAM"", ""NLGN3"", ""PCSK9"", ""LIFR"", ""CRYAB"", ""SLC6A1"", ""B4GALT1"", ""KCNJ3"", ""CD38"", ""TRBC1"", ""XCR1"", ""SLC6A3"", 
""ADAM8"", ""ADGRA2"", ""CR1"", ""FZD1"", ""CD33"", ""ITGAL"", ""VAMP5"", ""ITGA4"", ""PRNP"", ""TNFSF4"", ""SRPX"", ""ULBP3"", ""VTCN1"", ""SFRP4"", ""MBL2"", ""ACVR2A"", ""LEPR"", ""CSF2RA"", ""SORT1"", ""TLR8"", ""ATP5IF1"", ""CD9"", ""ACVR1B"", ""MICA"", ""CD19"", ""GHR"", ""PROM1"", ""TNFRSF18"", ""PSEN2"", ""ATP6AP2"", ""KIT"", ""MPL"", ""LPL"", ""WNT3A"", ""SLAMF1"", ""MAP3K5"", ""PLAU"", ""CD53"", ""TNFRSF10C"", ""CNTN2"", ""CD34"", ""ULBP1"", ""TGFB3"", ""CSF2RB"", ""CD276"", ""F10"", ""KCNQ1"", ""MSR1"", ""WIF1"")"
