Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,1.50E-07,6.65E-06,0.690132459,0.332147398,1.627464883,516,"c(""WNT7B"", ""HLX"", ""ICAM1"", ""LAG3"", ""WNT3A"", ""CELSR1"", ""SYK"", ""CD28"", ""ARG2"", ""WNT5A"", ""CD70"", ""FOXF1"", ""HAS2"", ""PYCARD"", ""SPI1"", ""JAK3"", ""FSTL3"", ""SPTA1"", ""PIK3CG"", ""CX3CR1"", ""S100A9"", ""JAML"", ""PCK1"", ""ICAM4"", ""NFASC"", ""DSC3"", ""GPC4"", ""S100A8"", ""BLK"", ""IL1B"", ""IL4R"", ""CD4"", ""IFNB1"", ""CNTN4"", ""CD86"", ""CSTA"", ""RGCC"", ""LGALS9"", ""ITGB3"", ""CD40LG"", ""ICOS"", ""RHOH"", ""ADAM19"", ""EFNB1"", ""SEMA4D"", ""COMP"", ""CCR2"", ""ARG1"", ""CD300A"", ""CD27"", ""CCL19"", ""GP6"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""CDH1"", ""GLDN"", ""ADORA2A"", 
""DSCAM"", ""IGF1"", ""DAB1"", ""LCK"", ""ITGA1"", ""CDH10"", ""ITGB2"", ""BCL2"", ""ITGB7"", ""CDH8"", ""SPN"", ""RUNX1"", ""IFNL1"", ""IFNA2"", ""LAPTM5"", ""IL12B"", ""CCL5"", ""IL10"", ""PTPRR"", ""FOXP3"", ""CD274"", ""SERPINE2"", ""FGL2"", ""VSIG4"", ""ICAM2"", ""RASGRP1"", ""TJP2"", ""EPHA7"", ""NTN1"", ""ITGA7"", ""CDH11"", ""ITGA3"", ""CEACAM8"", ""NRXN1"", ""SHC1"", ""CD5"", ""MPL"", ""NLGN4X"", ""CLEC7A"", ""ELANE"", ""CXCL13"", ""CTNND1"", ""EPO"", ""ITGAL"", ""VSIR"", ""LGALS2"", ""HAVCR2"", ""CR1"", ""ICAM3"", ""IL6"", ""GATA1"", ""IL23A"", ""ROBO4"", ""NLRP3"", ""PTAFR"", ""IL20RB"", ""FADD"", 
""ADD2"", ""THBS4"", ""ROBO2"", ""WNT4"", ""CDH13"", ""EGFR"", ""MADCAM1"", ""CDH12"", ""IL2RA"", ""PLAUR"", ""IL2"", ""TNR"", ""CTSG"", ""TENM2"", ""THY1"", ""JAM2"", ""IRF1"", ""CXCL12"", ""CAV1"", ""NLGN3"", ""MDK"", ""LRRC32"", ""PRKCD"", ""CD84"", ""TGFB1"", ""PKP3"", ""KRT18"", ""SELPLG"", ""NOTCH1"", ""NOTCH4"", ""ETS1"", ""DSG3"", ""CLDN4"", ""TBX21"", ""TNFSF9"", ""ZAP70"", ""FUT9"", ""IHH"", ""ADIPOQ"", ""SCGB1A1"", ""PECAM1"", ""CCR7"", ""ITGA2"", ""NODAL"", ""CTLA4"", ""IL1RAP"", ""PLEK"", ""RUNX3"", ""HFE"", ""TESPA1"", ""STAT5B"", ""ANXA1"", ""ITGAE"", ""PDCD1LG2"", ""APOA1"", ""DUSP10"", ""CARD11"", 
""PELI1"", ""CDH2"", ""MEGF11"", ""CSK"", ""CLDN7"", ""EPCAM"", ""LAMA3"", ""DPP4"", ""CD44"", ""NOD2"", ""KLF4"", ""UNC5D"", ""ROBO1"", ""ITGA8"", ""MMRN1"", ""PRKG1"", ""KLRK1"", ""ADAM8"", ""MAG"", ""BCL6"", ""IL7R"", ""ITGA9"", ""SIRPA"", ""EFNB2"", ""SERPINB8"", ""GATA3"", ""CD6"", ""SOCS6"", ""SELE"", ""NECTIN1"", ""CD33"", ""FGG"", ""ADGRL3"", ""L1CAM"", ""TNF"", ""LEP"", ""PLXNB3"", ""FAT4"", ""RET"", ""FYN"", ""TNFRSF13C"", ""PTPN6"", ""ITGA5"", ""TNFSF4"", ""BMP6"", ""CTNNA2"", ""CRB1"", ""SRC"", ""NTNG1"", ""CDON"", ""CD74"", ""HBB"", ""TIGIT"", ""APOA4"", ""IL4"", ""ITGA2B"", ""CD1D"", ""IL12A"", ""LRRC4C"", 
""CASP3"", ""CDH19"", ""ESAM"", ""OLR1"", ""IRAK1"", ""TENM4"", ""AP3B1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,1.80E-06,5.50E-05,0.643551836,0.373873306,1.764327915,262,"c(""HLX"", ""ICAM1"", ""LAG3"", ""SYK"", ""CD28"", ""ARG2"", ""CD70"", ""HAS2"", ""PYCARD"", ""JAK3"", ""SPTA1"", ""CX3CR1"", ""S100A9"", ""PCK1"", ""S100A8"", ""IL1B"", ""IL4R"", ""CD4"", ""IFNB1"", ""CD86"", ""LGALS9"", ""CD40LG"", ""ICOS"", ""RHOH"", ""EFNB1"", ""SEMA4D"", ""CCR2"", ""ARG1"", ""CD300A"", ""CD27"", ""CCL19"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""ADORA2A"", ""IGF1"", ""LCK"", ""ITGB2"", ""ITGB7"", ""SPN"", ""RUNX1"", ""IFNL1"", ""IFNA2"", ""LAPTM5"", ""IL12B"", ""CCL5"", ""IL10"", ""FOXP3"", ""CD274"", ""FGL2"", ""VSIG4"", ""RASGRP1"", ""CD5"", ""ELANE"", ""EPO"", ""ITGAL"", ""VSIR"", ""HAVCR2"", 
""CR1"", ""IL6"", ""IL23A"", ""NLRP3"", ""PTAFR"", ""IL20RB"", ""FADD"", ""ADD2"", ""MADCAM1"", ""IL2RA"", ""IL2"", ""CTSG"", ""THY1"", ""JAM2"", ""IRF1"", ""CXCL12"", ""CAV1"", ""MDK"", ""LRRC32"", ""SELPLG"", ""ETS1"", ""TBX21"", ""TNFSF9"", ""ZAP70"", ""FUT9"", ""IHH"", ""SCGB1A1"", ""PECAM1"", ""CCR7"", ""CTLA4"", ""RUNX3"", ""HFE"", ""TESPA1"", ""STAT5B"", ""ANXA1"", ""PDCD1LG2"", ""DUSP10"", ""CARD11"", ""PELI1"", ""CSK"", ""DPP4"", ""CD44"", ""NOD2"", ""KLF4"", ""KLRK1"", ""ADAM8"", ""BCL6"", ""IL7R"", ""SIRPA"", ""EFNB2"", ""GATA3"", ""CD6"", ""SOCS6"", ""SELE"", ""TNF"", ""LEP"", ""FYN"", ""TNFRSF13C"", 
""PTPN6"", ""ITGA5"", ""TNFSF4"", ""SRC"", ""CD74"", ""TIGIT"", ""APOA4"", ""IL4"", ""CD1D"", ""IL12A"", ""CASP3"", ""OLR1"", ""IRAK1"", ""AP3B1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.000636016,0.007184369,0.477270815,0.314284564,1.500601053,301,"c(""HLX"", ""WNT3A"", ""NID1"", ""SYK"", ""CD28"", ""WNT5A"", ""CD70"", ""FOXF1"", ""HAS2"", ""PYCARD"", ""JAK3"", ""FSTL3"", ""SPTA1"", ""APBB1IP"", ""PCK1"", ""IL1B"", ""IL4R"", ""CD4"", ""CD86"", ""LGALS9"", ""SPOCK2"", ""CD40LG"", ""ICOS"", ""RHOH"", ""ADAM19"", ""EFNB1"", ""CCR2"", ""CD27"", ""CCL19"", ""GP6"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""IGF1"", ""LCK"", ""ITGB2"", ""ANGPT1"", ""RUNX1"", ""IL12B"", ""MIP"", ""CCL5"", ""IL10"", ""FOXP3"", ""CD274"", ""COL16A1"", ""RASGRP1"", ""LIF"", ""CD36"", ""FBLN2"", ""ITGA3"", ""RRAS"", ""CD5"", ""ELANE"", ""CXCL13"", ""PRKD2"", ""EPO"", ""VSIR"", ""HAVCR2"", 
""CR1"", ""IL6"", ""IL23A"", ""ADGRG1"", ""NLRP3"", ""PTAFR"", ""PREX1"", ""FADD"", ""WNT4"", ""CDH13"", ""PDGFB"", ""IL2RA"", ""PLAUR"", ""IL2"", ""CTSG"", ""THY1"", ""TNFSF18"", ""CXCL12"", ""CAV1"", ""EDIL3"", ""UNC13D"", ""MDK"", ""RAC3"", ""ETS1"", ""TNFSF9"", ""ZAP70"", ""IHH"", ""CCR7"", ""ITGA2"", ""NODAL"", ""ABI3BP"", ""RUNX3"", ""TESPA1"", ""STAT5B"", ""ANXA1"", ""PDCD1LG2"", ""APOA1"", ""DUSP10"", ""CARD11"", ""CSK"", ""DPP4"", ""CD44"", ""NOD2"", ""MMRN1"", ""KLRK1"", ""ADAM8"", ""BCL6"", ""IL7R"", ""SIRPA"", ""EFNB2"", ""GATA3"", ""CD6"", ""SELE"", ""EFEMP2"", ""FGG"", ""TNF"", ""LEP"", ""RET"", 
""FYN"", ""TNFRSF13C"", ""PTPN6"", ""ITGA5"", ""AGR2"", ""TNFSF4"", ""PLEKHA2"", ""SRC"", ""CD74"", ""IL4"", ""CD1D"", ""IL12A"", ""IRAK1"", ""AP3B1"", ""UTRN"", ""NPY"", ""IL1A"", ""RARA"", ""CEACAM6"", ""PLPP3"", ""IL1RL2"", ""MYB"", ""ICOSLG"", ""VCAM1"", ""P2RY12"", ""SAA1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,5.21E-05,0.000955633,0.557332239,0.363198716,1.682850364,207,"c(""HLX"", ""WNT3A"", ""SYK"", ""CD28"", ""WNT5A"", ""CD70"", ""HAS2"", ""PYCARD"", ""JAK3"", ""FSTL3"", ""SPTA1"", ""PCK1"", ""IL1B"", ""IL4R"", ""CD4"", ""CD86"", ""LGALS9"", ""CD40LG"", ""ICOS"", ""RHOH"", ""ADAM19"", ""EFNB1"", ""CCR2"", ""CD27"", ""CCL19"", ""GP6"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""IGF1"", ""LCK"", ""ITGB2"", ""RUNX1"", ""IL12B"", ""CCL5"", ""IL10"", ""FOXP3"", ""CD274"", ""RASGRP1"", ""CD5"", ""ELANE"", ""CXCL13"", ""EPO"", ""VSIR"", ""HAVCR2"", ""CR1"", ""IL6"", ""IL23A"", ""NLRP3"", ""PTAFR"", ""FADD"", ""IL2RA"", ""PLAUR"", ""IL2"", ""CTSG"", ""THY1"", ""CAV1"", ""MDK"", ""ETS1"", ""TNFSF9"", 
""ZAP70"", ""IHH"", ""CCR7"", ""NODAL"", ""RUNX3"", ""TESPA1"", ""STAT5B"", ""ANXA1"", ""PDCD1LG2"", ""DUSP10"", ""CARD11"", ""CSK"", ""DPP4"", ""CD44"", ""NOD2"", ""MMRN1"", ""KLRK1"", ""ADAM8"", ""BCL6"", ""IL7R"", ""SIRPA"", ""EFNB2"", ""GATA3"", ""CD6"", ""SELE"", ""FGG"", ""TNF"", ""LEP"", ""FYN"", ""TNFRSF13C"", ""PTPN6"", ""TNFSF4"", ""SRC"", ""CD74"", ""IL4"", ""CD1D"", ""IL12A"", ""IRAK1"", ""AP3B1"", ""IL1A"", ""RARA"", ""CEACAM6"", ""PLPP3"", ""IL1RL2"", ""MYB"", ""ICOSLG"", ""VCAM1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,2.87E-05,0.000585792,0.575610261,0.377945372,1.725722645,174,"c(""HLX"", ""SYK"", ""CD28"", ""CD70"", ""HAS2"", ""PYCARD"", ""JAK3"", ""SPTA1"", ""PCK1"", ""IL1B"", ""IL4R"", ""CD4"", ""CD86"", ""LGALS9"", ""CD40LG"", ""ICOS"", ""RHOH"", ""EFNB1"", ""CCR2"", ""CD27"", ""CCL19"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""IGF1"", ""LCK"", ""ITGB2"", ""RUNX1"", ""IL12B"", ""CCL5"", ""FOXP3"", ""CD274"", ""RASGRP1"", ""CD5"", ""ELANE"", ""EPO"", ""VSIR"", ""HAVCR2"", ""CR1"", ""IL6"", ""IL23A"", ""NLRP3"", ""PTAFR"", ""FADD"", ""IL2RA"", ""IL2"", ""THY1"", ""CAV1"", ""MDK"", ""ETS1"", ""TNFSF9"", ""ZAP70"", ""IHH"", ""CCR7"", ""RUNX3"", ""TESPA1"", ""STAT5B"", ""ANXA1"", ""PDCD1LG2"", 
""DUSP10"", ""CARD11"", ""CSK"", ""DPP4"", ""CD44"", ""NOD2"", ""KLRK1"", ""ADAM8"", ""BCL6"", ""IL7R"", ""SIRPA"", ""EFNB2"", ""GATA3"", ""CD6"", ""SELE"", ""TNF"", ""LEP"", ""FYN"", ""TNFRSF13C"", ""PTPN6"", ""TNFSF4"", ""SRC"", ""CD74"", ""IL4"", ""CD1D"", ""IL12A"", ""IRAK1"", ""AP3B1"", ""IL1A"", ""RARA"", ""IL1RL2"", ""MYB"", ""ICOSLG"", ""VCAM1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,4.62E-05,0.00085691,0.557332239,0.304485322,1.49062348,492,"c(""HLX"", ""LAG3"", ""WNT3A"", ""NID1"", ""SYK"", ""CD28"", ""ARG2"", ""WNT5A"", ""CD70"", ""FOXF1"", ""HAS2"", ""PYCARD"", ""SPI1"", ""JAK3"", ""FSTL3"", ""SPTA1"", ""PIK3CG"", ""APBB1IP"", ""PCK1"", ""BLK"", ""IL1B"", ""IL4R"", ""CD4"", ""IFNB1"", ""CD86"", ""RGCC"", ""LGALS9"", ""SPOCK2"", ""CD40LG"", ""ICOS"", ""RHOH"", ""ADAM19"", ""EFNB1"", ""SEMA4D"", ""CCR2"", ""ARG1"", ""CD300A"", ""CD27"", ""CCL19"", ""GP6"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""FES"", ""CDH1"", ""ADORA2A"", ""DSCAM"", ""IGF1"", ""DAB1"", ""LCK"", ""PRKX"", ""ITGB2"", ""ANGPT1"", ""BCL2"", ""SNAI2"", ""SPN"", ""RUNX1"", ""IFNL1"", ""IFNA2"", 
""EPHB2"", ""LAPTM5"", ""MMP2"", ""IL12B"", ""CXCR4"", ""MIP"", ""PLXNA4"", ""CCL5"", ""IL10"", ""PTPRR"", ""FOXP3"", ""CD274"", ""SERPINE2"", ""GPM6B"", ""FGL2"", ""COL16A1"", ""VSIG4"", ""RASGRP1"", ""LIF"", ""EPHA7"", ""CD36"", ""COL1A1"", ""FBLN2"", ""SPINK5"", ""ITGA3"", ""TNN"", ""RRAS"", ""CD5"", ""PDE3B"", ""ELANE"", ""CXCL13"", ""PRKD2"", ""EPO"", ""VSIR"", ""MMP12"", ""GREM1"", ""HAVCR2"", ""CR1"", ""IL6"", ""IL23A"", ""ADGRG1"", ""NLRP3"", ""PTAFR"", ""IL20RB"", ""PREX1"", ""FADD"", ""WNT4"", ""CDH13"", ""PDGFB"", ""IL2RA"", ""PLAUR"", ""IL2"", ""TNR"", ""PLAU"", ""CTSG"", ""THY1"", ""TNFSF18"", ""PTPRO"", 
""IRF1"", ""CXCL8"", ""CXCL12"", ""CAV1"", ""EDIL3"", ""UNC13D"", ""MDK"", ""LRRC32"", ""PLXNC1"", ""PRKCD"", ""TGFB1"", ""ERBB3"", ""RAC3"", ""MEN1"", ""NOTCH1"", ""NOTCH4"", ""ETS1"", ""TBX21"", ""TNFSF9"", ""ZAP70"", ""CXCR3"", ""FUT9"", ""IHH"", ""MUC1"", ""SERPINI1"", ""ADIPOQ"", ""SCGB1A1"", ""CCR7"", ""ITGA2"", ""NODAL"", ""CTLA4"", ""ABI3BP"", ""RUNX3"", ""HFE"", ""TESPA1"", ""STAT5B"", ""EPHA2"", ""ANXA1"", ""BST1"", ""PDCD1LG2"", ""APOA1"", ""DUSP10"", ""SEMA6A"", ""CARD11"", ""PELI1"", ""CSK"", ""EPCAM"", ""LAMA3"", ""DPP4"", ""CD44"", ""NOD2"", ""KLF4"", ""MMRN1"", ""SIPA1"", ""PRKG1"", ""KLRK1"", 
""KNG1"", ""ADAM8"", ""BCL6"", ""IL7R"", ""SIRPA"", ""EFNB2"", ""PLXNA1"", ""GATA3"", ""CD6"", ""SOCS6"", ""SELE"", ""EFEMP2"", ""FGG"", ""TNF"", ""LEP"", ""PLXNB3"", ""RET"", ""FYN"", ""PTEN"", ""ANGPT2"", ""TNFRSF13C"", ""PTPN6"", ""ITGA5"", ""AGR2"", ""ATXN3"", ""DLL1"", ""TNFSF4"", ""BMP6"", ""PLEKHA2"", ""TACSTD2"", ""SRC"", ""CD74"", ""TIGIT"", ""IL4"", ""CD1D"", ""IL12A"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,1.25E-05,0.000292415,0.593325476,0.345641249,1.652629724,306,"c(""HLX"", ""LAG3"", ""WNT3A"", ""SYK"", ""CD28"", ""ARG2"", ""WNT5A"", ""CD70"", ""HAS2"", ""PYCARD"", ""SPI1"", ""JAK3"", ""FSTL3"", ""SPTA1"", ""PCK1"", ""BLK"", ""IL1B"", ""IL4R"", ""CD4"", ""IFNB1"", ""CD86"", ""RGCC"", ""LGALS9"", ""CD40LG"", ""ICOS"", ""RHOH"", ""ADAM19"", ""EFNB1"", ""CCR2"", ""ARG1"", ""CD300A"", ""CD27"", ""CCL19"", ""GP6"", ""FUT7"", ""EBI3"", ""TNFSF11"", ""CDH1"", ""ADORA2A"", ""IGF1"", ""LCK"", ""ITGB2"", ""SPN"", ""RUNX1"", ""IFNL1"", ""IFNA2"", ""LAPTM5"", ""IL12B"", ""CCL5"", ""IL10"", ""PTPRR"", ""FOXP3"", ""CD274"", ""SERPINE2"", ""FGL2"", ""VSIG4"", ""RASGRP1"", ""EPHA7"", 
""CD5"", ""ELANE"", ""CXCL13"", ""EPO"", ""VSIR"", ""HAVCR2"", ""CR1"", ""IL6"", ""IL23A"", ""NLRP3"", ""PTAFR"", ""IL20RB"", ""FADD"", ""WNT4"", ""IL2RA"", ""PLAUR"", ""IL2"", ""TNR"", ""CTSG"", ""THY1"", ""IRF1"", ""CXCL12"", ""CAV1"", ""MDK"", ""LRRC32"", ""PRKCD"", ""TGFB1"", ""NOTCH1"", ""NOTCH4"", ""ETS1"", ""TBX21"", ""TNFSF9"", ""ZAP70"", ""FUT9"", ""IHH"", ""ADIPOQ"", ""SCGB1A1"", ""CCR7"", ""NODAL"", ""CTLA4"", ""RUNX3"", ""HFE"", ""TESPA1"", ""STAT5B"", ""ANXA1"", ""PDCD1LG2"", ""APOA1"", ""DUSP10"", ""CARD11"", ""PELI1"", ""CSK"", ""EPCAM"", ""DPP4"", ""CD44"", ""NOD2"", ""KLF4"", ""MMRN1"", ""PRKG1"", 
""KLRK1"", ""ADAM8"", ""BCL6"", ""IL7R"", ""SIRPA"", ""EFNB2"", ""GATA3"", ""CD6"", ""SOCS6"", ""SELE"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.000121362,0.002008611,0.538434096,-0.216436424,-1.412286428,412,"c(""CD59"", ""PTPRM"", ""PDIA3"", ""HSPA1B"", ""CLTC"", ""B2M"", ""CD9"", ""HSP90B1"", ""HSPA8"", ""CDH3"", ""RHOA"", ""CAT"", ""HSPB1"", ""ANXA5"", ""SLC2A1"", ""APC"", ""CTNNB1"", ""PTK7"", ""CD81"", ""EZR"", ""ARF1"", ""PLEC"", ""ATP1B1"", ""APP"", ""CYBA"", ""FLOT1"", ""ACTN4"", ""ATP6V0C"", ""SDCCAG8"", ""HACD3"", ""CPNE3"", ""GRB2"", ""ILK"", ""BSG"", ""FLNA"", ""EPHA4"", ""VIM"", ""SYNE2"", ""SCARB2"", ""ITGB8"", ""MYO1E"", ""ADD3"", ""WDR1"", ""TLN1"", ""PIK3R1"", ""MMP14"", ""CLDN3"", ""HSPA9"", ""HYOU1"", ""DDR2"", ""PTPRJ"", ""GSN"", ""GJA1"", ""PRKAR2A"", ""AMOTL2"", ""RAPGEF2"", ""ENAH"", ""PARK7"", 
""PPIA"", ""P4HB"", ""ADD1"", ""CLASP2"", ""CLDN5"", ""SNTB1"", ""STARD10"", ""PDGFRB"", ""RAB10"", ""YWHAG"", ""DAB2"", ""ACTR3"", ""CD99"", ""CLASP1"", ""CTNNA1"", ""MAPK1"", ""ACTN1"", ""CD46"", ""NCKAP1"", ""ITGAV"", ""IGF2R"", ""JAM3"", ""FZD1"", ""PFN1"", ""GDI2"", ""MAPRE1"", ""ERBIN"", ""FLII"", ""IQGAP1"", ""TJP1"", ""JAK1"", ""AMBRA1"", ""HSPA1A"", ""DST"", ""PTPRC"", ""DNM2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,6.49E-09,4.24E-07,0.761460801,-0.321539708,-1.93445964,239,"c(""CD59"", ""PDIA3"", ""HSPA1B"", ""CLTC"", ""B2M"", ""CD9"", ""HSP90B1"", ""HSPA8"", ""RHOA"", ""CAT"", ""HSPB1"", ""ANXA5"", ""CTNNB1"", ""PTK7"", ""CD81"", ""EZR"", ""ARF1"", ""PLEC"", ""CYBA"", ""FLOT1"", ""ACTN4"", ""ATP6V0C"", ""HACD3"", ""CPNE3"", ""ILK"", ""BSG"", ""FLNA"", ""VIM"", ""SYNE2"", ""SCARB2"", ""ITGB8"", ""TLN1"", ""MMP14"", ""HSPA9"", ""HYOU1"", ""DDR2"", ""GSN"", ""GJA1"", ""PRKAR2A"", ""ENAH"", ""PPIA"", ""P4HB"", ""ADD1"", ""CLASP2"", ""SNTB1"", ""PDGFRB"", ""RAB10"", ""YWHAG"", ""DAB2"", ""ACTR3"", ""CD99"", ""CLASP1"", ""CTNNA1"", ""MAPK1"", ""ACTN1"", ""CD46"", ""NCKAP1"", ""ITGAV"", 
""IGF2R"", ""FZD1"", ""PFN1"", ""GDI2"", ""MAPRE1"", ""ERBIN"", ""FLII"", ""IQGAP1"", ""JAK1"", ""AMBRA1"", ""HSPA1A"", ""DST"", ""PTPRC"", ""DNM2"")"
Adhesion,GOCC_CELL_SURFACE,1.46E-14,4.24E-12,0.975994683,0.390275772,1.91525095,538,"c(""ICAM1"", ""XCR1"", ""LAG3"", ""WNT3A"", ""PDCD1"", ""CD38"", ""PCSK9"", ""TNFRSF9"", ""CD28"", ""CXCR6"", ""LTF"", ""IL31RA"", ""WNT5A"", ""IL3RA"", ""MXRA8"", ""MSLN"", ""CCRL2"", ""P2RX7"", ""SULF2"", ""CCR10"", ""CD19"", ""CXCL10"", ""CD3D"", ""CLEC9A"", ""CD207"", ""TLR8"", ""CX3CR1"", ""CSPG4"", ""F2"", ""TYROBP"", ""SCARA5"", ""FZD10"", ""IL15RA"", ""TRBC1"", ""GPC4"", ""SLC38A1"", ""TREML1"", ""P2RY1"", ""ULBP1"", ""NTRK1"", ""IL13RA2"", ""IL4R"", ""HCST"", ""CD4"", ""CD86"", ""TNFRSF4"", ""RTN4RL1"", ""UMODL1"", ""IL1RL1"", ""CLEC14A"", ""ITGB3"", ""CD40LG"", ""RTN4R"", ""HBEGF"", ""CD8B"", ""ABCB1"", 
""IL6R"", ""CSF2RB"", ""CCR2"", ""LAMP3"", ""NGFR"", ""CD27"", ""OTOA"", ""LPAR2"", ""GRIN2A"", ""IL2RG"", ""CLEC4C"", ""GP6"", ""EBI3"", ""TPO"", ""NOTCH3"", ""GLDN"", ""TLR4"", ""PLVAP"", ""TNFRSF10A"", ""FCRL4"", ""ITGA1"", ""CCR1"", ""ITGB2"", ""CCR3"", ""ITGB7"", ""SPN"", ""IL21R"", ""CD79B"", ""F10"", ""EPHB2"", ""IL12B"", ""CXCR4"", ""ITGB6"", ""SCUBE2"", ""MBL2"", ""SLAMF6"", ""CD274"", ""SERPINE2"", ""TNFRSF10C"", ""IGHA1"", ""FCN1"", ""CNTFR"", ""CD1E"", ""IL9R"", ""CD36"", ""TRPV2"", ""RSPO2"", ""ITGA7"", ""ITGA3"", ""CEACAM8"", ""TSHR"", ""IGLL5"", ""TNN"", ""NRXN1"", ""MMP16"", ""CD5"", ""MPL"", 
""LRP4"", ""NLGN4X"", ""CD1C"", ""CLEC7A"", ""IGLL1"", ""SFRP4"", ""AMBP"", ""ACE"", ""ELANE"", ""TFR2"", ""GRIA2"", ""CD14"", ""CASR"", ""EPO"", ""ITGAL"", ""SLC2A4"", ""LPAR1"", ""GREM1"", ""HAVCR2"", ""CR1"", ""GPR37"", ""CXCL9"", ""LRP2"", ""PLA2R1"", ""GRIN2B"", ""WNT7A"", ""DUOX1"", ""ROBO2"", ""WNT4"", ""CDH13"", ""PDGFB"", ""CD1A"", ""LY6D"", ""EGFR"", ""LY75"", ""IL2RA"", ""SLC1A3"", ""AMELX"", ""PLAUR"", ""FCRL2"", ""TNR"", ""PLAU"", ""CTSG"", ""CCR6"", ""THY1"", ""TNFSF18"", ""JAM2"", ""CXCL12"", ""ABCA1"", ""NCAM1"", ""CHRNA4"", ""MR1"", ""NLGN3"", ""FZD6"", ""LRRC32"", ""CD109"", ""MICB"", ""TLR3"", 
""CD84"", ""TGFB1"", ""CXCR2"", ""CACNG4"", ""BST2"", ""NOTCH1"", ""NOTCH4"", ""F2R"", ""FCER1A"", ""ULBP2"", ""CLMP"", ""NDP"", ""CXCR3"", ""ENG"", ""PLA2G1B"", ""FZD9"", ""FASLG"", ""HHIP"", ""ADIPOQ"", ""CD48"", ""CCR7"", ""CTSK"", ""ITGA2"", ""CD226"", ""CTLA4"", ""KLRC3"", ""HFE"", ""FLT3LG"", ""EPHA2"", ""ANXA1"", ""CCR9"", ""ITGAE"", ""PDCD1LG2"", ""PLAT"", ""CD79A"", ""LY9"", ""CDH2"", ""TGFBR1"", ""CRLF2"", ""CLEC2B"", ""TRDC"", ""EPCAM"", ""ADGRA2"", ""KCNN2"", ""ANPEP"", ""LILRA5"", ""DPP4"", ""FCER2"", ""CD44"", ""NOD2"", ""KRT4"", ""UNC5D"", ""SDC1"", ""MRC1"", ""GHRHR"", ""ROBO1"", ""ITGA8"", ""IL12RB2"", 
""MS4A1"", ""KLRK1"", ""TFPI"", ""CXCR5"", ""ADAM8"", ""CSF2RA"", ""GHR"", ""MSR1"", ""IGKC"", ""TNFRSF10D"", ""IL7R"", ""TGFB3"", ""ITGA9"", ""SIRPA"", ""B4GALT1"", ""CLEC4D"", ""ACHE"", ""FOLH1"", ""CD6"", ""SELE"", ""CD33"", ""FGG"", ""IL17A"", ""WIF1"", ""RAMP3"", ""DMD"", ""L1CAM"", ""TNF"", ""MRGPRX1"", ""PLXNB3"", ""ADRA2B"", ""TNFRSF13C"", ""FGF10"", ""ITGA5"", ""KCNQ1"", ""CLEC5A"", ""TNFSF4"", ""PPFIA2"", ""ADGRF5"", ""TRPV1"", ""CD74"", ""TIGIT"", ""APOA4"", ""CD163"", ""AREG"", ""ITGA2B"", ""CD1D"", ""ACE2"", ""SLC6A1"", ""CD244"", ""FAS"", ""CD69"", ""ROR1"", ""CSF3R"", ""C3"", ""PROCR"", ""CLEC4A"", 
""IL1A"", ""RARA"", ""IL13"", ""CCR4"", ""CEACAM6"", ""PVR"", ""OSMR"", ""CLEC4E"", ""FOLR2"", ""NRCAM"", ""ICOSLG"", ""VCAM1"", ""SLC7A11"", ""SLC4A4"", ""GRIA1"", ""FCER1G"", ""CD2"", ""P2RY12"", ""BGN"", ""HILPDA"")"
