Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.003197774,0.048550731,0.431707696,0.247187384,1.358876081,436,"c(""CXCL12"", ""PTAFR"", ""PCK1"", ""CCR2"", ""CASP3"", ""EGFR"", ""CD86"", ""CDH13"", ""HBB"", ""ARG1"", ""MEGF11"", ""ITGA3"", ""SELPLG"", ""IRF1"", ""SELP"", ""ICAM1"", ""ITGAL"", ""SEMA4D"", ""RIPK2"", ""CRB1"", ""ARG2"", ""CARD11"", ""IL4R"", ""SPI1"", ""NTNG1"", ""CLDN4"", ""TESPA1"", ""CTNND1"", ""CTNNA2"", ""NEGR1"", ""ESAM"", ""WNT4"", ""CR1"", ""ADAM19"", ""CX3CR1"", ""APOA4"", ""CDH1"", ""PIP5K1C"", ""WNT3A"", ""HAVCR2"", ""DSC2"", ""NOTCH4"", ""TENM4"", ""ITGA1"", ""CELSR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""GATA1"", ""ITGA7"", ""NCKAP1L"", ""SERPINE2"", ""LRRC7"", ""ELMO2"", ""AP3B1"", ""CADM1"", 
""SCGB1A1"", ""JAML"", ""MAP3K8"", ""RAB10"", ""ALOX12"", ""ASTN2"", ""CD5"", ""TNFSF11"", ""ADD2"", ""EFNB1"", ""ANXA2"", ""CD55"", ""NTN1"", ""CD1D"", ""ICAM3"", ""WNT5A"", ""DSC3"", ""LGALS9"", ""CRTAM"", ""VTCN1"", ""VSIR"", ""LAG3"", ""FADD"", ""LRRC4C"", ""CDON"", ""SMAD7"", ""IL10"", ""SRF"", ""ZP3"", ""TIGIT"", ""PLPP3"", ""ITGA2"", ""FSTL3"", ""IL1B"", ""FOXO3"", ""CLDN1"", ""CITED2"", ""GPNMB"", ""PLAUR"", ""TRAF6"", ""RAP2B"", ""SOX2"", ""ITGB2"", ""SLC7A11"", ""IFNB1"", ""PTPRC"", ""PVR"", ""SHC1"", ""CDH19"", ""ETS1"", ""CD93"", ""YTHDF2"", ""NT5E"", ""PRKCD"", ""HFE"", ""FOXA1"", ""IL7R"", ""DSCAM"", 
""ALCAM"", ""PTPRR"", ""NFASC"", ""FOXP3"", ""TNF"", ""AFDN"", ""ROBO2"", ""RGCC"", ""MALT1"", ""CTSG"", ""C1QTNF1"", ""NLRP3"", ""S100A8"", ""CD58"", ""ZAP70"", ""PAG1"", ""CNTN5"", ""MADCAM1"", ""EPCAM"", ""LYN"", ""IRAK1"", ""PLEK"", ""NLGN3"", ""TNFRSF21"", ""IL23A"", ""IL6"", ""RAG1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.006621146,0.073628339,0.407017919,0.268776776,1.3661445,218,"c(""CXCL12"", ""PTAFR"", ""PCK1"", ""CCR2"", ""CASP3"", ""CD86"", ""ARG1"", ""SELPLG"", ""IRF1"", ""SELP"", ""ICAM1"", ""ITGAL"", ""SEMA4D"", ""RIPK2"", ""ARG2"", ""CARD11"", ""IL4R"", ""TESPA1"", ""CR1"", ""CX3CR1"", ""APOA4"", ""HAVCR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""NCKAP1L"", ""AP3B1"", ""SCGB1A1"", ""MAP3K8"", ""CD5"", ""TNFSF11"", ""ADD2"", ""EFNB1"", ""CD55"", ""CD1D"", ""LGALS9"", ""CRTAM"", ""VTCN1"", ""VSIR"", ""LAG3"", ""FADD"", ""SMAD7"", ""IL10"", ""ZP3"", ""TIGIT"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.051507859,0.262027532,0.321775918,0.234784569,1.213079549,257,"c(""CXCL12"", ""PTAFR"", ""PCK1"", ""CCR2"", ""CD86"", ""CDH13"", ""ITGA3"", ""SELP"", ""NID1"", ""RIPK2"", ""CARD11"", ""IL4R"", ""TESPA1"", ""WNT4"", ""CR1"", ""PRKCE"", ""ADAM19"", ""WNT3A"", ""HAVCR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""ABI3BP"", ""NCKAP1L"", ""AP3B1"", ""PREX1"", ""MAP3K8"", ""SPOCK2"", ""CD5"", ""LIF"", ""TNFSF11"", ""EFNB1"", ""TNFSF18"", ""CD55"", ""CD1D"", ""WNT5A"", ""LGALS9"", ""VTCN1"", ""VSIR"", ""MAP4K4"", ""FADD"", ""SMAD7"", ""IL10"", ""ZP3"", ""SFRP2"", ""PLPP3"", ""NRP1"", ""ITGA2"", ""FSTL3"", ""IL1B"", ""FOXO3"", ""CRKL"", ""CITED2"", ""PLAUR"", ""TRAF6"", ""SOX2"", 
""ITGB2"", ""PTPRC"", ""AGR2"", ""ETS1"", ""FBLN2"", ""FOXA1"", ""IL7R"", ""MIP"", ""DAB2"", ""FOXP3"", ""TNF"", ""ZFHX3"", ""AFDN"", ""SMAD3"", ""MALT1"", ""CTSG"", ""NLRP3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.073569482,0.313315093,0.276500599,0.253325199,1.243611674,174,"c(""PTAFR"", ""PCK1"", ""CCR2"", ""CD86"", ""SELP"", ""RIPK2"", ""CARD11"", ""IL4R"", ""TESPA1"", ""CR1"", ""ADAM19"", ""WNT3A"", ""HAVCR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""NCKAP1L"", ""AP3B1"", ""MAP3K8"", ""CD5"", ""TNFSF11"", ""EFNB1"", ""CD55"", ""CD1D"", ""WNT5A"", ""LGALS9"", ""VTCN1"", ""VSIR"", ""FADD"", ""SMAD7"", ""IL10"", ""ZP3"", ""PLPP3"", ""FSTL3"", ""IL1B"", ""FOXO3"", ""CITED2"", ""PLAUR"", ""TRAF6"", ""SOX2"", ""ITGB2"", ""PTPRC"", ""ETS1"", ""FOXA1"", ""IL7R"", ""FOXP3"", ""TNF"", ""AFDN"", ""MALT1"", ""CTSG"", ""NLRP3"", ""ZAP70"", ""LYN"", ""IRAK1"", ""IL23A"", ""IL6"", ""RAG1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.128608924,0.425285342,0.202071709,0.249794683,1.194204242,144,"c(""PTAFR"", ""PCK1"", ""CCR2"", ""CD86"", ""SELP"", ""RIPK2"", ""CARD11"", ""IL4R"", ""TESPA1"", ""CR1"", ""HAVCR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""NCKAP1L"", ""AP3B1"", ""MAP3K8"", ""CD5"", ""TNFSF11"", ""EFNB1"", ""CD55"", ""CD1D"", ""LGALS9"", ""VTCN1"", ""VSIR"", ""FADD"", ""ZP3"", ""IL1B"", ""FOXO3"", ""TRAF6"", ""ITGB2"", ""PTPRC"", ""ETS1"", ""IL7R"", ""FOXP3"", ""TNF"", ""MALT1"", ""NLRP3"", ""ZAP70"", ""LYN"", ""IRAK1"", ""IL23A"", ""IL6"", ""RAG1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.196551724,0.528407604,0.186432558,0.199187428,1.093752127,427,"c(""CXCL12"", ""PTAFR"", ""PCK1"", ""CCR2"", ""CASP3"", ""CD86"", ""CDH13"", ""ARG1"", ""ITGA3"", ""IRF1"", ""SELP"", ""NID1"", ""SEMA4D"", ""RIPK2"", ""ARG2"", ""CARD11"", ""IL4R"", ""SPI1"", ""TESPA1"", ""WNT4"", ""CR1"", ""PRKCE"", ""ADAM19"", ""CDH1"", ""KNG1"", ""WNT3A"", ""HAVCR2"", ""GPM6B"", ""NOTCH4"", ""CELSR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""ABI3BP"", ""NCKAP1L"", ""SERPINE2"", ""AP3B1"", ""PREX1"", ""SCGB1A1"", ""MAP3K8"", ""ALOX12"", ""SPOCK2"", ""CD5"", ""LIF"", ""TNFSF11"", ""EFNB1"", ""SEMA3E"", ""TNFSF18"", ""CD55"", ""CD1D"", ""WNT5A"", ""PLXNC1"", ""LGALS9"", ""CRTAM"", ""VTCN1"", 
""VSIR"", ""MAP4K4"", ""LAG3"", ""FADD"", ""SMAD7"", ""IL10"", ""SRF"", ""ZP3"", ""SFRP2"", ""SNAI2"", ""TIGIT"", ""SEMA5A"", ""PLPP3"", ""ABL2"", ""NRP1"", ""ITGA2"", ""FSTL3"", ""IL1B"", ""FOXO3"", ""CRKL"", ""EPHB2"", ""CITED2"", ""CXCR3"", ""GPNMB"", ""PLAUR"", ""TRAF6"", ""EPHA2"", ""SOX2"", ""ITGB2"", ""IFNB1"", ""PTPRC"", ""AGR2"", ""ETS1"", ""GREM1"", ""YTHDF2"", ""PRKCD"", ""HFE"", ""FBLN2"", ""FOXA1"", ""IL7R"", ""PTEN"", ""FES"", ""MIP"", ""DAB2"", ""DSCAM"", ""PTPRR"", ""PPP2CA"", ""FOXP3"", ""TNF"", ""ZFHX3"", ""AFDN"", ""SEMA6A"", ""SMAD3"", ""RGCC"", ""MALT1"", ""CTSG"", ""C1QTNF1"", ""NLRP3"", 
""GBP1"", ""ACER2"", ""ATXN3"", ""ZAP70"", ""PAG1"", ""EPCAM"", ""LYN"", ""IRAK1"", ""SERPINI1"", ""TNFRSF21"", ""IL23A"", ""IL6"", ""RAG1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.021940239,0.153926939,0.352487858,0.248252802,1.283235401,260,"c(""CXCL12"", ""PTAFR"", ""PCK1"", ""CCR2"", ""CASP3"", ""CD86"", ""ARG1"", ""IRF1"", ""SELP"", ""RIPK2"", ""ARG2"", ""CARD11"", ""IL4R"", ""SPI1"", ""TESPA1"", ""WNT4"", ""CR1"", ""ADAM19"", ""CDH1"", ""WNT3A"", ""HAVCR2"", ""NOTCH4"", ""CELSR2"", ""IL2RA"", ""HAS2"", ""PDCD1LG2"", ""NCKAP1L"", ""SERPINE2"", ""AP3B1"", ""SCGB1A1"", ""MAP3K8"", ""ALOX12"", ""CD5"", ""TNFSF11"", ""EFNB1"", ""CD55"", ""CD1D"", ""WNT5A"", ""LGALS9"", ""CRTAM"", ""VTCN1"", ""VSIR"", ""LAG3"", ""FADD"", ""SMAD7"", ""IL10"", ""ZP3"", ""TIGIT"", ""PLPP3"", ""FSTL3"", ""IL1B"", ""FOXO3"", ""CITED2"", ""GPNMB"", ""PLAUR"", ""TRAF6"", 
""SOX2"", ""ITGB2"", ""IFNB1"", ""PTPRC"", ""ETS1"", ""YTHDF2"", ""PRKCD"", ""HFE"", ""FOXA1"", ""IL7R"", ""PTPRR"", ""FOXP3"", ""TNF"", ""AFDN"", ""RGCC"", ""MALT1"", ""CTSG"", ""C1QTNF1"", ""NLRP3"", ""ZAP70"", ""PAG1"", ""EPCAM"", ""LYN"", ""IRAK1"", ""TNFRSF21"", ""IL23A"", ""IL6"", ""RAG1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.005596345,0.068199999,0.407017919,-0.269025658,-1.365545072,376,"c(""B2M"", ""ARF1"", ""HSPA9"", ""ATP6V0C"", ""CD9"", ""CD59"", ""HSPA1B"", ""ACTN4"", ""CLTC"", ""APC"", ""CPNE3"", ""PTPRM"", ""CYBA"", ""CLDN3"", ""CTNNA1"", ""ADD3"", ""HSPA8"", ""VIM"", ""YWHAG"", ""HSP90B1"", ""ANXA5"", ""HSPB1"", ""RHOA"", ""CD46"", ""PARD3B"", ""ASH1L"", ""AKAP12"", ""ACTN1"", ""HEG1"", ""EZR"", ""PDIA3"", ""SYNE2"", ""MMP14"", ""PARK7"", ""BSG"", ""PERP"", ""ADAM9"", ""FLNA"", ""FLNB"", ""PI4KA"", ""AMOTL2"", ""DSP"", ""CTTN"", ""CD81"", ""APP"", ""SNTB1"", ""CD99"", ""HSPA1A"", ""DDR2"", ""FLOT1"", ""WDR1"", ""CD151"", ""MSN"", ""CLDN5"", ""CLASP2"", ""FLNC"", ""ATP1B1"", ""FZD1"", ""NCKAP1"", 
""FAP"", ""DPP4"", ""DNM2"", ""GNB2"", ""YWHAE"", ""PTPRU"", ""SLC2A1"", ""MTF2"", ""CAT"", ""TRIP6"", ""CD99L2"", ""CDH3"", ""HYOU1"", ""HACD3"", ""SDCCAG8"", ""GIT1"", ""EPHA4"", ""PDPK1"", ""NECTIN1"", ""PTK2B"", ""PLEC"", ""LSR"", ""P4HB"", ""PARD3"", ""MAGI1"", ""RAPGEF2"", ""PTPRK"", ""VAMP5"", ""DST"", ""PIK3CA"", ""EVL"", ""FGFRL1"", ""GNA12"", ""GSN"", ""IGF2R"", ""JAK1"", ""MAPRE1"", ""ITGB8"", ""APBB1IP"", ""TLN1"", ""GRB2"", ""VASP"", ""PRKCZ"", ""CTNNB1"", ""YWHAZ"", ""ADD1"", ""CORO1C"", ""CSK"", ""IQGAP1"", ""PANX1"", ""PDGFRB"", ""GDI2"", ""ACTR3"", ""STARD10"", ""LIMD1"", ""RRAS"", ""MYO1E"", 
""PDLIM1"", ""MRC2"", ""JAK2"", ""SDCBP"", ""PRUNE1"", ""AHI1"", ""ILK"", ""NECTIN3"", ""VCL"", ""SIRT2"", ""JUP"", ""YBX3"", ""PTPRJ"", ""ARHGEF7"", ""ITGB4"", ""ENAH"", ""WASF2"", ""ADAM10"", ""RSU1"", ""FLOT2"", ""CSPG4"", ""CBL"", ""PRKAR2A"", ""CTNND2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,1.82E-05,0.001260183,0.575610261,-0.359411877,-1.729313943,228,"c(""B2M"", ""ARF1"", ""HSPA9"", ""ATP6V0C"", ""CD9"", ""CD59"", ""HSPA1B"", ""ACTN4"", ""CLTC"", ""CPNE3"", ""CYBA"", ""CTNNA1"", ""HSPA8"", ""VIM"", ""YWHAG"", ""HSP90B1"", ""ANXA5"", ""HSPB1"", ""RHOA"", ""CD46"", ""AKAP12"", ""ACTN1"", ""EZR"", ""PDIA3"", ""SYNE2"", ""MMP14"", ""BSG"", ""ADAM9"", ""FLNA"", ""FLNB"", ""PI4KA"", ""CTTN"", ""CD81"", ""SNTB1"", ""CD99"", ""HSPA1A"", ""DDR2"", ""FLOT1"", ""CD151"", ""MSN"", ""CLASP2"", ""FLNC"", ""FZD1"", ""NCKAP1"", ""FAP"", ""DPP4"", ""DNM2"", ""GNB2"", ""YWHAE"", ""MTF2"", ""CAT"", ""TRIP6"", ""CD99L2"", ""HYOU1"", ""HACD3"", ""GIT1"", ""PDPK1"", ""PTK2B"", ""PLEC"", 
""P4HB"", ""DST"", ""EVL"", ""GNA12"", ""GSN"", ""IGF2R"", ""JAK1"", ""MAPRE1"", ""ITGB8"", ""APBB1IP"", ""TLN1"", ""VASP"", ""CTNNB1"", ""YWHAZ"", ""ADD1"", ""CORO1C"", ""IQGAP1"", ""PDGFRB"", ""GDI2"", ""ACTR3"", ""LIMD1"", ""RRAS"", ""PDLIM1"", ""MRC2"", ""JAK2"", ""SDCBP"", ""PRUNE1"", ""ILK"", ""VCL"", ""JUP"", ""ARHGEF7"", ""ITGB4"", ""ENAH"", ""ADAM10"", ""RSU1"", ""FLOT2"", ""CSPG4"", ""CBL"", ""PRKAR2A"")"
Adhesion,GOCC_CELL_SURFACE,0.000155627,0.006579248,0.518848078,0.264537337,1.459224867,451,"c(""GRIA2"", ""CXCL12"", ""IL31RA"", ""CCR2"", ""TGFB3"", ""HCST"", ""EGFR"", ""CD86"", ""LEPR"", ""CDH13"", ""MR1"", ""ITGA3"", ""CLEC4A"", ""TFPI"", ""LAMP3"", ""TRPV2"", ""SELP"", ""ICAM1"", ""ITGAL"", ""CLEC4C"", ""TLR4"", ""SLC38A1"", ""IL4R"", ""CCR3"", ""ULBP2"", ""GPC5"", ""CLEC9A"", ""FCRL4"", ""CD79A"", ""WNT4"", ""CR1"", ""CX3CR1"", ""TREML1"", ""APOA4"", ""F10"", ""FCRL2"", ""WNT3A"", ""HAVCR2"", ""NOTCH4"", ""CD19"", ""HBEGF"", ""CCR4"", ""ITGA1"", ""TRPV1"", ""IL2RA"", ""PDCD1LG2"", ""ITGA7"", ""SERPINE2"", ""IL6R"", ""ADAMTS9"", ""SULF2"", ""CD8B"", ""IGKC"", ""FZD10"", ""SDC2"", ""UMODL1"", 
""CLEC2B"", ""LY6D"", ""PROCR"", ""CD5"", ""WNT2"", ""IL2RG"", ""CSF3R"", ""TNFSF18"", ""ANXA2"", ""CD55"", ""PLAT"", ""CD1D"", ""FZD9"", ""WNT5A"", ""CHRNA4"", ""IL21R"", ""AMBP"", ""CD244"", ""VTCN1"", ""MSR1"", ""CXCR5"", ""LAG3"", ""CRLF1"", ""IGLL5"", ""NCAM1"", ""OSMR"", ""RSPO2"", ""TNFRSF9"", ""TIGIT"", ""LRP2"", ""WNT7A"", ""CD5L"", ""CLIC4"", ""CASR"", ""SLC2A4"", ""IL17A"", ""ITGA2"", ""CD40"", ""GHRHR"", ""GRIN2A"", ""EPHB2"", ""NDP"", ""CXCR1"", ""CXCR3"", ""GRIA1"", ""PLAUR"", ""EPHA2"", ""TPO"", ""ITGB2"", ""SLC7A11"", ""FCGR3A"", ""PTPRC"", ""PVR"", ""IL15RA"", ""FCN1"", ""GREM1"", ""P2RX7"", 
""CD207"", ""TGFBR1"", ""DUOX1"", ""CD93"", ""NT5E"", ""ACKR3"", ""HFE"", ""IL7R"", ""PLA2R1"", ""RTN4R"", ""CLEC5A"", ""ALCAM"", ""BGN"", ""ACVR1B"", ""IL3RA"", ""TNF"", ""IL11RA"", ""ULBP1"")"
