Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.188492063,0.533390295,0.14122512,0.204958703,1.084383815,526,"c(""NR4A3"", ""CD74"", ""B2M"", ""CCN1"", ""FLNA"", ""HSPH1"", ""SPARCL1"", ""JAG1"", ""HSPB1"", ""MYL9"", ""TLN1"", ""VMP1"", ""PDLIM1"", ""CEBPB"", ""ZFP36L1"", ""MYH9"", ""TFRC"", ""ITGA8"", ""HES1"", ""VEGFA"", ""CD81"", ""FN1"", ""RHOA"", ""CD9"", ""ABL1"", ""CDH11"", ""HSPD1"", ""ACTN1"", ""ZAP70"", ""IL6"", ""CDON"", ""NOTCH1"", ""PLPP3"", ""CD86"", ""XBP1"", ""IL4R"", ""CD99"", ""PTPRS"", ""ICAM1"", ""TGFB1"", ""NFASC"", ""ITGAL"", ""CCL19"", ""CITED2"", ""AKT1"", ""ITGB1"", ""LCK"", ""PRNP"", ""PODXL2"", ""IGF2"", ""DLG4"", ""PRKAR1A"", ""TNFRSF14"", ""MEGF11"", ""SELL"", ""PTPRU"", ""MSN"", ""KIRREL3"", 
""MAD2L2"", ""DSCAM"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"", ""ITGA1"", ""CDH10"", ""SOX9"", ""VCL"", ""ITCH"", ""FLOT1"", ""ROCK1"", ""PIP5K1C"", ""LAMA5"", ""CR1"", ""TNIP1"", ""S100A9"", ""PDGFRA"", ""VAV1"", ""CAV1"", ""SHC1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.706860707,0.900821628,0.063642408,0.190125094,0.927161362,265,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""CEBPB"", ""TFRC"", ""HES1"", ""CD81"", ""RHOA"", ""HSPD1"", ""ZAP70"", ""IL6"", ""CD86"", ""XBP1"", ""IL4R"", ""ICAM1"", ""ITGAL"", ""CCL19"", ""AKT1"", ""ITGB1"", ""LCK"", ""PRNP"", ""PODXL2"", ""IGF2"", ""PRKAR1A"", ""TNFRSF14"", ""SELL"", ""MSN"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"", ""ITCH"", ""ROCK1"", ""CR1"", ""TNIP1"", ""S100A9"", ""VAV1"", ""CAV1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.120654397,0.429617972,0.183023938,0.22880298,1.14269735,309,"c(""NR4A3"", ""CD74"", ""B2M"", ""CCN1"", ""FLNA"", ""HSPH1"", ""TFRC"", ""HES1"", ""VEGFA"", ""CD81"", ""FN1"", ""RHOA"", ""LIF"", ""STX4"", ""ABL1"", ""HSPD1"", ""PDGFB"", ""ZAP70"", ""IL6"", ""PLPP3"", ""CD86"", ""KDR"", ""XBP1"", ""IL4R"", ""P4HB"", ""CCL19"", ""ABI3BP"", ""CITED2"", ""AKT1"", ""LCK"", ""IGF2"", ""TNFRSF14"", ""SMAD3"", ""PTPRU"", ""DNM2"", ""FBLN2"", ""CRK"", ""ARHGEF7"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SFRP2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.663900415,0.884960249,0.06658921,0.1956598,0.929931559,211,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""TFRC"", ""HES1"", ""CD81"", ""RHOA"", ""HSPD1"", ""ZAP70"", ""IL6"", ""PLPP3"", ""CD86"", ""XBP1"", ""IL4R"", ""CCL19"", ""CITED2"", ""AKT1"", ""LCK"", ""IGF2"", ""TNFRSF14"", ""PTPRU"", ""IL23A"", ""HLX"", ""TGFBR2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.366863905,0.701832356,0.095603149,0.221009039,1.037565255,178,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""TFRC"", ""HES1"", ""CD81"", ""RHOA"", ""HSPD1"", ""ZAP70"", ""IL6"", ""CD86"", ""XBP1"", ""IL4R"", ""CCL19"", ""AKT1"", ""LCK"", ""IGF2"", ""TNFRSF14"", ""IL23A"", ""HLX"", ""TGFBR2"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.095808383,0.382504578,0.204294757,0.218636,1.149238172,502,"c(""SERPINE1"", ""NR4A3"", ""CD74"", ""B2M"", ""CCN1"", ""FLNA"", ""HSPH1"", ""JAG1"", ""CXCL8"", ""THBS1"", ""CEBPB"", ""TFRC"", ""HES1"", ""VEGFA"", ""APOD"", ""CD81"", ""FN1"", ""RHOA"", ""LIF"", ""STX4"", ""DAPK3"", ""COL1A1"", ""CD9"", ""ABL1"", ""HSPD1"", ""PDGFB"", ""ZAP70"", ""IL6"", ""NOTCH1"", ""ATP5F1B"", ""PLPP3"", ""DUSP1"", ""CD86"", ""FBLN1"", ""KDR"", ""XBP1"", ""IL4R"", ""P4HB"", ""MMP14"", ""TGFB1"", ""CCL19"", ""CORO1C"", ""ABI3BP"", ""CITED2"", ""AKT1"", ""LCK"", ""PRNP"", ""IGF2"", ""PRKAR1A"", ""TNFRSF14"", ""ADAM22"", ""SMAD3"", ""PTPRU"", ""DNM2"", ""FBLN2"", ""CRK"", ""ARHGEF7"", ""MAD2L2"", 
""DSCAM"", ""SPRY4"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"", ""SFRP2"", ""ACTN4"", ""SOX9"", ""VCL"", ""ITCH"", ""FLOT1"", ""DOCK1"", ""ROCK1"", ""LAMA5"", ""CR1"", ""TFE3"", ""VAV1"", ""CAV1"", ""CLASP2"", ""LDB1"", ""CBLB"", ""IRAK1"", ""P2RY12"", ""MAPK14"", ""SIPA1"", ""MDK"", ""PML"", ""MMP2"", ""MYO10"", ""CD47"", ""LAMA4"", ""ITGB2"", ""SPTA1"", ""JAK1"", ""IFNA2"", ""CD36"", ""CCL2"", ""TESPA1"", ""PTPRJ"", ""MACF1"", ""SRF"", ""ADAM19"", ""BCL2"", ""EFNA5"", ""ANXA1"", ""CD24"", ""C1QTNF1"", ""MAPK7"", ""NID1"", ""KLRK1"", ""ZC3H12A"", ""PLAU"", ""ARG2"", ""PELI1"", ""RARA"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.501026694,0.790635963,0.080419997,0.196322408,0.980602865,310,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""JAG1"", ""CEBPB"", ""TFRC"", ""HES1"", ""VEGFA"", ""CD81"", ""RHOA"", ""CD9"", ""ABL1"", ""HSPD1"", ""ZAP70"", ""IL6"", ""NOTCH1"", ""PLPP3"", ""CD86"", ""XBP1"", ""IL4R"", ""TGFB1"", ""CCL19"", ""CITED2"", ""AKT1"", ""LCK"", ""PRNP"", ""IGF2"", ""PRKAR1A"", ""TNFRSF14"", ""PTPRU"", ""MAD2L2"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"")"
Adhesion,GOCC_ANCHORING_JUNCTION,1.12E-08,5.95E-06,0.747739663,0.355554267,1.836640727,418,"c(""HSPA1B"", ""B2M"", ""FLNA"", ""VIM"", ""JAG1"", ""HSPB1"", ""AKAP12"", ""ANXA5"", ""WDR1"", ""TLN1"", ""PDLIM1"", ""HSPA1A"", ""ENG"", ""MYH9"", ""NDRG1"", ""CD59"", ""DCTN4"", ""ITGA8"", ""HSP90B1"", ""VEGFA"", ""B4GALT1"", ""CD81"", ""GSN"", ""RHOA"", ""CD9"", ""CAPN1"", ""CDH11"", ""RHOB"", ""FAP"", ""PARD3"", ""APP"", ""ACTN1"", ""CD53"", ""ZAP70"", ""BCAR1"", ""ATP1A2"", ""ARF1"", ""MYO1E"", ""NOTCH1"", ""PLPP3"", ""DMD"", ""IGF2R"", ""CLIC4"", ""HSPA9"", ""CD99"", ""MAP2K1"", ""P4HB"", ""ICAM1"", ""MMP14"", ""CTTN"", ""ADD1"", ""SYNE2"", ""NFASC"", ""CORO1C"", ""PXN"", ""MAPK3"", ""FHL1"", ""AKT1"", 
""YWHAQ"", ""ITGB1"", ""NUMB"", ""ABI2"", ""WAS"", ""GNA13"", ""SDCCAG8"", ""MXRA8"", ""PFN1"", ""MPZL1"", ""PTPRU"", ""DNM2"", ""PAK1"", ""ARHGEF7"", ""MSN"", ""KIRREL3"", ""SPRY4"", ""SCRIB"", ""ITGA1"", ""PPP1CC"", ""CAPN2"", ""FHL2"", ""CDH10"", ""ACTN4"", ""HSPA8"", ""VCL"", ""LRP1"", ""PLEC"", ""TNS3"", ""ARPC1B"", ""MAP2K2"", ""FLOT1"", ""PDGFRB"", ""PDIA3"", ""PIP5K1C"", ""AHI1"", ""DDR2"", ""VAV1"", ""MARCKS"", ""CAV1"", ""PKN2"", ""CLASP2"", ""SORBS1"", ""PPP1R9B"", ""PIP5K1A"", ""ITGB8"", ""CTNNA1"", ""MCAM"", ""ATP1B1"", ""GNB2"", ""CADM4"", ""DSP"", ""PRUNE1"", ""ITGB2"", ""CLTC"", ""FZD1"", ""JAK1"", 
""MAPK1"", ""PRKD1"", ""ENAH"", ""PTPRJ"", ""ATP6V0C"", ""WASF2"", ""RHOG"", ""EFNA5"", ""CAP1"", ""ANXA1"", ""PARVB"", ""PTPRM"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,1.37E-13,7.28E-10,0.943632225,0.474131813,2.294446852,241,"c(""HSPA1B"", ""B2M"", ""FLNA"", ""VIM"", ""HSPB1"", ""AKAP12"", ""ANXA5"", ""TLN1"", ""PDLIM1"", ""HSPA1A"", ""ENG"", ""MYH9"", ""CD59"", ""DCTN4"", ""ITGA8"", ""HSP90B1"", ""CD81"", ""GSN"", ""RHOA"", ""CD9"", ""CAPN1"", ""RHOB"", ""FAP"", ""ACTN1"", ""BCAR1"", ""ARF1"", ""DMD"", ""IGF2R"", ""HSPA9"", ""CD99"", ""MAP2K1"", ""P4HB"", ""ICAM1"", ""MMP14"", ""CTTN"", ""ADD1"", ""SYNE2"", ""NFASC"", ""CORO1C"", ""PXN"", ""MAPK3"", ""FHL1"", ""YWHAQ"", ""ITGB1"", ""NUMB"", ""GNA13"", ""PFN1"", ""MPZL1"", ""DNM2"", ""PAK1"", ""ARHGEF7"", ""MSN"", ""SPRY4"", ""ITGA1"", ""PPP1CC"", ""CAPN2"", ""FHL2"", ""ACTN4"", ""HSPA8"", 
""VCL"", ""LRP1"", ""PLEC"", ""TNS3"", ""ARPC1B"", ""MAP2K2"", ""FLOT1"", ""PDGFRB"", ""PDIA3"", ""PIP5K1C"", ""DDR2"", ""MARCKS"", ""CAV1"", ""CLASP2"", ""SORBS1"", ""PIP5K1A"", ""ITGB8"", ""CTNNA1"", ""MCAM"", ""GNB2"", ""PRUNE1"", ""ITGB2"", ""CLTC"", ""FZD1"", ""JAK1"", ""MAPK1"", ""ENAH"", ""ATP6V0C"", ""RHOG"", ""CAP1"", ""ANXA1"", ""PARVB"")"
Adhesion,GOCC_CELL_SURFACE,0.055888224,0.286484858,0.271288555,0.220346571,1.168764093,554,"c(""CD74"", ""CRYAB"", ""B2M"", ""CD14"", ""BGN"", ""LDLR"", ""IGKC"", ""HILPDA"", ""ANXA5"", ""TLN1"", ""SPARC"", ""THBS1"", ""ENG"", ""TGFBR3"", ""TFRC"", ""CD59"", ""ITGA8"", ""CTSB"", ""VEGFA"", ""B4GALT1"", ""HSP90AB1"", ""CD63"", ""STX4"", ""NOTCH2"", ""PDIA4"", ""CD163"", ""CD9"", ""P2RX1"", ""HSPD1"", ""PDGFB"", ""FAP"", ""APP"", ""CD53"", ""HSPA2"", ""CLEC4E"", ""OSMR"", ""NOTCH1"", ""ATP5F1B"", ""FCER1G"", ""CD86"", ""CD1A"", ""KDR"", ""FOLR2"", ""MFGE8"", ""DMD"", ""IGF2R"", ""CLIC4"", ""IL4R"", ""NOTCH3"", ""TPO"", ""TYROBP"", ""P4HB"", ""ICAM1"", ""TGFB1"", ""ITGAL"", ""HMMR"", ""ADAMTS9"", ""NEU3"", 
""ITGB1"", ""INSR"", ""PRNP"", ""CLEC2B"", ""LY6D"", ""ENO1"", ""WNT6"", ""F3"", ""TNFRSF14"", ""MXRA8"", ""FCRL2"")"
