Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.156843157,0.791041087,0.105920293,-0.335555361,-1.085797738,283,"c(""CLDN7"", ""TNFSF11"", ""FGA"", ""IL12RB1"", ""RAB10"", ""CTNND1"", ""ADD2"", ""IL36B"", ""ALOX12"", ""CRTAM"", ""IL12A"", ""FOXA2"", ""CCR2"", ""CDH13"", ""CDH12"", ""FUT7"", ""SHH"", ""ICAM3"", ""FUT9"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""NODAL"", ""RAP2B"", ""MADCAM1"", ""PTPRF"", ""DLG3"", ""ROBO4"", ""WNT7B"", ""CNTN4"", ""CD200"", ""ADA"", ""STXBP3"", ""FOXP3"", ""CNTN1"", ""PTPN6"", ""CD300A"", ""IL7"", ""CD6"", ""CD33"", ""HFE"", ""CX3CR1"", ""IFNG"", ""GATA3"", ""KRT18"", ""MAGI1"", ""ALCAM"", ""CADM1"", ""TGFB2"", ""GPC4"", ""PIK3CB"", ""WNT5A"", ""SLAMF1"", ""ICAM2"", ""CXADR"", ""IL4"", 
""SLC39A8"", ""CDH8"", ""LRRC4C"", ""NOD2"", ""CD164"", ""SLC7A11"", ""NTNG1"", ""HAS2"", ""RET"", ""BCL10"", ""KIFAP3"", ""ITGA2B"", ""TSPAN32"", ""CD84"", ""APOA4"", ""CCR7"", ""CD3E"", ""GPAM"", ""F11R"", ""PRKCQ"", ""ITGA6"", ""PPIA"", ""RHOH"", ""CYFIP2"", ""IL10"", ""NLGN3"", ""DAB1"", ""CDH1"", ""JAML"", ""ICOS"", ""NRXN2"", ""EPHB3"", ""PTPN2"", ""PIK3CA"", ""FGL2"", ""AGER"", ""NPHP1"", ""IL20RB"", ""PTAFR"", ""EZR"", ""ITGA2"", ""LYN"", ""TNFRSF21"", ""GP6"", ""ASS1"", ""FOXJ1"", ""NF2"", ""EPHA7"", ""NTN1"", ""FER"", ""TNFSF4"", ""SEMA4D"", ""BMP2"", ""DUSP10"", ""CDH3"", ""LGALS2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.418581419,0.892142249,0.053787281,-0.322334604,-1.01703611,143,"c(""TNFSF11"", ""IL12RB1"", ""ADD2"", ""IL36B"", ""CRTAM"", ""IL12A"", ""CCR2"", ""FUT7"", ""SHH"", ""FUT9"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""MADCAM1"", ""ADA"", ""FOXP3"", ""PTPN6"", ""CD300A"", ""IL7"", ""CD6"", ""HFE"", ""CX3CR1"", ""IFNG"", ""GATA3"", ""SLAMF1"", ""IL4"", ""SLC39A8"", ""NOD2"", ""HAS2"", ""BCL10"", ""APOA4"", ""CCR7"", ""CD3E"", ""GPAM"", ""F11R"", ""PRKCQ"", ""RHOH"", ""IL10"", ""ICOS"", ""PTPN2"", ""PIK3CA"", ""FGL2"", ""AGER"", ""IL20RB"", ""PTAFR"", ""EZR"", ""LYN"", ""TNFRSF21"", ""ASS1"", ""FOXJ1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.226773227,0.825931372,0.084314432,-0.339967085,-1.077567995,161,"c(""TSC1"", ""TNFSF11"", ""FGA"", ""IL12RB1"", ""IL36B"", ""IL12A"", ""FOXA2"", ""CCR2"", ""TEK"", ""CDH13"", ""PTK2B"", ""FUT7"", ""SHH"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""NODAL"", ""AGR2"", ""ADA"", ""FOXP3"", ""PTPN6"", ""PLEKHA2"", ""STK4"", ""IL7"", ""CD6"", ""IFNG"", ""GATA3"", ""MAGI1"", ""TGFB2"", ""WNT5A"", ""SLAMF1"", ""IL4"", ""NOD2"", ""HAS2"", ""RET"", ""BCL10"", ""TNFRSF18"", ""KIFAP3"", ""CCR7"", ""CD3E"", ""GPAM"", ""F11R"", ""PRKCQ"", ""CCDC80"", ""RHOH"", ""IL10"", ""ICOS"", ""PIK3CA"", ""AGER"", ""PTAFR"", ""SAA1"", ""ITGA2"", ""LYN"", ""GP6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.201798202,0.817963717,0.090824142,-0.350874597,-1.098503979,118,"c(""TNFSF11"", ""FGA"", ""IL12RB1"", ""IL36B"", ""IL12A"", ""FOXA2"", ""CCR2"", ""FUT7"", ""SHH"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""NODAL"", ""ADA"", ""FOXP3"", ""PTPN6"", ""IL7"", ""CD6"", ""IFNG"", ""GATA3"", ""MAGI1"", ""WNT5A"", ""SLAMF1"", ""IL4"", ""NOD2"", ""HAS2"", ""BCL10"", ""KIFAP3"", ""CCR7"", ""CD3E"", ""GPAM"", ""F11R"", ""PRKCQ"", ""RHOH"", ""IL10"", ""ICOS"", ""PIK3CA"", ""AGER"", ""PTAFR"", ""LYN"", ""GP6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.392607393,0.887862138,0.056767239,-0.335256428,-1.035804966,96,"c(""TNFSF11"", ""IL12RB1"", ""IL36B"", ""IL12A"", ""CCR2"", ""FUT7"", ""SHH"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""ADA"", ""FOXP3"", ""PTPN6"", ""IL7"", ""CD6"", ""IFNG"", ""GATA3"", ""SLAMF1"", ""IL4"", ""NOD2"", ""HAS2"", ""BCL10"", ""CCR7"", ""CD3E"", ""GPAM"", ""PRKCQ"", ""RHOH"", ""ICOS"", ""PIK3CA"", ""AGER"", ""PTAFR"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.484515485,0.909108559,0.047069959,-0.31123907,-1.005122403,263,"c(""TSC1"", ""TNFSF11"", ""FGA"", ""IL12RB1"", ""IL36B"", ""ALOX12"", ""CRTAM"", ""IL12A"", ""FOXA2"", ""CCR2"", ""TEK"", ""CDH13"", ""EFNA1"", ""PTK2B"", ""FUT7"", ""SHH"", ""FUT9"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""NODAL"", ""AGR2"", ""ADA"", ""WDPCP"", ""SPOCK1"", ""ADAM10"", ""FOXP3"", ""PTPN6"", ""SEMA3E"", ""CD300A"", ""PLEKHA2"", ""STK4"", ""IL7"", ""EPHB2"", ""CD6"", ""HFE"", ""IFNG"", ""GATA3"", ""PIK3R1"", ""GREM1"", ""MAGI1"", ""TGFB2"", ""PIK3CB"", ""WNT5A"", ""SLAMF1"", ""NF1"", ""IL4"", ""NOD2"", ""CD164"", ""TACSTD2"", ""HAS2"", ""RET"", ""BCL10"", ""TNFRSF18"", ""DDR1"", ""KIFAP3"", ""MUC1"", 
""SERPINI1"", ""CCR7"", ""CD3E"", ""GPAM"", ""F11R"", ""PRKCQ"", ""CCDC80"", ""RHOH"", ""IL10"", ""DAB1"", ""CDH1"", ""ICOS"", ""EPHB3"", ""PTPN2"", ""PIK3CA"", ""FGL2"", ""AGER"", ""IL20RB"", ""PTAFR"", ""SAA1"", ""ITGA2"", ""ACVRL1"", ""LYN"", ""TNFRSF21"", ""GP6"", ""ASS1"", ""FOXJ1"", ""NF2"", ""PPP1R12A"", ""EPHA7"", ""TNC"", ""TNFSF4"", ""PLXNA1"", ""SEMA4D"", ""EFEMP2"", ""BMP2"", ""DUSP10"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.527472527,0.925392705,0.0431902,-0.311643741,-0.98798049,165,"c(""TNFSF11"", ""FGA"", ""IL12RB1"", ""IL36B"", ""ALOX12"", ""CRTAM"", ""IL12A"", ""FOXA2"", ""CCR2"", ""FUT7"", ""SHH"", ""FUT9"", ""TNFRSF13C"", ""AIF1"", ""IL1RL2"", ""NODAL"", ""ADA"", ""FOXP3"", ""PTPN6"", ""CD300A"", ""IL7"", ""CD6"", ""HFE"", ""IFNG"", ""GATA3"", ""MAGI1"", ""WNT5A"", ""SLAMF1"", ""IL4"", ""NOD2"", ""HAS2"", ""BCL10"", ""KIFAP3"", ""CCR7"", ""CD3E"", ""GPAM"", ""F11R"", ""PRKCQ"", ""RHOH"", ""IL10"", ""CDH1"", ""ICOS"", ""EPHB3"", ""PTPN2"", ""PIK3CA"", ""FGL2"", ""AGER"", ""IL20RB"", ""PTAFR"", ""LYN"", ""TNFRSF21"", ""GP6"", ""ASS1"", ""FOXJ1"", ""NF2"", ""EPHA7"", ""TNFSF4"", ""BMP2"", 
""DUSP10"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.808191808,0.985490915,0.022226779,-0.287888459,-0.916685256,187,"c(""CLDN7"", ""RAB10"", ""CTNND1"", ""SV2A"", ""SCN5A"", ""TEK"", ""CDH13"", ""GRB2"", ""GJB1"", ""CDH12"", ""PTK2B"", ""LSR"", ""RAP2B"", ""GJA1"", ""DLG3"", ""APC"", ""P2RX7"", ""ADAM10"", ""FLRT2"", ""PTPN6"", ""PIK3R1"", ""RRAS2"", ""KRT18"", ""TES"", ""CALB2"", ""MAGI1"", ""ALCAM"", ""CADM1"", ""RAP1B"", ""CXADR"", ""TIAM1"", ""CDH8"", ""FGF13"", ""ITGA2B"", ""CD3E"", ""F11R"", ""ITGA6"", ""PPIA"", ""CD99L2"", ""CDH1"", ""JAML"", ""RHO"", ""PIK3CA"", ""NPHP1"", ""ADGRE5"", ""HACD3"", ""EZR"", ""ITGA2"", ""SIRT2"", ""HMGA1"", ""AQP3"", ""GIT1"", ""LYN"", ""NF2"", ""PPP1R12A"", ""ITK"", ""TNC"", ""RASIP1"", 
""PMP22"", ""CDH3"", ""PTK7"", ""PPP1CA"", ""PIKFYVE"", ""FZD5"", ""VASP"", ""ITGB4"", ""CAV2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,0.996003996,1,0.00288973,-0.222103974,-0.681281294,88,"c(""RAB10"", ""TEK"", ""CDH13"", ""PTK2B"", ""GJA1"", ""ADAM10"", ""FLRT2"", ""RRAS2"", ""TES"", ""ALCAM"", ""ITGA2B"", ""ITGA6"", ""PPIA"", ""CD99L2"", ""ADGRE5"", ""HACD3"", ""EZR"", ""ITGA2"", ""HMGA1"", ""GIT1"", ""PPP1R12A"", ""TNC"", ""PTK7"", ""VASP"", ""ITGB4"", ""CAV2"", ""IRF2"")"
Adhesion,GOCC_CELL_SURFACE,0.042957043,0.6453125,0.216542837,-0.353002121,-1.143747878,299,"c(""CD79A"", ""IL31RA"", ""FCER1A"", ""FGF10"", ""FGA"", ""IL12RB1"", ""PLA2G1B"", ""CD1E"", ""FCER2"", ""SCN5A"", ""IL2RB"", ""TLR8"", ""CCR2"", ""CASR"", ""MS4A1"", ""IL13RA1"", ""TEK"", ""CDH13"", ""CLEC4C"", ""CD79B"", ""IGLL1"", ""PRND"", ""RAMP2"", ""SFRP4"", ""PPFIA2"", ""SHH"", ""CD1C"", ""TNFRSF13C"", ""KRT4"", ""HHIP"", ""SDC1"", ""PCSK9"", ""IL13RA2"", ""FZD10"", ""CD200"", ""MAS1"", ""ADA"", ""P2RX7"", ""IL15RA"", ""EPOR"", ""ADAM10"", ""RTN4R"", ""LBP"", ""ACKR4"", ""IL2RG"", ""IGLL5"", ""F2"", ""CRLF1"", ""EPHB2"", ""IGHM"", ""CD6"", ""SLC1A2"", ""CACNG4"", ""CD33"", ""HFE"", ""SLC11A2"", ""CX3CR1"", 
""CD8A"", ""TREML1"", ""SLC39A6"", ""TMX3"", ""GREM1"", ""CLEC14A"", ""KCNN2"", ""CD1B"", ""ALCAM"", ""CD207"", ""TFR2"", ""GPC4"", ""IL13"", ""WNT5A"", ""SLAMF1"", ""SCARA5"", ""NOD2"", ""SLC7A11"", ""GRIA2"", ""CSF2RB"", ""RTN4RL1"", ""TNFRSF18"", ""TNFRSF11A"", ""ITGA2B"", ""ADGRA3"", ""TSPAN32"", ""CD84"", ""KLRD1"", ""APOA4"", ""ANPEP"", ""CCR7"", ""CD3E"", ""RAMP3"", ""KCNQ1"", ""SDC2"", ""ITGA6"", ""OTOA"", ""NLGN3"", ""KRT10"", ""CD99L2"", ""CD8B"", ""ULBP3"", ""AGER"", ""ERP29"", ""RAET1G"", ""FOLR3"", ""ITGA2"", ""ACVRL1"", ""GP6"", ""RSPO2"", ""FZD9"", ""MBL2"", ""LY75"", ""SLC1A1"", ""TNFSF4"", 
""BMP2"", ""CD19"", ""ABCA1"", ""ABCB1"", ""CD5L"", ""KLRC3"", ""FZD3"", ""CD22"", ""IQGAP2"", ""ACHE"", ""SLC2A4"", ""FZD5"", ""ITGB4"", ""AZGP1"", ""CD28"", ""LPAR1"", ""FZD6"", ""BTN3A1"", ""DUOX1"")"
