Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.105894106,0.390949591,0.132846301,0.414153282,1.104153956,243,"c(""NR4A3"", ""CD74"", ""B2M"", ""CCN1"", ""FLNA"", ""HSPH1"", ""SPARCL1"", ""JAG1"", ""HSPB1"", ""MYL9"", ""TLN1"", ""VMP1"", ""PDLIM1"", ""CEBPB"", ""ZFP36L1"", ""MYH9"", ""TFRC"", ""ITGA8"", ""HES1"", ""VEGFA"", ""CD81"", ""FN1"", ""RHOA"", ""CD9"", ""ABL1"", ""CDH11"", ""HSPD1"", ""ACTN1"", ""ZAP70"", ""IL6"", ""CDON"", ""NOTCH1"", ""PLPP3"", ""CD86"", ""XBP1"", ""IL4R"", ""CD99"", ""PTPRS"", ""ICAM1"", ""TGFB1"", ""NFASC"", ""ITGAL"", ""CCL19"", ""CITED2"", ""AKT1"", ""ITGB1"", ""LCK"", ""PRNP"", ""PODXL2"", ""IGF2"", ""DLG4"", ""PRKAR1A"", ""TNFRSF14"", ""MEGF11"", ""SELL"", ""PTPRU"", ""MSN"", ""KIRREL3"", 
""MAD2L2"", ""DSCAM"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"", ""ITGA1"", ""CDH10"", ""SOX9"", ""VCL"", ""ITCH"", ""FLOT1"", ""ROCK1"", ""PIP5K1C"", ""LAMA5"", ""CR1"", ""TNIP1"", ""S100A9"", ""PDGFRA"", ""VAV1"", ""CAV1"", ""SHC1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.364635365,0.659436613,0.060248409,0.39570585,1.035366543,122,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""CEBPB"", ""TFRC"", ""HES1"", ""CD81"", ""RHOA"", ""HSPD1"", ""ZAP70"", ""IL6"", ""CD86"", ""XBP1"", ""IL4R"", ""ICAM1"", ""ITGAL"", ""CCL19"", ""AKT1"", ""ITGB1"", ""LCK"", ""PRNP"", ""PODXL2"", ""IGF2"", ""PRKAR1A"", ""TNFRSF14"", ""SELL"", ""MSN"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"", ""ITCH"", ""ROCK1"", ""CR1"", ""TNIP1"", ""S100A9"", ""VAV1"", ""CAV1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.118881119,0.41090994,0.124434169,0.423134427,1.113116783,148,"c(""NR4A3"", ""CD74"", ""B2M"", ""CCN1"", ""FLNA"", ""HSPH1"", ""TFRC"", ""HES1"", ""VEGFA"", ""CD81"", ""FN1"", ""RHOA"", ""LIF"", ""STX4"", ""ABL1"", ""HSPD1"", ""PDGFB"", ""ZAP70"", ""IL6"", ""PLPP3"", ""CD86"", ""KDR"", ""XBP1"", ""IL4R"", ""P4HB"", ""CCL19"", ""ABI3BP"", ""CITED2"", ""AKT1"", ""LCK"", ""IGF2"", ""TNFRSF14"", ""SMAD3"", ""PTPRU"", ""DNM2"", ""FBLN2"", ""CRK"", ""ARHGEF7"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SFRP2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.236763237,0.555320366,0.08197788,0.419849064,1.085441895,93,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""TFRC"", ""HES1"", ""CD81"", ""RHOA"", ""HSPD1"", ""ZAP70"", ""IL6"", ""PLPP3"", ""CD86"", ""XBP1"", ""IL4R"", ""CCL19"", ""CITED2"", ""AKT1"", ""LCK"", ""IGF2"", ""TNFRSF14"", ""PTPRU"", ""IL23A"", ""HLX"", ""TGFBR2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.145854146,0.456128121,0.110564716,0.442431443,1.135714912,82,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""TFRC"", ""HES1"", ""CD81"", ""RHOA"", ""HSPD1"", ""ZAP70"", ""IL6"", ""CD86"", ""XBP1"", ""IL4R"", ""CCL19"", ""AKT1"", ""LCK"", ""IGF2"", ""TNFRSF14"", ""IL23A"", ""HLX"", ""TGFBR2"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.208791209,0.529850243,0.088894529,0.39994215,1.06594799,239,"c(""SERPINE1"", ""NR4A3"", ""CD74"", ""B2M"", ""CCN1"", ""FLNA"", ""HSPH1"", ""JAG1"", ""CXCL8"", ""THBS1"", ""CEBPB"", ""TFRC"", ""HES1"", ""VEGFA"", ""APOD"", ""CD81"", ""FN1"", ""RHOA"", ""LIF"", ""STX4"", ""DAPK3"", ""COL1A1"", ""CD9"", ""ABL1"", ""HSPD1"", ""PDGFB"", ""ZAP70"", ""IL6"", ""NOTCH1"", ""ATP5F1B"", ""PLPP3"", ""DUSP1"", ""CD86"", ""FBLN1"", ""KDR"", ""XBP1"", ""IL4R"", ""P4HB"", ""MMP14"", ""TGFB1"", ""CCL19"", ""CORO1C"", ""ABI3BP"", ""CITED2"", ""AKT1"", ""LCK"", ""PRNP"", ""IGF2"", ""PRKAR1A"", ""TNFRSF14"", ""ADAM22"", ""SMAD3"", ""PTPRU"", ""DNM2"", ""FBLN2"", ""CRK"", ""ARHGEF7"", ""MAD2L2"", 
""DSCAM"", ""SPRY4"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"", ""SFRP2"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.278721279,0.588641414,0.073438141,0.401377613,1.055111881,145,"c(""NR4A3"", ""CD74"", ""B2M"", ""HSPH1"", ""JAG1"", ""CEBPB"", ""TFRC"", ""HES1"", ""VEGFA"", ""CD81"", ""RHOA"", ""CD9"", ""ABL1"", ""HSPD1"", ""ZAP70"", ""IL6"", ""NOTCH1"", ""PLPP3"", ""CD86"", ""XBP1"", ""IL4R"", ""TGFB1"", ""CCL19"", ""CITED2"", ""AKT1"", ""LCK"", ""PRNP"", ""IGF2"", ""PRKAR1A"", ""TNFRSF14"", ""PTPRU"", ""MAD2L2"", ""IL23A"", ""HLX"", ""TGFBR2"", ""SCRIB"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.000627384,0.034008191,0.477270815,0.469433904,1.251013048,231,"c(""HSPA1B"", ""B2M"", ""FLNA"", ""VIM"", ""JAG1"", ""HSPB1"", ""AKAP12"", ""ANXA5"", ""WDR1"", ""TLN1"", ""PDLIM1"", ""HSPA1A"", ""ENG"", ""MYH9"", ""NDRG1"", ""CD59"", ""DCTN4"", ""ITGA8"", ""HSP90B1"", ""VEGFA"", ""B4GALT1"", ""CD81"", ""GSN"", ""RHOA"", ""CD9"", ""CAPN1"", ""CDH11"", ""RHOB"", ""FAP"", ""PARD3"", ""APP"", ""ACTN1"", ""CD53"", ""ZAP70"", ""BCAR1"", ""ATP1A2"", ""ARF1"", ""MYO1E"", ""NOTCH1"", ""PLPP3"", ""DMD"", ""IGF2R"", ""CLIC4"", ""HSPA9"", ""CD99"", ""MAP2K1"", ""P4HB"", ""ICAM1"", ""MMP14"", ""CTTN"", ""ADD1"", ""SYNE2"", ""NFASC"", ""CORO1C"", ""PXN"", ""MAPK3"", ""FHL1"", ""AKT1"", 
""YWHAQ"", ""ITGB1"", ""NUMB"", ""ABI2"", ""WAS"", ""GNA13"", ""SDCCAG8"", ""MXRA8"", ""PFN1"", ""MPZL1"", ""PTPRU"", ""DNM2"", ""PAK1"", ""ARHGEF7"", ""MSN"", ""KIRREL3"", ""SPRY4"", ""SCRIB"", ""ITGA1"", ""PPP1CC"", ""CAPN2"", ""FHL2"", ""CDH10"", ""ACTN4"", ""HSPA8"", ""VCL"", ""LRP1"", ""PLEC"", ""TNS3"", ""ARPC1B"", ""MAP2K2"", ""FLOT1"", ""PDGFRB"", ""PDIA3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,0.000289366,0.026322823,0.498493109,0.503469129,1.325486777,153,"c(""HSPA1B"", ""B2M"", ""FLNA"", ""VIM"", ""HSPB1"", ""AKAP12"", ""ANXA5"", ""TLN1"", ""PDLIM1"", ""HSPA1A"", ""ENG"", ""MYH9"", ""CD59"", ""DCTN4"", ""ITGA8"", ""HSP90B1"", ""CD81"", ""GSN"", ""RHOA"", ""CD9"", ""CAPN1"", ""RHOB"", ""FAP"", ""ACTN1"", ""BCAR1"", ""ARF1"", ""DMD"", ""IGF2R"", ""HSPA9"", ""CD99"", ""MAP2K1"", ""P4HB"", ""ICAM1"", ""MMP14"", ""CTTN"", ""ADD1"", ""SYNE2"", ""NFASC"", ""CORO1C"", ""PXN"", ""MAPK3"", ""FHL1"", ""YWHAQ"", ""ITGB1"", ""NUMB"", ""GNA13"", ""PFN1"", ""MPZL1"", ""DNM2"", ""PAK1"", ""ARHGEF7"", ""MSN"", ""SPRY4"", ""ITGA1"", ""PPP1CC"", ""CAPN2"", ""FHL2"", ""ACTN4"", ""HSPA8"", 
""VCL"", ""LRP1"", ""PLEC"", ""TNS3"", ""ARPC1B"", ""MAP2K2"", ""FLOT1"", ""PDGFRB"", ""PDIA3"")"
Adhesion,GOCC_CELL_SURFACE,0.002386391,0.069063783,0.431707696,0.451331792,1.204929157,255,"c(""CD74"", ""CRYAB"", ""B2M"", ""CD14"", ""BGN"", ""LDLR"", ""IGKC"", ""HILPDA"", ""ANXA5"", ""TLN1"", ""SPARC"", ""THBS1"", ""ENG"", ""TGFBR3"", ""TFRC"", ""CD59"", ""ITGA8"", ""CTSB"", ""VEGFA"", ""B4GALT1"", ""HSP90AB1"", ""CD63"", ""STX4"", ""NOTCH2"", ""PDIA4"", ""CD163"", ""CD9"", ""P2RX1"", ""HSPD1"", ""PDGFB"", ""FAP"", ""APP"", ""CD53"", ""HSPA2"", ""CLEC4E"", ""OSMR"", ""NOTCH1"", ""ATP5F1B"", ""FCER1G"", ""CD86"", ""CD1A"", ""KDR"", ""FOLR2"", ""MFGE8"", ""DMD"", ""IGF2R"", ""CLIC4"", ""IL4R"", ""NOTCH3"", ""TPO"", ""TYROBP"", ""P4HB"", ""ICAM1"", ""TGFB1"", ""ITGAL"", ""HMMR"", ""ADAMTS9"", ""NEU3"", 
""ITGB1"", ""INSR"", ""PRNP"", ""CLEC2B"", ""LY6D"", ""ENO1"", ""WNT6"", ""F3"", ""TNFRSF14"", ""MXRA8"", ""FCRL2"")"
