Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.028272713,0.202743588,0.352487858,0.228316438,1.22407235,519,"c(""PRKCD"", ""B2M"", ""CD4"", ""SPI1"", ""CORO1A"", ""ZFP36L1"", ""FGL2"", ""RUNX1"", ""NFKBIZ"", ""ALOX5"", ""VSIG4"", ""ITGA9"", ""CD300A"", ""LAPTM5"", ""MYH9"", ""CD74"", ""AIF1"", ""CEBPB"", ""NCKAP1L"", ""HSPB1"", ""BMP7"", ""PRNP"", ""PLAUR"", ""GNAS"", ""SPINT2"", ""CD81"", ""CTNNB1"", ""LYN"", ""FLOT1"", ""CLEC7A"", ""SYK"", ""STXBP3"", ""ITGB2"", ""LILRB1"", ""CD99"", ""HES1"", ""NR4A3"", ""IL6"", ""PRKCA"", ""ANXA1"", ""ICOSLG"", ""VMP1"", ""PRKAR1A"", ""PTPRC"", ""CD44"", ""HSPH1"", ""JAML"", ""CSK"", ""ROBO4"", ""ADAM9"", ""DOCK8"", ""CEACAM1"", ""CD93"", ""VAV1"", ""RAP2B"", ""IL1B"", ""CXCL12"", 
""RUNX3"", ""ITGAM"", ""BSG"", ""ITGB1"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CTNNA1"", ""CD209"", ""VSIR"", ""MAPK7"", ""VCAM1"", ""RHOA"", ""AQP4"", ""TNFSF9"", ""IL23A"", ""PECAM1"", ""PLEK"", ""DLG4"", ""PTPN6"", ""PIP5K1C"", ""CCN1"", ""TJP1"", ""TNFRSF14"", ""RELA"", ""MSN"", ""TGFBR2"", ""FLOT2"", ""SART1"", ""BCL2"", ""TGFB1"", ""CARD11"", ""ILK"", ""BMP2"", ""S100A9"", ""THBS4"", ""RAB10"", ""FN1"", ""IL4R"", ""CD33"", ""VEGFA"", ""NPTN"", ""IL1RAP"", ""SIGLEC1"", ""CD9"", ""JAK3"", ""CCL2"", ""PDGFRA"", ""AP3D1"", ""SIRPA"", ""CD84"", ""TYK2"", ""MALT1"", ""TSPAN32"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.008173155,0.093920295,0.380730401,0.279119913,1.417047676,265,"c(""B2M"", ""CD4"", ""CORO1A"", ""FGL2"", ""RUNX1"", ""NFKBIZ"", ""ALOX5"", ""VSIG4"", ""CD300A"", ""LAPTM5"", ""CD74"", ""AIF1"", ""CEBPB"", ""NCKAP1L"", ""BMP7"", ""PRNP"", ""CD81"", ""LYN"", ""SYK"", ""ITGB2"", ""LILRB1"", ""HES1"", ""NR4A3"", ""IL6"", ""ANXA1"", ""ICOSLG"", ""PRKAR1A"", ""PTPRC"", ""CD44"", ""HSPH1"", ""CSK"", ""DOCK8"", ""CEACAM1"", ""VAV1"", ""IL1B"", ""CXCL12"", ""RUNX3"", ""ITGB1"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CD209"", ""VSIR"", ""VCAM1"", ""RHOA"", ""TNFSF9"", ""IL23A"", ""PECAM1"", ""PTPN6"", ""TNFRSF14"", ""RELA"", ""MSN"", ""TGFBR2"", ""FLOT2"", ""SART1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.001655787,0.031340313,0.455059867,0.286174429,1.473025718,307,"c(""B2M"", ""CD4"", ""PREX1"", ""CORO1A"", ""RUNX1"", ""NFKBIZ"", ""ALOX5"", ""STX4"", ""CD74"", ""AIF1"", ""NCKAP1L"", ""BMP7"", ""PLAUR"", ""CD81"", ""LYN"", ""FLOT1"", ""DAB2"", ""SYK"", ""ITGB2"", ""LILRB1"", ""HES1"", ""NR4A3"", ""IL6"", ""PRKCA"", ""ANXA1"", ""ICOSLG"", ""DNM2"", ""PTPRC"", ""CD44"", ""HSPH1"", ""CSK"", ""ADAM9"", ""DOCK8"", ""VAV1"", ""IL1B"", ""NRP1"", ""CXCL12"", ""RUNX3"", ""ATM"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CD209"", ""VSIR"", ""VCAM1"", ""RHOA"", ""TNFSF9"", ""IL23A"", ""SFRP2"", ""PTPN6"", ""CCN1"", ""TJP1"", ""LDB1"", ""TNFRSF14"", ""RELA"", ""PTPRJ"", ""EFEMP2"", ""TGFBR2"", 
""FLOT2"", ""SART1"", ""TPM1"", ""APBB1IP"", ""VAV3"", ""DOCK1"", ""P4HB"", ""CARD11"", ""ILK"", ""FN1"", ""IL4R"", ""VEGFA"", ""JAK3"", ""UNC13D"", ""CCL2"", ""AP3D1"", ""SIRPA"", ""TYK2"", ""MALT1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.006663639,0.082971009,0.407017919,0.297808185,1.476068144,212,"c(""B2M"", ""CD4"", ""CORO1A"", ""RUNX1"", ""NFKBIZ"", ""ALOX5"", ""CD74"", ""AIF1"", ""NCKAP1L"", ""BMP7"", ""PLAUR"", ""CD81"", ""LYN"", ""FLOT1"", ""SYK"", ""ITGB2"", ""LILRB1"", ""HES1"", ""NR4A3"", ""IL6"", ""ANXA1"", ""ICOSLG"", ""PTPRC"", ""CD44"", ""HSPH1"", ""CSK"", ""DOCK8"", ""VAV1"", ""IL1B"", ""RUNX3"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CD209"", ""VSIR"", ""VCAM1"", ""RHOA"", ""TNFSF9"", ""IL23A"", ""PTPN6"", ""TJP1"", ""TNFRSF14"", ""RELA"", ""TGFBR2"", ""FLOT2"", ""SART1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.003400537,0.052582929,0.431707696,0.319163805,1.549630369,179,"c(""B2M"", ""CD4"", ""CORO1A"", ""RUNX1"", ""NFKBIZ"", ""ALOX5"", ""CD74"", ""AIF1"", ""NCKAP1L"", ""CD81"", ""LYN"", ""SYK"", ""ITGB2"", ""LILRB1"", ""HES1"", ""NR4A3"", ""IL6"", ""ANXA1"", ""ICOSLG"", ""PTPRC"", ""CD44"", ""HSPH1"", ""CSK"", ""DOCK8"", ""VAV1"", ""IL1B"", ""RUNX3"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CD209"", ""VSIR"", ""VCAM1"", ""RHOA"", ""TNFSF9"", ""IL23A"", ""PTPN6"", ""TNFRSF14"", ""RELA"", ""TGFBR2"", ""FLOT2"", ""SART1"", ""CARD11"", ""IL4R"", ""JAK3"", ""CCL2"", ""AP3D1"", ""SIRPA"", ""TYK2"", ""MALT1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.005212119,0.069169437,0.407017919,0.250146432,1.337830369,496,"c(""PRKCD"", ""B2M"", ""CD4"", ""SPI1"", ""PREX1"", ""CORO1A"", ""ATP5F1B"", ""TGFBI"", ""FGL2"", ""RUNX1"", ""SIPA1"", ""NFKBIZ"", ""ALOX5"", ""VSIG4"", ""STX4"", ""CD300A"", ""LAPTM5"", ""DUSP1"", ""CD74"", ""AIF1"", ""CEBPB"", ""APOD"", ""NCKAP1L"", ""BMP7"", ""PRNP"", ""PLAUR"", ""SPINT2"", ""CD81"", ""LYN"", ""FLOT1"", ""DAB2"", ""SYK"", ""ITGB2"", ""LILRB1"", ""HES1"", ""NR4A3"", ""IL6"", ""PRKCA"", ""ANXA1"", ""ICOSLG"", ""DNM2"", ""PRKAR1A"", ""PTPRC"", ""CD44"", ""HSPH1"", ""CSK"", ""ADAM9"", ""ADAM10"", ""CYTH1"", ""DOCK8"", ""CEACAM1"", ""VAV1"", ""IL1B"", ""FZD4"", ""NRP1"", ""CXCL12"", ""RUNX3"", 
""ATM"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CD209"", ""VSIR"", ""MAPK7"", ""VCAM1"", ""ARHGDIB"", ""RHOA"", ""TNFSF9"", ""IL23A"", ""SFRP2"", ""PTPN6"", ""CCN1"", ""TJP1"", ""LDB1"", ""TNFRSF14"", ""RELA"", ""PTPRJ"", ""EFEMP2"", ""TGFBR2"", ""FLOT2"", ""SART1"", ""BCL2"", ""TPM1"", ""APBB1IP"", ""PTPRA"", ""VAV3"", ""DOCK1"", ""P4HB"", ""PML"", ""TGFB1"", ""CARD11"", ""ILK"", ""BMP2"", ""FN1"", ""IL4R"", ""VEGFA"", ""PLAU"", ""CD9"", ""JAK3"", ""UNC13D"", ""PPP2R1A"", ""CCL2"", ""AP3D1"", ""SIRPA"", ""TYK2"", ""MALT1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.004432414,0.061814432,0.407017919,0.277584285,1.429309074,310,"c(""PRKCD"", ""B2M"", ""CD4"", ""SPI1"", ""CORO1A"", ""FGL2"", ""RUNX1"", ""NFKBIZ"", ""ALOX5"", ""VSIG4"", ""CD300A"", ""LAPTM5"", ""CD74"", ""AIF1"", ""CEBPB"", ""NCKAP1L"", ""BMP7"", ""PRNP"", ""PLAUR"", ""SPINT2"", ""CD81"", ""LYN"", ""FLOT1"", ""SYK"", ""ITGB2"", ""LILRB1"", ""HES1"", ""NR4A3"", ""IL6"", ""PRKCA"", ""ANXA1"", ""ICOSLG"", ""PRKAR1A"", ""PTPRC"", ""CD44"", ""HSPH1"", ""CSK"", ""DOCK8"", ""CEACAM1"", ""VAV1"", ""IL1B"", ""CXCL12"", ""RUNX3"", ""TFRC"", ""XBP1"", ""MAP3K8"", ""CD209"", ""VSIR"", ""MAPK7"", ""VCAM1"", ""RHOA"", ""TNFSF9"", ""IL23A"", ""PTPN6"", ""TJP1"", ""TNFRSF14"", ""RELA"", 
""TGFBR2"", ""FLOT2"", ""SART1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,2.51E-09,1.69E-06,0.77493903,0.356406968,1.878376139,408,"c(""PRKCD"", ""HAMP"", ""B2M"", ""EVL"", ""IQGAP1"", ""CORO1A"", ""HSP90B1"", ""YWHAH"", ""LCP2"", ""EPB41L3"", ""B4GALT1"", ""CYBA"", ""HSPA1B"", ""GNA13"", ""LRP1"", ""ARF1"", ""LIMD1"", ""MYH9"", ""HSPB1"", ""MARCKS"", ""SDCCAG8"", ""GSN"", ""WDR1"", ""PLAUR"", ""RHOB"", ""CBL"", ""CYFIP1"", ""CD81"", ""CTNNB1"", ""LYN"", ""FLOT1"", ""DAB2"", ""ITGB2"", ""PARVG"", ""CD99"", ""HSPA1A"", ""ANXA1"", ""DNM2"", ""PTPRC"", ""CD53"", ""CD44"", ""DCTN4"", ""WAS"", ""JAML"", ""VASP"", ""IL1RL1"", ""FAP"", ""VIM"", ""TNS3"", ""EPB41L2"", ""CSK"", ""ARPC5"", ""ADAM9"", ""ADAM10"", ""CYTH1"", ""ENG"", ""PFN1"", ""CEACAM1"", 
""ARPC1B"", ""VAV1"", ""RAP2B"", ""GDI2"", ""FZD4"", ""NRP1"", ""BSG"", ""ITGB1"", ""HCK"", ""CTNNA1"", ""CAP1"", ""RHOA"", ""NUMB"", ""ARHGAP22"", ""PECAM1"", ""ADD1"", ""TIAM1"", ""YBX3"", ""PTPN6"", ""APP"", ""PIP5K1C"", ""IGF2R"", ""TJP1"", ""NDRG1"", ""MSN"", ""PTPRJ"", ""ASH1L"", ""FLOT2"", ""SNAP23"", ""LCP1"", ""APBB1IP"", ""PTPRA"", ""TES"", ""HSPA9"", ""HSPA8"", ""ANXA5"", ""P4HB"", ""CD59"", ""DST"", ""PPP1R9B"", ""ACTR3"", ""HYOU1"", ""ILK"", ""PTK7"", ""RAB10"", ""GRB2"", ""DDR2"", ""PLEC"", ""SLA"", ""VEGFA"", ""PLAU"", ""CD9"", ""FHOD1"", ""ABI2"", ""SLC8A1"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,1.69E-11,2.95E-08,0.863415392,0.443162482,2.210214109,236,"c(""B2M"", ""EVL"", ""IQGAP1"", ""HSP90B1"", ""CYBA"", ""HSPA1B"", ""GNA13"", ""LRP1"", ""ARF1"", ""LIMD1"", ""MYH9"", ""HSPB1"", ""MARCKS"", ""GSN"", ""PLAUR"", ""RHOB"", ""CBL"", ""CYFIP1"", ""CD81"", ""CTNNB1"", ""FLOT1"", ""DAB2"", ""ITGB2"", ""PARVG"", ""CD99"", ""HSPA1A"", ""ANXA1"", ""DNM2"", ""PTPRC"", ""CD44"", ""DCTN4"", ""VASP"", ""IL1RL1"", ""FAP"", ""VIM"", ""TNS3"", ""EPB41L2"", ""ARPC5"", ""ADAM9"", ""ADAM10"", ""ENG"", ""PFN1"", ""ARPC1B"", ""GDI2"", ""NRP1"", ""BSG"", ""ITGB1"", ""HCK"", ""CTNNA1"", ""CAP1"", ""RHOA"", ""NUMB"", ""ARHGAP22"", ""ADD1"", ""PIP5K1C"", ""IGF2R"", ""MSN"", ""FLOT2"", 
""SNAP23"", ""LCP1"", ""APBB1IP"", ""PTPRA"", ""TES"", ""HSPA9"", ""HSPA8"", ""ANXA5"", ""P4HB"", ""CD59"", ""DST"", ""ACTR3"", ""HYOU1"", ""ILK"", ""PTK7"", ""RAB10"", ""DDR2"", ""PLEC"", ""SLA"", ""PLAU"", ""CD9"")"
Adhesion,GOCC_CELL_SURFACE,0.475,0.805524342,0.072357085,0.183255642,0.995105314,550,"c(""CSF1R"", ""FCGRT"", ""C3"", ""B2M"", ""CD4"", ""FCER1G"", ""FOLR2"", ""ATP5F1B"", ""CLU"", ""BST2"", ""CD14"", ""B4GALT1"", ""CD244"", ""ITGA9"", ""STX4"", ""ENO1"", ""MSR1"", ""CD74"", ""CTSB"", ""LDLR"", ""PRNP"", ""TYROBP"", ""FCGR3A"", ""HCST"", ""PLAUR"", ""MRC1"", ""FLOT1"", ""CLEC7A"", ""ITGB2"", ""HBEGF"", ""LILRB1"", ""KCNQ1"", ""ANXA1"", ""CD63"", ""ICOSLG"", ""PTPRC"", ""CD53"", ""CD44"", ""TSPAN14"", ""IL1RL1"", ""FAP"", ""HSP90AB1"", ""LRPAP1"", ""ADAM9"", ""ADAM10"", ""LAMP1"", ""ENG"", ""CSF2RA"", ""CEACAM1"", ""CD93"", ""THBD"", ""TNFRSF10B"", ""ANTXR2"", ""SORL1"", ""TLR2"", ""FZD4"", 
""CXCL12"", ""ITGAM"", ""ITGB1"", ""TFRC"", ""ERP44"", ""TRPV2"", ""CD209"", ""VCAM1"", ""SLC7A5"", ""AQP4"", ""TNFRSF1A"", ""CD163"", ""SLC1A3"", ""CLEC4D"", ""APP"", ""IGF2R"", ""TNFRSF14"", ""MSN"", ""PTPRJ"", ""ATP6AP2"", ""TGFBR2"", ""IL21R"", ""IL11RA"", ""SCARA5"", ""ANXA5"", ""P4HB"", ""ARSB"", ""CD59"", ""TGFB1"", ""BMP2"", ""IL4R"", ""CD33"", ""VEGFA"", ""CCR6"", ""MIF"", ""NPTN"", ""PLAU"", ""CD9"", ""PDGFRA"", ""CLEC2B"", ""SIRPA"", ""FCRL5"", ""CD84"", ""P2RX7"", ""TSPAN32"", ""SLC1A2"", ""CLEC4A"", ""MELTF"", ""CR1"", ""CX3CR1"", ""ERP29"", ""SCARB1"", ""IGLL1"", ""IL13RA1"", ""CTLA4"")"
